date,transactionType,shares,value
2024-03-26,Conversion of Exercise of derivative security at price 130.96 - 227.47 per share.,2749,569857
2024-03-26,Sale at price 289.11 per share.,2749,794764
2024-03-27,Sale at price 288.02 per share.,6145,1769904
2024-03-27,Conversion of Exercise of derivative security at price 142.11 - 160.53 per share.,6145,919961
2024-03-28,Sale at price 289.19 per share.,354,102373
2024-03-28,Conversion of Exercise of derivative security at price 162.82 - 180.82 per share.,10145,1735419
2024-03-28,Sale at price 287.28 per share.,10145,2914456
2024-03-28,Conversion of Exercise of derivative security at price 160.53 per share.,2535,406944
2024-03-28,Sale at price 288.30 per share.,1412,407080
2024-04-04,Conversion of Exercise of derivative security at price 143.55 per share.,1875,269156
2024-04-04,Sale at price 278.24 per share.,1325,368663
2024-04-05,Conversion of Exercise of derivative security at price 143.55 - 180.82 per share.,24580,3944206
2024-04-05,Sale at price 274.55 per share.,18384,5047342
2024-04-08,Conversion of Exercise of derivative security at price 180.82 - 261.78 per share.,2550,572451
2024-04-08,Sale at price 275.69 per share.,2550,703010
2024-04-09,Conversion of Exercise of derivative security at price 143.54 per share.,159485,22893274
2024-04-09,Sale at price 274.28 - 274.83 per share.,113400,31105700
2024-06-27,Stock Award(Grant) at price 0.00 per share.,1009,0
2024-06-27,Stock Award(Grant) at price 0.00 per share.,3112,0
2024-06-27,Stock Award(Grant) at price 0.00 per share.,3527,0
2024-06-27,Stock Award(Grant) at price 0.00 per share.,3322,0
2024-06-27,Stock Award(Grant) at price 0.00 per share.,3112,0
2024-06-27,Stock Award(Grant) at price 0.00 per share.,3320,0
2024-06-27,Stock Award(Grant) at price 0.00 per share.,560,0
2024-06-27,Stock Award(Grant) at price 0.00 per share.,7709,0
2024-06-27,Stock Award(Grant) at price 0.00 per share.,3112,0
2024-06-27,Stock Award(Grant) at price 0.00 per share.,3527,0
2024-06-28,Conversion of Exercise of derivative security at price 130.96 - 219.26 per share.,72930,11839789
2024-06-28,Sale at price 295.49 - 296.80 per share.,77930,23044256
2024-06-28,Conversion of Exercise of derivative security at price 180.82 per share.,16010,2894928
2024-06-28,Sale at price 294.48 per share.,16010,4714625
2024-06-28,Conversion of Exercise of derivative security at price 160.53 per share.,2535,406944
2024-06-28,Sale at price 294.72 per share.,2535,747126
2024-07-02,Conversion of Exercise of derivative security at price 160.52 per share.,2535,406931
2024-07-02,Sale at price 297.71 per share.,1369,407561
2024-07-03,Sale at price 299.24 per share.,116,34712
2024-07-11,Sale at price 299.34 per share.,2535,758831
2024-07-11,Conversion of Exercise of derivative security at price 160.52 per share.,2535,406931
2024-07-17,Conversion of Exercise of derivative security at price 130.96 - 161.85 per share.,5627,791649
2024-07-17,Sale at price 309.79 - 310.32 per share.,8421,2611718
2024-07-17,Stock Award(Grant) at price 0.00 per share.,781,0
2024-07-18,Sale at price 310.43 per share.,1958,607822
2024-09-23,Stock Award(Grant) at price 0.00 per share.,755,0
2024-09-23,Stock Award(Grant) at price 0.00 per share.,755,0
2024-09-23,Stock Award(Grant) at price 0.00 - 258.12 per share.,1297,139898
2024-09-23,Stock Award(Grant) at price 0.00 per share.,755,0
2024-09-23,Stock Award(Grant) at price 0.00 - 258.12 per share.,1297,139898
2024-09-23,Stock Award(Grant) at price 0.00 - 258.12 per share.,1297,139898
2024-09-23,Stock Award(Grant) at price 0.00 - 258.12 per share.,1026,69949
2024-09-23,Stock Award(Grant) at price 0.00 - 258.12 per share.,1026,69949
2024-09-23,Stock Award(Grant) at price 0.00 - 258.12 per share.,1026,69949
2024-09-23,Stock Award(Grant) at price 0.00 per share.,755,0
2024-09-23,Stock Award(Grant) at price 0.00 per share.,755,0
2024-09-23,Stock Award(Grant) at price 0.00 per share.,755,0
2024-12-23,Stock Gift at price 0.00 per share.,5150,0
2024-12-26,Purchase at price 276.06 per share.,333,91929
2025-01-02,Stock Gift at price 0.00 per share.,448400,0
2025-01-07,Conversion of Exercise of derivative security at price 180.82 per share.,3220,582240
2025-01-07,Sale at price 276.93 per share.,2576,713373
2025-01-07,Purchase at price 273.98 per share.,1000,273980
2025-01-08,Stock Gift at price 0.00 per share.,20390,0
2025-01-14,Sale at price 276.45 per share.,3980,1100257
2025-01-14,Conversion of Exercise of derivative security at price 174.64 per share.,3980,695047
2025-03-24,Conversion of Exercise of derivative security at price 180.82 per share.,4770,862511
2025-03-24,Sale at price 241.85 per share.,4770,1153624
2025-03-27,Conversion of Exercise of derivative security at price 162.82 - 180.82 per share.,6155,1052737
2025-03-27,Sale at price 243.55 per share.,6155,1499050
2025-06-26,Stock Award(Grant) at price 0.00 per share.,1155,0
2025-06-26,Stock Award(Grant) at price 0.00 per share.,6595,0
2025-06-26,Stock Award(Grant) at price 0.00 per share.,6325,0
2025-06-26,Stock Award(Grant) at price 0.00 per share.,17680,0
2025-06-26,Stock Award(Grant) at price 0.00 per share.,6325,0
2025-06-26,Stock Award(Grant) at price 0.00 per share.,6325,0
2025-06-26,Stock Award(Grant) at price 0.00 per share.,6325,0
2025-06-26,Stock Award(Grant) at price 0.00 per share.,6325,0
2025-06-26,Stock Award(Grant) at price 0.00 per share.,6325,0
2025-07-07,Conversion of Exercise of derivative security at price 142.11 per share.,3610,513017
2025-07-07,Sale at price 241.75 per share.,2123,513235
2025-07-08,Conversion of Exercise of derivative security at price 142.11 per share.,3610,513017
2025-07-08,Sale at price 238.29 per share.,3610,860241
2025-07-09,Conversion of Exercise of derivative security at price 142.11 per share.,3610,513017
2025-07-09,Sale at price 236.94 per share.,3610,855353
2025-07-23,Conversion of Exercise of derivative security at price 142.11 per share.,3610,513017
2025-07-23,Sale at price 232.23 per share.,3610,838361
2025-09-22,Stock Award(Grant) at price 0.00 per share.,9302,0
2025-09-29,Stock Award(Grant) at price 0.00 per share.,823,0
2025-09-29,Stock Award(Grant) at price 0.00 - 236.88 per share.,1414,139999
2025-09-29,Stock Award(Grant) at price 0.00 - 236.88 per share.,1118,69881
2025-09-29,Stock Award(Grant) at price 0.00 - 236.88 per share.,1414,139999
2025-09-29,Stock Award(Grant) at price 0.00 - 236.88 per share.,1118,69881
2025-09-29,Stock Award(Grant) at price 0.00 per share.,823,0
2025-09-29,Stock Award(Grant) at price 0.00 per share.,6401,0
2025-09-29,Stock Award(Grant) at price 0.00 - 236.88 per share.,1118,69881
2025-09-29,Stock Award(Grant) at price 0.00 per share.,823,0
2025-09-29,Stock Award(Grant) at price 0.00 per share.,823,0
2025-09-29,Stock Award(Grant) at price 0.00 per share.,823,0
2026-02-18,Conversion of Exercise of derivative security at price 162.82 per share.,13225,2153294
