date,transactionType,shares,value
2024-05-02,Sale at price 167.53 per share.,851,142568.0
2024-05-03,Sale at price 168.11 per share.,1450,243760.0
2024-05-20,Sale at price 173.74 per share.,500,86870.0
2024-05-24,Stock Gift at price 0.00 per share.,5,0.0
2024-05-30,Sale at price 167.93 per share.,2250,377832.0
2024-06-03,Sale at price 169.55 per share.,1450,245848.0
2024-06-05,Sale at price 168.46 per share.,3315,558445.0
2024-06-20,Sale at price 170.00 per share.,500,85000.0
2024-07-03,Sale at price 171.95 per share.,1450,249328.0
2024-07-22,Sale at price 176.20 per share.,500,88100.0
2024-07-30,Sale at price 200.00 per share.,800,160000.0
2024-07-30,Sale at price 199.64 - 200.00 per share.,1420,283659.0
2024-08-01,,2522,
2024-08-01,,2169,
2024-08-01,,2776,
2024-08-01,,2011,
2024-08-01,,6609,
2024-08-01,,2729,
2024-08-02,Sale at price 192.71 per share.,851,163996.0
2024-08-05,Sale at price 188.35 per share.,1450,273108.0
2024-08-20,Sale at price 196.73 per share.,500,98365.0
2024-08-22,Sale at price 198.60 - 199.46 per share.,5493,1092474.0
2024-08-26,Sale at price 200.00 per share.,100,20000.0
2024-09-03,Sale at price 202.00 per share.,1450,292900.0
2024-09-05,Stock Gift at price 0.00 per share.,1000,0.0
2024-09-09,Sale at price 201.65 per share.,1000,201650.0
2024-09-20,Sale at price 217.50 per share.,600,130500.0
2024-09-30,Stock Gift at price 0.00 per share.,4252,0.0
2024-10-03,Sale at price 218.26 per share.,1450,316477.0
2024-10-21,Sale at price 217.67 per share.,600,130602.0
2024-10-31,Stock Award(Grant) at price 0.00 per share.,51398,0.0
2024-10-31,Stock Award(Grant) at price 0.00 per share.,11291,0.0
2024-10-31,Stock Award(Grant) at price 0.00 per share.,15687,0.0
2024-10-31,Stock Award(Grant) at price 0.00 per share.,14122,0.0
2024-10-31,Stock Award(Grant) at price 0.00 per share.,14396,0.0
2024-10-31,Stock Award(Grant) at price 0.00 per share.,10439,0.0
2024-11-01,,6610,
2024-11-01,,2730,
2024-11-01,,2009,
2024-11-01,,2169,
2024-11-01,,2779,
2024-11-01,,2524,
2024-11-04,Sale at price 230.44 - 232.79 per share.,1450,336307.0
2024-11-04,Sale at price 230.13 - 233.11 per share.,4461,1034632.0
2024-11-04,Sale at price 230.41 - 232.55 per share.,4535,1051505.0
2024-11-04,Sale at price 229.98 - 232.99 per share.,3932,911846.0
2024-11-19,Sale at price 239.77 per share.,825,197810.0
2024-12-03,Sale at price 251.18 per share.,1450,364211.0
2025-01-30,Sale at price 304.45 per share.,728,221640.0
2025-01-31,Sale at price 297.26 per share.,253,75207.0
2025-01-31,,5029,
2025-01-31,,2093,
2025-01-31,,7173,
2025-01-31,,3001,
2025-01-31,,782,
2025-01-31,,622,
2025-01-31,,453,
2025-02-03,Sale at price 293.40 per share.,1314,385528.0
2025-02-03,Sale at price 288.11 - 293.40 per share.,4093,1188336.0
2025-02-12,Sale at price 302.07 - 304.52 per share.,6500,1969918.0
2025-02-26,Sale at price 293.18 per share.,3486,1022025.0
2025-03-03,Sale at price 295.46 per share.,1300,384098.0
2025-03-12,,1309,
2025-03-12,,1309,
2025-03-12,,1309,
2025-03-12,,1309,
2025-03-12,,1309,
2025-03-12,,1309,
2025-03-12,,1309,
2025-03-12,,1309,
2025-03-12,,480,
2025-03-12,,1309,
2025-03-12,,480,
2025-03-14,Sale at price 260.20 - 261.00 per share.,1872,488064.0
2025-04-01,Sale at price 265.37 per share.,1300,344981.0
2025-05-01,Sale at price 264.54 per share.,1300,343902.0
2025-05-01,,7175,
2025-05-01,,3002,
2025-05-01,,1613,
2025-05-01,,782,
2025-05-01,,9626,
2025-05-01,,4654,
2025-05-01,,2601,
2025-05-02,Sale at price 269.03 per share.,1532,412154.0
2025-05-02,Sale at price 269.03 per share.,1347,362383.0
2025-05-22,Sale at price 286.69 per share.,1272,364666.0
2025-05-27,Sale at price 285.96 per share.,1800,514722.0
2025-06-02,Sale at price 283.99 per share.,1300,369187.0
2025-06-11,Sale at price 293.53 per share.,1500,440301.0
2025-06-12,Stock Gift at price 0.00 per share.,42000,0.0
2025-07-01,Sale at price 294.32 per share.,1300,382616.0
2025-08-01,,623,
2025-08-01,,453,
2025-08-01,,782,
2025-08-01,,7174,
2025-08-01,,3001,
2025-08-01,,2601,
2025-08-01,Sale at price 308.14 per share.,1300,400582.0
2025-08-01,,488,
2025-08-04,Sale at price 309.73 per share.,1347,417206.0
2025-08-11,Sale at price 320.24 - 323.07 per share.,5297,1706884.0
2025-09-02,Sale at price 309.61 per share.,1300,402493.0
2025-09-08,Sale at price 316.57 per share.,2701,855056.0
2025-10-01,Sale at price 320.61 per share.,1300,416793.0
2025-10-31,,3003,
2025-10-31,,453,
2025-10-31,,623,
2025-10-31,,783,
2025-10-31,,7174,
2025-10-31,,489,
2025-10-31,Stock Award(Grant) at price 0.00 per share.,18896,0.0
2025-10-31,Stock Award(Grant) at price 0.00 per share.,67620,0.0
2025-10-31,Stock Award(Grant) at price 0.00 per share.,16325,0.0
2025-10-31,,2602,
2025-10-31,Stock Award(Grant) at price 0.00 per share.,2535,0.0
2025-10-31,Stock Award(Grant) at price 0.00 per share.,1843,0.0
