date,transactionType,shares,value
2024-02-29,Sale at price 72.74 - 73.18 per share.,10230,744984.0
2024-03-08,,10401,
2024-03-08,,2555,
2024-03-08,,9732,
2024-03-08,,29940,
2024-03-08,,2682,
2024-03-08,,9844,
2024-04-01,Sale at price 72.96 per share.,2000,145920.0
2024-04-25,,515,
2024-05-08,Stock Award(Grant) at price 0.00 per share.,2310,0.0
2024-05-08,Stock Award(Grant) at price 0.00 per share.,2310,0.0
2024-05-08,Stock Award(Grant) at price 0.00 per share.,2310,0.0
2024-05-08,Stock Award(Grant) at price 0.00 per share.,2310,0.0
2024-05-08,Stock Award(Grant) at price 0.00 per share.,2310,0.0
2024-06-10,,3639,
2024-06-10,,3751,
2024-06-10,,10295,
2024-06-10,,901,
2024-06-10,,638,
2024-06-10,,3820,
2024-07-01,Sale at price 68.63 per share.,2000,137260.0
2024-07-25,,8744,
2024-08-09,,3678,
2024-08-13,Sale at price 73.98 per share.,5490,406150.0
2024-08-28,Sale at price 78.03 per share.,9513,742299.0
2024-09-10,,3641,
2024-09-10,,3752,
2024-09-10,,10295,
2024-09-10,,901,
2024-09-10,,639,
2024-09-10,,3821,
2024-09-12,Sale at price 83.25 - 84.23 per share.,29357,2459577.0
2024-09-12,Conversion of Exercise of derivative security at price 57.92 per share.,25000,1448000.0
2024-09-12,Sale at price 84.50 per share.,21246,1795287.0
2024-10-01,Sale at price 83.83 per share.,2000,167660.0
2024-10-25,,514,
2024-11-06,Sale at price 91.50 per share.,25590,2341485.0
2024-11-06,Conversion of Exercise of derivative security at price 57.92 per share.,25000,1448000.0
2024-11-06,Sale at price 91.28 per share.,5000,456400.0
2024-11-26,Conversion of Exercise of derivative security at price 61.17 - 61.35 per share.,10000,612442.0
2024-11-26,Sale at price 91.39 per share.,6788,620356.0
2024-11-27,Conversion of Exercise of derivative security at price 57.92 - 65.38 per share.,145413,9079689.0
2024-11-27,Sale at price 91.79 - 92.00 per share.,164211,15094013.0
2024-11-29,Conversion of Exercise of derivative security at price 57.92 - 73.77 per share.,248645,17528577.0
2024-11-29,Sale at price 92.76 - 92.77 per share.,248645,23065271.0
2024-12-10,,3640,
2024-12-10,,3752,
2024-12-10,,10295,
2024-12-10,,901,
2024-12-10,,639,
2024-12-10,,3820,
2024-12-13,,455,
2024-12-16,Sale at price 91.96 per share.,8500,781660.0
2025-01-15,Sale at price 91.35 per share.,2500,228375.0
2025-01-24,,515,
2025-01-31,Sale at price 97.22 per share.,142180,13822740.0
2025-01-31,Conversion of Exercise of derivative security at price 57.92 - 72.34 per share.,142180,9600576.0
2025-02-04,Stock Award(Grant) at price 0.00 per share.,90505,0.0
2025-02-04,Stock Award(Grant) at price 0.00 per share.,12371,0.0
2025-02-04,Stock Award(Grant) at price 0.00 per share.,84488,0.0
2025-02-04,Stock Award(Grant) at price 0.00 per share.,224504,0.0
2025-02-04,Stock Award(Grant) at price 0.00 per share.,709,0.0
2025-02-12,Conversion of Exercise of derivative security at price 57.92 - 83.49 per share.,137676,9260873.0
2025-02-12,Sale at price 102.22 per share.,137676,14073241.0
2025-02-18,Sale at price 104.09 per share.,2500,260225.0
2025-03-10,Sale at price 117.30 - 118.50 per share.,17929,2118696.0
2025-03-10,,24024,
2025-03-10,,1952,
2025-03-10,,3343,
2025-03-10,,8080,
2025-03-10,Conversion of Exercise of derivative security at price 63.91 per share.,25897,1145842.0
2025-03-17,Sale at price 110.53 per share.,2500,276325.0
2025-04-15,Sale at price 106.40 per share.,2500,266000.0
2025-04-25,,514,
2025-05-07,Stock Award(Grant) at price 0.00 per share.,1516,0.0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,1516,0.0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,1516,0.0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,1516,0.0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,1516,0.0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,1516,0.0
2025-05-15,Sale at price 99.82 per share.,2500,249550.0
2025-05-22,Conversion of Exercise of derivative security at price 66.64 per share.,25000,1666000.0
2025-05-22,Sale at price 107.52 per share.,28000,3010564.0
2025-05-30,Sale at price 110.11 - 110.96 per share.,10000,1104193.0
2025-06-10,,920,
2025-06-10,,3694,
2025-06-10,,10425,
2025-06-10,,1313,
2025-06-10,,3843,
2025-06-16,Sale at price 110.17 per share.,2500,275425.0
2025-06-16,Sale at price 110.17 per share.,3000,330510.0
2025-06-30,Sale at price 110.40 - 111.15 per share.,10000,1104484.0
2025-07-14,Conversion of Exercise of derivative security at price 67.45 per share.,5000,337250.0
2025-07-14,Sale at price 109.74 per share.,5000,548700.0
2025-07-15,Sale at price 111.03 per share.,2500,277575.0
2025-07-15,Sale at price 111.03 per share.,3000,333090.0
2025-07-25,,8743,
2025-07-28,Sale at price 113.17 - 114.09 per share.,10000,1139370.0
2025-08-15,Sale at price 118.53 per share.,2500,296325.0
2025-08-15,Conversion of Exercise of derivative security at price 66.64 per share.,25000,1666000.0
2025-08-15,Sale at price 118.50 - 118.97 per share.,28000,3318927.0
2025-08-28,Sale at price 113.63 per share.,10000,1136300.0
2025-09-10,,3844,
2025-09-10,,1315,
2025-09-10,,921,
2025-09-10,,3696,
2025-09-10,,10427,
2025-09-15,Sale at price 113.57 per share.,2500,283925.0
2025-09-15,Sale at price 113.57 per share.,3000,340710.0
2025-09-29,Sale at price 111.47 - 112.42 per share.,10000,1116564.0
2025-10-15,Sale at price 118.08 per share.,2500,295200.0
2025-10-15,Sale at price 118.08 per share.,3000,354240.0
2025-10-24,,515,
2025-10-28,Sale at price 118.82 - 119.54 per share.,10000,1193926.0
2025-11-12,Conversion of Exercise of derivative security at price 60.75 - 75.12 per share.,53646,3505885.0
2025-11-12,Sale at price 122.30 - 124.00 per share.,53646,6590487.0
2025-11-17,Sale at price 125.23 per share.,2500,313075.0
2025-11-17,Conversion of Exercise of derivative security at price 66.64 per share.,25000,1666000.0
2025-11-17,Sale at price 125.83 - 126.26 per share.,28000,3524173.0
2025-11-28,Conversion of Exercise of derivative security at price 64.92 per share.,5000,324600.0
2025-11-28,Sale at price 125.91 - 126.84 per share.,10000,1265444.0
2025-11-28,Conversion of Exercise of derivative security at price 81.00 per share.,5611,454491.0
2025-11-28,Sale at price 127.10 - 127.11 per share.,5611,713186.0
2025-11-28,Sale at price 125.08 per share.,5000,625400.0
2025-12-10,,3693,
2025-12-10,,10426,
2025-12-10,,3842,
2025-12-15,Sale at price 122.00 per share.,3000,366000.0
2025-12-15,Sale at price 122.00 per share.,3000,366000.0
2025-12-29,Sale at price 124.83 per share.,10000,1248272.0
2026-01-02,,16326,
2026-01-15,Sale at price 124.31 per share.,3000,372930.0
2026-01-15,Sale at price 124.31 per share.,3000,372930.0
2026-01-20,Conversion of Exercise of derivative security at price 67.45 per share.,5000,337250.0
2026-01-20,Sale at price 123.50 per share.,5000,617500.0
2026-01-23,Conversion of Exercise of derivative security at price 66.01 per share.,115640,7633396.0
2026-01-23,Sale at price 135.00 per share.,115640,15611400.0
2026-01-28,Sale at price 139.54 - 140.24 per share.,10000,1398911.0
2026-02-03,Stock Award(Grant) at price 0.00 per share.,44867,0.0
