date,transactionType,shares,value
2024-03-01,Stock Award(Grant) at price 130.09 per share.,3844,500066
2024-03-01,Stock Award(Grant) at price 130.09 per share.,1188,154547
2024-03-01,Stock Award(Grant) at price 130.09 per share.,8972,1167167
2024-03-01,Stock Award(Grant) at price 130.09 per share.,31856,4144147
2024-03-01,Stock Award(Grant) at price 130.09 per share.,4685,609472
2024-03-01,Stock Award(Grant) at price 130.09 per share.,11665,1517500
2024-04-26,Conversion of Exercise of derivative security at price 39.22 per share.,5712,224025
2024-04-26,Stock Award(Grant) at price 0.00 per share.,1846,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,1846,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,1846,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,1846,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,1846,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,1846,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,1846,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,1846,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,1846,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,2288,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,1846,0
2024-05-09,Sale at price 111.34 per share.,3300,367422
2024-06-06,Sale at price 98.33 per share.,1727,169816
2024-08-08,Sale at price 100.73 per share.,1651,166305
2024-08-08,Stock Award(Grant) at price 104.06 per share.,5646,587523
2024-10-31,Conversion of Exercise of derivative security at price 55.92 per share.,11868,663659
2024-10-31,Sale at price 104.55 per share.,31291,3271474
2024-11-04,Sale at price 105.67 per share.,2366,250015
2024-12-12,Stock Gift at price 0.00 per share.,5800,0
2024-12-13,Purchase at price 116.00 per share.,5800,672800
2025-02-21,Stock Award(Grant) at price 103.18 per share.,6753,696775
2025-02-21,Stock Award(Grant) at price 103.18 per share.,14197,1464846
2025-02-21,Stock Award(Grant) at price 103.18 per share.,4676,482470
2025-02-21,Stock Award(Grant) at price 103.18 per share.,6753,696775
2025-02-21,Stock Award(Grant) at price 103.18 per share.,7267,749809
2025-02-21,Stock Award(Grant) at price 103.18 per share.,1505,155286
2025-02-28,Stock Award(Grant) at price 105.28 per share.,47218,4971111
2025-02-28,Stock Award(Grant) at price 105.28 per share.,17414,1833346
2025-02-28,Stock Award(Grant) at price 105.28 per share.,8157,858769
2025-02-28,Stock Award(Grant) at price 105.28 per share.,13409,1411700
2025-02-28,Stock Award(Grant) at price 105.28 per share.,16787,1767335
2025-02-28,Stock Award(Grant) at price 105.28 per share.,2370,249514
2025-03-10,Conversion of Exercise of derivative security at price 50.59 per share.,6113,309257
2025-03-12,Conversion of Exercise of derivative security at price 50.59 per share.,6113,309257
2025-04-25,Stock Award(Grant) at price 0.00 per share.,3173,0
2025-04-25,Stock Award(Grant) at price 0.00 per share.,3173,0
2025-04-25,Stock Award(Grant) at price 0.00 per share.,3173,0
2025-04-25,Stock Award(Grant) at price 0.00 per share.,3173,0
2025-04-25,Stock Award(Grant) at price 0.00 per share.,3173,0
2025-04-25,Stock Award(Grant) at price 0.00 per share.,3173,0
2025-04-25,Stock Award(Grant) at price 0.00 per share.,3932,0
2025-04-25,Stock Award(Grant) at price 0.00 per share.,3173,0
2025-04-25,Stock Award(Grant) at price 0.00 per share.,3173,0
2025-05-08,Stock Award(Grant) at price 79.57 per share.,29849,2375085
2025-05-08,Sale at price 80.79 per share.,2500,201975
2025-06-27,Conversion of Exercise of derivative security at price 55.92 per share.,3780,211378
2025-08-07,Sale at price 86.00 per share.,2000,172000
2025-08-12,Sale at price 83.03 per share.,2500,207575
2025-08-21,Sale at price 85.52 per share.,4000,342080
2025-09-24,Stock Award(Grant) at price 87.11 per share.,1320,114985
2025-09-24,Stock Award(Grant) at price 87.11 per share.,1320,114985
2025-11-07,Purchase at price 75.06 per share.,1331,99905
2025-11-12,Conversion of Exercise of derivative security at price 65.75 per share.,5281,347226
2025-11-12,Sale at price 77.81 per share.,4464,347344
2025-12-03,Sale at price 79.99 per share.,11600,927884
2025-12-11,Purchase at price 80.25 - 81.42 per share.,13392,1086867
2025-12-11,Stock Gift at price 0.00 per share.,13392,0
2025-12-11,Sale at price 81.41 per share.,2016,164123
2026-02-20,Purchase at price 81.90 per share.,1213,99345
2026-02-20,Stock Award(Grant) at price 82.47 per share.,8288,683511
2026-02-20,Stock Award(Grant) at price 82.47 per share.,72476,5977096
2026-02-20,Stock Award(Grant) at price 82.47 per share.,24014,1980435
2026-02-20,Stock Award(Grant) at price 82.47 per share.,1914,157848
