date,transactionType,shares,value
2024-04-10,,17390,
2024-04-19,,25748,
2024-04-24,Sale at price 16.96 per share.,18323,310850.0
2024-05-28,Conversion of Exercise of derivative security at price 18.41 per share.,17140,315547.0
2024-06-06,Sale at price 19.51 per share.,50000,975500.0
2024-06-10,Sale at price 20.07 per share.,365945,7345541.0
2024-06-10,Conversion of Exercise of derivative security at price 14.67 per share.,365945,5368413.0
2024-06-11,Sale at price 20.49 per share.,30686,628870.0
2024-06-11,Sale at price 20.50 - 20.51 per share.,36671,752011.0
2024-06-11,Conversion of Exercise of derivative security at price 14.67 per share.,30686,450164.0
2024-06-11,Conversion of Exercise of derivative security at price 14.67 per share.,7671,112534.0
2024-06-14,Sale at price 21.67 per share.,22784,493816.0
2024-06-28,Stock Award(Grant) at price 21.17 per share.,1860,39376.0
2024-06-28,Stock Award(Grant) at price 21.17 per share.,1358,28749.0
2024-06-28,Stock Award(Grant) at price 21.17 per share.,1594,33745.0
2024-09-13,Sale at price 17.00 per share.,29000,493000.0
2024-09-18,Sale at price 18.52 per share.,166666,3086254.0
2024-09-25,Sale at price 19.72 per share.,83334,1643746.0
2024-09-27,Conversion of Exercise of derivative security at price 20.14 per share.,103361,2081691.0
2024-09-30,Stock Award(Grant) at price 20.46 per share.,1924,39365.0
2024-09-30,Stock Award(Grant) at price 20.46 per share.,1405,28746.0
2024-09-30,Stock Award(Grant) at price 20.46 per share.,1650,33759.0
2024-10-02,Sale at price 19.99 per share.,55908,1117478.0
2024-10-08,Sale at price 21.00 per share.,7770,163170.0
2024-10-14,Sale at price 20.73 per share.,250000,5181625.0
2024-12-06,,161121,
2024-12-06,,101818,
2024-12-06,Conversion of Exercise of derivative security at price 23.95 per share.,68054,1629893.0
2024-12-06,,69367,
2024-12-06,Conversion of Exercise of derivative security at price 23.95 per share.,138572,3318799.0
2024-12-06,Conversion of Exercise of derivative security at price 23.95 per share.,96033,2299990.0
2024-12-06,Conversion of Exercise of derivative security at price 23.95 per share.,99709,2388031.0
2024-12-06,,326418,
2024-12-06,Stock Award(Grant) at price 23.95 per share.,207490,4969386.0
2024-12-06,Stock Award(Grant) at price 23.95 per share.,466055,11162017.0
2024-12-06,Stock Award(Grant) at price 23.95 per share.,125732,3011281.0
2024-12-06,Stock Award(Grant) at price 23.95 per share.,125732,3011281.0
2024-12-06,,81643,
2024-12-06,Sale at price 23.00 per share.,7771,178733.0
2024-12-09,,33960,
2024-12-09,Conversion of Exercise of derivative security at price 23.11 per share.,35448,819203.0
2024-12-09,Conversion of Exercise of derivative security at price 23.11 per share.,10725,247855.0
2024-12-09,Conversion of Exercise of derivative security at price 23.11 per share.,12998,300384.0
2024-12-09,Sale at price 23.47 per share.,50000,1173500.0
2024-12-09,Conversion of Exercise of derivative security at price 23.11 per share.,94530,2184588.0
2024-12-09,Conversion of Exercise of derivative security at price 23.11 per share.,16543,382309.0
2024-12-09,Conversion of Exercise of derivative security at price 23.11 per share.,17724,409602.0
2024-12-09,Conversion of Exercise of derivative security at price 23.11 per share.,148055,3421551.0
