date,transactionType,shares,value
2025-02-04,Stock Award(Grant) at price 0.00 per share.,14194,0
2025-02-04,Stock Award(Grant) at price 0.00 per share.,2837,0
2025-02-04,Stock Award(Grant) at price 0.00 per share.,3784,0
2025-02-04,Stock Award(Grant) at price 0.00 per share.,5677,0
2025-02-04,Stock Award(Grant) at price 0.00 per share.,10409,0
2025-02-04,Stock Award(Grant) at price 0.00 per share.,5677,0
2025-02-06,Sale at price 165.58 - 166.08 per share.,4155,688086
2025-02-06,Sale at price 165.62 - 166.13 per share.,5828,965774
2025-02-06,Conversion of Exercise of derivative security at price 50.01 per share.,4155,207792
2025-02-06,Conversion of Exercise of derivative security at price 50.01 per share.,5828,291458
2025-02-07,Conversion of Exercise of derivative security at price 50.01 per share.,10580,529106
2025-02-07,Sale at price 166.47 per share.,10580,1761253
2025-02-10,Stock Award(Grant) at price 0.00 per share.,4487,0
2025-02-10,Stock Award(Grant) at price 0.00 per share.,3590,0
2025-02-10,Stock Award(Grant) at price 0.00 per share.,3141,0
2025-02-10,Stock Award(Grant) at price 0.00 per share.,5834,0
2025-02-10,Stock Award(Grant) at price 0.00 per share.,1795,0
2025-02-10,Stock Award(Grant) at price 0.00 per share.,9424,0
2025-02-10,Stock Award(Grant) at price 0.00 per share.,4936,0
2025-02-10,Stock Award(Grant) at price 0.00 per share.,4936,0
2025-02-10,Stock Award(Grant) at price 0.00 per share.,1346,0
2025-02-10,Stock Award(Grant) at price 0.00 per share.,26702,0
2025-02-10,Stock Award(Grant) at price 0.00 per share.,3141,0
2025-02-11,Conversion of Exercise of derivative security at price 50.01 per share.,2070,103521
2025-02-18,Stock Award(Grant) at price 0.00 per share.,6904,0
2025-02-18,Stock Award(Grant) at price 0.00 per share.,2875,0
2025-02-18,Stock Award(Grant) at price 0.00 per share.,4315,0
2025-02-18,Stock Award(Grant) at price 0.00 per share.,4315,0
2025-02-18,Stock Award(Grant) at price 0.00 per share.,9348,0
2025-02-18,Stock Award(Grant) at price 0.00 per share.,6472,0
2025-02-18,Stock Award(Grant) at price 0.00 per share.,14383,0
2025-02-18,Stock Award(Grant) at price 0.00 per share.,7191,0
2025-02-18,Stock Award(Grant) at price 0.00 per share.,1725,0
2025-02-18,Stock Award(Grant) at price 0.00 per share.,42792,0
2025-02-18,Stock Award(Grant) at price 0.00 per share.,4315,0
2025-02-19,Sale at price 166.99 per share.,6834,1141223
2025-02-20,Stock Gift at price 0.00 per share.,152,0
2025-02-20,Conversion of Exercise of derivative security at price 57.31 per share.,3183,182418
2025-02-20,Sale at price 165.94 - 167.02 per share.,25004,4164203
2025-02-20,Sale at price 166.39 - 167.02 per share.,10481,1746439
2025-02-25,Sale at price 170.00 per share.,1204,204680
2025-02-26,Sale at price 171.22 - 172.18 per share.,3847,659452
2025-02-26,Conversion of Exercise of derivative security at price 50.01 per share.,1770,88518
2025-02-26,Sale at price 171.23 - 172.22 per share.,7900,1354308
2025-02-28,Sale at price 171.01 per share.,1568,268139
2025-03-03,Sale at price 175.00 per share.,4155,727125
2025-03-03,Conversion of Exercise of derivative security at price 50.01 per share.,4155,207792
2025-03-05,Sale at price 169.92 - 171.66 per share.,274177,46814862
2025-03-05,Conversion of Exercise of derivative security at price 57.31 per share.,68316,3915190
2025-03-05,Sale at price 170.00 per share.,2228,378760
2025-03-06,Sale at price 169.80 - 170.00 per share.,4402,747718
2025-03-07,Sale at price 169.35 per share.,2255,381884
2025-03-12,Sale at price 169.14 per share.,1600,270624
2025-03-14,Conversion of Exercise of derivative security at price 50.01 per share.,5662,283157
2025-03-14,Sale at price 169.65 - 171.22 per share.,9973,1700575
2025-03-17,Conversion of Exercise of derivative security at price 67.00 - 76.16 per share.,2805,199962
2025-03-20,Sale at price 175.00 per share.,1206,211050
2025-04-16,Sale at price 158.08 - 160.15 per share.,2630,418175
2025-05-09,Sale at price 178.38 per share.,6987,1246349
2025-05-09,Conversion of Exercise of derivative security at price 67.00 per share.,5691,381297
2025-05-16,Stock Award(Grant) at price 0.00 per share.,1474,0
2025-05-16,Stock Award(Grant) at price 0.00 per share.,1474,0
2025-05-16,Stock Award(Grant) at price 0.00 per share.,1333,0
2025-05-16,Stock Award(Grant) at price 0.00 per share.,1474,0
2025-05-16,Stock Award(Grant) at price 0.00 per share.,1333,0
2025-05-16,Stock Award(Grant) at price 0.00 per share.,1333,0
2025-05-16,Stock Award(Grant) at price 0.00 per share.,1474,0
2025-05-16,Stock Award(Grant) at price 0.00 per share.,1333,0
2025-05-16,Stock Award(Grant) at price 0.00 per share.,1333,0
2025-05-19,Conversion of Exercise of derivative security at price 92.63 per share.,10930,1012446
2025-05-19,Sale at price 175.02 - 176.08 per share.,16768,2942207
2025-05-20,Sale at price 175.90 per share.,1568,275811
2025-05-21,Sale at price 175.85 per share.,1769,311079
2025-05-22,Sale at price 174.52 per share.,552,96335
2025-05-28,Sale at price 177.11 - 177.62 per share.,794,140828
2025-05-30,Sale at price 180.00 per share.,5000,900000
2025-05-30,Conversion of Exercise of derivative security at price 57.31 per share.,5000,286550
2025-05-30,Sale at price 180.00 per share.,612,110160
2025-05-30,Sale at price 179.75 per share.,8259,1484555
2025-06-03,Conversion of Exercise of derivative security at price 57.31 per share.,11439,655569
2025-06-04,Conversion of Exercise of derivative security at price 57.31 per share.,68315,3915133
2025-06-04,Sale at price 178.60 - 179.40 per share.,218315,39128594
2025-06-05,Sale at price 178.59 - 179.57 per share.,3848,689247
2025-06-05,Conversion of Exercise of derivative security at price 50.01 per share.,1770,88518
2025-06-05,Stock Gift at price 0.00 per share.,190,0
2025-06-10,Sale at price 176.00 - 177.80 per share.,530,94137
2025-06-12,Sale at price 177.48 per share.,1600,283968
2025-06-13,Sale at price 178.28 - 179.66 per share.,9973,1781678
2025-06-13,Conversion of Exercise of derivative security at price 50.01 per share.,5662,283157
2025-07-01,Sale at price 183.30 per share.,795,145724
2025-07-25,Sale at price 185.00 per share.,794,146890
2025-08-12,Sale at price 181.99 - 185.68 per share.,216575,39653199
2025-08-12,Conversion of Exercise of derivative security at price 57.31 per share.,66575,3815413
2025-08-20,Sale at price 178.45 per share.,1570,280166
2025-08-22,Sale at price 179.76 per share.,610,109654
2025-08-26,Conversion of Exercise of derivative security at price 50.01 per share.,1770,88518
2025-08-26,Sale at price 178.33 per share.,3850,686570
2025-08-27,Sale at price 178.34 per share.,2036,363100
2025-09-04,Stock Gift at price 0.00 per share.,143,0
2025-09-04,Sale at price 174.07 - 175.75 per share.,2900,506086
2025-09-12,Sale at price 175.62 per share.,1600,280992
2025-09-17,Sale at price 172.04 per share.,939,161542
2025-09-22,Stock Award(Grant) at price 0.00 per share.,1381,0
2025-10-08,Conversion of Exercise of derivative security at price 57.31 per share.,5345,306322
2025-10-08,Sale at price 157.51 - 162.03 per share.,10082,1601862
2025-11-11,Sale at price 151.00 per share.,2081,314231
2025-11-19,Sale at price 152.62 - 153.40 per share.,150000,22962583
2025-11-19,Sale at price 152.52 per share.,1770,269960
2025-11-19,Conversion of Exercise of derivative security at price 50.01 per share.,1770,88518
2025-11-19,Stock Gift at price 0.00 per share.,46000,0
2025-11-20,Sale at price 153.65 per share.,1572,241538
2025-12-04,Stock Gift at price 0.00 per share.,396,0
2025-12-05,Sale at price 157.89 - 158.54 per share.,3700,584440
2025-12-08,Conversion of Exercise of derivative security at price 57.31 per share.,5345,306322
2025-12-08,Sale at price 156.51 - 156.93 per share.,5345,837382
