date,transactionType,shares,value
2024-03-01,Stock Award(Grant) at price 0.00 per share.,99,0.0
2024-03-01,,1324,
2024-03-01,Stock Award(Grant) at price 0.00 per share.,130,0.0
2024-03-01,Stock Award(Grant) at price 0.00 per share.,195,0.0
2024-03-01,Stock Award(Grant) at price 0.00 per share.,286,0.0
2024-04-01,,1489,
2024-04-05,,1140,
2024-04-05,,968,
2024-04-05,,1590,
2024-05-03,,1671,
2024-05-03,,2625,
2024-05-03,,1768,
2024-05-03,,4243,
2024-05-03,,1671,
2024-05-03,,1591,
2024-05-03,,1671,
2024-05-03,,1060,
2024-05-03,,2121,
2024-05-03,,1671,
2024-05-03,,11538,
2024-05-03,,1671,
2024-05-03,,1326,
2024-05-03,,848,
2024-05-03,,1671,
2024-05-06,,1433,
2024-06-13,Sale at price 95.66 per share.,2588,247560.0
2024-06-13,Conversion of Exercise of derivative security at price 77.16 per share.,2588,199690.0
2024-07-03,,627,
2024-09-03,,13807,
2024-10-01,,11812,
2024-10-03,,1078,
2024-11-11,Sale at price 91.76 per share.,5000,458775.0
2024-12-02,,5387,
2025-01-15,Stock Award(Grant) at price 0.00 per share.,3976,0.0
2025-03-04,Stock Award(Grant) at price 0.00 per share.,35,0.0
2025-03-04,Stock Award(Grant) at price 0.00 per share.,101,0.0
2025-03-04,Stock Award(Grant) at price 0.00 per share.,96,0.0
2025-03-04,Stock Award(Grant) at price 0.00 per share.,237,0.0
2025-03-04,Purchase at price 80.24 per share.,25000,2005878.0
2025-03-04,Stock Award(Grant) at price 0.00 per share.,186,0.0
2025-03-04,Stock Award(Grant) at price 0.00 per share.,269,0.0
2025-03-05,Purchase at price 80.44 per share.,6500,522833.0
2025-04-04,,1993,
2025-04-04,,1761,
2025-04-04,,4602,
2025-05-01,,604,
2025-05-01,,1875,
2025-05-01,,15875,
2025-05-01,,1543,
2025-05-01,,604,
2025-05-01,,1875,
2025-05-01,,604,
2025-05-05,,1801,
2025-05-05,,4149,
2025-05-05,,3310,
2025-05-05,,3085,
2025-05-05,,2273,
2025-05-05,,20881,
2025-05-09,Purchase at price 73.97 - 74.00 per share.,25000,1849254.0
2025-05-15,Purchase at price 75.32 - 75.33 per share.,4000,301314.0
2025-05-19,Purchase at price 77.42 per share.,850,65807.0
2025-05-19,Purchase at price 77.22 - 77.58 per share.,12000,927356.0
2025-05-19,Sale at price 77.34 per share.,2400,185604.0
2025-05-22,Purchase at price 76.05 per share.,4500,342240.0
2025-06-02,,643,
2025-08-07,Purchase at price 64.80 per share.,15450,1001183.0
2025-08-07,Purchase at price 64.95 per share.,15300,993714.0
2025-09-02,,13808,
2025-11-07,Stock Award(Grant) at price 62.09 - 62.90 per share.,8750,546470.0
2025-11-11,Stock Award(Grant) at price 62.96 - 64.44 per share.,33000,2096968.0
2025-12-01,,10774,
2025-12-12,Purchase at price 63.48 per share.,3100,196788.0
2026-01-02,,1825,
