date,transactionType,shares,value
2024-02-29,,2418,
2024-03-22,,13064,
2024-04-29,Purchase at price 31.42 per share.,4000,125674.0
2024-04-30,,6779,
2024-04-30,,2723,
2024-04-30,,7624,
2024-04-30,,6502,
2024-04-30,,8119,
2024-04-30,,8063,
2024-05-01,Purchase at price 30.29 per share.,4100,124173.0
2024-05-07,,7152,
2024-05-07,,9932,
2024-05-07,,1001,
2024-05-07,,7152,
2024-05-07,,9607,
2024-05-07,,7152,
2024-05-07,,9607,
2024-05-07,,10419,
2024-05-30,,37003,
2024-05-30,,41712,
2024-05-30,,46198,
2024-05-30,,48216,
2024-05-30,,22426,
2024-05-31,,4443,
2024-07-30,,20149,
2024-07-30,,7625,
2024-07-30,,8063,
2024-07-31,,6778,
2024-07-31,,6503,
2024-07-31,,8118,
2024-08-05,Purchase at price 19.92 - 20.31 per share.,12500,251946.0
2024-08-30,,4442,
2024-10-30,,7624,
2024-10-30,,8062,
2024-10-30,,2723,
2024-10-31,,6779,
2024-10-31,,6502,
2024-10-31,,8119,
2024-11-04,Purchase at price 22.53 per share.,11150,251198.0
2024-11-07,Sale at price 26.00 per share.,25000,650000.0
2024-12-02,,4444,
2024-12-02,,77179,
2024-12-03,,5283,
2024-12-03,,5283,
2024-12-03,,4706,
2024-12-03,,1596,
2024-12-03,,5283,
2025-01-30,,2723,
2025-01-30,,7624,
2025-01-30,,8063,
2025-01-31,,82185,
2025-01-31,,8118,
2025-02-28,,28996,
2025-02-28,,32389,
2025-02-28,,28996,
2025-02-28,,16194,
2025-02-28,,4442,
2025-03-21,Stock Award(Grant) at price 23.96 per share.,1043406,25000008.0
2025-04-30,,2723,
2025-04-30,,7624,
2025-05-06,,7403,
2025-05-06,,5132,
2025-05-06,,10697,
2025-05-06,,11364,
2025-05-06,,10697,
2025-05-06,,7403,
2025-05-06,,5132,
2025-05-06,,10068,
2025-05-07,,35146,
2025-05-30,,22426,
2025-05-30,,37003,
2025-05-30,,46198,
2025-06-02,,12303,
2025-07-30,,7625,
2025-07-30,,20154,
2025-09-02,,12303,
2025-12-01,,12302,
2026-01-26,Purchase at price 42.50 per share.,5882,249985.0
2026-01-30,,76705,
2026-01-30,,22052,
2026-01-30,,126563,
2026-01-30,,33007,
2026-02-02,Sale at price 49.05 per share.,20000,981000.0
