date,transactionType,shares,value
2024-06-13,Stock Gift at price 0.00 per share.,30600,0.0
2024-07-15,,394,
2024-07-31,Conversion of Exercise of derivative security at price 143.01 - 154.31 per share.,18196,2658710.0
2024-07-31,Sale at price 503.54 per share.,10000,5035400.0
2024-07-31,Sale at price 499.11 per share.,299,149234.0
2024-07-31,Sale at price 505.49 per share.,1000,505490.0
2024-07-31,Sale at price 502.49 - 508.36 per share.,12082,6099457.0
2024-07-31,Sale at price 505.28 per share.,500,252640.0
2024-07-31,Conversion of Exercise of derivative security at price 154.31 per share.,89264,13774328.0
2024-07-31,Conversion of Exercise of derivative security at price 154.31 per share.,11613,1792002.0
2024-07-31,Conversion of Exercise of derivative security at price 143.01 per share.,14550,2080796.0
2024-07-31,Sale at price 505.00 per share.,500,252500.0
2024-07-31,Conversion of Exercise of derivative security at price 143.01 per share.,15809,2260845.0
2024-08-05,Sale at price 465.55 per share.,1683,783521.0
2024-08-07,Sale at price 478.26 per share.,5000,2391300.0
2024-08-13,Sale at price 480.00 - 480.11 per share.,10000,4800799.0
2024-08-15,Stock Gift at price 0.00 per share.,22900,0.0
2024-08-15,Sale at price 483.57 per share.,6310,3051327.0
2024-08-15,Sale at price 485.00 per share.,400,194000.0
2024-08-19,Conversion of Exercise of derivative security at price 180.64 per share.,1280,231219.0
2024-08-26,Sale at price 483.62 per share.,443,214244.0
2024-08-27,Sale at price 483.22 per share.,670,323757.0
2024-08-29,Sale at price 489.55 per share.,1000,489550.0
2024-08-29,Sale at price 490.00 per share.,5580,2734200.0
2024-08-29,Sale at price 490.00 per share.,3593,1760570.0
2024-09-09,Stock Gift at price 0.00 per share.,45,0.0
2024-09-09,Sale at price 491.79 per share.,210,103276.0
2024-09-09,Sale at price 492.00 per share.,500,246000.0
2024-09-10,Sale at price 500.15 per share.,2128,1064319.0
2024-09-12,Sale at price 502.73 - 506.99 per share.,34060,17213808.0
2024-09-12,Sale at price 500.23 - 503.39 per share.,7872,3949542.0
2024-09-13,Sale at price 506.01 per share.,478,241873.0
2024-10-15,,166,
2024-11-06,Conversion of Exercise of derivative security at price 180.64 per share.,49490,8939874.0
2024-11-06,Sale at price 529.02 per share.,1500,793530.0
2024-11-07,Conversion of Exercise of derivative security at price 180.64 per share.,600,108384.0
2024-11-07,Sale at price 535.38 - 540.46 per share.,14447,7760978.0
2024-11-08,Sale at price 549.00 per share.,222,121878.0
2024-11-08,Sale at price 546.80 per share.,2000,1093600.0
2024-11-08,Sale at price 540.08 - 550.02 per share.,18296,9993926.0
2024-11-08,Conversion of Exercise of derivative security at price 154.31 per share.,5000,771550.0
2024-11-08,Stock Gift at price 0.00 per share.,550,0.0
2024-11-08,Stock Gift at price 0.00 per share.,3726,0.0
2024-11-08,Conversion of Exercise of derivative security at price 143.01 per share.,5755,823023.0
2024-11-08,Conversion of Exercise of derivative security at price 154.31 per share.,10000,1543100.0
2024-11-11,Sale at price 553.00 per share.,860,475580.0
2024-11-11,Sale at price 550.81 per share.,3516,1936648.0
2024-11-11,Sale at price 548.88 per share.,1605,880952.0
2024-11-11,Sale at price 553.34 per share.,2445,1352916.0
2024-11-12,Conversion of Exercise of derivative security at price 180.64 per share.,800,144512.0
2024-11-12,Sale at price 550.34 per share.,1000,550340.0
2024-11-12,Sale at price 540.22 - 555.54 per share.,22735,12469612.0
2024-11-13,Sale at price 555.00 per share.,1600,888000.0
