date,transactionType,shares,value
2024-02-28,Sale at price 262.40 per share.,11647,3056173.0
2024-02-28,Conversion of Exercise of derivative security at price 128.00 per share.,11647,1490816.0
2024-03-14,Conversion of Exercise of derivative security at price 163.36 per share.,37167,6071601.0
2024-03-14,Sale at price 265.06 per share.,37167,9851485.0
2024-05-03,Stock Award(Grant) at price 243.88 per share.,916,223394.0
2024-05-03,Stock Award(Grant) at price 243.88 per share.,758,184861.0
2024-05-03,Stock Award(Grant) at price 243.88 per share.,1975,481663.0
2024-05-03,Stock Award(Grant) at price 243.88 per share.,758,184861.0
2024-05-03,Stock Award(Grant) at price 243.88 per share.,758,184861.0
2024-05-03,Stock Award(Grant) at price 243.88 per share.,758,184861.0
2024-05-03,Stock Award(Grant) at price 243.88 per share.,901,219736.0
2024-05-03,Stock Award(Grant) at price 243.88 per share.,758,184861.0
2024-05-03,Stock Award(Grant) at price 243.88 per share.,758,184861.0
2024-05-03,Stock Award(Grant) at price 243.88 per share.,758,184861.0
2024-05-03,Stock Award(Grant) at price 243.88 per share.,758,184861.0
2024-06-13,Stock Gift at price 0.00 per share.,775,0.0
2024-06-13,Purchase at price 238.82 per share.,775,185086.0
2024-08-02,Stock Award(Grant) at price 243.85 per share.,158,38528.0
2024-08-02,Stock Award(Grant) at price 243.85 per share.,143,35000.0
2024-08-02,Stock Award(Grant) at price 243.85 per share.,143,35000.0
2024-08-30,,1854,
2024-09-06,Stock Gift at price 0.00 per share.,4090,0.0
2024-11-01,Stock Award(Grant) at price 263.08 per share.,133,34990.0
2024-11-01,Stock Award(Grant) at price 263.08 per share.,147,38673.0
2024-11-01,Stock Award(Grant) at price 263.08 per share.,133,34990.0
2024-11-06,Conversion of Exercise of derivative security at price 128.00 per share.,11647,1490816.0
2024-11-06,Sale at price 272.95 per share.,11647,3179049.0
2024-12-04,Stock Gift at price 0.00 per share.,1825,0.0
2024-12-09,Stock Gift at price 0.00 per share.,635,0.0
2024-12-09,Purchase at price 275.20 per share.,635,174752.0
2025-02-07,Stock Award(Grant) at price 255.56 per share.,151,38590.0
2025-02-07,Stock Award(Grant) at price 255.56 per share.,136,34999.0
2025-02-07,Stock Award(Grant) at price 255.56 per share.,136,34999.0
2025-02-13,,17442,
2025-02-13,,6329,
2025-02-13,,1898,
2025-02-13,,1537,
2025-02-13,,1672,
2025-02-13,,1672,
2025-02-13,,415,
2025-02-13,,803,
2025-02-13,,2712,
2025-02-13,,1898,
2025-02-13,,1989,
2025-02-13,,6962,
2025-02-13,,604,
2025-02-19,Sale at price 262.20 - 263.88 per share.,70000,18430944.0
2025-02-19,Conversion of Exercise of derivative security at price 163.36 per share.,70000,11435200.0
2025-02-20,Sale at price 263.60 - 265.44 per share.,73453,19440639.0
2025-02-20,Conversion of Exercise of derivative security at price 163.36 per share.,73453,11999282.0
2025-03-07,Sale at price 274.27 - 275.11 per share.,48453,13293771.0
2025-03-07,Sale at price 270.52 - 271.53 per share.,41472,11249470.0
2025-03-07,Conversion of Exercise of derivative security at price 144.21 per share.,41472,5980677.0
2025-03-07,Conversion of Exercise of derivative security at price 128.00 per share.,48453,6201984.0
2025-05-02,Stock Award(Grant) at price 242.32 per share.,922,223419.0
2025-05-02,Stock Award(Grant) at price 242.32 per share.,763,184890.0
2025-05-02,Stock Award(Grant) at price 242.32 per share.,1938,469616.0
2025-05-02,Stock Award(Grant) at price 242.32 per share.,763,184890.0
2025-05-02,Stock Award(Grant) at price 242.32 per share.,763,184890.0
2025-05-02,Stock Award(Grant) at price 242.32 per share.,763,184890.0
2025-05-02,Stock Award(Grant) at price 242.32 per share.,907,219784.0
2025-05-02,Stock Award(Grant) at price 242.32 per share.,763,184890.0
2025-05-02,Stock Award(Grant) at price 242.32 per share.,763,184890.0
2025-05-02,Stock Award(Grant) at price 242.32 per share.,763,184890.0
2025-05-02,Stock Award(Grant) at price 242.32 per share.,763,184890.0
2025-06-02,Stock Gift at price 0.00 per share.,872,0.0
2025-06-02,Purchase at price 241.16 per share.,872,210292.0
2025-08-01,Stock Award(Grant) at price 252.31 per share.,153,38603.0
2025-08-01,Stock Award(Grant) at price 252.31 per share.,138,35000.0
2025-08-01,Stock Award(Grant) at price 252.31 per share.,138,35000.0
2025-08-21,Stock Gift at price 0.00 per share.,3790,0.0
2025-09-11,Sale at price 265.08 per share.,6802,1803074.0
2025-09-11,Conversion of Exercise of derivative security at price 128.00 per share.,6802,870656.0
2025-11-05,Stock Gift at price 0.00 per share.,1034,0.0
2025-11-05,Sale at price 245.25 per share.,1521,373025.0
2025-11-07,Stock Award(Grant) at price 245.49 per share.,142,34860.0
2025-11-07,Stock Award(Grant) at price 245.49 per share.,157,38542.0
2025-11-07,Stock Award(Grant) at price 245.49 per share.,142,34860.0
2025-12-10,Purchase at price 250.13 per share.,6709,1678122.0
2025-12-10,Stock Gift at price 0.00 per share.,6709,0.0
2026-02-04,Sale at price 288.72 - 293.43 per share.,167345,48686119.0
2026-02-04,Conversion of Exercise of derivative security at price 144.21 per share.,167345,24132822.0
2026-02-05,Sale at price 290.22 per share.,4223,1225599.0
2026-02-05,Conversion of Exercise of derivative security at price 128.00 - 163.36 per share.,5869,843451.0
2026-02-06,Stock Award(Grant) at price 293.57 per share.,61,17908.0
2026-02-06,Stock Award(Grant) at price 293.57 per share.,131,38458.0
2026-02-06,Stock Award(Grant) at price 293.57 per share.,119,35000.0
2026-02-06,Sale at price 291.90 per share.,17279,5043740.0
2026-02-06,Conversion of Exercise of derivative security at price 163.36 per share.,17279,2822697.0
2026-02-10,,477,
2026-02-12,,2098,
2026-02-12,,2740,
2026-02-12,,803,
2026-02-12,,469,
2026-02-12,,598,
2026-02-12,,1883,
2026-02-12,,1883,
2026-02-12,,1883,
2026-02-12,,2398,
2026-02-12,,6424,
2026-02-12,,7024,
2026-02-12,,9572,
