date,transactionType,shares,value
2024-03-04,Purchase at price 202.99 per share.,5000,1014950.0
2024-03-06,Stock Award(Grant) at price 211.70 per share.,315,66686.0
2024-03-28,,4558,
2024-03-28,,3472,
2024-03-28,,3799,
2024-03-28,,4558,
2024-03-28,,868,
2024-03-28,,3799,
2024-03-28,,4558,
2024-03-28,,13479,
2024-04-25,Stock Award(Grant) at price 163.74 per share.,1893,309960.0
2024-04-25,Stock Award(Grant) at price 163.74 per share.,2076,339924.0
2024-04-25,Stock Award(Grant) at price 163.74 per share.,2076,339924.0
2024-04-25,Stock Award(Grant) at price 163.74 per share.,2137,349912.0
2024-04-25,Stock Award(Grant) at price 163.74 per share.,1710,279995.0
2024-04-25,Stock Award(Grant) at price 163.74 per share.,1862,304884.0
2024-04-25,Stock Award(Grant) at price 163.74 per share.,1893,309960.0
2024-04-26,Purchase at price 161.06 per share.,6200,998550.0
2024-07-15,,3000,
2024-07-19,Purchase at price 163.47 per share.,600,98082.0
2024-08-23,Sale at price 175.03 per share.,3000,525090.0
2024-10-18,Sale at price 175.61 per share.,175,30732.0
2024-10-30,Sale at price 183.50 per share.,1500,275250.0
2024-10-31,,2573,
2024-10-31,,2508,
2024-10-31,,2439,
2024-10-31,,3506,
2024-10-31,,2905,
2024-10-31,,303,
2024-11-01,Stock Gift at price 0.00 per share.,300,0.0
2024-11-06,Sale at price 192.86 per share.,500,96430.0
2024-11-06,Sale at price 194.20 per share.,2200,427251.0
2024-11-06,Sale at price 191.42 per share.,1583,303018.0
2024-11-06,Sale at price 194.82 per share.,100,19482.0
2024-11-06,Sale at price 195.03 per share.,1151,224480.0
2024-11-07,Sale at price 189.87 per share.,1614,306449.0
2024-11-07,Sale at price 192.83 per share.,530,102200.0
2024-12-05,Sale at price 183.47 per share.,6000,1100819.0
2024-12-05,Stock Gift at price 0.00 per share.,4610,0.0
2024-12-06,Sale at price 182.72 per share.,145,26495.0
2024-12-10,Stock Gift at price 0.00 per share.,450,0.0
2025-01-21,Sale at price 175.37 per share.,4400,771627.0
2025-01-31,,4931,
2025-01-31,,4088,
2025-01-31,,4354,
2025-01-31,,8146,
2025-01-31,,7216,
2025-01-31,,7415,
2025-01-31,,905,
2025-01-31,,425,
2025-01-31,,1020,
2025-01-31,,905,
2025-01-31,,180,
2025-01-31,,11099,
2025-01-31,,14809,
2025-01-31,,340,
2025-02-04,Sale at price 169.00 per share.,3300,557700.0
2025-02-14,Purchase at price 166.57 - 169.48 per share.,59447,9999474.0
2025-03-07,Sale at price 161.67 per share.,1200,194004.0
2025-03-31,,6315,
2025-03-31,,1684,
2025-03-31,,2104,
2025-03-31,,1730,
2025-03-31,,2104,
2025-03-31,,2104,
2025-03-31,,1730,
2025-03-31,,397,
2025-04-24,Stock Award(Grant) at price 132.98 per share.,1515,201465.0
2025-04-24,Stock Award(Grant) at price 132.98 per share.,2368,314897.0
2025-04-24,Stock Award(Grant) at price 132.98 per share.,2594,344950.0
2025-04-24,Stock Award(Grant) at price 132.98 per share.,2669,354924.0
2025-04-24,Stock Award(Grant) at price 132.98 per share.,2519,334977.0
2025-04-24,Stock Award(Grant) at price 132.98 per share.,2368,314897.0
2025-04-24,Purchase at price 130.75 - 132.43 per share.,3038,399746.0
2025-07-15,,3000,
2025-07-23,Sale at price 151.97 per share.,989,150298.0
2025-08-04,Purchase at price 140.76 per share.,1147,161553.0
2025-10-22,Stock Gift at price 0.00 per share.,300,0.0
2025-10-29,Sale at price 169.00 per share.,6500,1098500.0
2025-10-31,,3089,
2025-10-31,,2252,
2025-10-31,,2311,
2025-10-31,,495,
2025-10-31,,484,
2025-10-31,,3828,
2025-12-01,Sale at price 179.76 per share.,3225,579726.0
2025-12-02,Sale at price 179.54 per share.,1000,179540.0
2025-12-03,Sale at price 190.04 per share.,2000,380090.0
2025-12-03,Stock Gift at price 0.00 per share.,3150,0.0
2025-12-08,Stock Gift at price 0.00 per share.,9258,0.0
2025-12-08,Sale at price 189.29 per share.,1588,300593.0
2025-12-08,Sale at price 191.15 per share.,1100,210265.0
2025-12-09,Sale at price 189.11 per share.,796,150528.0
2025-12-30,Stock Gift at price 0.00 per share.,555,0.0
2026-01-20,Sale at price 201.97 per share.,3038,613582.0
2026-01-21,Sale at price 207.00 per share.,1391,287937.0
2026-01-22,Sale at price 210.13 per share.,3919,823513.0
2026-01-30,,1600,
2026-01-30,,6375,
2026-01-30,,10307,
2026-01-30,,7005,
2026-01-30,,13852,
2026-01-30,,8181,
2026-01-30,,1325,
2026-01-30,,1325,
2026-01-30,,567,
2026-01-30,,16357,
2026-01-30,,11951,
2026-01-30,,1466,
2026-02-03,Sale at price 219.76 per share.,9000,1977822.0
2026-02-04,Sale at price 225.68 per share.,1000,225675.0
2026-02-04,Sale at price 225.57 per share.,331,74664.0
2026-02-04,Sale at price 225.13 per share.,4028,906829.0
2026-02-06,Sale at price 227.25 per share.,1000,227250.0
2026-02-10,Stock Gift at price 0.00 per share.,400,0.0
2026-02-11,Sale at price 230.75 per share.,2300,530722.0
2026-02-11,Stock Gift at price 0.00 per share.,447,0.0
2026-02-13,Stock Gift at price 0.00 per share.,447,0.0
2026-02-18,Stock Gift at price 0.00 per share.,1106,0.0
