date,transactionType,shares,value
2024-03-12,Stock Gift at price 0.00 per share.,1634,0
2024-03-22,Stock Award(Grant) at price 0.00 per share.,1632,0
2024-03-22,Stock Award(Grant) at price 0.00 per share.,1632,0
2024-03-22,Stock Award(Grant) at price 0.00 per share.,1632,0
2024-03-22,Stock Award(Grant) at price 0.00 per share.,1632,0
2024-03-22,Stock Award(Grant) at price 0.00 per share.,1632,0
2024-03-22,Stock Award(Grant) at price 0.00 per share.,1632,0
2024-03-22,Stock Award(Grant) at price 0.00 per share.,1632,0
2024-03-22,Stock Award(Grant) at price 0.00 per share.,1632,0
2024-03-22,Stock Award(Grant) at price 0.00 per share.,1632,0
2024-03-22,Stock Award(Grant) at price 0.00 per share.,1632,0
2024-03-26,Sale at price 152.88 per share.,4300,657384
2024-05-28,Purchase at price 143.35 per share.,460,65941
2024-06-14,Stock Gift at price 0.00 per share.,720,0
2024-06-17,Sale at price 136.45 per share.,440,60038
2024-08-22,Sale at price 156.00 per share.,1632,254592
2024-11-20,Stock Award(Grant) at price 0.00 per share.,4326,0
2024-11-20,Stock Award(Grant) at price 0.00 per share.,4016,0
2024-11-20,Stock Award(Grant) at price 0.00 per share.,9738,0
2024-11-20,Stock Award(Grant) at price 0.00 per share.,18013,0
2024-11-20,Stock Award(Grant) at price 0.00 per share.,1584,0
2024-11-20,Stock Award(Grant) at price 0.00 per share.,46814,0
2024-11-20,Stock Award(Grant) at price 0.00 per share.,5481,0
2024-11-20,Stock Award(Grant) at price 0.00 per share.,29215,0
2024-11-20,Stock Award(Grant) at price 0.00 per share.,6463,0
2024-11-20,Stock Award(Grant) at price 0.00 per share.,11028,0
2024-11-20,Stock Award(Grant) at price 0.00 per share.,12317,0
2024-11-20,Stock Award(Grant) at price 0.00 per share.,20639,0
2024-11-25,Sale at price 171.79 per share.,350,60126
2024-11-27,Sale at price 171.30 per share.,595,101924
2024-12-02,Sale at price 169.66 per share.,3884,658959
2024-12-02,Sale at price 169.66 per share.,17822,3023681
2024-12-02,Sale at price 169.66 per share.,8703,1476551
2024-12-03,Sale at price 171.34 per share.,18212,3120426
2024-12-03,Sale at price 170.41 per share.,41911,7142221
2024-12-04,Sale at price 171.92 per share.,4412,758511
2024-12-11,Stock Gift at price 0.00 per share.,5850,0
2024-12-30,Sale at price 161.80 per share.,6000,970770
2025-03-21,Stock Award(Grant) at price 0.00 per share.,1589,0
2025-03-21,Stock Award(Grant) at price 0.00 per share.,1589,0
2025-03-21,Stock Award(Grant) at price 0.00 per share.,1589,0
2025-03-21,Stock Award(Grant) at price 0.00 per share.,1589,0
2025-03-21,Stock Award(Grant) at price 0.00 per share.,1589,0
2025-03-21,Stock Award(Grant) at price 0.00 per share.,1589,0
2025-03-21,Stock Award(Grant) at price 0.00 per share.,1589,0
2025-03-21,Stock Award(Grant) at price 0.00 per share.,1589,0
2025-03-21,Stock Award(Grant) at price 0.00 per share.,1589,0
2025-03-21,Stock Award(Grant) at price 0.00 per share.,1589,0
2025-03-27,Sale at price 155.00 per share.,3632,562960
2025-05-14,Stock Award(Grant) at price 0.00 per share.,12822,0
2025-05-14,Stock Award(Grant) at price 0.00 per share.,22438,0
2025-05-14,Stock Award(Grant) at price 0.00 per share.,12822,0
2025-05-14,Stock Award(Grant) at price 0.00 per share.,12822,0
2025-05-14,Stock Award(Grant) at price 0.00 per share.,12822,0
2025-05-22,Sale at price 162.00 per share.,1589,257418
2025-05-23,Stock Award(Grant) at price 0.00 per share.,1175,0
2025-05-29,Purchase at price 159.00 per share.,280,44520
2025-05-30,Sale at price 157.78 per share.,658,103819
2025-05-30,Sale at price 157.78 per share.,7368,1162523
2025-06-20,Sale at price 158.97 per share.,10000,1589682
2025-06-30,Sale at price 164.60 per share.,12215,2010591
2025-09-17,Sale at price 173.56 per share.,142,24646
2025-09-17,Sale at price 173.98 per share.,2000,347960
2025-10-17,Stock Award(Grant) at price 0.00 per share.,2982,0
2025-10-17,Stock Award(Grant) at price 0.00 per share.,2982,0
2025-11-19,Stock Award(Grant) at price 0.00 per share.,2217,0
2025-11-19,Stock Award(Grant) at price 0.00 per share.,5431,0
2025-11-19,Stock Award(Grant) at price 0.00 per share.,4772,0
2025-11-19,Stock Award(Grant) at price 0.00 per share.,6936,0
2025-11-19,Stock Award(Grant) at price 0.00 per share.,15212,0
2025-11-19,Stock Award(Grant) at price 0.00 per share.,49042,0
2025-11-19,Stock Award(Grant) at price 0.00 per share.,23258,0
2025-11-19,Stock Award(Grant) at price 0.00 per share.,5544,0
2025-11-19,Stock Award(Grant) at price 0.00 per share.,12011,0
2025-11-20,Stock Award(Grant) at price 0.00 per share.,13571,0
2025-11-20,Stock Award(Grant) at price 0.00 per share.,397,0
2025-11-28,Sale at price 196.88 per share.,30000,5906310
2025-12-01,Sale at price 196.42 per share.,3175,623634
2025-12-01,Sale at price 196.42 per share.,12528,2460750
2025-12-01,Sale at price 196.42 per share.,3201,628740
2025-12-01,Sale at price 196.42 per share.,4827,948119
2025-12-03,Sale at price 200.84 per share.,3934,790105
2025-12-03,Stock Gift at price 0.00 per share.,200,0
2025-12-04,Stock Gift at price 0.00 per share.,2500,0
2025-12-09,Sale at price 211.43 per share.,4230,894349
2025-12-10,Stock Gift at price 0.00 per share.,485,0
2025-12-10,Stock Gift at price 0.00 per share.,150,0
2025-12-10,Sale at price 213.48 per share.,15000,3202185
2025-12-11,Stock Gift at price 0.00 per share.,2399,0
2025-12-22,Sale at price 203.72 per share.,1000,203719
2025-12-30,Stock Gift at price 0.00 per share.,500,0
2025-12-30,Stock Gift at price 0.00 per share.,560,0
