date,transactionType,shares,value
2024-04-22,Sale at price 18.82 per share.,230000,4328600.0
2024-05-08,Stock Award(Grant) at price 18.81 per share.,8110,152549.0
2024-05-21,Sale at price 19.75 per share.,50000,987515.0
2024-07-19,,11449,
2024-07-19,,41500,
2024-07-19,,17173,
2024-07-22,Stock Gift at price 0.00 per share.,3000,0.0
2024-07-24,Sale at price 21.25 per share.,21413,455078.0
2024-07-31,,100172,
2024-07-31,,57241,
2024-07-31,,85862,
2024-07-31,,51517,
2024-07-31,,228964,
2024-07-31,,24328,
2024-08-01,Sale at price 21.01 per share.,100000,2101000.0
2024-08-01,Sale at price 21.04 per share.,25169,529553.0
2024-08-02,Purchase at price 20.65 - 21.09 per share.,9732,200986.0
2024-08-14,Sale at price 21.00 per share.,53069,1114464.0
2024-10-21,Stock Gift at price 0.00 per share.,3755,0.0
2024-10-21,Stock Gift at price 0.00 per share.,100000,0.0
2024-10-22,Sale at price 24.70 - 24.75 per share.,900000,22263481.0
2024-11-05,Purchase at price 24.90 per share.,2241,55790.0
2024-11-06,Sale at price 26.28 per share.,19121,502530.0
2024-12-04,Sale at price 27.34 per share.,18000,492079.0
2025-01-02,Sale at price 27.91 per share.,18000,502294.0
2025-01-21,Stock Award(Grant) at price 31.22 per share.,1610,50264.0
2025-01-21,Stock Award(Grant) at price 31.22 per share.,8010,250072.0
2025-01-31,,480498,
2025-02-05,Sale at price 27.70 per share.,18000,498521.0
2025-02-18,Sale at price 26.65 per share.,75461,2010953.0
2025-02-19,Sale at price 26.83 - 26.88 per share.,160000,4295800.0
2025-03-05,Sale at price 26.61 per share.,18000,479018.0
2025-05-07,Sale at price 27.57 per share.,18000,496255.0
2025-06-04,Sale at price 28.26 per share.,18000,508676.0
2025-07-18,,14443,
2025-07-18,,75102,
2025-07-28,Purchase at price 27.21 per share.,2759,75059.0
2025-07-31,,108319,
2025-07-31,,86656,
2025-07-31,,108319,
2025-07-31,,28886,
2025-07-31,,51994,
2025-07-31,,382572,
2025-07-31,,288851,
2025-07-31,,34663,
2025-08-01,Sale at price 27.96 per share.,45549,1273596.0
2025-08-04,Sale at price 28.19 per share.,40000,1127716.0
2025-08-05,Sale at price 27.80 per share.,6166,171446.0
2025-08-11,Sale at price 27.05 per share.,30127,814999.0
2025-09-08,Sale at price 27.00 per share.,6166,166482.0
2025-09-15,Sale at price 27.61 per share.,23867,658908.0
2025-10-06,Sale at price 28.17 per share.,6166,173709.0
2025-10-27,Purchase at price 25.96 per share.,1000000,25964900.0
2025-10-31,Purchase at price 26.22 - 26.26 per share.,4287,112443.0
2025-11-10,Sale at price 27.00 per share.,6166,166482.0
2025-11-17,Stock Gift at price 0.00 per share.,1500,0.0
2025-12-05,Sale at price 27.81 per share.,6166,171476.0
2026-01-05,Sale at price 27.49 per share.,6166,169491.0
2026-01-20,Stock Award(Grant) at price 27.96 per share.,1790,50048.0
2026-01-20,Stock Award(Grant) at price 27.96 per share.,8950,250242.0
2026-01-22,Sale at price 30.00 per share.,20000,600000.0
2026-02-02,Purchase at price 29.75 per share.,3000,89236.0
2026-02-05,Sale at price 30.09 per share.,6166,185523.0
2026-02-17,Sale at price 31.94 per share.,8000,255560.0
