date,transactionType,shares,value
2024-02-26,Stock Gift at price 0.00 per share.,49200,0
2024-02-28,Stock Award(Grant) at price 0.00 per share.,7634,0
2024-02-28,Stock Award(Grant) at price 0.00 per share.,2487,0
2024-03-04,Sale at price 59.42 per share.,18551,1102208
2024-03-13,Sale at price 60.87 per share.,57368,3492111
2024-03-13,Conversion of Exercise of derivative security at price 41.88 per share.,37368,1565159
2024-05-06,Conversion of Exercise of derivative security at price 41.88 per share.,57298,2399927
2024-05-06,Sale at price 61.99 per share.,57298,3551978
2024-05-07,Conversion of Exercise of derivative security at price 41.88 per share.,37368,1565159
2024-05-07,Sale at price 62.28 per share.,37368,2327346
2024-05-07,Conversion of Exercise of derivative security at price 41.88 per share.,20627,863962
2024-05-07,Sale at price 62.29 per share.,20627,1284767
2024-05-09,Sale at price 62.91 per share.,57298,3604680
2024-05-09,Conversion of Exercise of derivative security at price 41.88 per share.,57298,2399927
2024-05-10,Sale at price 63.31 per share.,8874,561801
2024-05-10,Conversion of Exercise of derivative security at price 41.88 per share.,8874,371687
2024-05-15,Conversion of Exercise of derivative security at price 41.88 per share.,57298,2399927
2024-05-15,Sale at price 63.08 per share.,57298,3614238
2024-06-11,Conversion of Exercise of derivative security at price 40.89 per share.,19304,789341
2024-06-11,Sale at price 63.44 per share.,19304,1224572
2024-06-14,Conversion of Exercise of derivative security at price 41.88 per share.,80891,3388120
2024-06-14,Sale at price 62.34 per share.,80891,5042996
2024-07-17,Conversion of Exercise of derivative security at price 40.89 per share.,19304,789341
2024-07-17,Sale at price 64.96 per share.,19304,1253901
2024-07-26,Sale at price 66.96 per share.,37787,2530250
2024-07-26,Conversion of Exercise of derivative security at price 40.89 - 44.48 per share.,37787,1611368
2024-08-02,Sale at price 68.95 per share.,18482,1274334
2024-08-02,Conversion of Exercise of derivative security at price 45.44 per share.,38653,1756199
2024-08-02,Sale at price 69.01 per share.,38653,2667370
2024-08-02,Conversion of Exercise of derivative security at price 44.48 per share.,18482,821987
2024-08-06,Conversion of Exercise of derivative security at price 48.08 per share.,58122,2794215
2024-08-06,Sale at price 68.51 per share.,58122,3981839
2024-08-07,Conversion of Exercise of derivative security at price 40.89 per share.,7038,287784
