date,transactionType,shares,value
2024-03-01,Sale at price 51.97 per share.,200000,10394860
2024-05-07,Stock Award(Grant) at price 0.00 per share.,3709,0
2024-05-07,Stock Award(Grant) at price 0.00 per share.,3709,0
2024-05-07,Stock Award(Grant) at price 0.00 per share.,3709,0
2024-05-07,Stock Award(Grant) at price 0.00 per share.,3709,0
2024-05-07,Sale at price 44.50 per share.,867,38578
2024-05-07,Stock Award(Grant) at price 0.00 - 46.55 per share.,6641,136471
2024-05-07,Stock Award(Grant) at price 0.00 per share.,3709,0
2024-05-07,Sale at price 44.50 per share.,867,38579
2024-05-07,Stock Award(Grant) at price 0.00 per share.,7867,0
2024-05-30,Purchase at price 41.79 per share.,483,20208
2024-07-22,Stock Award(Grant) at price 0.00 per share.,2919,0
2024-07-26,Purchase at price 39.91 per share.,2500,99764
2024-07-26,Purchase at price 39.70 per share.,7600,301713
2024-07-29,Purchase at price 39.75 per share.,2500,99375
2024-07-29,Purchase at price 39.88 per share.,2500,99700
2024-12-11,Stock Award(Grant) at price 0.00 per share.,1741,0
2024-12-16,Stock Award(Grant) at price 37.72 per share.,1477,55720
2024-12-16,Stock Award(Grant) at price 37.72 per share.,3711,139997
2025-01-02,Sale at price 36.84 per share.,5000,184215
2025-02-03,Sale at price 36.14 per share.,5000,180677
2025-02-05,Stock Award(Grant) at price 0.00 per share.,1117,0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,1117,0
2025-02-20,Sale at price 41.66 per share.,10000,416600
2025-02-20,Stock Award(Grant) at price 0.00 per share.,12413,0
2025-02-21,Stock Award(Grant) at price 0.00 per share.,21043,0
2025-02-21,Stock Award(Grant) at price 0.00 per share.,7890,0
2025-02-21,Stock Award(Grant) at price 0.00 per share.,19478,0
2025-02-21,Stock Award(Grant) at price 0.00 per share.,80837,0
2025-02-21,Stock Award(Grant) at price 0.00 per share.,21894,0
2025-02-21,Stock Award(Grant) at price 0.00 per share.,4241,0
2025-02-21,Stock Award(Grant) at price 0.00 per share.,20597,0
2025-02-21,Stock Award(Grant) at price 0.00 per share.,13621,0
2025-02-21,Stock Award(Grant) at price 0.00 per share.,24860,0
2025-03-03,Sale at price 42.32 per share.,15000,634854
2025-04-01,Sale at price 42.15 per share.,15000,632254
2025-04-25,Purchase at price 36.99 per share.,2708,100178
2025-05-01,Sale at price 38.02 per share.,5000,190119
2025-05-07,Stock Award(Grant) at price 0.00 per share.,4176,0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,4176,0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,4176,0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,4176,0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,8857,0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,4176,0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,4176,0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,4176,0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,4176,0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,4176,0
2025-08-27,Purchase at price 31.50 per share.,5669,178574
2025-08-27,Purchase at price 31.95 per share.,5000,159773
2025-08-28,Purchase at price 32.12 per share.,15000,481756
2025-12-15,Stock Award(Grant) at price 0.00 per share.,4284,0
2025-12-15,Stock Award(Grant) at price 30.76 per share.,4685,144134
2025-12-15,Stock Award(Grant) at price 30.76 per share.,5429,167023
2026-02-20,Stock Award(Grant) at price 33.32 per share.,9003,300025
2026-02-20,Stock Award(Grant) at price 0.00 per share.,21606,0
2026-02-20,Stock Award(Grant) at price 33.32 per share.,97525,3250021
2026-02-20,Stock Award(Grant) at price 33.32 per share.,25507,850021
2026-02-20,Stock Award(Grant) at price 33.32 per share.,5252,175023
2026-02-20,Stock Award(Grant) at price 33.32 per share.,25507,850021
2026-02-20,Stock Award(Grant) at price 33.32 per share.,25507,850021
2026-02-20,Stock Award(Grant) at price 33.32 per share.,29258,975023
2026-02-20,Stock Award(Grant) at price 33.32 per share.,16205,540032
