date,transactionType,shares,value
2024-03-01,Stock Award(Grant) at price 0.00 per share.,570,0.0
2024-03-01,Stock Award(Grant) at price 0.00 per share.,4908,0.0
2024-03-01,Stock Award(Grant) at price 0.00 per share.,1061,0.0
2024-03-01,Stock Award(Grant) at price 0.00 per share.,1095,0.0
2024-03-01,Stock Award(Grant) at price 0.00 per share.,1164,0.0
2024-03-01,Stock Award(Grant) at price 0.00 per share.,1324,0.0
2024-03-01,Stock Award(Grant) at price 0.00 per share.,1592,0.0
2024-03-11,Sale at price 923.98 - 940.01 per share.,3452,3202737.0
2024-03-11,Conversion of Exercise of derivative security at price 490.92 - 598.81 per share.,4795,2601498.0
2024-03-11,Sale at price 924.26 - 939.93 per share.,4795,4449265.0
2024-03-19,Sale at price 913.99 - 922.41 per share.,11000,10100200.0
2024-04-01,Sale at price 972.03 per share.,647,628903.0
2024-04-01,Sale at price 972.03 per share.,882,857330.0
2024-04-29,Sale at price 921.54 per share.,60,55292.0
2024-05-03,Sale at price 908.21 per share.,400,363284.0
2024-06-27,Sale at price 1055.76 per share.,4409,4654846.0
2024-06-28,Sale at price 1057.79 - 1085.34 per share.,9650,10329237.0
2024-06-28,Sale at price 1074.96 - 1085.33 per share.,5604,6044106.0
2024-06-28,Conversion of Exercise of derivative security at price 145.73 per share.,19347,2819438.0
2024-06-28,Sale at price 1054.43 - 1073.98 per share.,13743,14665405.0
2024-07-01,Sale at price 1062.26 per share.,647,687282.0
2024-07-12,Sale at price 1056.99 per share.,1620,1712324.0
2024-08-05,Stock Award(Grant) at price 0.00 per share.,4707,0.0
2024-09-30,Stock Gift at price 0.00 per share.,182,0.0
2024-10-01,Sale at price 817.51 per share.,647,528929.0
2024-11-01,Sale at price 75.16 per share.,1660,124757.0
2024-11-04,Stock Gift at price 0.00 per share.,3690,0.0
2024-11-06,Stock Gift at price 0.00 per share.,28930,0.0
2024-11-08,Stock Award(Grant) at price 0.00 per share.,2950,0.0
2024-11-08,Stock Award(Grant) at price 0.00 per share.,2950,0.0
2024-11-08,Stock Award(Grant) at price 0.00 per share.,2950,0.0
2024-11-08,Stock Award(Grant) at price 0.00 per share.,2950,0.0
2024-11-08,Stock Award(Grant) at price 0.00 per share.,2950,0.0
2024-11-08,Stock Award(Grant) at price 0.00 per share.,2950,0.0
2024-11-08,Stock Award(Grant) at price 0.00 per share.,3687,0.0
2024-11-08,Stock Award(Grant) at price 0.00 per share.,2950,0.0
2024-11-08,Stock Award(Grant) at price 0.00 per share.,2950,0.0
2024-11-08,Stock Award(Grant) at price 0.00 per share.,3687,0.0
2025-02-04,,2881,
2025-02-04,,4805,
2025-02-04,,14542,
2025-02-04,,14542,
2025-02-04,,21637,
2025-02-04,,17309,
2025-02-05,,86548,
2025-02-20,Conversion of Exercise of derivative security at price 17.68 - 19.01 per share.,110080,1993296.0
2025-02-20,Sale at price 90.00 per share.,110080,9907200.0
2025-02-28,Stock Award(Grant) at price 0.00 per share.,8604,0.0
2025-02-28,Stock Award(Grant) at price 0.00 per share.,19913,0.0
2025-02-28,Stock Award(Grant) at price 0.00 per share.,31253,0.0
2025-02-28,Stock Award(Grant) at price 0.00 per share.,20467,0.0
2025-02-28,Stock Award(Grant) at price 0.00 per share.,19360,0.0
2025-02-28,Stock Award(Grant) at price 0.00 per share.,33435,0.0
2025-02-28,Stock Award(Grant) at price 0.00 per share.,27043,0.0
2025-02-28,Stock Award(Grant) at price 0.00 per share.,118500,0.0
2025-04-08,Purchase at price 63.66 per share.,9,602.0
2025-10-13,Sale at price 138.90 per share.,52190,7249191.0
2025-10-27,Conversion of Exercise of derivative security at price 77.04 per share.,6010,463004.0
2025-10-27,Sale at price 157.46 - 157.48 per share.,9010,1418775.0
2025-11-03,Sale at price 159.99 per share.,1298,207667.0
2025-11-06,Stock Gift at price 0.00 per share.,2950,0.0
2025-11-07,Stock Award(Grant) at price 0.00 per share.,1635,0.0
2025-11-07,Stock Award(Grant) at price 0.00 per share.,1635,0.0
2025-11-07,Stock Award(Grant) at price 0.00 per share.,1635,0.0
2025-11-07,Stock Award(Grant) at price 0.00 per share.,1635,0.0
2025-11-07,Sale at price 159.52 per share.,30,4786.0
2025-11-07,Stock Award(Grant) at price 0.00 per share.,1635,0.0
2025-11-07,Stock Award(Grant) at price 0.00 per share.,1635,0.0
2025-11-07,Stock Award(Grant) at price 0.00 per share.,1635,0.0
2025-11-07,Stock Award(Grant) at price 0.00 per share.,1635,0.0
2025-11-07,Stock Award(Grant) at price 0.00 per share.,1635,0.0
2025-11-07,Stock Award(Grant) at price 0.00 per share.,1635,0.0
2025-11-10,Stock Gift at price 0.00 per share.,1622,0.0
2025-11-14,Sale at price 150.60 per share.,40080,6036048.0
2025-12-17,Conversion of Exercise of derivative security at price 17.68 per share.,113300,2002578.0
2025-12-17,Sale at price 163.86 per share.,163300,26758338.0
2026-02-03,,63345,
2026-02-03,,76920,
2026-02-03,,9045,
2026-02-03,,53925,
2026-02-03,,21570,
2026-02-03,,49770,
2026-02-04,,271530,
2026-02-06,Stock Award(Grant) at price 0.00 per share.,1141,0.0
2026-02-06,Sale at price 220.95 - 230.00 per share.,35000,7896150.0
