date,transactionType,shares,value
2024-02-26,Stock Gift at price 0.00 per share.,223,0.0
2024-03-22,Sale at price 284.38 per share.,1099,312534.0
2024-04-23,Sale at price 276.64 per share.,1098,303751.0
2024-05-10,Sale at price 275.02 per share.,800,220016.0
2024-05-17,,12239,
2024-05-22,,9939,
2024-05-23,Sale at price 265.13 per share.,1099,291378.0
2024-05-28,,7253,
2024-06-21,Sale at price 260.00 per share.,1098,285480.0
2024-07-03,Conversion of Exercise of derivative security at price 97.15 per share.,1498,145531.0
2024-07-03,Sale at price 248.26 per share.,1498,371893.0
2024-07-23,Sale at price 260.00 per share.,1099,285740.0
2024-08-23,Sale at price 288.70 per share.,1098,316993.0
2024-08-30,,4149,
2024-09-03,Sale at price 286.36 per share.,1498,428967.0
2024-09-03,Conversion of Exercise of derivative security at price 97.15 per share.,1498,145531.0
2024-09-16,Conversion of Exercise of derivative security at price 97.15 per share.,1325,128724.0
2024-09-16,Sale at price 300.00 per share.,1325,397500.0
2024-09-16,Sale at price 300.00 per share.,3934,1180200.0
2024-09-23,Conversion of Exercise of derivative security at price 97.15 per share.,5939,576974.0
2024-09-23,Sale at price 300.04 per share.,5939,1781938.0
2024-09-23,Sale at price 298.57 per share.,1099,328128.0
2024-09-24,Sale at price 300.00 - 300.03 per share.,18356,5507152.0
2024-09-27,Conversion of Exercise of derivative security at price 112.11 per share.,9291,1041614.0
2024-09-27,Sale at price 305.00 per share.,9291,2833755.0
2024-10-14,Sale at price 310.00 per share.,2346,727260.0
2024-10-14,Conversion of Exercise of derivative security at price 157.79 per share.,2346,370175.0
2024-10-23,Sale at price 292.38 per share.,1099,321326.0
2024-11-01,Sale at price 294.51 per share.,1499,441470.0
2024-11-01,Conversion of Exercise of derivative security at price 97.15 per share.,1499,145628.0
2024-11-25,Sale at price 292.50 per share.,1099,321458.0
2024-12-23,Sale at price 291.10 per share.,1099,319919.0
2024-12-31,Sale at price 289.63 - 290.15 per share.,6817,1976180.0
2025-01-02,Conversion of Exercise of derivative security at price 97.15 per share.,1499,145628.0
2025-01-02,Sale at price 290.95 per share.,1499,436134.0
2025-01-23,Sale at price 280.75 per share.,300,84225.0
2025-02-11,Sale at price 310.05 per share.,10500,3255525.0
2025-02-13,Sale at price 307.41 per share.,9200,2828172.0
2025-02-13,,3935,
2025-02-13,Conversion of Exercise of derivative security at price 266.20 per share.,13922,2449040.0
2025-02-14,,38600,
2025-02-14,,3427,
2025-02-14,,5921,
2025-02-14,,1524,
2025-02-14,,1555,
2025-02-14,,5874,
2025-02-14,,8057,
2025-02-14,,11748,
2025-02-14,,10909,
2025-02-19,Sale at price 300.76 per share.,3200,962432.0
2025-02-21,Sale at price 304.33 per share.,1500,456495.0
2025-02-21,Sale at price 304.60 per share.,1099,334871.0
2025-02-24,Sale at price 308.71 per share.,10459,3228798.0
2025-02-24,Conversion of Exercise of derivative security at price 128.09 - 174.15 per share.,10459,1704997.0
2025-02-24,Sale at price 305.00 per share.,939,286395.0
2025-02-27,Sale at price 309.27 per share.,1000,309270.0
2025-03-24,Sale at price 306.30 per share.,939,287616.0
2025-04-23,Sale at price 318.50 per share.,939,299072.0
2025-05-07,Stock Gift at price 0.00 per share.,31842,0.0
2025-05-20,Conversion of Exercise of derivative security at price 253.39 per share.,6000,1520340.0
2025-05-20,Sale at price 319.66 per share.,6000,1917960.0
2025-05-23,Sale at price 315.07 per share.,939,295851.0
2025-06-23,Sale at price 288.52 per share.,939,270920.0
2025-07-10,Sale at price 300.00 per share.,1000,300000.0
2025-07-23,Sale at price 299.49 per share.,939,281221.0
2025-08-01,Sale at price 303.50 per share.,976,296216.0
2025-08-06,Sale at price 310.00 per share.,2487,770970.0
2025-08-07,,1014,
2025-08-11,,3100,
2025-08-19,Sale at price 310.00 per share.,1000,310000.0
2025-08-20,Conversion of Exercise of derivative security at price 157.79 per share.,4692,740351.0
2025-08-20,Sale at price 315.00 per share.,4716,1485540.0
2025-08-29,,5902,
2025-09-02,Sale at price 315.00 per share.,1000,315000.0
2025-10-14,Stock Gift at price 0.00 per share.,8789,0.0
2025-11-05,Conversion of Exercise of derivative security at price 253.39 - 266.20 per share.,13134,3373538.0
2025-11-05,Sale at price 300.42 per share.,13134,3945716.0
2025-11-14,Sale at price 305.82 per share.,3195,977095.0
2025-11-20,Stock Gift at price 0.00 per share.,690,0.0
2025-11-21,Conversion of Exercise of derivative security at price 116.73 per share.,17134,2000052.0
2025-11-21,Sale at price 310.00 per share.,17134,5311540.0
2025-12-01,Conversion of Exercise of derivative security at price 266.20 per share.,6567,1748135.0
2025-12-01,Sale at price 305.50 per share.,6567,2006218.0
2025-12-12,Sale at price 315.00 per share.,658,207270.0
2025-12-16,Sale at price 320.00 per share.,2486,795520.0
2026-01-12,Conversion of Exercise of derivative security at price 157.79 per share.,2626,414357.0
2026-01-12,Sale at price 306.58 per share.,2626,805079.0
2026-02-10,Conversion of Exercise of derivative security at price 157.79 per share.,2626,414357.0
2026-02-10,Sale at price 325.25 per share.,2626,854106.0
2026-02-12,Sale at price 331.00 per share.,4692,1553052.0
2026-02-13,,7495,
2026-02-13,,4146,
2026-02-13,,2790,
2026-02-13,,3509,
2026-02-13,,6778,
2026-02-13,,6379,
2026-02-13,,2347,
2026-02-13,,3009,
2026-02-13,Sale at price 331.35 - 333.54 per share.,52553,17470981.0
2026-02-13,Conversion of Exercise of derivative security at price 128.09 per share.,73281,6731514.0
2026-02-13,Conversion of Exercise of derivative security at price 157.79 per share.,6686,740351.0
2026-02-13,,5980,
