date,transactionType,shares,value
2024-05-22,Stock Gift at price 0.00 per share.,9300,0
2024-06-03,Stock Award(Grant) at price 0.00 per share.,1797,0
2024-06-05,Stock Award(Grant) at price 0.00 per share.,781,0
2024-06-05,Stock Award(Grant) at price 0.00 per share.,781,0
2024-06-05,Stock Award(Grant) at price 0.00 per share.,781,0
2024-06-05,Stock Award(Grant) at price 0.00 per share.,903,0
2024-06-05,Stock Award(Grant) at price 0.00 per share.,781,0
2024-06-05,Stock Award(Grant) at price 0.00 per share.,781,0
2024-06-05,Stock Award(Grant) at price 0.00 per share.,781,0
2024-06-05,Stock Award(Grant) at price 0.00 per share.,781,0
2024-06-05,Stock Award(Grant) at price 0.00 per share.,781,0
2024-06-07,Sale at price 199.48 per share.,500,99740
2024-08-08,Sale at price 231.63 per share.,617,142916
2024-08-13,Sale at price 240.01 per share.,900,216009
2024-08-14,Sale at price 241.13 per share.,1692,407992
2024-09-06,Sale at price 259.39 per share.,1000,259390
2024-11-14,Sale at price 267.40 - 273.78 per share.,50000,13503229
2024-12-02,Stock Gift at price 0.00 per share.,381,0
2024-12-09,Sale at price 240.57 per share.,300,72171
2024-12-31,Stock Award(Grant) at price 0.00 per share.,275,0
2025-01-29,Stock Award(Grant) at price 0.00 per share.,436,0
2025-01-29,Stock Award(Grant) at price 0.00 per share.,1622,0
2025-01-29,Stock Award(Grant) at price 0.00 per share.,859,0
2025-01-29,Stock Award(Grant) at price 0.00 per share.,559,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,2244,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,6202,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,2867,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,324,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,4259,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,3740,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,2488,0
2025-02-28,Stock Award(Grant) at price 0.00 per share.,215,0
2025-03-03,Stock Gift at price 0.00 per share.,12480,0
2025-03-20,Stock Gift at price 0.00 per share.,12480,0
2025-04-01,Stock Award(Grant) at price 0.00 per share.,232,0
2025-05-14,Sale at price 210.44 per share.,1189,250213
2025-05-15,Stock Gift at price 0.00 per share.,250,0
2025-06-04,Stock Award(Grant) at price 0.00 per share.,784,0
2025-06-04,Stock Award(Grant) at price 0.00 per share.,784,0
2025-06-04,Stock Award(Grant) at price 0.00 per share.,784,0
2025-06-04,Stock Award(Grant) at price 0.00 per share.,784,0
2025-06-04,Stock Award(Grant) at price 0.00 per share.,784,0
2025-06-04,Stock Award(Grant) at price 0.00 per share.,784,0
2025-06-04,Stock Award(Grant) at price 0.00 per share.,784,0
2025-06-04,Stock Award(Grant) at price 0.00 per share.,784,0
2025-06-04,Stock Award(Grant) at price 0.00 per share.,784,0
2025-06-04,Stock Award(Grant) at price 0.00 per share.,1475,0
2025-06-11,Sale at price 224.77 per share.,2000,449540
2025-08-13,Stock Gift at price 0.00 per share.,3656,0
2025-09-08,Sale at price 186.59 per share.,1600,298544
2025-09-12,Sale at price 185.32 per share.,1494,276868
2025-10-01,Stock Award(Grant) at price 0.00 per share.,26017,0
2025-11-25,Stock Gift at price 0.00 per share.,7466,0
2025-12-12,Sale at price 177.85 per share.,100,17785
2026-01-12,Sale at price 168.63 per share.,100,16863
2026-02-10,Sale at price 171.91 per share.,100,17191
2026-02-13,Stock Award(Grant) at price 0.00 per share.,3680,0
2026-02-13,Stock Award(Grant) at price 0.00 per share.,8284,0
2026-02-13,Stock Award(Grant) at price 0.00 per share.,1766,0
2026-02-13,Stock Award(Grant) at price 0.00 per share.,5005,0
2026-02-13,Stock Award(Grant) at price 0.00 per share.,3633,0
2026-02-13,Stock Award(Grant) at price 0.00 per share.,5355,0
