date,transactionType,shares,value
2024-02-15,Stock Award(Grant) at price 196.90 per share.,177,35000.0
2024-02-15,Stock Award(Grant) at price 196.90 per share.,177,35000.0
2024-02-15,Stock Award(Grant) at price 196.90 per share.,209,41153.0
2024-02-28,,25526,
2024-02-28,,28930,
2024-02-28,,3274,
2024-02-28,,20422,
2024-02-28,,8510,
2024-02-28,,3078,
2024-02-28,,2157,
2024-02-28,,5675,
2024-02-28,,6240,
2024-02-28,,3557,
2024-02-28,,8510,
2024-02-29,Sale at price 201.90 per share.,1021,206143.0
2024-03-04,Sale at price 200.79 per share.,2536,509203.0
2024-03-04,Sale at price 200.79 per share.,12494,2508670.0
2024-03-05,Conversion of Exercise of derivative security at price 118.86 per share.,2000,237730.0
2024-03-05,Sale at price 201.63 per share.,9128,1840436.0
2024-03-05,Sale at price 200.79 - 202.00 per share.,4338,873652.0
2024-03-06,Conversion of Exercise of derivative security at price 73.20 - 83.05 per share.,15913,1279211.0
2024-03-06,Sale at price 203.38 - 203.58 per share.,14685,2987316.0
2024-03-07,Sale at price 203.67 per share.,1505,306523.0
2024-03-08,Conversion of Exercise of derivative security at price 73.20 per share.,9994,731511.0
2024-03-08,Sale at price 205.00 per share.,9994,2048770.0
2024-03-14,Sale at price 209.16 per share.,1461,305583.0
2024-05-15,Stock Award(Grant) at price 204.95 per share.,201,41195.0
2024-05-15,Stock Award(Grant) at price 204.95 per share.,170,34999.0
2024-05-15,Stock Award(Grant) at price 204.95 per share.,170,34999.0
2024-05-17,Conversion of Exercise of derivative security at price 118.86 per share.,1000,118865.0
2024-05-17,Sale at price 210.13 per share.,2169,455772.0
2024-05-31,Stock Award(Grant) at price 206.06 per share.,970,199873.0
2024-05-31,Stock Award(Grant) at price 206.06 per share.,970,199873.0
2024-05-31,Stock Award(Grant) at price 206.06 per share.,970,199999.0
2024-05-31,Stock Award(Grant) at price 206.06 per share.,970,199999.0
2024-05-31,Stock Award(Grant) at price 206.06 per share.,970,199873.0
2024-06-13,Sale at price 209.00 - 209.03 per share.,6000,1254070.0
2024-06-13,Sale at price 209.00 - 209.03 per share.,6000,1254070.0
2024-07-15,,3552,
2024-07-16,Sale at price 220.00 per share.,2169,477180.0
2024-07-16,Conversion of Exercise of derivative security at price 118.86 per share.,1000,118865.0
2024-08-02,Sale at price 225.77 per share.,4101,925883.0
2024-08-02,Conversion of Exercise of derivative security at price 83.05 per share.,4101,340572.0
2024-08-05,Conversion of Exercise of derivative security at price 118.86 per share.,15465,1838247.0
2024-08-05,Sale at price 225.03 - 227.31 per share.,15465,3494264.0
2024-08-15,Stock Award(Grant) at price 219.25 per share.,159,35001.0
2024-08-15,Stock Award(Grant) at price 219.25 per share.,188,41219.0
2024-08-15,Sale at price 219.33 - 220.44 per share.,5000,1099428.0
2024-08-22,Conversion of Exercise of derivative security at price 118.86 per share.,50928,6053557.0
2024-08-22,Sale at price 225.22 per share.,50928,11470126.0
2024-09-05,Conversion of Exercise of derivative security at price 118.86 per share.,1000,118865.0
2024-09-05,Sale at price 232.00 per share.,2169,503208.0
2024-10-31,Sale at price 220.54 - 221.55 per share.,5000,1105225.0
2024-11-15,Stock Award(Grant) at price 223.62 per share.,156,35000.0
2024-11-15,Stock Award(Grant) at price 223.62 per share.,184,41145.0
2024-12-16,Conversion of Exercise of derivative security at price 215.32 per share.,6024,1297058.0
2024-12-16,Conversion of Exercise of derivative security at price 215.32 per share.,6024,1297058.0
2025-01-15,Conversion of Exercise of derivative security at price 212.08 per share.,5762,1222034.0
2025-02-14,Stock Award(Grant) at price 230.29 per share.,151,34999.0
2025-02-14,Stock Award(Grant) at price 230.29 per share.,179,41222.0
2025-02-28,,21472,
2025-02-28,,2949,
2025-02-28,,7928,
2025-02-28,,7928,
2025-02-28,,7928,
2025-02-28,,16518,
2025-02-28,,2315,
2025-02-28,,2094,
2025-02-28,,2812,
2025-02-28,,9910,
2025-03-03,Conversion of Exercise of derivative security at price 63.09 per share.,47506,1329937.0
2025-03-03,Sale at price 238.74 per share.,3649,871151.0
2025-03-03,Sale at price 237.05 per share.,21080,4997014.0
2025-03-04,Conversion of Exercise of derivative security at price 90.78 - 118.86 per share.,24476,2554970.0
2025-03-04,Sale at price 239.20 - 240.04 per share.,26476,6343334.0
2025-03-06,Conversion of Exercise of derivative security at price 117.53 - 118.86 per share.,9800,1158126.0
2025-03-06,Sale at price 234.84 - 235.60 per share.,10824,2545206.0
2025-03-10,Sale at price 234.97 per share.,10510,2469535.0
2025-03-10,Sale at price 234.97 per share.,7121,1673221.0
2025-03-10,Sale at price 234.97 per share.,1317,309455.0
2025-03-12,Conversion of Exercise of derivative security at price 57.32 - 200.47 per share.,66995,7767240.0
2025-03-12,Sale at price 230.16 per share.,49390,11367746.0
2025-03-17,,1227,
2025-03-31,Conversion of Exercise of derivative security at price 83.05 per share.,9569,794667.0
2025-03-31,Sale at price 245.00 per share.,9569,2344405.0
2025-04-03,Conversion of Exercise of derivative security at price 118.86 per share.,1000,118865.0
2025-04-03,Sale at price 246.00 per share.,2237,550302.0
2025-05-15,Stock Award(Grant) at price 222.22 per share.,157,35001.0
2025-05-15,Stock Award(Grant) at price 222.22 per share.,185,41110.0
2025-05-20,Stock Gift at price 0.00 per share.,218,0.0
2025-05-30,Stock Award(Grant) at price 231.27 per share.,929,214850.0
2025-05-30,Stock Award(Grant) at price 231.27 per share.,929,214850.0
2025-05-30,Stock Award(Grant) at price 231.27 per share.,929,214850.0
2025-06-02,Conversion of Exercise of derivative security at price 63.09 per share.,21080,1329937.0
2025-06-02,Sale at price 232.05 per share.,21080,4891614.0
2025-07-30,Purchase at price 201.02 - 202.20 per share.,1000,201612.0
2025-08-15,Stock Award(Grant) at price 208.06 per share.,204,42443.0
2025-09-02,Conversion of Exercise of derivative security at price 63.09 per share.,21079,1329874.0
2025-09-02,Sale at price 205.65 per share.,21079,4334896.0
2025-11-14,Stock Award(Grant) at price 183.28 per share.,231,42338.0
2025-12-01,Conversion of Exercise of derivative security at price 63.09 per share.,21079,1329874.0
2025-12-01,Sale at price 182.22 per share.,21079,3841015.0
