date,transactionType,shares,value
2024-04-17,Sale at price 90.09 per share.,11200,1009019
2024-04-18,Sale at price 90.21 per share.,100000,9020530
2024-05-14,Stock Gift at price 0.00 per share.,20000,0
2024-05-14,Sale at price 99.61 per share.,6954,692663
2024-05-31,Stock Award(Grant) at price 0.00 per share.,2675,0
2024-05-31,Stock Award(Grant) at price 0.00 per share.,2675,0
2024-05-31,Stock Award(Grant) at price 0.00 per share.,2675,0
2024-05-31,Stock Award(Grant) at price 0.00 per share.,2675,0
2024-05-31,Stock Award(Grant) at price 0.00 - 97.19 per share.,3395,70000
2024-05-31,Stock Award(Grant) at price 0.00 - 97.19 per share.,3704,100000
2024-05-31,Stock Award(Grant) at price 0.00 per share.,2675,0
2024-05-31,Stock Award(Grant) at price 0.00 per share.,2675,0
2024-05-31,Stock Award(Grant) at price 0.00 per share.,2675,0
2024-05-31,Stock Award(Grant) at price 0.00 per share.,2675,0
2024-05-31,Stock Award(Grant) at price 0.00 - 97.19 per share.,3189,50000
2024-07-17,Sale at price 106.62 - 106.63 per share.,1000,106621
2024-07-17,Sale at price 106.54 per share.,40000,4261768
2024-07-17,Sale at price 105.06 per share.,200000,21012300
2024-07-18,Sale at price 106.37 per share.,7500,797764
2024-07-19,Sale at price 104.00 per share.,15547,1616888
2024-07-24,Stock Gift at price 0.00 per share.,9700,0
2024-07-26,Sale at price 105.25 per share.,3500,368375
2024-10-17,Sale at price 119.17 per share.,60000,7150470
2024-11-29,Stock Award(Grant) at price 132.04 per share.,530,70000
2024-11-29,Stock Award(Grant) at price 132.04 per share.,757,100000
2024-11-29,Stock Award(Grant) at price 132.04 per share.,378,50000
2024-11-29,Stock Award(Grant) at price 132.04 per share.,378,50000
2024-12-31,Stock Award(Grant) at price 125.82 per share.,76,9583
2025-01-17,Stock Award(Grant) at price 0.00 per share.,29328,0
2025-01-17,Stock Award(Grant) at price 0.00 per share.,51256,0
2025-01-17,Stock Award(Grant) at price 0.00 per share.,43947,0
2025-01-17,Stock Award(Grant) at price 0.00 per share.,51256,0
2025-01-17,Stock Award(Grant) at price 0.00 per share.,22019,0
2025-01-17,Stock Award(Grant) at price 0.00 per share.,35632,0
2025-01-17,Stock Award(Grant) at price 0.00 per share.,23462,0
2025-01-17,Stock Award(Grant) at price 0.00 per share.,29328,0
2025-01-17,Stock Award(Grant) at price 0.00 per share.,43947,0
2025-01-17,Stock Gift at price 0.00 per share.,7101,0
2025-01-21,Sale at price 136.01 per share.,17500,2380175
2025-01-21,Sale at price 136.22 - 137.20 per share.,36631,5004069
2025-01-21,Sale at price 136.92 per share.,18391,2518164
2025-01-21,Stock Gift at price 0.00 per share.,1500,0
2025-01-21,Sale at price 136.20 per share.,13097,1783754
2025-01-21,Sale at price 136.07 - 137.61 per share.,30820,4204676
2025-01-22,Sale at price 138.06 per share.,8312,1147555
2025-01-22,Stock Gift at price 0.00 per share.,14030,0
2025-02-21,Stock Award(Grant) at price 0.00 per share.,27895,0
2025-02-21,Stock Award(Grant) at price 0.00 per share.,124351,0
2025-02-21,Stock Award(Grant) at price 0.00 per share.,64908,0
2025-02-21,Stock Award(Grant) at price 0.00 per share.,32453,0
2025-02-21,Stock Award(Grant) at price 0.00 per share.,44410,0
2025-02-21,Stock Award(Grant) at price 0.00 per share.,95655,0
2025-02-21,Stock Award(Grant) at price 0.00 per share.,15372,0
2025-04-14,Stock Gift at price 0.00 per share.,12468,0
2025-04-15,Sale at price 111.65 per share.,10068,1124093
2025-04-29,Stock Gift at price 0.00 per share.,1835,0
2025-05-02,Sale at price 119.32 per share.,800,95459
2025-05-02,Sale at price 120.00 per share.,40000,4799812
2025-05-12,Sale at price 127.37 per share.,29013,3695519
2025-05-30,Stock Award(Grant) at price 0.00 per share.,2155,0
2025-05-30,Stock Award(Grant) at price 0.00 per share.,2155,0
2025-05-30,Stock Award(Grant) at price 0.00 - 127.58 per share.,2606,57500
2025-05-30,Stock Award(Grant) at price 0.00 per share.,2155,0
2025-05-30,Stock Award(Grant) at price 0.00 - 127.58 per share.,2998,107500
2025-05-30,Stock Award(Grant) at price 0.00 per share.,2155,0
2025-05-30,Stock Award(Grant) at price 0.00 per share.,2155,0
2025-05-30,Stock Award(Grant) at price 0.00 per share.,2155,0
2025-05-30,Stock Award(Grant) at price 0.00 per share.,2155,0
2025-05-30,Stock Award(Grant) at price 0.00 per share.,2155,0
