date,transactionType,shares,value
2024-04-26,Stock Award(Grant) at price 0.00 per share.,4212,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,4212,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,4212,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,4212,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,4212,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,4212,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,4212,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,4212,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,4212,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,4212,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,4212,0
2024-04-30,Stock Award(Grant) at price 0.00 per share.,71358,0
2024-07-01,Sale at price 42.13 per share.,13000,547690
2024-07-01,Stock Award(Grant) at price 0.00 per share.,3552,0
2024-08-01,Sale at price 49.51 per share.,20000,990250
2024-08-14,Sale at price 49.15 per share.,1000,49150
2024-09-03,Sale at price 52.47 per share.,3000,157410
2024-09-03,Sale at price 52.47 per share.,20000,1049400
2024-10-01,Sale at price 53.81 per share.,20000,1076200
2024-10-01,Sale at price 53.81 per share.,3000,161430
2024-11-01,Sale at price 45.45 per share.,13000,590850
2024-11-01,Sale at price 45.45 per share.,3000,136350
2024-11-27,Purchase at price 42.15 per share.,9498,400335
2024-12-02,Sale at price 41.59 per share.,13000,540670
2024-12-02,Sale at price 41.59 per share.,3000,124770
2024-12-02,Sale at price 41.59 per share.,9000,374310
2025-01-10,Sale at price 40.00 per share.,2077,83080
2025-01-10,Sale at price 40.00 per share.,3000,120000
2025-01-10,Sale at price 40.00 per share.,9000,360000
2025-02-03,Sale at price 42.89 per share.,2077,89083
2025-02-03,Sale at price 42.89 per share.,3000,128670
2025-02-03,Sale at price 42.89 per share.,9000,386010
2025-02-24,Stock Award(Grant) at price 0.00 per share.,11353,0
2025-02-24,Stock Award(Grant) at price 0.00 per share.,71904,0
2025-02-24,Stock Award(Grant) at price 0.00 per share.,6244,0
2025-02-24,Stock Award(Grant) at price 0.00 per share.,24333,0
2025-02-24,Stock Award(Grant) at price 0.00 per share.,10596,0
2025-02-24,Stock Award(Grant) at price 0.00 per share.,12110,0
2025-02-24,Stock Award(Grant) at price 0.00 per share.,20435,0
2025-03-03,Sale at price 43.71 per share.,2077,90786
2025-03-03,Sale at price 43.71 per share.,3000,131130
2025-03-03,Sale at price 43.71 per share.,7799,340894
2025-04-01,Sale at price 48.46 per share.,2077,100651
2025-04-01,Sale at price 48.46 per share.,3000,145380
2025-05-01,Stock Award(Grant) at price 0.00 per share.,3495,0
2025-05-01,Stock Award(Grant) at price 0.00 per share.,12332,0
2025-05-01,Stock Award(Grant) at price 0.00 per share.,3495,0
2025-05-01,Stock Award(Grant) at price 0.00 per share.,3495,0
2025-05-01,Stock Award(Grant) at price 0.00 per share.,3495,0
2025-05-01,Stock Award(Grant) at price 0.00 per share.,3495,0
2025-05-01,Stock Award(Grant) at price 0.00 per share.,3495,0
2025-05-01,Stock Award(Grant) at price 0.00 per share.,3495,0
2025-05-01,Stock Award(Grant) at price 0.00 per share.,3495,0
2025-05-01,Stock Award(Grant) at price 0.00 per share.,3495,0
2025-05-01,Stock Award(Grant) at price 0.00 per share.,3495,0
2025-05-01,Sale at price 51.48 per share.,3000,154440
2025-05-01,Sale at price 51.48 per share.,2077,106924
2025-05-01,Stock Award(Grant) at price 0.00 per share.,3495,0
2025-06-02,Sale at price 54.09 per share.,2077,112345
2025-06-02,Sale at price 54.09 per share.,3000,162270
2025-07-01,Sale at price 58.75 per share.,3000,176250
2025-07-01,Sale at price 58.75 per share.,2077,122024
2025-07-28,Stock Award(Grant) at price 0.00 per share.,15708,0
2025-08-01,Sale at price 63.66 per share.,2077,132222
2025-08-01,Sale at price 63.66 per share.,3000,190980
2025-08-06,Sale at price 68.02 per share.,7015,477160
2025-09-02,Sale at price 74.59 per share.,2077,154923
2025-10-01,Sale at price 84.99 per share.,2080,176779
2025-11-03,Sale at price 80.96 per share.,2080,168397
2025-11-03,Sale at price 81.34 per share.,5000,406700
2025-12-01,Sale at price 92.36 per share.,2080,192109
