date,transactionType,shares,value
2024-07-01,Stock Award(Grant) at price 83.83 - 83.98 per share.,609,51147
2024-07-01,Stock Award(Grant) at price 83.83 per share.,81,6851
2024-07-01,Stock Award(Grant) at price 83.83 per share.,73,6136
2024-07-01,Stock Award(Grant) at price 83.83 - 83.98 per share.,674,56651
2024-08-09,Sale at price 84.06 per share.,5883,494525
2024-08-27,Sale at price 88.90 per share.,6000,533400
2024-09-13,Sale at price 88.12 per share.,1855,163463
2024-09-30,Stock Award(Grant) at price 90.03 per share.,305,27500
2024-10-01,Stock Award(Grant) at price 88.72 per share.,16,1457
2024-10-01,Stock Award(Grant) at price 88.72 per share.,90,8068
2024-10-01,Stock Award(Grant) at price 88.72 per share.,123,10981
2024-10-01,Stock Award(Grant) at price 88.72 - 90.03 per share.,575,51605
2024-10-01,Stock Award(Grant) at price 88.72 per share.,69,6190
2024-10-01,Stock Award(Grant) at price 88.72 - 90.03 per share.,637,57157
2024-10-01,Stock Award(Grant) at price 88.72 per share.,77,6911
2024-10-25,Sale at price 100.96 per share.,4338,437964
2024-10-25,Sale at price 102.26 per share.,19585,2002762
2024-10-25,Sale at price 100.86 per share.,4439,447718
2024-10-25,Conversion of Exercise of derivative security at price 70.21 per share.,19585,1375063
2024-10-25,Sale at price 100.50 - 100.52 per share.,27874,2801343
2024-10-25,Conversion of Exercise of derivative security at price 88.06 per share.,27874,2454584
2024-10-28,Stock Gift at price 0.00 per share.,500,0
2024-11-07,Sale at price 105.80 per share.,5000,529000
2024-11-07,Sale at price 105.18 per share.,16153,1698973
2024-11-29,Sale at price 111.00 - 111.01 per share.,9100,1010146
2024-12-31,Stock Award(Grant) at price 102.50 per share.,14,1469
2024-12-31,Stock Award(Grant) at price 102.50 per share.,79,8136
2024-12-31,Stock Award(Grant) at price 102.50 per share.,507,52037
2024-12-31,Stock Award(Grant) at price 102.50 per share.,60,6243
2024-12-31,Stock Award(Grant) at price 102.50 per share.,562,57633
2024-12-31,Stock Award(Grant) at price 102.50 per share.,68,6970
2024-12-31,Stock Award(Grant) at price 102.50 per share.,268,27500
2024-12-31,Stock Award(Grant) at price 102.50 per share.,108,11074
2025-01-22,Stock Award(Grant) at price 0.00 per share.,419,0
2025-01-29,Sale at price 112.36 per share.,26132,2936192
2025-01-29,Conversion of Exercise of derivative security at price 88.06 per share.,26132,2301184
2025-01-30,Sale at price 112.67 per share.,2237,252043
2025-01-30,Conversion of Exercise of derivative security at price 70.21 per share.,23739,1666715
2025-01-30,Conversion of Exercise of derivative security at price 70.21 per share.,2968,208383
2025-02-03,Sale at price 111.33 per share.,2262,251828
2025-02-04,Sale at price 111.44 per share.,900,100296
2025-02-05,Stock Award(Grant) at price 0.00 per share.,2783,0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,4740,0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,12640,0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,25850,0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,4978,0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,6384,0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,8819,0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,8814,0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,7737,0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,7358,0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,12411,0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,5519,0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,19012,0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,8278,0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,754,0
2025-02-18,Stock Award(Grant) at price 0.00 per share.,18190,0
2025-02-18,Stock Award(Grant) at price 0.00 per share.,828,0
2025-02-18,Stock Award(Grant) at price 0.00 per share.,2382,0
2025-02-18,Stock Award(Grant) at price 0.00 per share.,15592,0
2025-02-18,Stock Award(Grant) at price 0.00 per share.,24946,0
2025-02-18,Stock Award(Grant) at price 0.00 per share.,18709,0
2025-02-18,Stock Award(Grant) at price 0.00 per share.,1179,0
2025-02-18,Stock Award(Grant) at price 0.00 per share.,15592,0
2025-02-18,Stock Award(Grant) at price 0.00 per share.,63107,0
2025-02-18,Stock Award(Grant) at price 0.00 per share.,24946,0
2025-02-19,Sale at price 113.00 per share.,3804,429852
2025-02-28,Stock Award(Grant) at price 0.00 per share.,255,0
2025-04-01,Stock Award(Grant) at price 97.95 per share.,83,8197
2025-04-22,Stock Award(Grant) at price 0.00 - 97.95 per share.,1978,6946
2025-04-22,Stock Award(Grant) at price 0.00 - 97.95 per share.,2015,11157
2025-04-22,Stock Award(Grant) at price 0.00 - 98.65 per share.,2495,57885
2025-04-22,Stock Award(Grant) at price 0.00 per share.,1902,0
2025-04-22,Stock Award(Grant) at price 0.00 - 98.65 per share.,2549,63219
2025-04-22,Stock Award(Grant) at price 0.00 per share.,1902,0
2025-04-22,Stock Award(Grant) at price 0.00 - 97.95 per share.,2034,12488
2025-04-22,Stock Award(Grant) at price 0.00 - 102.50 per share.,2252,34111
2025-04-22,Stock Award(Grant) at price 0.00 - 97.95 per share.,2027,11756
2025-04-22,Stock Award(Grant) at price 0.00 per share.,1902,0
2025-04-22,Stock Award(Grant) at price 0.00 - 89.36 per share.,1905,315
2025-04-24,Purchase at price 91.62 per share.,112,10261
2025-05-08,Sale at price 99.95 per share.,3300,329835
2025-05-09,Sale at price 100.62 per share.,6467,650710
2025-05-12,Sale at price 105.55 per share.,5076,535772
2025-05-12,Sale at price 105.28 per share.,500,52640
2025-05-19,Stock Award(Grant) at price 0.00 per share.,11807,0
2025-05-22,Stock Gift at price 0.00 per share.,500,0
2025-05-22,Sale at price 104.84 per share.,5,528
2025-07-01,Stock Award(Grant) at price 126.79 - 127.99 per share.,282,35834
2025-07-01,Stock Award(Grant) at price 127.99 per share.,66,8488
2025-07-01,Stock Award(Grant) at price 126.79 - 127.99 per share.,493,62795
2025-07-01,Stock Award(Grant) at price 127.99 per share.,2,317
2025-07-01,Stock Award(Grant) at price 126.79 - 127.99 per share.,433,55193
2025-07-01,Stock Award(Grant) at price 127.99 per share.,87,11241
2025-07-01,Stock Award(Grant) at price 127.99 per share.,60,7750
2025-07-01,Stock Award(Grant) at price 127.99 per share.,22,2903
2025-07-30,Sale at price 129.37 - 132.50 per share.,21680,2833437
2025-07-31,Sale at price 131.21 per share.,7602,997458
2025-08-13,Purchase at price 126.34 per share.,256,32343
2025-08-25,Stock Gift at price 0.00 per share.,191,0
2025-09-09,Stock Gift at price 0.00 per share.,155,0
2025-10-01,Stock Award(Grant) at price 131.20 per share.,23,3115
2025-10-01,Stock Award(Grant) at price 131.20 per share.,91,12061
2025-10-01,Stock Award(Grant) at price 131.20 per share.,63,8314
2025-10-01,Stock Award(Grant) at price 131.20 - 134.60 per share.,489,65299
2025-10-01,Stock Award(Grant) at price 131.20 per share.,69,9107
2025-10-01,Stock Award(Grant) at price 131.20 - 134.60 per share.,277,37347
2025-10-01,Stock Award(Grant) at price 131.20 per share.,2,340
2025-10-01,Stock Award(Grant) at price 131.20 - 134.60 per share.,427,57027
2025-10-27,Purchase at price 126.66 per share.,270,34198
2025-11-04,Purchase at price 128.57 per share.,3891,500266
2025-11-04,Conversion of Exercise of derivative security at price 58.25 per share.,27591,1607176
2025-11-04,Sale at price 127.92 - 128.74 per share.,27591,3535326
2025-11-06,Sale at price 128.00 per share.,9376,1200128
2025-11-17,Sale at price 124.35 per share.,766,95252
2025-12-10,Stock Gift at price 0.00 per share.,1870,0
2025-12-11,Stock Gift at price 0.00 per share.,80,0
2025-12-11,Sale at price 139.03 per share.,5000,695150
2025-12-31,Stock Award(Grant) at price 136.59 per share.,61,8365
2025-12-31,Stock Award(Grant) at price 136.59 per share.,275,37568
2025-12-31,Stock Award(Grant) at price 136.59 per share.,67,9162
2025-12-31,Stock Award(Grant) at price 136.59 per share.,2,341
2025-12-31,Stock Award(Grant) at price 136.59 per share.,420,57371
2025-12-31,Stock Award(Grant) at price 136.59 per share.,88,12135
2025-12-31,Stock Award(Grant) at price 136.59 per share.,22,3135
2025-12-31,Stock Award(Grant) at price 136.59 per share.,480,65696
2026-01-26,Sale at price 149.62 per share.,25000,3740500
2026-01-29,Conversion of Exercise of derivative security at price 58.25 per share.,34489,2008984
2026-02-02,Purchase at price 151.85 per share.,245,37203
2026-02-05,Stock Award(Grant) at price 0.00 per share.,16850,0
