date,transactionType,shares,value
2024-05-03,,8623,
2024-05-08,,18285,
2024-05-08,,6849,
2024-05-08,,6849,
2024-05-08,,18285,
2024-05-08,,18285,
2024-05-08,,18285,
2024-05-08,,18285,
2024-05-10,Sale at price 8.04 per share.,50000,402000.0
2024-05-16,,72619,
2024-07-05,,145833,
2024-07-05,,87751,
2024-07-05,,87751,
2024-11-05,Sale at price 8.96 per share.,20000,179200.0
2024-12-04,,33272,
2024-12-06,Sale at price 10.31 per share.,23343,240666.0
2025-02-14,,118494,
2025-02-14,,48673,
2025-02-14,,35745,
2025-02-18,,228870,
2025-02-18,,56019,
2025-02-18,,56019,
2025-02-18,,76376,
2025-05-05,,4426,
2025-05-08,Stock Award(Grant) at price 0.00 per share.,24274,0.0
2025-05-08,Conversion of Exercise of derivative security at price 5.26 per share.,24274,127681.0
2025-05-08,,19441,
2025-05-08,,19441,
2025-05-08,,19441,
2025-05-08,Conversion of Exercise of derivative security at price 5.26 per share.,19441,102260.0
2025-05-16,,72619,
2025-05-30,Stock Award(Grant) at price 0.00 per share.,7286,0.0
2025-05-30,Conversion of Exercise of derivative security at price 5.30 per share.,7286,38616.0
2025-07-03,,40228,
2025-07-03,,175502,
2025-07-03,,175502,
2025-07-03,,291666,
2025-08-05,Sale at price 5.11 per share.,8800,44968.0
2025-12-04,,33272,
2026-02-17,,324387,
2026-02-17,,532903,
2026-02-17,,29251,
2026-02-17,,64265,
2026-02-17,,58591,
2026-02-17,,137200,
2026-02-17,,77996,
2026-02-17,,16064,
2026-02-17,,173441,
