date,transactionType,shares,value
2024-02-27,Stock Gift at price 0.00 per share.,6804,0.0
2024-02-27,Sale at price 439.15 - 446.20 per share.,7972,3524857.0
2024-02-28,Stock Gift at price 0.00 per share.,2468,0.0
2024-03-01,,2554,
2024-04-01,,5108,
2024-05-01,,5108,
2024-05-07,Stock Gift at price 0.00 per share.,1354,0.0
2024-05-15,Stock Award(Grant) at price 0.00 per share.,795,0.0
2024-05-15,Stock Award(Grant) at price 0.00 per share.,795,0.0
2024-05-15,Stock Award(Grant) at price 0.00 per share.,795,0.0
2024-05-15,Stock Award(Grant) at price 0.00 per share.,795,0.0
2024-05-15,Stock Award(Grant) at price 0.00 per share.,795,0.0
2024-05-15,Stock Award(Grant) at price 0.00 per share.,795,0.0
2024-05-15,Stock Award(Grant) at price 0.00 per share.,795,0.0
2024-05-15,Stock Award(Grant) at price 0.00 per share.,795,0.0
2024-05-15,Stock Award(Grant) at price 0.00 per share.,795,0.0
2024-05-15,Stock Award(Grant) at price 0.00 per share.,795,0.0
2024-05-17,Stock Gift at price 0.00 per share.,500,0.0
2024-06-03,,5108,
2024-07-01,,5108,
2024-07-29,Sale at price 200.92 - 204.10 per share.,25000,5050484.0
2024-07-30,Sale at price 205.55 per share.,550,113052.0
2024-08-01,,5108,
2024-08-26,Sale at price 200.29 - 204.16 per share.,29975,6033986.0
2024-08-30,Sale at price 190.19 - 195.17 per share.,20025,3858355.0
2024-08-30,,5108,
2024-10-01,,5108,
2024-10-28,Sale at price 200.07 per share.,7000,1400490.0
2024-11-01,,5108,
2024-11-06,Sale at price 226.30 per share.,60000,13578000.0
2024-11-08,Sale at price 225.44 per share.,3000,676320.0
2024-11-26,Stock Gift at price 0.00 per share.,44815,0.0
2024-11-29,,5108,
2025-01-02,,5108,
2025-01-31,,5108,
2025-02-12,Stock Gift at price 0.00 per share.,2632,0.0
2025-02-12,Stock Award(Grant) at price 0.00 per share.,3458,0.0
2025-02-12,Stock Award(Grant) at price 0.00 per share.,2703,0.0
2025-02-12,Stock Award(Grant) at price 0.00 per share.,3458,0.0
2025-02-12,Stock Award(Grant) at price 0.00 per share.,2760,0.0
2025-02-12,Stock Award(Grant) at price 0.00 per share.,2760,0.0
2025-02-12,Stock Award(Grant) at price 0.00 per share.,544,0.0
2025-02-12,Stock Award(Grant) at price 0.00 per share.,2703,0.0
2025-02-12,Stock Award(Grant) at price 0.00 per share.,2703,0.0
2025-02-12,Stock Award(Grant) at price 0.00 per share.,5268,0.0
2025-02-13,Sale at price 205.87 per share.,6414,1320450.0
2025-02-24,Stock Gift at price 0.00 per share.,2266,0.0
2025-02-25,Stock Gift at price 0.00 per share.,2704,0.0
2025-02-28,Purchase at price 175.93 per share.,2457,432260.0
2025-02-28,,5108,
2025-04-01,,5108,
2025-05-01,,5108,
2025-05-14,Stock Gift at price 0.00 per share.,29410,0.0
2025-05-21,Stock Award(Grant) at price 0.00 per share.,1029,0.0
2025-05-21,Stock Award(Grant) at price 0.00 per share.,1029,0.0
2025-05-21,Stock Award(Grant) at price 0.00 per share.,1029,0.0
2025-05-21,Stock Award(Grant) at price 0.00 per share.,1029,0.0
2025-05-21,Stock Award(Grant) at price 0.00 per share.,1029,0.0
2025-05-21,Stock Award(Grant) at price 0.00 per share.,1029,0.0
2025-05-21,Stock Award(Grant) at price 0.00 per share.,1029,0.0
2025-05-21,Stock Award(Grant) at price 0.00 per share.,1029,0.0
2025-05-21,Stock Award(Grant) at price 0.00 per share.,1029,0.0
2025-05-21,Stock Award(Grant) at price 0.00 per share.,1029,0.0
2025-05-30,,5103,
2025-07-01,,1538,
2025-08-01,,1538,
2025-08-21,Stock Gift at price 0.00 per share.,4840,0.0
2025-08-25,Stock Gift at price 0.00 per share.,22350,0.0
2025-08-29,,1538,
2025-10-01,,1538,
2025-10-31,,1538,
2025-12-01,,1535,
2026-02-09,Sale at price 196.43 per share.,12024,2361874.0
2026-02-11,Stock Award(Grant) at price 0.00 per share.,6243,0.0
2026-02-11,Stock Award(Grant) at price 0.00 per share.,3204,0.0
2026-02-11,Stock Award(Grant) at price 0.00 per share.,3204,0.0
2026-02-11,Stock Award(Grant) at price 0.00 per share.,1537,0.0
2026-02-11,Stock Award(Grant) at price 0.00 per share.,3272,0.0
2026-02-11,Stock Award(Grant) at price 0.00 per share.,4098,0.0
2026-02-11,Stock Award(Grant) at price 0.00 per share.,3204,0.0
2026-02-11,Stock Award(Grant) at price 0.00 per share.,4098,0.0
2026-02-11,Stock Award(Grant) at price 0.00 per share.,3272,0.0
2026-02-12,Stock Gift at price 0.00 per share.,3084,0.0
2026-02-18,Sale at price 194.27 per share.,3134,608842.0
2026-02-19,Sale at price 194.67 - 195.17 per share.,52000,10127840.0
2026-02-23,Stock Gift at price 0.00 per share.,30415,0.0
