date,transactionType,shares,value
2024-02-27,Sale at price 1062.60 - 1080.00 per share.,8944,9547396
2024-02-28,Conversion of Exercise of derivative security at price 240.54 per share.,1650,396891
2024-02-28,Sale at price 1081.05 per share.,1650,1783737
2024-02-28,Sale at price 1090.00 per share.,3500,3815000
2024-02-28,Conversion of Exercise of derivative security at price 240.31 per share.,3500,841085
2024-03-01,Conversion of Exercise of derivative security at price 272.21 per share.,86,23410
2024-03-01,Sale at price 1087.20 per share.,86,93499
2024-03-04,Sale at price 1077.92 per share.,32291,34806953
2024-03-04,Conversion of Exercise of derivative security at price 262.38 per share.,32291,8472513
2024-05-03,Sale at price 1015.00 per share.,6032,6122480
2024-05-03,Conversion of Exercise of derivative security at price 192.65 - 210.23 per share.,6032,1249965
2024-05-17,Stock Award(Grant) at price 1012.06 per share.,173,175086
2024-05-17,Stock Award(Grant) at price 1012.06 per share.,173,175086
2024-05-17,Stock Award(Grant) at price 1012.06 per share.,173,175086
2024-05-17,Stock Award(Grant) at price 1012.06 per share.,173,175086
2024-05-17,Stock Award(Grant) at price 1012.06 per share.,173,175086
2024-05-17,Stock Award(Grant) at price 1012.06 per share.,173,175086
2024-05-17,Stock Award(Grant) at price 1012.06 per share.,173,175086
2024-05-29,Sale at price 949.19 - 949.50 per share.,3000,2848046
2024-05-31,Sale at price 962.31 - 962.58 per share.,3000,2887331
2024-07-30,Conversion of Exercise of derivative security at price 271.65 - 272.21 per share.,413,112246
2024-07-30,Sale at price 1127.55 per share.,18264,20593553
2024-07-30,Sale at price 1122.75 per share.,1023,1148571
2024-07-30,Sale at price 1120.00 per share.,413,462560
2024-07-30,Conversion of Exercise of derivative security at price 256.34 per share.,18264,4681794
2024-07-30,Conversion of Exercise of derivative security at price 210.23 - 272.21 per share.,1023,246737
2024-07-31,Conversion of Exercise of derivative security at price 451.84 - 660.48 per share.,15364,8263387
2024-07-31,Sale at price 1136.16 per share.,15364,17455922
2024-08-06,Stock Gift at price 1105.52 - 1111.30 per share.,225,249395
2024-08-07,Sale at price 1109.76 per share.,48,53268
2024-08-14,Sale at price 1125.28 - 1125.73 per share.,23019,25910936
2024-08-14,Conversion of Exercise of derivative security at price 210.23 per share.,5000,1051150
2024-08-14,Sale at price 1125.38 per share.,5000,5626877
2024-08-15,Sale at price 1135.00 per share.,2000,2270000
2024-08-15,Conversion of Exercise of derivative security at price 240.54 per share.,2000,481080
2024-08-19,Sale at price 1119.52 per share.,13765,15410193
2024-08-19,Sale at price 1118.88 per share.,1000,1118880
2024-08-21,Sale at price 1141.07 - 1141.71 per share.,6500,7418531
2024-08-23,Stock Gift at price 1116.57 per share.,263,293658
2024-08-27,Sale at price 1125.00 per share.,1557,1751625
2024-08-27,Conversion of Exercise of derivative security at price 272.21 per share.,1557,423831
2024-11-05,Conversion of Exercise of derivative security at price 364.10 per share.,103,37502
2024-11-05,Sale at price 1157.56 per share.,103,119229
2024-11-11,Sale at price 1230.00 per share.,746,917580
2024-11-11,Sale at price 1230.00 per share.,5000,6150000
2024-11-14,Stock Gift at price 1224.40 per share.,40,48976
2024-11-22,Sale at price 1224.07 per share.,600,734442
2024-11-22,Stock Gift at price 1227.37 per share.,635,779380
2024-11-25,Sale at price 1240.39 per share.,620,769042
2024-11-25,Conversion of Exercise of derivative security at price 867.95 per share.,620,538129
2024-11-29,Sale at price 1245.36 per share.,1750,2179380
2024-11-29,Stock Gift at price 1243.22 per share.,82,101944
2024-11-29,Conversion of Exercise of derivative security at price 240.54 per share.,1750,420945
2025-01-30,Stock Award(Grant) at price 1310.16 per share.,325,425802
2025-01-30,Stock Award(Grant) at price 1310.16 per share.,282,369465
2025-02-11,Stock Gift at price 1323.94 per share.,880,1165067
2025-02-12,Conversion of Exercise of derivative security at price 271.65 per share.,500,135825
2025-02-12,Sale at price 1316.17 per share.,248,326410
2025-02-12,Sale at price 1325.00 per share.,500,662500
2025-02-13,Sale at price 1334.09 per share.,5000,6670447
2025-02-13,Sale at price 1335.31 per share.,3459,4618842
2025-02-13,Conversion of Exercise of derivative security at price 272.21 per share.,5000,1361050
2025-02-13,Conversion of Exercise of derivative security at price 364.10 - 368.08 per share.,3459,1264011
2025-02-19,Sale at price 1300.00 per share.,833,1082900
2025-02-19,Conversion of Exercise of derivative security at price 256.34 per share.,833,213531
2025-02-20,Sale at price 1303.68 per share.,1000,1303680
2025-02-24,Sale at price 1311.23 per share.,248,325184
2025-02-24,Sale at price 1309.30 per share.,3500,4582533
2025-02-25,Conversion of Exercise of derivative security at price 269.63 - 272.21 per share.,1992,537738
2025-02-25,Conversion of Exercise of derivative security at price 256.69 per share.,9000,2310210
2025-02-25,Sale at price 1339.10 per share.,1992,2667481
2025-02-25,Sale at price 1315.15 - 1322.44 per share.,9000,11879579
2025-02-26,Sale at price 1326.78 per share.,1524,2022017
2025-02-26,Stock Gift at price 1330.42 per share.,375,498908
2025-02-26,Conversion of Exercise of derivative security at price 240.54 - 250.51 per share.,1524,368078
2025-02-27,Sale at price 1344.31 per share.,86,115611
2025-02-27,Sale at price 1354.01 per share.,1557,2108197
2025-02-27,Conversion of Exercise of derivative security at price 269.63 per share.,1557,419814
2025-02-27,Conversion of Exercise of derivative security at price 269.63 per share.,86,23188
2025-05-16,Stock Award(Grant) at price 1381.66 per share.,131,180997
2025-05-16,Stock Award(Grant) at price 1381.66 per share.,131,180997
2025-05-16,Stock Award(Grant) at price 1381.66 per share.,131,180997
2025-05-16,Stock Award(Grant) at price 1381.66 per share.,131,180997
2025-05-16,Stock Award(Grant) at price 1381.66 per share.,131,180997
2025-05-16,Stock Award(Grant) at price 1381.66 per share.,131,180997
2025-05-19,Sale at price 1379.00 per share.,200,275800
2025-05-29,Sale at price 1351.91 per share.,19,25686
2025-05-30,Sale at price 1360.45 per share.,2000,2720900
2025-05-30,Stock Gift at price 1367.50 per share.,4905,6707588
2025-05-30,Conversion of Exercise of derivative security at price 247.38 per share.,2000,494760
2025-07-29,Sale at price 98.25 - 99.07 per share.,34555,3399179
2025-07-29,Conversion of Exercise of derivative security at price 18.11 per share.,29505,534336
2025-07-30,Stock Gift at price 99.38 per share.,1000,99380
2025-08-06,Sale at price 103.81 per share.,2000,207613
2025-08-13,Conversion of Exercise of derivative security at price 17.09 - 18.15 per share.,88485,1591709
2025-08-13,Sale at price 102.54 per share.,88485,9073040
2025-08-13,Sale at price 102.32 per share.,595,60877
2025-11-04,Sale at price 92.60 per share.,3125,289376
2025-11-18,Sale at price 100.00 per share.,3795,379500
2025-11-18,Conversion of Exercise of derivative security at price 18.15 per share.,3795,68879
2025-11-21,Stock Gift at price 100.43 per share.,7070,710040
2025-11-24,Stock Gift at price 99.00 per share.,1000,99000
2025-11-26,Sale at price 101.25 per share.,3500,354361
2025-11-26,Sale at price 101.31 per share.,2355,238585
2025-11-26,Conversion of Exercise of derivative security at price 17.98 per share.,3500,62930
2025-11-26,Conversion of Exercise of derivative security at price 16.71 per share.,2355,39352
2026-01-29,Stock Award(Grant) at price 98.85 per share.,4305,425549
2026-01-29,Stock Award(Grant) at price 98.85 per share.,3733,369007
