date,transactionType,shares,value
2024-04-24,Stock Award(Grant) at price 0.00 per share.,5864,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,7986,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,2563,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,1331,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,2922,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,3098,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,1980,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,1980,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,1866,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,477,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,3732,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,17211,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,3732,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,477,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,608,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,608,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,3732,0
2024-05-03,Sale at price 544.25 per share.,2058,1120066
2024-05-03,Conversion of Exercise of derivative security at price 158.90 - 166.49 per share.,1296,208386
2024-05-03,Sale at price 536.49 per share.,572,306872
2024-05-03,Sale at price 545.00 per share.,928,505760
2024-05-06,Sale at price 539.36 - 548.85 per share.,2279,1239441
2024-08-09,Sale at price 571.61 per share.,1413,807685
2024-08-09,Sale at price 567.09 per share.,1029,583536
2024-08-09,Sale at price 566.23 per share.,2058,1165301
2024-08-14,Conversion of Exercise of derivative security at price 209.56 per share.,1310,274524
2024-08-14,Sale at price 571.78 - 578.48 per share.,1815,1043368
2024-08-15,Sale at price 589.73 per share.,1751,1032617
2024-08-15,Sale at price 589.73 per share.,1751,1032617
2024-08-16,Sale at price 588.07 - 588.90 per share.,3233,1902878
2024-08-22,Sale at price 588.45 - 589.36 per share.,2641,1554460
2024-08-22,Conversion of Exercise of derivative security at price 166.49 per share.,6620,1102164
2024-08-26,Sale at price 592.92 per share.,850,503982
2024-10-23,Stock Award(Grant) at price 0.00 per share.,299,0
2024-10-23,Stock Award(Grant) at price 0.00 per share.,299,0
2024-11-01,Sale at price 635.15 per share.,187,118773
2024-11-01,Sale at price 631.04 per share.,5877,3708622
2024-11-01,Conversion of Exercise of derivative security at price 158.90 per share.,450,71505
2024-11-01,Conversion of Exercise of derivative security at price 296.00 - 406.32 per share.,7147,2375721
2024-11-04,Sale at price 635.37 per share.,1300,825981
2024-11-06,Sale at price 699.29 per share.,1551,1084599
2024-11-06,Sale at price 699.39 per share.,1762,1232325
2024-11-06,Conversion of Exercise of derivative security at price 209.56 per share.,4560,955594
2024-11-06,Sale at price 700.24 per share.,3945,2762447
2024-11-06,Sale at price 704.68 - 705.28 per share.,4906,3457196
2024-11-06,Conversion of Exercise of derivative security at price 209.56 per share.,10220,2141703
2024-11-06,Sale at price 704.58 - 705.99 per share.,3957,2791269
2024-11-06,Conversion of Exercise of derivative security at price 209.56 per share.,10220,2141703
2024-11-06,Sale at price 698.98 - 705.00 per share.,2430,1703826
2024-11-06,Conversion of Exercise of derivative security at price 158.90 per share.,5690,904141
2024-11-06,Sale at price 704.39 - 706.78 per share.,4864,3434180
2024-11-06,Conversion of Exercise of derivative security at price 158.90 per share.,11390,1809871
2024-11-06,Conversion of Exercise of derivative security at price 158.90 per share.,11390,1809871
2024-11-13,Stock Gift at price 0.00 per share.,3465,0
2024-11-15,Sale at price 697.91 - 701.46 per share.,1121,783983
2024-12-09,Stock Gift at price 0.00 per share.,20,0
2025-01-31,Sale at price 711.86 per share.,375,266948
2025-04-23,Stock Award(Grant) at price 0.00 per share.,2055,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,4094,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,24747,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,4094,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,4094,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,7910,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,2242,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,3478,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,7645,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,3577,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,1989,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,3278,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,4094,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,1426,0
2025-05-02,Sale at price 620.37 per share.,150,93056
2025-05-19,Conversion of Exercise of derivative security at price 209.56 per share.,1310,274524
2025-05-19,Sale at price 675.62 per share.,497,335783
2025-05-28,Sale at price 667.51 per share.,958,639475
