date,transactionType,shares,value
2024-03-01,,122,
2024-04-29,,1762,
2024-04-29,,1762,
2024-04-29,,1762,
2024-04-29,,1762,
2024-04-29,,1762,
2024-04-29,,1762,
2024-05-03,,253,
2024-05-09,,3416,
2024-08-19,,5451,
2024-08-23,Sale at price 129.07 per share.,5200,671164.0
2024-10-28,Sale at price 117.81 per share.,53,6291.0
2024-11-27,,3249,
2024-12-13,,390,
2025-01-17,,5441,
2025-01-31,,956,
2025-02-05,Sale at price 118.74 per share.,10997,1305784.0
2025-02-21,,491,
2025-05-02,,1617,
2025-05-02,,1617,
2025-05-02,,252,
2025-05-02,,1617,
2025-05-02,,1617,
2025-05-02,,1617,
2025-05-08,Conversion of Exercise of derivative security at price 105.04 per share.,29820,3132293.0
2025-05-30,,1824,
2025-08-19,Stock Award(Grant) at price 0.00 per share.,25000,0.0
2025-08-19,Conversion of Exercise of derivative security at price 110.76 per share.,25000,2769000.0
2025-08-26,Sale at price 111.33 per share.,25000,2783215.0
2025-09-03,Sale at price 111.00 per share.,1000,111000.0
2025-10-01,Sale at price 115.69 per share.,500,57845.0
2025-10-24,Sale at price 126.58 per share.,80000,10126544.0
2025-11-03,Sale at price 123.14 per share.,500,61570.0
2025-12-01,Sale at price 127.60 per share.,621,79240.0
2025-12-09,Stock Gift at price 0.00 per share.,1824,0.0
