date,transactionType,shares,value
2024-02-29,Sale at price 43.47 - 43.49 per share.,2677,116406
2024-03-06,Stock Gift at price 44.29 per share.,1194,52882
2024-03-12,Sale at price 46.00 per share.,5147,236762
2024-03-13,Sale at price 46.18 per share.,5000,230900
2024-04-26,Stock Award(Grant) at price 0.00 per share.,2228,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,2228,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,2228,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,2228,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,2228,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,2228,0
2024-04-26,Stock Award(Grant) at price 0.00 per share.,2228,0
2024-04-26,Sale at price 45.00 per share.,5000,225000
2024-04-26,Stock Award(Grant) at price 0.00 per share.,2228,0
2024-06-05,Sale at price 47.50 per share.,3331,158222
2024-06-07,Sale at price 47.20 per share.,12000,566400
2024-08-01,Sale at price 47.82 per share.,4686,224085
2024-08-02,Stock Gift at price 0.00 per share.,1000,0
2024-08-26,Stock Gift at price 0.00 per share.,1440,0
2024-09-03,Sale at price 50.74 per share.,4685,237717
2024-10-01,Sale at price 50.49 per share.,4685,236546
2024-11-07,Stock Gift at price 0.00 per share.,2000,0
2024-11-07,Stock Gift at price 0.00 per share.,8827,0
2024-11-12,Stock Gift at price 0.00 per share.,16500,0
2024-11-15,Sale at price 49.88 per share.,14750,735767
2024-12-11,Stock Gift at price 0.00 per share.,613,0
2024-12-13,Stock Gift at price 0.00 per share.,35714,0
2024-12-13,Stock Award(Grant) at price 48.77 per share.,10252,499990
2025-02-20,Stock Award(Grant) at price 0.00 per share.,33750,0
2025-02-20,Stock Award(Grant) at price 0.00 per share.,11750,0
2025-02-20,Stock Award(Grant) at price 0.00 per share.,14250,0
2025-02-20,Stock Award(Grant) at price 0.00 per share.,85750,0
2025-02-20,Stock Award(Grant) at price 0.00 per share.,11000,0
2025-02-21,Sale at price 51.18 per share.,13193,675218
2025-03-04,Sale at price 53.10 per share.,3224,171194
2025-03-10,Sale at price 51.78 per share.,1921,99469
2025-04-22,Stock Award(Grant) at price 0.00 per share.,2695,0
2025-04-22,Stock Award(Grant) at price 0.00 per share.,2695,0
2025-04-22,Stock Award(Grant) at price 0.00 per share.,2695,0
2025-04-22,Stock Award(Grant) at price 0.00 per share.,2695,0
2025-04-22,Stock Award(Grant) at price 0.00 per share.,2695,0
2025-04-22,Stock Award(Grant) at price 0.00 per share.,2695,0
2025-04-22,Stock Award(Grant) at price 0.00 per share.,2695,0
2025-04-22,Stock Award(Grant) at price 0.00 per share.,2695,0
2025-04-22,Stock Award(Grant) at price 0.00 per share.,2695,0
2025-04-30,Stock Gift at price 0.00 per share.,2200,0
2025-05-09,Sale at price 56.54 per share.,1921,108613
2025-05-29,Sale at price 56.77 per share.,40000,2270800
2025-06-05,Stock Gift at price 0.00 per share.,8574,0
2025-06-05,Stock Gift at price 0.00 per share.,3430,0
2025-06-05,Stock Gift at price 0.00 per share.,8574,0
2025-06-11,Sale at price 56.98 per share.,15000,854700
2025-07-24,Sale at price 58.04 per share.,30000,1741200
2025-08-20,Sale at price 57.13 per share.,1000,57130
2025-08-22,Stock Gift at price 0.00 per share.,23620,0
2025-11-10,Sale at price 56.93 per share.,19297383,1098600014
2025-11-10,Sale at price 56.93 per share.,20000000,1138600000
2025-11-10,Sale at price 56.93 per share.,20000000,1138600000
2025-11-14,Sale at price 57.77 per share.,2395,138359
2025-11-21,Stock Gift at price 0.00 per share.,707,0
2025-11-26,Stock Gift at price 0.00 per share.,3266,0
2025-12-12,Sale at price 59.73 per share.,2396,143113
2025-12-15,Sale at price 59.40 per share.,1520,90288
2026-01-09,Sale at price 60.06 per share.,2396,143904
2026-01-26,Sale at price 63.26 per share.,2151,136072
2026-01-26,Sale at price 63.26 per share.,19094,1207886
2026-01-26,Sale at price 63.26 per share.,887,56112
2026-01-26,Sale at price 63.26 per share.,4510,285303
2026-01-26,Sale at price 63.26 per share.,7538,476854
2026-01-28,Sale at price 62.83 per share.,5344,335764
2026-01-28,Sale at price 62.83 per share.,1307,82119
2026-01-28,Sale at price 62.83 per share.,323,20294
2026-01-28,Sale at price 62.83 per share.,1329,83501
2026-01-28,Sale at price 62.83 per share.,10355,650605
2026-02-10,Stock Award(Grant) at price 0.00 per share.,22090,0
2026-02-10,Stock Award(Grant) at price 0.00 per share.,6262,0
2026-02-10,Stock Award(Grant) at price 0.00 per share.,6319,0
2026-02-10,Stock Award(Grant) at price 0.00 per share.,34162,0
2026-02-10,Stock Award(Grant) at price 0.00 per share.,55060,0
2026-02-20,Stock Award(Grant) at price 0.00 per share.,12225,0
