date,transactionType,shares,value
2024-03-08,Conversion of Exercise of derivative security at price 85.47 per share.,1872,160000.0
2024-03-08,Sale at price 90.54 per share.,105,9507.0
2024-04-25,Sale at price 101.37 - 101.65 per share.,89762,9105531.0
2024-04-25,Conversion of Exercise of derivative security at price 71.01 - 85.47 per share.,365618,27999717.0
2024-04-26,Stock Award(Grant) at price 101.41 per share.,15895,1611912.0
2024-04-26,,3986,
2024-04-30,Sale at price 101.97 per share.,10294,1049732.0
2024-05-10,Conversion of Exercise of derivative security at price 71.62 - 90.73 per share.,112992,9844780.0
2024-05-10,Sale at price 105.72 per share.,19880,2101624.0
2024-07-26,Sale at price 114.83 - 114.92 per share.,17570,2018334.0
2024-07-26,Conversion of Exercise of derivative security at price 71.01 - 82.35 per share.,24351,1814479.0
2024-07-26,Sale at price 114.76 per share.,6741,773604.0
2024-07-26,Sale at price 114.96 per share.,8166,938766.0
2024-07-26,Conversion of Exercise of derivative security at price 71.01 per share.,5958,423078.0
2024-07-26,Sale at price 114.71 per share.,2270,260401.0
2024-07-29,Sale at price 113.65 per share.,12232,1390136.0
2024-07-29,Conversion of Exercise of derivative security at price 76.00 - 82.35 per share.,11918,925764.0
2024-07-29,Sale at price 113.84 - 113.91 per share.,6734,766864.0
2024-07-29,Conversion of Exercise of derivative security at price 71.01 per share.,11236,797868.0
2024-07-29,Sale at price 114.00 per share.,4235,482790.0
2024-07-30,Sale at price 115.43 per share.,4322,498908.0
2024-07-30,Conversion of Exercise of derivative security at price 71.01 per share.,11236,797868.0
2024-07-31,Sale at price 117.70 - 117.75 per share.,134887,15880937.0
2024-07-31,Conversion of Exercise of derivative security at price 76.00 - 82.35 per share.,400062,31220947.0
2024-10-01,,119,
2024-10-01,,103,
2025-02-05,Conversion of Exercise of derivative security at price 72.49 - 90.73 per share.,35218,2737505.0
2025-02-05,Sale at price 129.23 per share.,14031,1813291.0
2025-02-14,Stock Award(Grant) at price 122.41 per share.,49132,6014248.0
2025-02-14,Stock Award(Grant) at price 122.41 per share.,17551,2148418.0
2025-02-14,Stock Award(Grant) at price 122.41 per share.,2107,257918.0
2025-02-14,,3432,
2025-02-14,Stock Award(Grant) at price 122.41 per share.,19305,2363125.0
2025-02-14,Stock Award(Grant) at price 122.41 per share.,21060,2577955.0
2025-02-14,Stock Award(Grant) at price 122.41 per share.,2107,257918.0
2025-02-14,,3432,
2025-02-14,Stock Award(Grant) at price 122.41 per share.,107030,13101542.0
2025-02-14,Stock Award(Grant) at price 122.41 per share.,6320,773631.0
2025-02-14,,2961,
2025-02-14,Stock Award(Grant) at price 122.41 per share.,28078,3437028.0
2025-02-14,,3871,
2025-02-14,Stock Award(Grant) at price 122.41 per share.,2459,301006.0
2025-02-18,Conversion of Exercise of derivative security at price 75.79 per share.,8427,638682.0
2025-02-18,Sale at price 124.45 per share.,15700,1953939.0
2025-02-19,Sale at price 124.20 - 126.02 per share.,10368,1296828.0
2025-02-19,Sale at price 125.18 - 125.36 per share.,101668,12737149.0
2025-02-24,Sale at price 125.95 per share.,2872,361736.0
2025-02-25,Sale at price 126.81 - 126.83 per share.,19431,2464253.0
2025-02-25,Conversion of Exercise of derivative security at price 76.00 - 82.35 per share.,24527,1913779.0
2025-02-27,Sale at price 130.36 per share.,27379,3569135.0
2025-02-27,Sale at price 130.35 per share.,16118,2100933.0
2025-04-23,Purchase at price 117.90 per share.,200,23580.0
2025-05-06,Conversion of Exercise of derivative security at price 71.62 per share.,5734,410669.0
2025-05-06,Sale at price 127.49 - 127.57 per share.,4146,528777.0
2025-06-03,Sale at price 137.62 per share.,16922,2328763.0
2025-07-23,Sale at price 152.26 per share.,1462,222600.0
2025-07-24,Sale at price 156.20 per share.,8704,1359574.0
2025-08-04,Sale at price 157.82 per share.,12847,2027521.0
2025-08-04,Conversion of Exercise of derivative security at price 71.62 per share.,23500,1683070.0
2025-08-12,Sale at price 155.20 per share.,7654,1187908.0
2025-08-12,Conversion of Exercise of derivative security at price 90.73 - 94.04 per share.,18773,1725782.0
2025-08-27,Conversion of Exercise of derivative security at price 71.62 - 82.35 per share.,49808,3805919.0
2025-08-27,Sale at price 159.79 per share.,25968,4149390.0
2025-10-01,,351,
2025-10-01,,91,
2025-10-01,,268,
2025-10-24,Conversion of Exercise of derivative security at price 82.35 per share.,8938,736044.0
2025-10-24,Sale at price 180.15 per share.,4849,873528.0
2025-10-24,Sale at price 178.91 per share.,2800,500948.0
2025-10-27,Sale at price 178.32 per share.,4813,858278.0
2025-10-27,Conversion of Exercise of derivative security at price 82.35 per share.,8938,736044.0
2026-02-06,Stock Award(Grant) at price 198.66 per share.,42618,8466492.0
2026-02-06,Stock Award(Grant) at price 198.66 per share.,22433,4456540.0
2026-02-06,Stock Award(Grant) at price 198.66 per share.,3366,668690.0
2026-02-06,Stock Award(Grant) at price 198.66 per share.,26916,5347133.0
2026-02-06,Stock Award(Grant) at price 198.66 per share.,31405,6238917.0
2026-02-06,Stock Award(Grant) at price 198.66 per share.,89710,17821789.0
2026-02-06,,2442,
2026-02-06,Stock Award(Grant) at price 198.66 per share.,3366,668690.0
2026-02-06,,3941,
2026-02-06,Stock Award(Grant) at price 198.66 per share.,8074,1603981.0
2026-02-06,,2832,
2026-02-06,Stock Award(Grant) at price 198.66 per share.,3483,691933.0
2026-02-10,Conversion of Exercise of derivative security at price 72.49 - 90.73 per share.,18253,1222464.0
2026-02-10,Sale at price 195.03 per share.,8088,1577403.0
2026-02-12,Sale at price 199.16 per share.,17527,3490746.0
2026-02-13,Sale at price 200.67 - 201.31 per share.,8136,1637745.0
2026-02-19,Conversion of Exercise of derivative security at price 76.00 per share.,19394,1473944.0
2026-02-19,Sale at price 205.54 - 205.58 per share.,35755,7349900.0
2026-02-19,Sale at price 204.65 per share.,15124,3095124.0
2026-02-19,Conversion of Exercise of derivative security at price 76.00 per share.,31199,2371124.0
2026-02-19,Sale at price 203.57 - 205.26 per share.,63568,12955182.0
2026-02-23,Sale at price 202.83 per share.,12713,2578611.0
