date,transactionType,shares,value
2024-03-07,Conversion of Exercise of derivative security at price 186.85 - 227.05 per share.,975,199867
2024-03-11,Stock Gift at price 0.00 per share.,9422,0
2024-03-13,Sale at price 338.87 per share.,1563,529654
2024-03-13,Conversion of Exercise of derivative security at price 67.74 - 75.91 per share.,1563,111711
2024-04-05,Stock Award(Grant) at price 331.56 per share.,101,33749
2024-04-05,Stock Award(Grant) at price 331.56 per share.,30,10000
2024-04-05,Stock Award(Grant) at price 331.56 per share.,25,8438
2024-04-05,Stock Award(Grant) at price 331.56 per share.,101,33749
2024-07-05,Stock Award(Grant) at price 295.50 per share.,114,33752
2024-07-05,Stock Award(Grant) at price 295.50 per share.,114,33752
2024-07-05,Stock Award(Grant) at price 295.50 per share.,33,10000
2024-07-05,Stock Award(Grant) at price 295.50 per share.,28,8437
2024-07-30,Conversion of Exercise of derivative security at price 127.98 - 136.85 per share.,9320,1210514
2024-07-30,Sale at price 350.75 per share.,9320,3268990
2024-08-15,Sale at price 354.61 per share.,1833,650000
2024-08-15,Conversion of Exercise of derivative security at price 186.85 - 227.05 per share.,975,199867
2024-08-30,Conversion of Exercise of derivative security at price 136.85 - 227.05 per share.,116409,15970260
2024-08-30,Conversion of Exercise of derivative security at price 92.55 per share.,14520,1343826
2024-08-30,Sale at price 363.79 - 365.54 per share.,115969,42275050
2024-08-30,Sale at price 366.83 per share.,14520,5326372
2024-10-04,Stock Award(Grant) at price 372.47 per share.,90,33750
2024-10-04,Stock Award(Grant) at price 372.47 per share.,90,33750
2024-10-04,Stock Award(Grant) at price 372.47 per share.,26,10001
2024-10-04,Stock Award(Grant) at price 372.47 per share.,22,8436
2024-11-18,Conversion of Exercise of derivative security at price 79.85 per share.,2565,204815
2024-11-18,Sale at price 378.63 per share.,2565,971186
2024-11-21,Stock Gift at price 0.00 per share.,900,0
2024-11-21,Conversion of Exercise of derivative security at price 295.83 per share.,338,99991
2024-11-21,Conversion of Exercise of derivative security at price 136.85 - 227.05 per share.,1706,299904
2024-11-25,Conversion of Exercise of derivative security at price 136.85 - 295.83 per share.,5499,811022
2024-11-25,Sale at price 398.06 per share.,5161,2054388
2024-11-25,Stock Gift at price 0.00 per share.,543,0
2024-11-26,Conversion of Exercise of derivative security at price 136.85 per share.,16500,2258025
2024-11-26,Sale at price 397.92 per share.,15770,6275198
2024-11-26,Stock Gift at price 0.00 per share.,2465,0
