date,transactionType,shares,value
2024-04-12,Sale at price 263.63 per share.,15781,4160328.0
2024-04-12,,8110,
2024-04-19,Sale at price 263.25 per share.,4013,1056415.0
2024-05-01,,15730,
2024-05-01,,2828,
2024-05-01,,2344,
2024-05-01,,1787,
2024-05-01,,4257,
2024-05-01,,1287,
2024-05-01,,1228,
2024-05-01,,4387,
2024-05-03,,1934,
2024-05-03,Sale at price 255.50 per share.,3237,827043.0
2024-05-10,Sale at price 261.38 - 262.04 per share.,25000,6538563.0
2024-05-10,,25000,
2024-07-10,,463,
2024-07-10,,463,
2024-07-10,,463,
2024-07-10,,463,
2024-07-10,,208,
2024-07-10,,463,
2024-07-10,,463,
2024-07-10,,463,
2024-07-10,,463,
2024-07-10,,463,
2024-07-10,,463,
2024-07-10,,463,
2024-07-12,Sale at price 261.00 per share.,977,254997.0
2024-07-12,,977,
2024-07-26,Sale at price 252.43 per share.,1854,468009.0
2024-07-26,,1391,
2024-08-09,Sale at price 240.00 - 240.16 per share.,33680,8086494.0
2024-08-09,,33680,
2024-10-14,Sale at price 245.57 per share.,1510,370809.0
2024-10-14,,1119,
2024-10-16,Sale at price 242.00 - 243.40 per share.,119274,28908889.0
2024-10-16,Sale at price 242.00 - 243.40 per share.,119274,28908889.0
2024-10-29,Sale at price 237.24 per share.,7426,1761769.0
2024-11-13,Sale at price 240.38 per share.,59637,14335542.0
2024-11-13,Sale at price 240.38 per share.,59637,14335542.0
2024-11-13,Sale at price 240.38 per share.,59637,14335542.0
2024-11-13,Sale at price 240.38 per share.,59637,14335542.0
2024-11-13,Sale at price 240.38 per share.,59637,14335542.0
2024-11-13,Sale at price 239.00 per share.,330,78870.0
2024-11-14,Sale at price 242.99 per share.,36086,8768541.0
2024-11-14,Sale at price 243.58 per share.,25000,6089522.0
2024-11-14,,29550,
2024-11-14,,25000,
2024-11-20,Sale at price 241.00 per share.,660,159060.0
2024-11-20,Sale at price 241.00 per share.,660,159060.0
2024-11-20,Sale at price 241.00 per share.,660,159060.0
2024-11-20,Sale at price 241.00 per share.,660,159060.0
2025-01-17,Purchase at price 186.39 per share.,1000,186390.0
2025-05-01,,3350,
2025-05-01,,12772,
2025-05-01,,2405,
2025-05-01,,3452,
2025-05-01,,1019,
2025-05-01,,1913,
2025-05-01,,2047,
2025-05-13,Sale at price 188.54 per share.,3150,593901.0
2025-07-08,Purchase at price 169.62 - 171.27 per share.,2000,340886.0
2025-07-10,,503,
2025-07-10,,503,
2025-07-10,,503,
2025-07-10,,503,
2025-07-10,,503,
2025-07-10,,503,
2025-07-10,,503,
2025-07-10,,503,
2025-07-10,,503,
2025-07-10,,503,
2025-07-10,,503,
2025-07-21,Sale at price 169.00 per share.,821,138749.0
2026-02-17,Sale at price 153.78 per share.,555,85345.0
