date,transactionType,shares,value
2024-03-15,Purchase at price 106.04 per share.,13,1414
2024-03-28,Stock Award(Grant) at price 0.00 per share.,420,0
2024-03-28,Stock Award(Grant) at price 0.00 per share.,241,0
2024-05-03,Sale at price 120.06 per share.,3750,450225
2024-05-03,Conversion of Exercise of derivative security at price 72.10 per share.,3750,270375
2024-05-06,Sale at price 121.20 per share.,625,75750
2024-05-09,Stock Award(Grant) at price 0.00 per share.,1876,0
2024-05-09,Stock Award(Grant) at price 0.00 per share.,1876,0
2024-05-09,Stock Award(Grant) at price 0.00 per share.,1876,0
2024-05-09,Stock Award(Grant) at price 0.00 per share.,1876,0
2024-05-09,Stock Award(Grant) at price 0.00 per share.,1876,0
2024-05-09,Stock Award(Grant) at price 0.00 per share.,1876,0
2024-05-09,Stock Award(Grant) at price 0.00 per share.,1876,0
2024-05-20,Conversion of Exercise of derivative security at price 81.30 - 112.12 per share.,5005,479284
2024-05-20,Sale at price 135.00 - 140.00 per share.,5005,688880
2024-06-03,Sale at price 143.84 per share.,625,89900
2024-06-27,Stock Award(Grant) at price 0.00 per share.,321,0
2024-06-27,Stock Award(Grant) at price 0.00 per share.,186,0
2024-07-01,Sale at price 148.00 per share.,625,92500
2024-08-01,Sale at price 128.77 per share.,625,80481
2024-08-20,Sale at price 133.06 per share.,6153,818718
2024-09-03,Sale at price 133.49 per share.,625,83431
2024-09-11,Sale at price 130.00 per share.,3080,400400
2024-09-26,Stock Award(Grant) at price 0.00 per share.,345,0
2024-09-26,Stock Award(Grant) at price 0.00 per share.,200,0
2024-10-01,Conversion of Exercise of derivative security at price 81.30 per share.,789,64146
2024-10-01,Sale at price 132.80 per share.,3080,409024
2024-10-01,Sale at price 132.80 per share.,625,83000
2024-10-02,Sale at price 129.68 - 132.80 per share.,980,129548
2024-11-07,Sale at price 111.42 per share.,625,69638
2024-12-02,Sale at price 110.04 per share.,625,68775
2024-12-16,Sale at price 130.00 per share.,3080,400400
2024-12-18,Stock Award(Grant) at price 0.00 per share.,383,0
2024-12-18,Stock Award(Grant) at price 0.00 per share.,222,0
2025-01-02,Sale at price 126.76 per share.,625,79225
2025-01-03,Sale at price 130.00 per share.,3080,400400
2025-01-28,Sale at price 120.51 per share.,1789,215592
2025-01-28,Sale at price 120.51 per share.,107,12895
2025-01-28,Sale at price 120.51 per share.,407,49048
2025-01-28,Sale at price 120.51 per share.,407,49048
2025-01-28,Stock Award(Grant) at price 0.00 per share.,4014,0
2025-01-28,Stock Award(Grant) at price 0.00 per share.,6690,0
2025-01-28,Stock Award(Grant) at price 0.00 per share.,3345,0
2025-01-29,Sale at price 122.90 per share.,1477,181523
2025-01-29,Sale at price 122.90 per share.,76,9340
2025-01-29,Sale at price 122.90 per share.,5338,656040
2025-01-30,Sale at price 102.00 per share.,437,44574
2025-01-30,Sale at price 102.00 per share.,614,62628
2025-01-31,Stock Award(Grant) at price 0.00 per share.,8810,0
2025-01-31,Stock Award(Grant) at price 0.00 per share.,26773,0
2025-01-31,Stock Award(Grant) at price 0.00 per share.,3110,0
2025-01-31,Stock Award(Grant) at price 0.00 per share.,4794,0
2025-01-31,Stock Award(Grant) at price 0.00 per share.,1296,0
2025-01-31,Stock Award(Grant) at price 0.00 per share.,4319,0
2025-01-31,Stock Award(Grant) at price 0.00 per share.,4405,0
2025-02-03,Sale at price 112.58 per share.,625,70362
2025-02-04,Sale at price 111.49 per share.,445,49613
2025-02-04,Sale at price 111.49 per share.,216,24082
2025-02-04,Sale at price 111.49 per share.,1384,154302
2025-03-03,Sale at price 110.96 per share.,625,69350
2025-03-27,Stock Award(Grant) at price 0.00 per share.,554,0
2025-03-27,Stock Award(Grant) at price 0.00 per share.,320,0
2025-05-09,Stock Award(Grant) at price 0.00 per share.,2971,0
2025-05-09,Stock Award(Grant) at price 0.00 per share.,2971,0
