date,transactionType,shares,value
2024-02-27,Stock Award(Grant) at price 0.00 per share.,5160,0.0
2024-02-27,Stock Award(Grant) at price 0.00 per share.,5160,0.0
2024-02-27,Stock Award(Grant) at price 0.00 per share.,5160,0.0
2024-02-27,Stock Award(Grant) at price 0.00 per share.,5160,0.0
2024-03-07,Sale at price 37.48 per share.,3764,141084.0
2024-04-23,Stock Award(Grant) at price 0.00 per share.,3203,0.0
2024-07-23,Purchase at price 43.96 per share.,57300,2518908.0
2024-07-25,Sale at price 44.14 per share.,6688,295208.0
2024-09-13,,9961,
2024-11-25,Purchase at price 48.56 per share.,34180,1659781.0
2024-12-04,Sale at price 46.20 per share.,4966,229444.0
2025-02-12,Stock Award(Grant) at price 0.00 per share.,54831,0.0
2025-02-14,,2603,
2025-02-24,Stock Award(Grant) at price 0.00 per share.,5660,0.0
2025-02-24,Stock Award(Grant) at price 0.00 per share.,29786,0.0
2025-02-24,Stock Award(Grant) at price 0.00 per share.,21332,0.0
2025-02-24,Stock Award(Grant) at price 0.00 per share.,118747,0.0
2025-02-25,Stock Award(Grant) at price 0.00 per share.,3986,0.0
2025-02-25,Stock Award(Grant) at price 0.00 per share.,3986,0.0
2025-02-25,Stock Award(Grant) at price 0.00 per share.,3986,0.0
2025-02-25,Stock Award(Grant) at price 0.00 per share.,3986,0.0
2025-03-14,,4475,
2025-05-15,,13140,
2025-07-22,Sale at price 45.19 per share.,12540,566689.0
2025-10-23,Stock Gift at price 0.00 per share.,230,0.0
2025-11-25,Sale at price 46.45 per share.,5160,239682.0
2025-12-04,,247,
2026-01-26,Sale at price 50.13 per share.,13000,651664.0
2026-02-02,Sale at price 52.49 per share.,3500,183715.0
2026-02-12,Stock Award(Grant) at price 0.00 per share.,54831,0.0
2026-02-13,Stock Award(Grant) at price 0.00 per share.,11416,0.0
2026-02-13,,2604,
