date,transactionType,shares,value
2024-02-28,Stock Award(Grant) at price 0.00 per share.,10070,0
2024-02-28,Stock Award(Grant) at price 0.00 per share.,6714,0
2024-02-28,Stock Award(Grant) at price 0.00 per share.,806,0
2024-02-28,Stock Award(Grant) at price 0.00 per share.,4868,0
2024-02-28,Stock Award(Grant) at price 0.00 per share.,913,0
2024-02-28,Stock Award(Grant) at price 0.00 per share.,13616,0
2024-02-28,Stock Award(Grant) at price 0.00 per share.,6761,0
2024-02-28,Stock Award(Grant) at price 0.00 per share.,3222,0
2024-02-28,Stock Award(Grant) at price 0.00 per share.,35714,0
2024-03-04,Sale at price 288.30 per share.,5643,1626899
2024-03-04,Sale at price 288.33 per share.,2821,813373
2024-03-04,Sale at price 288.31 per share.,3763,1084917
2024-03-06,Sale at price 286.19 - 286.43 per share.,16772,4802330
2024-03-06,Sale at price 286.48 per share.,3762,1077728
2024-05-23,Stock Gift at price 0.00 per share.,500,0
2024-06-05,Conversion of Exercise of derivative security at price 105.28 per share.,8988,946257
2024-06-05,Conversion of Exercise of derivative security at price 62.53 - 70.22 per share.,19447,1337215
2024-06-05,Sale at price 321.33 - 321.34 per share.,19447,6248942
2024-06-05,Sale at price 318.67 - 321.41 per share.,8025,2568367
2024-06-05,Sale at price 321.30 per share.,8988,2887846
2024-06-05,Conversion of Exercise of derivative security at price 70.22 per share.,8025,563516
2024-06-07,Stock Award(Grant) at price 0.00 per share.,627,0
2024-06-07,Stock Award(Grant) at price 0.00 per share.,627,0
2024-06-07,Stock Award(Grant) at price 0.00 per share.,627,0
2024-06-07,Stock Award(Grant) at price 0.00 per share.,627,0
2024-06-07,Stock Award(Grant) at price 0.00 per share.,627,0
2024-06-07,Stock Award(Grant) at price 0.00 per share.,627,0
2024-06-07,Stock Award(Grant) at price 0.00 per share.,627,0
2024-06-07,Stock Award(Grant) at price 0.00 per share.,627,0
2024-06-07,Stock Award(Grant) at price 0.00 per share.,627,0
2024-06-07,Stock Award(Grant) at price 0.00 per share.,627,0
2024-06-07,Stock Award(Grant) at price 0.00 per share.,627,0
2024-08-06,Sale at price 321.25 per share.,29450,9460736
2024-08-06,Conversion of Exercise of derivative security at price 38.99 per share.,29450,1148256
2024-08-07,Sale at price 327.31 - 330.00 per share.,1805,593221
2024-11-04,Sale at price 376.62 per share.,13591,5118695
2024-11-04,Conversion of Exercise of derivative security at price 78.97 per share.,13591,1073281
2024-12-04,Sale at price 416.00 per share.,4329,1800868
2024-12-04,Conversion of Exercise of derivative security at price 78.97 per share.,4329,341861
2025-02-04,Stock Award(Grant) at price 0.00 per share.,1903,0
2025-02-04,Stock Award(Grant) at price 0.00 per share.,211,0
2025-02-04,Stock Award(Grant) at price 0.00 per share.,1815,0
2025-02-04,Stock Award(Grant) at price 0.00 per share.,4009,0
2025-02-04,Stock Award(Grant) at price 0.00 per share.,3538,0
2025-02-04,Stock Award(Grant) at price 0.00 per share.,806,0
2025-02-04,Sale at price 357.42 per share.,876,313100
2025-02-04,Sale at price 357.34 per share.,2754,984106
2025-02-04,Sale at price 357.44 per share.,514,183723
2025-02-04,Stock Award(Grant) at price 0.00 per share.,985,0
2025-02-04,Sale at price 357.61 per share.,198,70807
2025-02-10,Sale at price 358.12 per share.,318,113882
2025-02-10,Sale at price 358.17 per share.,2318,830239
2025-02-10,Sale at price 358.37 per share.,161,57698
2025-02-10,Sale at price 358.39 per share.,770,275963
2025-02-11,Sale at price 359.77 per share.,477,171608
2025-02-11,Sale at price 360.14 per share.,3120,1123623
2025-02-11,Sale at price 360.12 per share.,247,88949
2025-02-11,Sale at price 359.94 per share.,856,308108
2025-02-11,Sale at price 359.86 - 360.05 per share.,1194,429829
2025-03-03,Stock Award(Grant) at price 0.00 per share.,3683,0
2025-03-03,Stock Award(Grant) at price 0.00 per share.,4488,0
2025-03-03,Stock Award(Grant) at price 0.00 per share.,8419,0
2025-03-03,Stock Award(Grant) at price 0.00 per share.,14954,0
2025-03-03,Stock Award(Grant) at price 0.00 per share.,47854,0
2025-03-03,Stock Award(Grant) at price 0.00 per share.,718,0
2025-03-03,Stock Award(Grant) at price 0.00 per share.,5982,0
2025-03-05,Sale at price 346.96 per share.,8434,2926246
2025-03-05,Sale at price 346.95 per share.,3590,1245557
2025-03-05,Sale at price 350.00 per share.,3373,1180550
2025-03-05,Sale at price 346.95 per share.,26989,9363915
2025-03-05,Sale at price 346.99 per share.,3778,1310934
2025-04-30,Sale at price 380.00 per share.,3571,1356980
2025-04-30,Conversion of Exercise of derivative security at price 105.28 per share.,3571,375955
2025-05-02,Sale at price 400.00 per share.,8435,3374000
2025-05-02,Conversion of Exercise of derivative security at price 148.98 per share.,8435,1256646
2025-06-05,Stock Award(Grant) at price 0.00 per share.,465,0
2025-06-05,Stock Award(Grant) at price 0.00 per share.,465,0
2025-06-05,Stock Award(Grant) at price 0.00 per share.,465,0
2025-06-05,Stock Award(Grant) at price 0.00 per share.,465,0
