date,transactionType,shares,value
2024-04-12,Sale at price 147.60 - 149.54 per share.,90851,13494773
2024-04-12,Sale at price 147.60 - 149.54 per share.,90851,13494773
2024-04-12,Stock Gift at price 0.00 per share.,35785,0
2024-05-20,Stock Gift at price 150.90 per share.,3479,524981
2024-05-21,Sale at price 151.26 per share.,2500,378138
2024-05-30,Stock Award(Grant) at price 0.00 per share.,400,0
2024-05-30,Stock Award(Grant) at price 0.00 per share.,562,0
2024-05-30,Stock Award(Grant) at price 0.00 per share.,571,0
2024-05-30,Stock Award(Grant) at price 0.00 per share.,544,0
2024-05-30,Stock Award(Grant) at price 0.00 per share.,400,0
2024-05-30,Stock Award(Grant) at price 0.00 per share.,400,0
2024-05-30,Stock Award(Grant) at price 0.00 per share.,400,0
2024-05-30,Stock Award(Grant) at price 0.00 per share.,510,0
2024-05-30,Stock Award(Grant) at price 0.00 per share.,400,0
2024-05-31,Stock Gift at price 0.00 per share.,34493,0
2024-05-31,Stock Award(Grant) at price 0.00 per share.,69035,0
2024-05-31,Stock Award(Grant) at price 0.00 per share.,47376,0
2024-05-31,Sale at price 158.96 - 160.65 per share.,87561,13964923
2024-05-31,Sale at price 158.96 - 160.65 per share.,87561,13964923
2024-06-03,Sale at price 162.05 per share.,14321,2320747
2024-06-03,Stock Award(Grant) at price 0.00 per share.,516179,0
2024-06-03,Stock Award(Grant) at price 0.00 per share.,516179,0
2024-06-04,Sale at price 162.05 - 163.06 per share.,12745,2069647
2024-06-04,Stock Gift at price 165.96 per share.,11237,1864893
2024-06-06,Sale at price 167.12 per share.,218,36432
2024-06-14,Stock Gift at price 0.00 per share.,65,0
2024-08-16,Stock Award(Grant) at price 0.00 per share.,505,0
2024-08-16,Stock Award(Grant) at price 0.00 per share.,396,0
2024-08-16,Stock Award(Grant) at price 0.00 per share.,396,0
2024-08-16,Stock Award(Grant) at price 0.00 per share.,396,0
2024-08-16,Stock Award(Grant) at price 0.00 per share.,539,0
2024-08-16,Stock Award(Grant) at price 0.00 per share.,565,0
2024-08-16,Stock Award(Grant) at price 0.00 per share.,556,0
2024-08-16,Stock Award(Grant) at price 0.00 per share.,396,0
2024-08-16,Stock Award(Grant) at price 0.00 per share.,396,0
2024-08-19,Sale at price 149.83 per share.,191,28618
2024-09-03,Sale at price 158.14 per share.,1152,182177
2024-09-03,Sale at price 158.14 per share.,790,124931
2024-11-08,Sale at price 179.17 per share.,2000,358340
2024-11-08,Sale at price 174.00 - 179.17 per share.,4630,818545
2024-11-08,Sale at price 173.98 - 178.83 per share.,50071,8764907
2024-11-08,Sale at price 174.14 - 176.54 per share.,25000,4409901
2024-11-08,Stock Gift at price 0.00 per share.,12500,0
2024-11-14,Stock Award(Grant) at price 0.00 per share.,363,0
2024-11-14,Stock Award(Grant) at price 0.00 per share.,363,0
2024-11-14,Stock Award(Grant) at price 0.00 per share.,363,0
2024-11-14,Stock Award(Grant) at price 0.00 per share.,463,0
2024-11-14,Stock Award(Grant) at price 0.00 per share.,518,0
2024-11-14,Stock Award(Grant) at price 0.00 per share.,494,0
2024-11-14,Stock Award(Grant) at price 0.00 per share.,509,0
2024-11-14,Stock Award(Grant) at price 0.00 per share.,363,0
2024-11-15,Stock Award(Grant) at price 0.00 per share.,363,0
2024-11-19,Sale at price 184.70 per share.,20000,3694000
2024-12-02,Sale at price 187.64 per share.,1131,212221
2024-12-03,Sale at price 187.64 - 188.35 per share.,1395,262197
2025-02-14,Stock Award(Grant) at price 0.00 per share.,310,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,435,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,443,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,310,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,310,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,310,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,395,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,310,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,422,0
2025-02-25,Sale at price 207.32 - 210.16 per share.,33712,7016311
2025-03-03,Sale at price 211.24 per share.,577,121885
2025-03-03,Sale at price 211.24 per share.,829,175118
2025-03-06,Sale at price 214.20 per share.,173,37057
2025-05-28,Stock Award(Grant) at price 0.00 per share.,262,0
2025-05-28,Stock Award(Grant) at price 0.00 per share.,373,0
2025-05-28,Stock Award(Grant) at price 0.00 per share.,356,0
2025-05-28,Stock Award(Grant) at price 0.00 per share.,262,0
2025-05-28,Stock Award(Grant) at price 0.00 per share.,262,0
2025-05-28,Stock Award(Grant) at price 0.00 per share.,262,0
2025-05-28,Stock Award(Grant) at price 0.00 per share.,334,0
2025-05-28,Stock Award(Grant) at price 0.00 per share.,262,0
2025-05-28,Stock Award(Grant) at price 0.00 per share.,367,0
2025-05-30,Sale at price 224.97 - 226.45 per share.,216661,48910945
2025-05-30,Sale at price 224.97 - 226.45 per share.,216661,48910945
