date,transactionType,shares,value
2024-03-01,Stock Award(Grant) at price 0.00 per share.,1169,0
2024-04-29,Conversion of Exercise of derivative security at price 52.93 per share.,9990,528771
2024-04-29,Sale at price 179.12 per share.,9990,1789400
2024-04-30,Conversion of Exercise of derivative security at price 53.94 per share.,208000,11219520
2024-04-30,Sale at price 176.76 - 179.55 per share.,208000,37094276
2024-05-01,Conversion of Exercise of derivative security at price 53.94 per share.,10539,568474
2024-05-01,Sale at price 174.97 per share.,10539,1843964
2024-05-02,Conversion of Exercise of derivative security at price 53.94 per share.,208000,11219520
2024-05-02,Sale at price 174.44 - 178.53 per share.,208000,36532290
2024-05-03,Conversion of Exercise of derivative security at price 53.94 per share.,100440,5417734
2024-05-03,Sale at price 178.13 - 179.47 per share.,100440,17925682
2024-05-13,Stock Gift at price 0.00 per share.,201,0
2024-08-22,Conversion of Exercise of derivative security at price 79.26 - 130.52 per share.,18814,1938668
2024-08-22,Sale at price 205.71 per share.,21239,4369179
2024-08-23,Sale at price 208.45 - 209.27 per share.,2816,588301
2024-08-23,Conversion of Exercise of derivative security at price 104.41 - 110.15 per share.,7764,829185
2024-08-23,Sale at price 209.49 per share.,7764,1626479
2024-08-23,Sale at price 207.20 per share.,4532,939037
2024-08-26,Sale at price 208.90 per share.,3778,789215
2024-08-26,Stock Gift at price 0.00 per share.,32990,0
2024-08-26,Sale at price 209.32 - 209.54 per share.,1200,251324
2024-08-27,Conversion of Exercise of derivative security at price 52.93 - 79.26 per share.,4250,290778
2024-08-27,Sale at price 209.98 per share.,4250,892427
2024-08-29,Conversion of Exercise of derivative security at price 79.26 per share.,6065,480712
2024-08-29,Sale at price 211.90 - 212.67 per share.,6065,1288388
2024-08-29,Sale at price 213.08 per share.,4700,1001498
2024-08-29,Conversion of Exercise of derivative security at price 79.26 per share.,15165,1201978
2024-08-29,Sale at price 211.80 - 213.50 per share.,15165,3224484
2024-08-29,Conversion of Exercise of derivative security at price 110.15 per share.,12921,1423248
2024-08-29,Sale at price 213.72 per share.,12921,2761472
2024-10-25,Conversion of Exercise of derivative security at price 52.93 per share.,9990,528771
2024-10-25,Sale at price 208.80 per share.,9990,2085871
2024-11-06,Sale at price 214.83 per share.,4377,940296
2024-11-06,Sale at price 211.68 per share.,132,27941
2024-11-06,Conversion of Exercise of derivative security at price 53.94 per share.,132,7120
