date,transactionType,shares,value
2024-03-01,Stock Award(Grant) at price 0.00 per share.,4173,0
2024-03-01,Stock Award(Grant) at price 0.00 per share.,76100,0
2024-03-01,Stock Award(Grant) at price 0.00 per share.,5286,0
2024-03-01,Stock Award(Grant) at price 0.00 per share.,12399,0
2024-03-01,Stock Award(Grant) at price 0.00 per share.,1394,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,1756,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,1756,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,1756,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,1756,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,1756,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,1756,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,1756,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,1756,0
2024-04-24,Stock Award(Grant) at price 0.00 per share.,1756,0
2024-05-16,Sale at price 87.91 per share.,11870,1043491
2025-02-25,Sale at price 72.68 - 73.50 per share.,7451,543179
2025-02-25,Conversion of Exercise of derivative security at price 54.43 - 58.24 per share.,7451,426326
2025-02-28,Stock Award(Grant) at price 0.00 per share.,6970,0
2025-02-28,Stock Award(Grant) at price 0.00 per share.,321,0
2025-02-28,Stock Award(Grant) at price 0.00 per share.,4592,0
2025-02-28,Stock Award(Grant) at price 0.00 per share.,6560,0
2025-02-28,Stock Award(Grant) at price 0.00 per share.,1492,0
2025-02-28,Stock Award(Grant) at price 0.00 per share.,47232,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,2794,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,2794,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,2794,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,2794,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,2794,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,2794,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,2794,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,2794,0
2025-04-23,Stock Award(Grant) at price 0.00 per share.,2794,0
2025-07-25,Stock Gift at price 0.00 per share.,585,0
2025-07-25,Sale at price 79.36 - 79.40 per share.,28543,2265469
2025-07-25,Conversion of Exercise of derivative security at price 40.60 - 49.58 per share.,28543,1215061
2025-10-27,Purchase at price 80.94 per share.,22,1795
2026-02-13,Stock Award(Grant) at price 0.00 per share.,378,0
2026-02-13,Conversion of Exercise of derivative security at price 49.58 per share.,219619,10888710
2026-02-13,Conversion of Exercise of derivative security at price 51.56 per share.,19857,1023827
2026-02-13,Sale at price 98.15 - 99.66 per share.,219619,21612724
2026-02-13,Sale at price 98.70 per share.,19857,1959842
2026-02-13,Sale at price 98.68 per share.,7600,749968
2026-02-13,Stock Gift at price 0.00 per share.,2532,0
2026-02-13,Conversion of Exercise of derivative security at price 34.50 per share.,7600,262200
2026-02-17,Sale at price 97.96 - 98.68 per share.,29341,2881104
2026-02-17,Sale at price 98.84 per share.,28056,2773156
2026-02-17,Conversion of Exercise of derivative security at price 49.58 per share.,28056,1391016
2026-02-17,Conversion of Exercise of derivative security at price 40.60 - 54.43 per share.,17809,854440
