date,transactionType,shares,value
2024-03-08,Stock Award(Grant) at price 250.96 per share.,14,3727
2024-03-08,Stock Award(Grant) at price 250.96 per share.,13,3500
2024-03-08,Stock Award(Grant) at price 250.96 per share.,11,2800
2024-03-08,Stock Award(Grant) at price 250.96 per share.,9,2497
2024-04-10,Stock Award(Grant) at price 236.85 per share.,9,2223
2024-04-10,Stock Award(Grant) at price 236.85 per share.,27,6417
2024-04-10,Stock Award(Grant) at price 236.85 per share.,13,3121
2024-04-10,Stock Award(Grant) at price 236.85 per share.,10,2415
2024-04-10,Stock Award(Grant) at price 236.85 per share.,17,4052
2024-04-10,Stock Award(Grant) at price 236.85 per share.,12,2975
2024-04-10,Stock Award(Grant) at price 236.85 per share.,10,2543
2024-04-10,Stock Award(Grant) at price 236.85 per share.,16,3850
2024-05-10,Stock Award(Grant) at price 247.40 per share.,15,3850
2024-05-10,Stock Award(Grant) at price 247.40 per share.,10,2544
2024-05-10,Stock Award(Grant) at price 247.40 per share.,12,2975
2024-05-10,Stock Award(Grant) at price 247.40 per share.,7,1873
2024-05-10,Stock Award(Grant) at price 247.40 per share.,9,2415
2024-05-10,Stock Award(Grant) at price 247.40 per share.,8,2222
2024-05-10,Stock Award(Grant) at price 247.40 per share.,16,4051
2024-06-10,Stock Award(Grant) at price 228.95 per share.,11,2543
2024-06-10,Stock Award(Grant) at price 228.95 per share.,16,3850
2024-06-10,Stock Award(Grant) at price 228.95 per share.,12,2975
2024-06-10,Stock Award(Grant) at price 228.95 per share.,9,2223
2024-06-10,Stock Award(Grant) at price 228.95 per share.,10,2415
2024-06-10,Stock Award(Grant) at price 228.95 per share.,5,1248
2024-06-10,Stock Award(Grant) at price 228.95 per share.,17,4051
2024-07-10,Stock Award(Grant) at price 224.41 per share.,9,2223
2024-07-10,Stock Award(Grant) at price 224.41 per share.,5,1248
2024-07-10,Stock Award(Grant) at price 224.41 per share.,10,2415
2024-07-10,Stock Award(Grant) at price 224.41 per share.,18,4052
2024-07-10,Stock Award(Grant) at price 224.41 per share.,13,2975
2024-07-10,Stock Award(Grant) at price 224.41 per share.,11,2543
2024-07-10,Stock Award(Grant) at price 224.41 per share.,10,2450
2024-07-30,Sale at price 243.15 - 247.40 per share.,3552,875905
2024-08-09,Stock Award(Grant) at price 237.52 per share.,12,2972
2024-08-09,Stock Award(Grant) at price 237.52 per share.,10,2543
2024-08-09,Stock Award(Grant) at price 237.52 per share.,5,1248
2024-08-09,Stock Award(Grant) at price 237.52 per share.,10,2415
2024-08-09,Stock Award(Grant) at price 237.52 per share.,12,2975
2024-08-09,Stock Award(Grant) at price 237.52 per share.,9,2222
2024-09-10,Stock Award(Grant) at price 252.58 per share.,8,2222
2024-09-10,Stock Award(Grant) at price 252.58 per share.,4,1248
2024-09-10,Stock Award(Grant) at price 252.58 per share.,9,2415
2024-09-10,Stock Award(Grant) at price 252.58 per share.,3,814
2024-09-10,Stock Award(Grant) at price 252.58 per share.,2,525
2024-09-10,Stock Award(Grant) at price 252.58 per share.,10,2543
2024-10-10,Stock Award(Grant) at price 238.82 per share.,9,2222
2024-10-10,Stock Award(Grant) at price 238.82 per share.,5,1248
2024-10-10,Stock Award(Grant) at price 238.82 per share.,8,2030
2024-10-10,Stock Award(Grant) at price 238.82 per share.,3,814
2024-10-10,Stock Award(Grant) at price 238.82 per share.,3,747
2024-11-08,Stock Award(Grant) at price 241.49 per share.,4,1172
2024-11-08,Stock Award(Grant) at price 241.49 per share.,5,1248
2024-11-08,Stock Award(Grant) at price 241.49 per share.,3,814
2024-12-03,Stock Gift at price 0.00 per share.,300,0
2024-12-10,Stock Award(Grant) at price 237.09 per share.,3,814
2024-12-10,Stock Award(Grant) at price 237.09 per share.,5,1249
2024-12-12,Stock Gift at price 0.00 per share.,86,0
2025-01-07,Stock Gift at price 0.00 per share.,5935,0
2025-01-10,Stock Award(Grant) at price 225.21 per share.,5,1248
2025-01-10,Stock Award(Grant) at price 225.21 per share.,3,814
2025-01-24,Conversion of Exercise of derivative security at price 161.57 per share.,7500,1211775
2025-01-24,Sale at price 250.00 per share.,7500,1875000
2025-01-27,Conversion of Exercise of derivative security at price 161.57 - 186.11 per share.,6495,1140907
2025-01-27,Sale at price 252.00 per share.,6495,1636740
2025-01-28,Conversion of Exercise of derivative security at price 124.86 per share.,3500,437010
2025-02-06,Stock Award(Grant) at price 0.00 per share.,13552,0
2025-02-06,Stock Award(Grant) at price 0.00 per share.,8624,0
2025-02-06,Stock Award(Grant) at price 0.00 per share.,19712,0
2025-02-06,Stock Award(Grant) at price 0.00 per share.,73920,0
2025-02-06,Stock Award(Grant) at price 0.00 per share.,14784,0
2025-02-06,Stock Award(Grant) at price 0.00 per share.,11134,0
2025-02-06,Stock Award(Grant) at price 0.00 per share.,3204,0
2025-02-10,Stock Award(Grant) at price 244.33 per share.,32,7875
2025-02-10,Stock Award(Grant) at price 244.33 per share.,9,2223
2025-02-10,Stock Award(Grant) at price 244.33 per share.,5,1248
2025-02-10,Stock Award(Grant) at price 244.33 per share.,16,4052
2025-02-10,Stock Award(Grant) at price 244.33 per share.,28,7083
2025-02-10,Stock Award(Grant) at price 244.33 per share.,10,2543
2025-02-10,Stock Award(Grant) at price 244.33 per share.,15,3850
2025-02-10,Stock Award(Grant) at price 244.33 per share.,9,2415
2025-03-10,Stock Award(Grant) at price 248.29 per share.,15,3850
2025-03-10,Stock Award(Grant) at price 248.29 per share.,28,7083
2025-03-10,Stock Award(Grant) at price 248.29 per share.,16,4051
2025-03-10,Stock Award(Grant) at price 248.29 per share.,10,2543
2025-03-10,Stock Award(Grant) at price 248.29 per share.,5,1248
2025-03-10,Stock Award(Grant) at price 248.29 per share.,31,7875
2025-03-10,Stock Award(Grant) at price 248.29 per share.,8,2222
2025-03-10,Stock Award(Grant) at price 248.29 per share.,9,2415
2025-04-25,Stock Gift at price 0.00 per share.,1000,0
2025-05-09,Stock Award(Grant) at price 216.32 per share.,11,2489
2025-05-09,Stock Award(Grant) at price 216.32 per share.,20,4395
2025-05-09,Stock Award(Grant) at price 216.32 per share.,8,1872
2025-05-09,Stock Award(Grant) at price 216.32 per share.,12,2646
2025-05-09,Stock Award(Grant) at price 216.32 per share.,18,4083
2025-06-10,Stock Award(Grant) at price 226.60 per share.,15,3500
