date,transactionType,shares,value
2024-02-29,Stock Award(Grant) at price 0.00 per share.,47664,0
2024-02-29,Stock Award(Grant) at price 0.00 per share.,47664,0
2024-02-29,Stock Award(Grant) at price 0.00 per share.,23832,0
2024-02-29,Stock Award(Grant) at price 0.00 per share.,104862,0
2024-02-29,Stock Award(Grant) at price 0.00 per share.,41945,0
2024-02-29,Stock Award(Grant) at price 0.00 per share.,47664,0
2024-02-29,Stock Award(Grant) at price 0.00 per share.,17159,0
2024-02-29,Stock Award(Grant) at price 0.00 per share.,14299,0
2024-02-29,Stock Award(Grant) at price 0.00 per share.,16683,0
2024-02-29,Stock Award(Grant) at price 0.00 per share.,23832,0
2024-02-29,Stock Award(Grant) at price 0.00 per share.,23832,0
2024-02-29,Stock Award(Grant) at price 0.00 per share.,25739,0
2024-02-29,Stock Award(Grant) at price 0.00 per share.,38132,0
2024-05-06,Stock Award(Grant) at price 0.00 per share.,14347,0
2024-07-18,Purchase at price 44.99 per share.,10000,449900
2024-10-17,Sale at price 49.74 per share.,35000,1741040
2024-10-18,Sale at price 49.03 per share.,25000,1225750
2025-02-03,Conversion of Exercise of derivative security at price 39.49 - 44.32 per share.,66317,2752574
2025-02-03,Sale at price 46.96 per share.,66317,3114114
2025-02-03,Sale at price 47.10 per share.,3209,151144
2025-02-03,Conversion of Exercise of derivative security at price 39.49 - 44.32 per share.,3209,132143
2025-02-04,Conversion of Exercise of derivative security at price 44.32 per share.,102044,4522590
2025-02-04,Sale at price 47.25 per share.,102044,4821681
2025-02-05,Sale at price 47.65 per share.,21451,1022140
2025-02-05,Conversion of Exercise of derivative security at price 44.32 per share.,22451,995028
2025-02-06,Sale at price 47.59 per share.,30000,1427610
2025-02-11,Stock Award(Grant) at price 0.00 per share.,43841,0
2025-02-11,Stock Award(Grant) at price 0.00 per share.,26979,0
2025-02-11,Stock Award(Grant) at price 0.00 per share.,16187,0
2025-02-11,Stock Award(Grant) at price 0.00 per share.,35073,0
2025-02-11,Stock Award(Grant) at price 0.00 per share.,56656,0
2025-02-11,Stock Award(Grant) at price 0.00 per share.,134896,0
2025-02-11,Stock Award(Grant) at price 0.00 per share.,26979,0
2025-02-27,Stock Award(Grant) at price 0.00 per share.,86430,0
2025-02-27,Stock Award(Grant) at price 0.00 per share.,13829,0
2025-02-27,Stock Award(Grant) at price 0.00 per share.,28522,0
2025-02-27,Stock Award(Grant) at price 0.00 per share.,22472,0
2025-02-27,Stock Award(Grant) at price 0.00 per share.,95073,0
2025-02-27,Stock Award(Grant) at price 0.00 per share.,99395,0
2025-02-27,Stock Award(Grant) at price 0.00 per share.,13829,0
2025-02-27,Stock Award(Grant) at price 0.00 per share.,44944,0
2025-02-27,Stock Award(Grant) at price 0.00 per share.,25065,0
2025-02-27,Stock Award(Grant) at price 0.00 per share.,22472,0
2025-02-27,Stock Award(Grant) at price 0.00 per share.,25929,0
2025-02-27,Stock Award(Grant) at price 0.00 per share.,19015,0
2025-02-27,Stock Award(Grant) at price 0.00 per share.,17286,0
2025-02-27,Stock Award(Grant) at price 0.00 per share.,13829,0
2025-03-07,Sale at price 43.68 per share.,2237,97701
2025-04-21,Purchase at price 37.32 per share.,5000,186600
2025-06-09,Stock Gift at price 0.00 per share.,341,0
2025-07-21,Sale at price 46.40 per share.,19903,923400
2025-07-21,Sale at price 46.34 per share.,23727,1099438
2025-07-30,Stock Gift at price 0.00 per share.,5000,0
2025-10-20,Sale at price 46.86 per share.,26909,1261010
2025-10-20,Conversion of Exercise of derivative security at price 39.49 per share.,140445,5546173
2025-10-20,Conversion of Exercise of derivative security at price 39.49 per share.,29428,1162112
2025-10-20,Sale at price 46.34 per share.,140445,6508924
2026-02-03,Stock Gift at price 0.00 per share.,4500,0
2026-02-03,Sale at price 58.43 per share.,17204,1005230
2026-02-06,Sale at price 60.65 per share.,32195,1952562
2026-02-06,Conversion of Exercise of derivative security at price 55.01 per share.,15339,843798
2026-02-11,Stock Award(Grant) at price 0.00 per share.,51423,0
2026-02-11,Stock Award(Grant) at price 0.00 per share.,34526,0
2026-02-11,Stock Award(Grant) at price 0.00 per share.,32323,0
2026-02-11,Stock Award(Grant) at price 0.00 per share.,19099,0
2026-02-11,Stock Award(Grant) at price 0.00 per share.,41138,0
2026-02-11,Stock Award(Grant) at price 0.00 per share.,154269,0
2026-02-11,Stock Award(Grant) at price 0.00 per share.,32323,0
