date,transactionType,shares,value
2024-05-02,Stock Award(Grant) at price 0.00 per share.,2696,0.0
2024-05-02,Stock Award(Grant) at price 0.00 per share.,2696,0.0
2024-05-02,Stock Award(Grant) at price 0.00 per share.,2696,0.0
2024-05-02,Stock Award(Grant) at price 0.00 per share.,2696,0.0
2024-05-02,Stock Award(Grant) at price 0.00 per share.,2696,0.0
2024-05-02,Stock Award(Grant) at price 0.00 per share.,2696,0.0
2024-05-02,Stock Award(Grant) at price 0.00 per share.,2696,0.0
2024-05-02,Stock Award(Grant) at price 0.00 per share.,2696,0.0
2024-05-13,Sale at price 98.05 per share.,2000,196100.0
2024-05-28,Sale at price 94.39 per share.,2446,230878.0
2024-09-11,Stock Gift at price 0.00 per share.,60000,0.0
2024-09-16,Sale at price 78.73 per share.,2650,208634.0
2025-01-07,Stock Award(Grant) at price 0.00 per share.,15385,0.0
2025-01-07,Stock Award(Grant) at price 0.00 per share.,27222,0.0
2025-01-07,Stock Award(Grant) at price 0.00 per share.,30565,0.0
2025-01-07,Stock Award(Grant) at price 0.00 per share.,106429,0.0
2025-01-30,Stock Award(Grant) at price 0.00 per share.,758,0.0
2025-01-30,Stock Award(Grant) at price 0.00 per share.,125,0.0
2025-01-30,Stock Award(Grant) at price 0.00 per share.,288,0.0
2025-01-30,Stock Award(Grant) at price 0.00 per share.,272,0.0
2025-02-18,Purchase at price 92.18 per share.,22200,2046396.0
2025-02-19,Purchase at price 92.44 per share.,1600,147904.0
2025-03-24,Purchase at price 80.99 - 84.93 per share.,16500,1381502.0
2025-04-07,Purchase at price 67.62 - 70.40 per share.,400000,27872500.0
2025-04-15,Stock Gift at price 0.00 per share.,96189,0.0
2025-04-30,Stock Award(Grant) at price 0.00 per share.,3066,0.0
2025-04-30,Stock Award(Grant) at price 0.00 per share.,3066,0.0
2025-04-30,Stock Award(Grant) at price 0.00 per share.,6066,0.0
2025-04-30,Stock Award(Grant) at price 0.00 per share.,1533,0.0
2025-04-30,Stock Award(Grant) at price 0.00 per share.,3066,0.0
2025-04-30,Stock Award(Grant) at price 0.00 per share.,3066,0.0
2025-04-30,Stock Award(Grant) at price 0.00 per share.,3066,0.0
2025-05-29,Conversion of Exercise of derivative security at price 68.25 per share.,2262,154382.0
2025-05-29,Sale at price 92.12 per share.,2262,208375.0
2025-09-02,Conversion of Exercise of derivative security at price 68.25 per share.,4438,302894.0
2025-09-02,Sale at price 125.00 per share.,4438,554750.0
2026-01-07,Stock Award(Grant) at price 0.00 per share.,12453,0.0
2026-01-07,Stock Award(Grant) at price 0.00 per share.,16952,0.0
2026-01-07,Stock Award(Grant) at price 0.00 per share.,70906,0.0
2026-01-07,,5789,
2026-01-07,,30312,
