date,transactionType,shares,value
2024-03-01,Conversion of Exercise of derivative security at price 86.76 - 102.23 per share.,19608,1921077
2024-03-01,Stock Award(Grant) at price 127.94 per share.,7084,906327
2024-03-01,Stock Award(Grant) at price 127.94 per share.,18493,2365994
2024-03-01,Stock Award(Grant) at price 127.94 per share.,4722,604133
2024-03-01,Stock Award(Grant) at price 127.94 per share.,1417,181291
2024-03-01,Sale at price 127.44 per share.,1341,170897
2024-03-01,Stock Award(Grant) at price 127.94 per share.,3908,499990
2024-03-01,Stock Award(Grant) at price 127.94 per share.,1661,212508
2024-03-01,Stock Award(Grant) at price 127.94 per share.,1872,239504
2024-03-01,Stock Award(Grant) at price 127.94 per share.,6498,831354
2024-03-01,Stock Award(Grant) at price 127.94 per share.,2976,380749
2024-03-05,Sale at price 127.14 - 127.53 per share.,29025,3692158
2024-05-16,Stock Award(Grant) at price 0.00 per share.,1156,0
2024-05-16,Stock Award(Grant) at price 0.00 per share.,1156,0
2024-05-16,Stock Award(Grant) at price 0.00 per share.,1156,0
2024-05-16,Stock Award(Grant) at price 0.00 per share.,1156,0
2024-05-16,Stock Award(Grant) at price 0.00 per share.,1156,0
2024-05-16,Stock Award(Grant) at price 0.00 per share.,1156,0
2024-05-16,Stock Award(Grant) at price 0.00 per share.,1647,0
2024-05-16,Stock Award(Grant) at price 0.00 per share.,1156,0
2024-05-16,Stock Award(Grant) at price 0.00 per share.,1156,0
2024-06-03,Stock Gift at price 0.00 per share.,4043,0
2024-06-05,Conversion of Exercise of derivative security at price 49.23 per share.,21800,1073214
2024-06-05,Sale at price 139.01 per share.,21800,3030387
2024-06-10,Sale at price 138.63 per share.,2278,315799
2024-06-10,Conversion of Exercise of derivative security at price 74.07 - 75.18 per share.,1766,131939
2024-08-27,Stock Gift at price 0.00 per share.,1839,0
2024-09-09,Sale at price 127.65 per share.,2760,352314
2024-10-21,Stock Award(Grant) at price 132.54 per share.,3772,499941
2024-10-22,Purchase at price 131.98 per share.,4,528
2024-11-01,Sale at price 119.96 per share.,4,480
2025-02-28,Stock Award(Grant) at price 129.78 per share.,7148,927667
2025-02-28,Stock Award(Grant) at price 129.78 per share.,2501,324580
2025-02-28,Stock Award(Grant) at price 129.78 per share.,1786,231787
2025-02-28,Stock Award(Grant) at price 129.78 per share.,4465,579468
2025-02-28,Stock Award(Grant) at price 129.78 per share.,1786,231787
2025-02-28,Stock Award(Grant) at price 129.78 per share.,8576,1112993
2025-02-28,Stock Award(Grant) at price 129.78 per share.,8576,1112993
2025-03-04,Conversion of Exercise of derivative security at price 86.76 - 101.09 per share.,12026,1102960
2025-03-04,Sale at price 127.26 per share.,12026,1530391
2025-03-05,Stock Award(Grant) at price 129.67 per share.,2024,262452
2025-03-05,Stock Award(Grant) at price 129.67 per share.,1639,212529
2025-03-05,Stock Award(Grant) at price 129.67 per share.,4338,562508
2025-03-05,Stock Award(Grant) at price 129.67 per share.,1060,137450
2025-03-05,Stock Award(Grant) at price 129.67 per share.,1639,212529
2025-03-05,Stock Award(Grant) at price 129.67 per share.,1398,181279
2025-03-05,Stock Award(Grant) at price 129.67 per share.,14074,1824976
2025-03-05,Stock Award(Grant) at price 129.67 per share.,530,68725
2025-03-05,Stock Award(Grant) at price 129.67 per share.,2314,300056
2025-03-05,Stock Award(Grant) at price 129.67 per share.,1060,137450
2025-03-07,Sale at price 128.18 per share.,4119,527978
2025-03-07,Conversion of Exercise of derivative security at price 80.66 per share.,3119,251579
2025-03-10,Stock Gift at price 129.78 per share.,6197,804247
2025-03-11,Stock Gift at price 123.63 per share.,34007,4204285
2025-05-13,Stock Award(Grant) at price 126.93 per share.,1300,165009
2025-05-13,Stock Award(Grant) at price 126.93 per share.,1851,234947
2025-05-13,Stock Award(Grant) at price 126.93 per share.,1300,165009
2025-05-13,Stock Award(Grant) at price 126.93 per share.,1300,165009
2025-05-13,Stock Award(Grant) at price 126.93 per share.,1300,165009
2025-05-13,Stock Award(Grant) at price 126.93 per share.,1300,165009
2025-05-13,Stock Award(Grant) at price 126.93 per share.,1300,165009
2025-05-13,Stock Award(Grant) at price 126.93 per share.,1300,165009
2025-08-04,Sale at price 143.63 per share.,1800,258542
2025-08-18,Sale at price 140.66 per share.,4900,689231
2025-09-02,Stock Award(Grant) at price 140.35 per share.,735,103157
2025-09-05,Sale at price 139.96 per share.,1000,139962
2025-10-30,Sale at price 152.64 per share.,10421,1590661
2025-11-04,Sale at price 148.14 per share.,1700,251838
