report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-04-24,3202808000.0,2023296000.0,1697715000.0,,1109383000.0,277695000.0,133286000.0,1830606000.0,910777000.0,182172000.0,109431000.0,5956000.0,67309000.0,1.19,91473.0,338004000.0,60675000.0,49683000.0,277329000.0,277695000.0,,14.2186,0.732,1.19,231855000.0,0.09864131684008137,0.03416720577693074,0.05977856513089108,0.4975275946872238,0.0995145869728385,0.056878838818936385,0.13133507993061674,0.15149573419949458,0.12665477989256016,0.2503148146311959,1.1917760048064605,,,,,,,,,,,,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2010-07-17,3328727000.0,2141370000.0,1846214000.0,,1066450000.0,301254000.0,160818000.0,3248562000.0,1626045000.0,353774000.0,210342000.0,13132000.0,129122000.0,2.34,89303.0,495500000.0,99327000.0,86933000.0,396173000.0,301254000.0,,14.8052,0.8033,2.34,440707000.0,0.1972356884992264,0.06318992215342381,0.06474926444377543,0.5005430094915843,0.10890172328556451,0.10627906704274637,0.25866269309733686,0.12195334427971515,0.13566217914264836,0.2824830043602607,1.1598709575379669,,,,,,,,,,,,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2010-10-09,3394325000.0,2201662000.0,1827864000.0,,1142038000.0,301043000.0,194502000.0,4655073000.0,2333830000.0,500996000.0,297940000.0,20134000.0,181451000.0,3.37,87953.0,596494000.0,147158000.0,125441000.0,449336000.0,301043000.0,,15.0254,0.8613,3.37,626437000.0,0.26088448895746025,0.08777592010193484,0.06400329275180003,0.5013519659090201,0.10762366132604151,0.14759812333821895,0.3471710874164375,0.0965260909979285,0.13457082198281317,0.2636015614191472,1.204499897147709,,,,,,,,,,,,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2011-01-01,3354217000.0,2124271000.0,1848049000.0,,1039374000.0,300851000.0,59209000.0,-3809038000.0,-1909337000.0,-452009000.0,-271660000.0,-12361000.0,-166880000.0,-2.95,-181574.0,-763839000.0,-107575000.0,-97620000.0,-871414000.0,300851000.0,1.1494,15.9118,0.9292,-2.95,-549629000.0,-0.26136886241141305,-0.0809905858804007,0.0713198450632417,0.501264886304626,0.11866749557237287,-0.13475842499158522,-0.3372635191852114,0.22877534957645473,0.14429601384916613,0.28945403675674014,1.1494668160855042,5925203000.0,346053000.0,584933000.0,2961315000.0,251424000.0,749370000.0,26861000.0,3.9499999999999997,3.9499999999999997,0.40147190306524144,21.77629276646439,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2011-04-23,3573383000.0,2335488000.0,2076330000.0,,883884000.0,430832000.0,53667000.0,1898063000.0,958201000.0,185977000.0,109583000.0,9719000.0,66730000.0,1.35,81019.0,272450000.0,88883000.0,52539000.0,183567000.0,430832000.0,,14.988,0.8659,1.35,238516000.0,0.12397893841273289,0.03066645808747621,0.05773412157552199,0.504830977686199,0.09798252218182431,0.05204507885104955,0.1414579270351924,0.09671280668766,0.1256628468075085,0.4874304773024514,1.124815419514239,5992660000.0,346205000.0,588738000.0,3008739000.0,157662000.0,756031000.0,30624000.0,4.109999999999999,4.109999999999999,0.5698602305990098,19.224725705329153,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2011-07-16,3603468000.0,2342166000.0,2086035000.0,,764278000.0,565420000.0,68820000.0,3377902000.0,1694049000.0,374904000.0,222690000.0,17726000.0,134331000.0,2.79,79484000.0,469550000.0,151595000.0,92973000.0,317955000.0,565420000.0,,11.3299,0.6707,2.79,467877000.0,0.2913730344194128,0.061798800488862396,0.06592553602798423,0.5015092208122083,0.11098723408790427,0.10403977501673388,0.28194672775321916,0.09412795279436763,0.13851112317645686,0.7398093363933019,1.1227836541572889,6122000000.0,358553000.0,609868000.0,3076743000.0,79444000.0,783201000.0,35218000.0,4.5600000000000005,4.5600000000000005,0.7219347268453437,17.316940201033564,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2011-10-08,3678068000.0,2374122000.0,2105628000.0,3678068000.0,777626000.0,599438000.0,65929000.0,4842890000.0,2418552000.0,552724000.0,328243000.0,25876000.0,197834000.0,4.19,78058000.0,610982000.0,207505000.0,134480000.0,403477000.0,599438000.0,,11.9377,0.735,4.19,687204000.0,0.42210908585875473,0.0892433201343749,0.06777833070749077,0.4994026294216883,0.11413102506974142,0.15027563383819983,0.40137858516379776,0.08331326955598826,0.1418995682330179,0.7708564271256362,1.1275125520747256,6309817000.0,388856000.0,661596000.0,3161465000.0,33585000.0,843968000.0,40960000.0,5.38,5.38,0.7102615265033745,16.15224609375,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2011-12-31,3655754000.0,2293820000.0,2187875000.0,3655754000.0,847914000.0,415136000.0,57901000.0,-3948393000.0,-2001512000.0,-448963000.0,-265834000.0,-22372000.0,-160341000.0,-3.2200000000000015,-80552019.0,-524133000.0,-179854000.0,-104043000.0,-703987000.0,415136000.0,1.0484,12.6831,0.8113,-3.2200000000000015,-553006000.0,-0.31351528574831883,-0.07271659963991013,0.06732713790141964,0.5069181309965852,0.1137077793421273,-0.1228099593134549,-0.35545940382407665,0.17829709453947468,0.14005849974913845,0.4895968223192446,1.0484236987944924,6170462000.0,394682000.0,664642000.0,3069290000.0,201012000.0,840591000.0,30949000.0,5.1099999999999985,5.1099999999999985,0.49386205657686083,21.475395004685126,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2012-04-21,4045112000.0,2669834000.0,2248714000.0,4045112000.0,978649000.0,599841000.0,364084000.0,1957292000.0,980673000.0,224564000.0,133506000.0,9854000.0,81706000.0,1.79,74223000.0,235417000.0,82463000.0,55799000.0,152954000.0,599841000.0,,15.8501,1.065,1.79,280363000.0,0.13641867513275954,0.033004277755473765,0.06820954665936406,0.5010356145122956,0.11473198684713369,0.055514902924813946,0.14226507611704858,0.07814572378572027,0.14324025234865315,0.6129276175625786,1.187271480499521,6229691000.0,418605000.0,703229000.0,3091762000.0,170399000.0,882438000.0,31084000.0,5.549999999999999,5.549999999999999,0.6797542716882092,22.623504053532365,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2012-07-14,4169146000.0,2765167000.0,2292041000.0,4169146000.0,1059101000.0,599696000.0,448594000.0,3418275000.0,1709531000.0,393759000.0,233112000.0,17801000.0,143293000.0,3.14,74157000.0,411383000.0,146281000.0,98527000.0,265102000.0,599696000.0,,12.781,0.8336,3.14,492286000.0,0.22010365394801817,0.05591360916600186,0.06819580051341685,0.5001151165427006,0.11519231191170985,0.09444596087544067,0.2373762431448815,0.07755432198989257,0.14401591445977868,0.5662311715313271,1.2064212638430116,6270064000.0,429027000.0,722084000.0,3107244000.0,117546000.0,906847000.0,31159000.0,5.899999999999999,5.899999999999999,0.6612978815610572,23.174171186495073,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
