report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,26862200000.0,22316700000.0,20052200000.0,21383300000.0,5478900000.0,,,1643300000.0,8927700000.0,1211400000.0,8600000.0,655900000.0,2.4,503700000.0,1682100000.0,309200000.0,0.0,1.1129,16.7164,2.2683,2.4,0.22110277610469256,0.045096827512266305,0.1356900433482308,0.0,1.11293025204217,,,,,,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2010-09-30,30878900000.0,25679200000.0,23677300000.0,25122200000.0,5756700000.0,,,1176700000.0,2229400000.0,278500000.0,2700000.0,157900000.0,0.56,494900000.0,222300000.0,75500000.0,0.0,,17.1662,2.2844,0.56,0.048378411242552155,0.009019103659780627,0.12492150354355432,0.0,1.0845493362841203,,,,,,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2010-12-31,32660300000.0,27371500000.0,25492900000.0,26884700000.0,5775600000.0,,,1305700000.0,4635200000.0,588600000.000001,5600000.0,332400000.0,1.19,495900000.0,647300000.0,158200000.0,0.0,,19.0199,2.4627,1.19,0.10191148971535441,0.018021879774527513,0.12698481187435298,0.0,1.0736911061511245,,,,,,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2011-03-31,41596400000.0,36083300000.0,33974100000.0,35401900000.0,6194500000.0,,,1600900000.0,7372400000.0,1012400000.0,6900000.0,561600000.0,2.03,497500000.0,1220300000.0,239200000.0,0.0,,20.8728,2.6636,2.03,0.16343530551295504,0.024338644690405902,0.13732298844338342,0.0,1.0620825864408476,23164700000.0,3090900000.000001,23800000.0,6.18,6.18,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2011-06-30,34238300000.0,28583500000.0,26786800000.0,28227900000.0,6010400000.0,,,1389400000.0,-4357500000.0,-625300000.000001,-6600000.0,-373400000.0,-1.2599999999999998,-990000000.0,-384100000.0,-154700000.0,0.0,1.0671,20.989,2.6771,-1.2599999999999998,-0.10403633701583936,-0.01826317311315109,0.14349971313826757,0.0,1.0670740812639061,9879500000.0,1254200000.0,8600000.0,2.52,2.52,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2011-09-30,28020200000.0,22454000000.0,20511800000.0,22001000000.0,6019200000.0,,,1248900000.0,2522500000.0,302700000.0,2100000.0,156600000.0,0.61,493300000.0,316300000.0,79700000.0,0.0,,18.0092,2.2762,0.61,0.05028907496012759,0.010802920750030335,0.12,0.0,1.0946869606762937,10172600000.0,1278400000.0,8000000.0,2.57,2.57,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2011-12-31,32484400000.0,26727100000.0,24797500000.0,26302000000.0,6182400000.0,,,1331300000.0,5105500000.0,677700000.0,4200000.0,361300000.0,1.38,492800000.0,747900000.0,158900000.0,0.0,,19.8128,2.5891,1.38,0.10961762422360248,0.020862321606678898,0.1327392028204877,0.0,1.0778142957959471,10642900000.0,1367499999.999999,6600000.0,2.76,2.76,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2012-03-31,39376100000.0,33553500000.0,31423900000.0,32919500000.0,6456600000.0,,,1665100000.0,8028600000.0,1130100000.0,5400000.0,594500000.0,2.29,492700000.0,1411100000.0,240000000.0,0.0,,20.0035,2.6253,2.29,0.17503020165412136,0.028700150598967394,0.14075928555414394,0.0,1.0677700730972286,11299100000.0,1485199999.999999,5100000.0,3.02,3.02,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2012-06-30,30815500000.0,25155600000.0,23239400000.0,24701500000.0,6114000000.0,,,1548100000.0,-4991400000.0,-722000000.0,-4000000.0,-378800000.0,-1.4599999999999995,-986600000.0,-565100000.0,-155300000.0,0.0,1.0869,19.6409,2.5739,-1.4599999999999995,-0.11808963035655871,-0.02342976748714121,0.14464879592899788,0.0,1.082454796595437,10665200000.0,1388500000.0,7700000.0,2.82,2.82,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2012-09-30,30144100000.0,23972600000.0,22351100000.0,23851400000.0,6292700000.0,,,1117400000.0,2637500000.0,305300000.0,3100000.0,163100000.0,0.63,488400000.0,-65100000.0,78300000.0,0.0,,20.3725,2.643,0.63,0.04851653503265689,0.010128018418197923,0.11575355450236967,0.0,1.0725467650361726,10780200000.0,1391100000.0,8700000.0,2.8400000000000003,2.8400000000000003,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
