report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,2202998000.0,778167000.0,199834000.0,229910000.0,1973088000.0,120506000.0,,485347000.0,122889000.0,79001000.0,1327000.0,49074000.0,0.42,189746000.0,174133000.0,86446000.0,67634000.0,87687000.0,0.0,,46.0004,7.5076,0.42,190523000.0,0.04003926839553026,0.03586067713179948,0.16277220215639532,0.25319822724772173,0.05578261986620051,0.062282574320050604,0.18066867622546343,0.3925500724224112,0.0,3.8940670756728086,,,,,,,,,,,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2010-09-30,2262752000.0,855808000.0,201165000.0,228605000.0,2034147000.0,197567000.0,,738898000.0,181931000.0,118710000.0,1549000.0,69677000.0,0.63,190254000.0,292096000.0,119591000.0,104113000.0,172505000.0,0.0,,57.3864,9.3256,0.63,286044000.0,0.05835861420044864,0.05246266493190593,0.16065816932783686,0.24621936992656632,0.08040253638047828,0.08943847224413969,0.23346253474769182,0.38712244450519556,0.0,4.254258941664802,,,,,,,,,,,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2010-12-31,2352676000.0,858467000.0,145151000.0,175071000.0,2177605000.0,231866000.0,,1023586000.0,254277000.0,171220000.0,1697000.0,91152000.0,0.9,190650000.0,402455000.0,159276000.0,143242000.0,243179000.0,0.0,5.9125,50.1121,8.3814,0.9,397519000.0,0.0786276666337559,0.07277670193430799,0.16727465987225304,0.24841781735975288,0.10807990560536172,0.11676911101875685,0.23757554323720723,0.38835916083260225,0.0,5.914303036148563,,,,,,,,,,,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2011-03-31,2374799000.0,816814000.0,134095000.0,164611000.0,2210188000.0,217174000.0,,275953000.0,72748000.0,50617000.0,,24056000.0,0.26,191383000.0,88511000.0,35600000.0,41134000.0,52911000.0,0.0,,39.3789,6.723,0.26,113882000.0,0.02290167171299455,0.02131422490913968,0.18342616315097135,0.26362460274032173,0.03063332938913988,0.032914847062783796,0.1917391729751081,0.4126862183052911,0.0,6.091308400760655,2523784000.0,419548000.0,631845000.0,556282000.0,987968000.0,,2.21,2.21,0.0,,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2011-06-30,2404149000.0,750953000.0,138708000.0,175834000.0,2228315000.0,205629000.0,,552942000.0,145980000.0,98538000.0,0.0,52356000.0,0.52,190781000.0,200359000.0,68525000.0,82467000.0,131834000.0,0.0,,30.8111,5.3841,0.52,228447000.0,0.04422085746404795,0.040986644338599644,0.1782067558622785,0.2640059897783131,0.06072003024770927,0.06551138416247254,0.23842283639152026,0.41314821446010613,0.0,5.413912679874268,2591379000.0,439085000.0,654936000.0,600429000.0,1025892000.0,,2.31,2.31,0.0,,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2011-09-30,2301957000.0,924479000.0,138878000.0,179946000.0,2122011000.0,355599000.0,,834798000.0,211313000.0,140823000.0,0.0,78218000.0,0.74,189089000.0,316648000.0,105769000.0,124228000.0,210879000.0,0.0,,18.9623,3.2739,0.74,335541000.0,0.0663629924632813,0.06117533907019115,0.1686911085076869,0.25313069748609845,0.09179711002420983,0.09958148190560746,0.2526108112381678,0.40194274543063113,0.0,6.65677069082216,2687279000.0,461198000.0,684318000.0,638803000.0,1075389000.0,,2.42,2.42,0.0,,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2011-12-31,2345501000.0,1122020000.0,148392000.0,189251000.0,2156250000.0,559197000.0,,-505155000.0,-139392000.0,-89074000.0,0.0,-48339000.0,-0.44999999999999996,-383697000.0,-152963000.0,-69676000.0,-79951000.0,-222639000.0,0.0,7.5606,29.1764,5.0592,-0.44999999999999996,-219343000.0,-0.04130968115942029,-0.03797653465080595,0.17633003731527946,0.27593906820678804,-0.059429520601355534,-0.0646455652173913,0.44073403212875256,0.4342093020953965,0.0,7.561189282441102,1158538000.0,200904000.0,290649000.0,172985000.0,458527000.0,,1.07,1.07,0.0,,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2012-03-31,2414118000.0,679541000.0,148538000.0,212930000.0,2201188000.0,144724000.0,,319448000.0,71579000.0,43227000.0,,29557000.0,0.24,182342000.0,92503000.0,30433000.0,45634000.0,62070000.0,0.0,,33.9776,5.4698,0.24,117213000.0,0.019638031826450082,0.017905918434807246,0.13531779820189827,0.22407089729783877,0.02965016623048252,0.03251834918235062,0.19430392426936466,0.3669235681550675,0.0,4.574862998020708,1202033000.0,193514000.0,289480000.0,182144000.0,461858000.0,,1.0499999999999998,1.0499999999999998,0.0,,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2012-06-30,2445576000.0,756605000.0,165852000.0,230943000.0,2214633000.0,182996000.0,,650754000.0,138590000.0,87466000.0,,55086000.0,0.48,182080000.0,242055000.0,72620000.0,95746000.0,169435000.0,0.0,,29.7761,4.4985,0.48,234336000.0,0.03949457991459533,0.03576498951576234,0.13440716461212684,0.21296834133943088,0.05666967618262528,0.06257921741435263,0.26036720481164927,0.36009920799564815,0.0,4.56192870752237,1299845000.0,182442000.0,282090000.0,219745000.0,467747000.0,,1.0099999999999998,1.0099999999999998,0.0,,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2012-09-30,2539454000.0,753689000.0,212920000.0,279516000.0,2259938000.0,182650000.0,,996075000.0,218749000.0,135697000.0,,88366000.0,0.75,181738000.0,383551000.0,119256000.0,149203000.0,264295000.0,0.0,,34.5544,5.1241,0.75,367952000.0,0.060044567594332236,0.053435502277261175,0.13623170945962904,0.219610973069297,0.08614017028857385,0.09679424833778626,0.26533644554877894,0.3694019024671837,0.0,3.539775502536164,1461122000.0,177316000.0,289526000.0,273161000.0,500158000.0,,1.02,1.02,0.0,,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
