report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,22959000000.0,14268000000.0,12776000000.0,17502000000.0,5402000000.0,2013000000.0,84000000.0,422000000.0,1904000000.0,273000000.0,178000000.0,34000000.0,61000000.0,0.63,283400000.0,464000000.0,33000000.0,431000000.0,2097000000.0,,17.8402,1.5036,0.63,273000000.0,0.03295075897815624,0.007752950912496189,0.0934873949579832,0.14338235294117646,0.01189076179276101,0.03640485398053074,0.2263655462184874,0.14338235294117646,0.38818955942243616,1.1167814652473387,,,,,,,,,,,0.82758987,402.49,304.59,1.38168,68107.22,18.4323,8.1102,3.9641
2010-06-30,23956000000.0,15497000000.0,14138000000.0,18478000000.0,5428000000.0,1601000000.0,370000000.0,260000000.0,3802000000.0,541000000.0,331000000.0,67000000.0,121000000.0,1.18,281700000.0,872000000.0,71000000.0,801000000.0,1971000000.0,,15.426,1.3055,1.18,541000000.0,0.06098010316875461,0.013816997829353816,0.0870594423987375,0.14229352972119938,0.022583068959759558,0.07311798891742127,0.21067859021567595,0.14229352972119938,0.3631171702284451,1.096123921346725,,,,,,,,,,,0.82758987,402.49,304.59,1.38168,68107.22,18.4323,8.1102,3.9641
2010-09-30,23358000000.0,14612000000.0,11819000000.0,17514000000.0,5792000000.0,3146000000.0,610000000.0,335000000.0,5603000000.0,804000000.0,475000000.0,117000000.0,182000000.0,1.68,281900000.0,773000000.0,115000000.0,658000000.0,3756000000.0,,15.7221,1.3785,1.68,804000000.0,0.0820096685082873,0.020335645175100607,0.08477601285025879,0.14349455648759593,0.03442075520164398,0.08420611646418098,0.11743708727467428,0.14349455648759593,0.6484806629834254,1.2363144090024536,,,,,,,,,,,0.82758987,402.49,304.59,1.38168,68107.22,18.4323,8.1102,3.9641
2010-12-31,28982000000.0,14519000000.0,12949000000.0,20676000000.0,8251000000.0,4014000000.0,492000000.0,346000000.0,-2797000000.0,-392000000.0,-278000000.0,-36000000.0,-64000000.0,-1.12,-548900000.0,-1322000000.0,-39000000.0,-1361000000.0,4506000000.0,1.1212,20.9435,1.7371,-1.12,-392000000.0,-0.03369288571082293,-0.009592160651438824,0.09939220593493028,0.1401501608866643,-0.013525636602028846,-0.03072822763972721,0.48659277797640327,0.1401501608866643,0.5461156223488062,1.1212448837748088,8512000000.0,706000000.0,1226000000.0,529000000.0,1226000000.0,182000000.0,2.3699999999999997,2.3699999999999997,3.6753670473083195,6.736263736263736,0.82758987,402.49,304.59,1.38168,68107.22,18.4323,8.1102,3.9641
2011-03-31,29802000000.0,15211000000.0,13259000000.0,21315000000.0,8423000000.0,4409000000.0,502000000.0,682000000.0,2759000000.0,396000000.0,246000000.0,63000000.0,103000000.0,0.71,345400000.0,582000000.0,56000000.0,526000000.0,4911000000.0,,22.6168,1.8688,0.71,396000000.0,0.02920574617119791,0.008254479565129856,0.08916274012323305,0.14353026458861906,0.013287698812160258,0.029698515074246288,0.1906487857919536,0.14353026458861906,0.5830464205152558,1.1472207557131004,9367000000.0,774000000.0,1349000000.0,624000000.0,1349000000.0,211000000.0,2.4499999999999997,2.4499999999999997,3.6404744255003707,6.393364928909953,0.82758987,402.49,304.59,1.38168,68107.22,18.4323,8.1102,3.9641
2011-06-30,30496000000.0,15931000000.0,13987000000.0,22031000000.0,8398000000.0,4479000000.0,52000000.0,300000000.0,5570000000.0,830000000.0,504000000.0,126000000.0,190000000.0,1.46,344000000.0,1161000000.0,99000000.0,1062000000.0,4531000000.0,,19.0663,1.6303,1.46,830000000.0,0.0600142891164563,0.01652675760755509,0.09048473967684022,0.1490125673249551,0.027216684155299056,0.06419676695800139,0.19066427289048474,0.1490125673249551,0.5395332221957609,1.1389862014727963,11135000000.0,947000000.0,1638000000.0,885000000.0,1638000000.0,270000000.0,2.7299999999999995,2.7299999999999995,2.766178266178266,6.066666666666666,0.82758987,402.49,304.59,1.38168,68107.22,18.4323,8.1102,3.9641
2011-09-30,28745000000.0,14500000000.0,12765000000.0,20466000000.0,8233000000.0,4415000000.0,163000000.0,295000000.0,8293000000.0,1171000000.0,702000000.0,186000000.0,274000000.0,2.05,341800000.0,1413000000.0,151000000.0,1262000000.0,4578000000.0,,14.5463,1.2115,2.05,1171000000.0,0.08526660998420989,0.024421638545834057,0.08464970457011937,0.14120342457494273,0.04073751956862063,0.0914058231207556,0.15217653442662488,0.14120342457494273,0.556054901008138,1.1359185272228751,13825000000.0,1174000000.0,2005000000.0,1489000000.0,2005000000.0,339000000.0,3.0999999999999996,3.0999999999999996,2.283291770573566,5.9144542772861355,0.82758987,402.49,304.59,1.38168,68107.22,18.4323,8.1102,3.9641
2011-12-31,29552000000.0,15505000000.0,13760000000.0,21432000000.0,8078000000.0,4155000000.0,337000000.0,272000000.0,-5335000000.0,-791000000.0,-473000000.0,-130000000.0,-189000000.0,-1.3499999999999996,-690300000.0,-2138000000.0,-65000000.0,-2203000000.0,4492000000.0,1.1268,15.5304,1.3471,-1.3499999999999996,-791000000.0,-0.05855409754889824,-0.01600568489442339,0.088659793814433,0.14826616682286786,-0.026766377910124525,-0.06292760540970564,0.412933458294283,0.14826616682286786,0.5560782371874227,1.1268168604651163,11287000000.0,979000000.0,1606000000.0,647000000.0,1606000000.0,245000000.0,2.87,2.87,2.797011207970112,6.555102040816327,0.82758987,402.49,304.59,1.38168,68107.22,18.4323,8.1102,3.9641
2012-03-31,30271000000.0,16207000000.0,14252000000.0,21855000000.0,8358000000.0,4168000000.0,286000000.0,323000000.0,2841000000.0,402000000.0,238000000.0,59000000.0,97000000.0,0.71,336600000.0,-15000000.0,71000000.0,-86000000.0,4454000000.0,,16.4833,1.4078,0.71,402000000.0,0.02847571189279732,0.007862310462158502,0.08377331925378388,0.14149947201689547,0.013280036999108057,0.0313768342179207,-0.030271031326997537,0.14149947201689547,0.5329026082794927,1.1371737300028066,11369000000.0,971000000.0,1612000000.0,35000000.0,1612000000.0,241000000.0,2.87,2.87,2.76302729528536,6.6887966804979255,0.82758987,402.49,304.59,1.38168,68107.22,18.4323,8.1102,3.9641
2012-06-30,30807000000.0,17056000000.0,15200000000.0,22597000000.0,8152000000.0,4098000000.0,392000000.0,286000000.0,5662000000.0,796000000.0,484000000.0,116000000.0,193000000.0,1.44,336100000.0,269000000.0,129000000.0,140000000.0,4490000000.0,,15.922,1.3419,1.44,796000000.0,0.05937193326790972,0.015710715097218164,0.08548216178028965,0.14058636524196397,0.025838283506995165,0.06296472077202975,0.02472624514305899,0.14058636524196397,0.5507850834151129,1.1221052631578947,11461000000.0,951000000.0,1578000000.0,-887000000.0,1578000000.0,231000000.0,2.85,2.85,2.8453738910012674,6.8311688311688314,0.82758987,402.49,304.59,1.38168,68107.22,18.4323,8.1102,3.9641
