report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-06-30,9145000000.0,2818000000.0,1813000000.0,9145000000.0,3656000000.0,1102000000.0,287000000.0,484000000.0,,,461000000.0,256000000.0,79000000.0,3.23,298000000.0,100000000.0,226000000.0,198000000.0,1389000000.0,,0.5766,9.7458,3.23,687000000.0,0.0700218818380744,0.027993439037725533,,,,0.050410060142154184,0.09137760158572844,,,0.3799234135667396,1.5543298400441257,,,,,,,,,,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2010-09-30,9531000000.0,2833000000.0,1687000000.0,9531000000.0,3803000000.0,1108000000.0,71000000.0,417000000.0,,,566000000.0,332000000.0,91000000.0,4.18,517000000.0,206000000.0,304000000.0,311000000.0,1179000000.0,1.6793,0.6688,27.2318,4.18,870000000.0,0.08729950039442545,0.034833700556080156,,,,0.059385164201028226,0.11360899237254114,,,0.3100184065211675,1.6793123888559573,,,,,,,,,,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2010-12-31,9349000000.0,2705000000.0,1434000000.0,9349000000.0,3877000000.0,1114000000.0,77000000.0,374000000.0,,,99000000.0,87000000.0,31000000.0,1.09,-38000000.0,22000000.0,73000000.0,-60000000.0,1191000000.0,,0.6872,26.1038,1.09,172000000.0,0.02244003095176683,0.009305808107819018,,,,0.010589367846828538,0.019534333070244672,,,0.3071962857879804,1.8863319386331938,,,,,,,,,,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2011-03-31,9412000000.0,2974000000.0,1310000000.0,9412000000.0,4497000000.0,846000000.0,42000000.0,1129000000.0,,,221000000.0,440000000.0,18000000.0,5.47,77000000.0,52000000.0,143000000.0,25000000.0,888000000.0,,0.764,7.4083,5.47,364000000.0,0.09784300644874361,0.04674883127921802,,,,0.023480662983425413,0.04103992571959146,,,0.19746497665110074,2.2702290076335876,,1115000000.0,1347000000.0,,474000000.0,2093000000.0,13.969999999999999,13.969999999999999,0.42427138079311993,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2011-09-30,12966000000.0,3387000000.0,1739000000.0,12966000000.0,4135000000.0,3648000000.0,83000000.0,737000000.0,,,130000000.0,414000000.0,-53000000.0,5.17,243000000.0,201000000.0,299000000.0,42000000.0,3731000000.0,1.9477,0.5297,8.3184,5.17,429000000.0,0.10012091898428054,0.031929662193428965,,,,0.010026222427888323,0.016526824307144673,,,0.9022974607013301,1.9476710753306499,,1273000000.0,1016000000.0,,318000000.0,1835000000.0,15.91,15.91,2.0332425068119893,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2011-12-31,12513000000.0,3063000000.0,1464000000.0,12513000000.0,4065000000.0,3607000000.0,76000000.0,466000000.0,,,144000000.0,61000000.0,23000000.0,0.77,-181000000.0,44000000.0,104000000.0,-225000000.0,3683000000.0,,0.6477,12.0562,0.77,248000000.0,0.015006150061500615,0.004874930072724367,,,,0.01150803164708703,0.01858544140423335,,,0.9060270602706028,2.0922131147540983,,1002000000.0,594000000.0,,-218000000.0,1213000000.0,12.5,12.5,3.0362737015663646,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2012-03-31,12706000000.0,3283000000.0,1578000000.0,12706000000.0,4232000000.0,3588000000.0,55000000.0,599000000.0,,,323000000.0,149000000.0,,1.87,28000000.0,98000000.0,212000000.0,-70000000.0,3643000000.0,,0.6465,,1.87,535000000.0,0.03520793950850662,0.01172674327089564,,,,0.02542106091610263,0.04101587301587301,,,0.8608223062381852,2.0804816223067175,,1064000000.0,818000000.0,,-228000000.0,1576000000.0,13.28,13.28,2.311548223350254,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2012-06-30,12598000000.0,3353000000.0,1622000000.0,12598000000.0,4166000000.0,3567000000.0,45000000.0,597000000.0,,,586000000.0,300000000.0,112000000.0,3.77,146000000.0,164000000.0,320000000.0,-18000000.0,3612000000.0,,0.6778,146.4705,3.77,906000000.0,0.07201152184349496,0.02381330369899984,,,,0.04651531989204636,0.07534070455129853,,,0.8670187229956793,2.067200986436498,,924000000.0,1183000000.0,,-271000000.0,2118000000.0,11.58,11.58,1.7053824362606231,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2012-09-30,12524000000.0,3209000000.0,1913000000.0,12524000000.0,4029000000.0,3131000000.0,344000000.0,523000000.0,,,-751000000.0,-484000000.0,-187000000.0,-6.08,392000000.0,-8000000.0,-206000000.0,384000000.0,3475000000.0,1.6775,0.8721,217.1085,-6.08,-957000000.0,-0.12012906428394142,-0.038645800063877356,,,,-0.05996486745448738,-0.10007995735607676,,,0.8624968974931745,1.6774699424986932,,26000000.0,302000000.0,,71000000.0,732000000.0,0.33000000000000007,0.33000000000000007,4.747267759562842,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
2012-12-31,12376000000.0,3077000000.0,1770000000.0,12376000000.0,4152000000.0,3090000000.0,349000000.0,488000000.0,,537000000.0,176000000.0,101000000.0,30000000.0,1.26,81000000.0,51000000.0,107000000.0,30000000.0,3439000000.0,,1.0601,96.2236,1.26,283000000.0,0.02432562620423892,0.008160956690368456,,,,0.014221073044602456,0.023185351073639837,,,0.8282755298651252,1.7384180790960453,,66000000.0,334000000.0,,326000000.0,767000000.0,0.8200000000000001,0.8200000000000001,4.4837027379400265,0.4146731,65.645,46.295,0.92081,2372.7224,1.1501,1.3138
