report_date,total_assets,total_liabilities,total_equity,long_term_debt,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,eps,roe,roa,debt_equity,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-03-31,220551000000.0,190096000000.0,29683000000.0,16335000000.0,559000000.0,118000000.0,258000000.0,0.46,1206286000.0,1191000000.0,44000000.0,1147000000.0,16335000000.0,0.46,0.018832328268705994,0.0025345611672583667,0.550314995115049,,,,,,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2010-06-30,235693000000.0,204588000000.0,30396000000.0,16754000000.0,1217000000.0,258000000.0,562000000.0,1.0,1207578000.0,-142000000.0,82000000.0,-224000000.0,16754000000.0,1.0,0.04003816291617318,0.005163496582418655,0.5511909461771286,,,,,,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2010-09-30,254157000000.0,221266000000.0,32153000000.0,16720000000.0,1839000000.0,415000000.0,782000000.0,1.51,1209688000.0,2889000000.0,120000000.0,2769000000.0,16720000000.0,1.51,0.05719528504338631,0.0072356850293322636,0.5200136845706466,,,,,,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2010-12-31,247259000000.0,214102000000.0,32354000000.0,16517000000.0,-1097000000.0,-183000000.0,-555000000.0,-0.9199999999999999,-2407338000.0,112000000.0,-16000000.0,96000000.0,16517000000.0,-0.9199999999999999,-0.033906163071026764,-0.004436643357774641,0.5105087469864623,2518000000.0,3788000000.0,608000000.0,2.05,2.05,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2011-03-31,266444000000.0,232304000000.0,33258000000.0,17215000000.0,625000000.0,169000000.0,279000000.0,0.5,1238284000.0,426000000.0,164000000.0,262000000.0,17215000000.0,0.5,0.0187924709844248,0.002345708666736725,0.5176198207949967,2584000000.0,2903000000.0,659000000.0,2.09,2.09,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2011-06-30,304706000000.0,269983000000.0,33851000000.0,17004000000.0,1360000000.0,364000000.0,556000000.0,1.08,1236016000.0,997000000.0,367000000.0,630000000.0,17004000000.0,1.08,0.04017606569968391,0.004463318740031375,0.5023189861451656,2727000000.0,3757000000.0,765000000.0,2.17,2.17,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2011-09-30,310124000000.0,277007000000.0,,19399000000.0,2011000000.0,459000000.0,837000000.0,1.61,1229042000.0,-683000000.0,580000000.0,-1263000000.0,19399000000.0,1.61,,0.006484502973004347,,2899000000.0,-275000000.0,809000000.0,2.2700000000000005,2.2700000000000005,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2011-12-31,313919000000.0,280980000000.0,,19933000000.0,-1480000000.0,-388000000.0,-624000000.0,-1.1600000000000006,-2480316000.0,1471000000.0,-469000000.0,1002000000.0,19933000000.0,-1.1600000000000006,,-0.004714591980733884,,2516000000.0,631000000.0,604000000.0,2.0299999999999994,2.0299999999999994,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2012-03-31,288560000000.0,255012000000.0,,20336000000.0,619000000.0,147000000.0,254000000.0,0.52,1195558000.0,114000000.0,129000000.0,-15000000.0,20336000000.0,0.52,,0.0021451344607707236,,2510000000.0,354000000.0,582000000.0,2.05,2.05,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2012-06-30,319328000000.0,285108000000.0,,19536000000.0,1085000000.0,288000000.0,347000000.0,0.9,1189264000.0,374000000.0,276000000.0,98000000.0,19536000000.0,0.9,,0.003397760296622908,,2235000000.0,-178000000.0,506000000.0,1.8699999999999997,1.8699999999999997,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2012-09-30,328575000000.0,292759000000.0,,19516000000.0,1810000000.0,416000000.0,572000000.0,1.51,1183309000.0,1273000000.0,453000000.0,820000000.0,19516000000.0,1.51,,0.00550863577569809,,2034000000.0,1905000000.0,463000000.0,1.7699999999999994,1.7699999999999994,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2012-12-31,347509000000.0,311367000000.0,,18530000000.0,-1069000000.0,-317000000.0,-394000000.0,-0.8999999999999999,-2389701000.0,-132000000.0,-206000000.0,-338000000.0,18530000000.0,-0.8999999999999999,,-0.0030761793219743947,,2445000000.0,565000000.0,534000000.0,2.03,2.03,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2013-03-31,355942000000.0,319268000000.0,35690000000.0,19854000000.0,-253000000.0,96000000.0,1046000000.0,0.0,1158819000.0,-2744000000.0,126000000.0,-2870000000.0,19854000000.0,0.0,-0.007088820397870552,-0.0007107899601620489,0.5562902773886242,1573000000.0,-2290000000.0,483000000.0,1.51,1.51,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2013-06-30,360505000000.0,323574000000.0,35882000000.0,18481000000.0,592000000.0,175000000.0,1367000000.0,0.0,1159169000.0,-959000000.0,258000000.0,-1217000000.0,18481000000.0,0.0,0.016498522936291178,0.0016421408857020014,0.5150493283540494,1080000000.0,-3605000000.0,370000000.0,0.61,0.61,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2013-09-30,371952000000.0,333969000000.0,36959000000.0,18889000000.0,1572000000.0,258000000.0,1365000000.0,1.0,1156951000.0,-55000000.0,372000000.0,-427000000.0,18889000000.0,1.0,0.042533618333829376,0.0042263517873273974,0.5110798452339078,842000000.0,-4852000000.0,212000000.0,0.09999999999999998,0.09999999999999998,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2013-12-31,374310000000.0,335776000000.0,37521000000.0,19864000000.0,200000000.0,-186000000.0,-2258000000.0,0.74,-2320498000.0,3116000000.0,-147000000.0,2969000000.0,19864000000.0,0.74,0.005330348338263906,0.0005343164756485266,0.5294101969563711,2111000000.0,-1545000000.0,343000000.0,1.7399999999999998,1.7399999999999998,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2014-03-31,368241000000.0,329272000000.0,37986000000.0,20616000000.0,674000000.0,84000000.0,232000000.0,0.0,1144510000.0,-1055000000.0,201000000.0,-1256000000.0,20616000000.0,0.0,0.01774337913968304,0.0018303230764635118,0.5427262675722635,3038000000.0,69000000.0,331000000.0,1.7399999999999998,1.7399999999999998,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2014-06-30,400740000000.0,361266000000.0,38326000000.0,20327000000.0,1251000000.0,176000000.0,449000000.0,1.0,1141948000.0,2385000000.0,380000000.0,2005000000.0,20327000000.0,1.0,0.032641026979074256,0.0031217248091031592,0.5303710275009133,3697000000.0,3291000000.0,332000000.0,2.7399999999999998,2.7399999999999998,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2014-09-30,386296000000.0,346698000000.0,38451000000.0,21583000000.0,2334000000.0,264000000.0,1005000000.0,1.0,1139718000.0,3298000000.0,595000000.0,2703000000.0,21583000000.0,1.0,0.06070063197316065,0.006041998881686582,0.5613117994330447,4459000000.0,6421000000.0,338000000.0,2.7399999999999998,2.7399999999999998,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2014-12-31,385303000000.0,346600000000.0,37441000000.0,20264000000.0,-1692000000.0,-170000000.0,-774000000.0,0.0,-2288696000.0,-144000000.0,-385000000.0,-529000000.0,20264000000.0,0.0,-0.04519110066504634,-0.004391349145996787,0.5412248604471035,2567000000.0,2923000000.0,354000000.0,1.9999999999999998,1.9999999999999998,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2015-03-31,399088000000.0,360208000000.0,37328000000.0,20401000000.0,779000000.0,79000000.0,280000000.0,0.0,1126306000.0,-64000000.0,162000000.0,-226000000.0,20401000000.0,0.0,0.020869052721817404,0.0019519504470192038,0.5465334333476211,2672000000.0,3953000000.0,349000000.0,1.9999999999999998,1.9999999999999998,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2015-06-30,395254000000.0,355830000000.0,38270000000.0,20375000000.0,1632000000.0,147000000.0,556000000.0,1.0,1124154000.0,2634000000.0,312000000.0,2322000000.0,20375000000.0,1.0,0.04264436895740789,0.004128990471949683,0.532401358766658,3053000000.0,4270000000.0,320000000.0,1.9999999999999998,1.9999999999999998,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2015-09-30,377371000000.0,338172000000.0,38170000000.0,21430000000.0,2465000000.0,226000000.0,838000000.0,2.0,1117975000.0,3985000000.0,427000000.0,3558000000.0,21430000000.0,2.0,0.06457951270631386,0.006532033463090698,0.5614356824731465,3184000000.0,5125000000.0,282000000.0,3.0,3.0,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2015-12-31,393780000000.0,354805000000.0,38037000000.0,21547000000.0,-1718000000.0,-152000000.0,-661000000.0,-1.0,-2255924000.0,-2428000000.0,-300000000.0,-2728000000.0,21547000000.0,-1.0,-0.04516654836080658,-0.004362842196150135,0.56647474827142,3158000000.0,2926000000.0,300000000.0,2.0,2.0,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2016-03-31,372870000000.0,333585000000.0,38459000000.0,21686000000.0,817000000.0,117000000.0,283000000.0,0.0,1085284000.0,1794000000.0,148000000.0,1646000000.0,21686000000.0,0.0,0.02124340206453626,0.002191112183871054,0.5638732156322317,3196000000.0,4798000000.0,338000000.0,2.0,2.0,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2016-06-30,372351000000.0,333054000000.0,38559000000.0,23573000000.0,1690000000.0,240000000.0,573000000.0,1.0,1081847000.0,1462000000.0,349000000.0,1113000000.0,23573000000.0,1.0,0.043828937472444825,0.0045387282429750425,0.6113488420342851,3254000000.0,3589000000.0,431000000.0,2.0,2.0,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2016-09-30,374114000000.0,333741000000.0,39695000000.0,24374000000.0,2677000000.0,340000000.0,897000000.0,2.0,1077150000.0,1557000000.0,495000000.0,1062000000.0,24374000000.0,2.0,0.06743922408363774,0.007155572900238965,0.6140319939538985,3466000000.0,1093000000.0,545000000.0,2.0,2.0,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2016-12-31,333469000000.0,293889000000.0,38811000000.0,24463000000.0,-1637000000.0,-260000000.0,-576000000.0,0.0,-2172268000.0,1433000000.0,-167000000.0,1266000000.0,24463000000.0,0.0,-0.04217876375254438,-0.004909002036171279,0.6303109943057381,3547000000.0,5087000000.0,437000000.0,3.0,3.0,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2017-03-31,337536000000.0,297705000000.0,39138000000.0,26346000000.0,922000000.0,168000000.0,269000000.0,0.0,1047746000.0,-1233000000.0,286000000.0,-1519000000.0,26346000000.0,0.0,0.02355766773979253,0.0027315604854000757,0.6731565230722061,3652000000.0,1922000000.0,488000000.0,3.0,3.0,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2017-06-30,354815000000.0,314317000000.0,39974000000.0,27699000000.0,1897000000.0,394000000.0,601000000.0,1.0,1044809000.0,-1855000000.0,722000000.0,-2577000000.0,27699000000.0,1.0,0.04745584630009506,0.005346448149035413,0.6929254015109821,3859000000.0,-1768000000.0,642000000.0,3.0,3.0,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2017-09-30,354397000000.0,313293000000.0,40523000000.0,28408000000.0,2915000000.0,706000000.0,949000000.0,2.0,1043585000.0,3350000000.0,933000000.0,2417000000.0,28408000000.0,2.0,0.0719344569750512,0.008225238926966087,0.7010339807023171,4097000000.0,-413000000.0,1008000000.0,3.0,3.0,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2017-12-31,371758000000.0,330012000000.0,41251000000.0,27979000000.0,-1644000000.0,-194000000.0,-1323000000.0,0.0,-2095850000.0,4379000000.0,-744000000.0,3635000000.0,27979000000.0,0.0,-0.03985357930716831,-0.004422231666837029,0.678262345155269,4090000000.0,1956000000.0,1074000000.0,3.0,3.0,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2018-03-31,373597000000.0,331473000000.0,41728000000.0,27939000000.0,1171000000.0,462000000.0,282000000.0,1.0,1021731000.0,-852000000.0,173000000.0,-1025000000.0,27939000000.0,1.0,0.02806269171779141,0.003134393477463684,0.6695504217791411,4339000000.0,2450000000.0,1368000000.0,4.0,4.0,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2018-06-30,352928000000.0,311182000000.0,41505000000.0,28260000000.0,2274000000.0,1099000000.0,568000000.0,2.0,1018020000.0,1568000000.0,505000000.0,1063000000.0,28260000000.0,2.0,0.054788579689194074,0.006443240547647112,0.6808818214672931,4716000000.0,6090000000.0,2073000000.0,5.0,5.0,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2018-09-30,349770000000.0,307909000000.0,41560000000.0,28113000000.0,3385000000.0,1842000000.0,788000000.0,3.0,1013242000.0,2812000000.0,819000000.0,1993000000.0,28113000000.0,3.0,0.08144850818094322,0.009677788260857134,0.6764436958614052,5186000000.0,5666000000.0,3209000000.0,6.0,6.0,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2018-12-31,362873000000.0,322005000000.0,40638000000.0,29163000000.0,-2564000000.0,-582000000.0,-700000000.0,-2.0,-2045852000.0,2468000000.0,-389000000.0,2079000000.0,29163000000.0,-2.0,-0.06309365618386732,-0.0070658329498199095,0.7176288203159604,4266000000.0,4110000000.0,2821000000.0,4.0,4.0,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2019-03-31,346132000000.0,304663000000.0,41225000000.0,,946000000.0,1079000000.0,237000000.0,0.94,965960000.0,-949000000.0,264000000.0,-1213000000.0,0.0,0.94,0.022947240751970892,0.002733061375429027,0.0,4041000000.0,3922000000.0,3438000000.0,3.94,3.94,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2019-06-30,381168000000.0,339333000000.0,41533000000.0,28203000000.0,1963000000.0,2242000000.0,501000000.0,1.0,959957000.0,-2514000000.0,717000000.0,-3231000000.0,28203000000.0,1.0,0.047263621698408496,0.005149960122570625,0.6790503936628705,3730000000.0,-372000000.0,4581000000.0,2.94,2.94,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2019-09-30,373168000000.0,331698000000.0,41120000000.0,27872000000.0,3001000000.0,3454000000.0,747000000.0,3.0,951876000.0,2567000000.0,1112000000.0,1455000000.0,27872000000.0,3.0,0.07298151750972763,0.008041954294044506,0.6778210116731518,3346000000.0,-910000000.0,6193000000.0,2.94,2.94,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2019-12-31,381508000000.0,339780000000.0,41483000000.0,27501000000.0,-1469000000.0,-2415000000.0,-365000000.0,-0.9399999999999995,-1934684000.0,992000000.0,-883000000.0,109000000.0,27501000000.0,-0.9399999999999995,-0.035412096521466624,-0.003850509032575988,0.6629462671455777,4441000000.0,-2880000000.0,4360000000.0,4.0,4.0,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2020-03-31,468155000000.0,426776000000.0,41145000000.0,27494000000.0,980000000.0,756000000.0,265000000.0,1.0,896689000.0,-1685000000.0,264000000.0,-1949000000.0,27494000000.0,1.0,0.023818203912990644,0.0020933237923337357,0.6682221412079232,4475000000.0,-3616000000.0,4037000000.0,4.0600000000000005,4.0600000000000005,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2020-06-30,442316000000.0,398350000000.0,43697000000.0,27566000000.0,1930000000.0,919000000.0,481000000.0,2.0,893603000.0,5125000000.0,623000000.0,4502000000.0,27566000000.0,2.0,0.0441677918392567,0.004363396304904186,0.6308442227155182,4442000000.0,4117000000.0,2714000000.0,5.0600000000000005,5.0600000000000005,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2020-09-30,428398000000.0,383051000000.0,44917000000.0,26121000000.0,2867000000.0,1036000000.0,694000000.0,3.0,892793000.0,5903000000.0,956000000.0,4947000000.0,26121000000.0,3.0,0.06382883986018657,0.006692374847688365,0.5815392835674689,4308000000.0,7609000000.0,296000000.0,5.0600000000000005,5.0600000000000005,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2021-03-31,464984000000.0,419581000000.0,44954000000.0,25350000000.0,927000000.0,83000000.0,221000000.0,0.97,885655000.0,-3174000000.0,220000000.0,-3394000000.0,25350000000.0,0.97,0.020621079325532768,0.0019936169846704404,0.5639097744360902,6704000000.0,4106000000.0,2794000000.0,6.97,6.97,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2021-06-30,466963000000.0,421169000000.0,45281000000.0,25629000000.0,1949000000.0,123000000.0,462000000.0,2.1,879409000.0,-345000000.0,465000000.0,-810000000.0,25629000000.0,2.1,0.04304233563746384,0.004173778222257438,0.5659989841213754,7673000000.0,5245000000.0,2161000000.0,8.07,8.07,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2021-09-30,470533000000.0,426481000000.0,43601000000.0,25043000000.0,2896000000.0,175000000.0,681000000.0,3.14,869324000.0,-291000000.0,841000000.0,-1132000000.0,25043000000.0,3.14,0.06642049494277655,0.006154722410542938,0.5743675603770556,8639000000.0,-389000000.0,1417000000.0,9.21,9.21,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2021-12-31,444438000000.0,401047000000.0,43034000000.0,25931000000.0,-2013000000.0,-154000000.0,-487000000.0,-2.070000000000001,-1778029000.0,6648000000.0,-311000000.0,6337000000.0,25931000000.0,-2.070000000000001,-0.04677696704930985,-0.004529315675077288,0.6025700608820932,3759000000.0,1001000000.0,227000000.0,4.139999999999999,4.139999999999999,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2022-06-30,452621000000.0,411476000000.0,40984000000.0,27610000000.0,1642000000.0,415000000.0,384000000.0,1.88,813894000.0,8419000000.0,871000000.0,7548000000.0,27610000000.0,1.88,0.04006441538161234,0.0036277592069303014,0.6736775326956861,4474000000.0,11943000000.0,559000000.0,5.049999999999999,5.049999999999999,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2022-09-30,427953000000.0,388057000000.0,39737000000.0,27820000000.0,2030000000.0,1473000000.0,626000000.0,2.0,814214000.0,12144000000.0,989000000.0,11155000000.0,27820000000.0,2.0,0.05108588972494149,0.0047435115538388565,0.7001031783979667,4555000000.0,23908000000.0,1909000000.0,4.949999999999999,4.949999999999999,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2022-12-31,405783000000.0,364933000000.0,40734000000.0,30458000000.0,2573000000.0,3614000000.0,768000000.0,2.0,814795000.0,15068000000.0,1346000000.0,13722000000.0,30458000000.0,2.0,0.06316590563165905,0.006340827486612303,0.7477291697353562,4232000000.0,38762000000.0,5348000000.0,3.8099999999999987,3.8099999999999987,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2023-03-31,425112000000.0,384310000000.0,40634000000.0,30489000000.0,976000000.0,2814000000.0,260000000.0,1.0,807718000.0,1792000000.0,261000000.0,1531000000.0,30489000000.0,1.0,0.024019294187133926,0.002295865560134741,0.7503322340896786,7221000000.0,33956000000.0,8316000000.0,6.88,6.88,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2023-06-30,430382000000.0,389280000000.0,40933000000.0,32463000000.0,2043000000.0,6938000000.0,530000000.0,2.0,799157000.0,2940000000.0,615000000.0,2325000000.0,32463000000.0,2.0,0.04991082989275157,0.004746945736578203,0.7930764908509027,7622000000.0,28733000000.0,14839000000.0,7.0,7.0,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2023-09-30,405248000000.0,364117000000.0,40966000000.0,29205000000.0,3081000000.0,11441000000.0,771000000.0,3.0,793364000.0,7980000000.0,951000000.0,7029000000.0,29205000000.0,3.0,0.07520870966167065,0.007602751895135818,0.7129082653908119,8673000000.0,24607000000.0,24807000000.0,8.0,8.0,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2023-12-31,409953000000.0,368944000000.0,40874000000.0,31257000000.0,-2814000000.0,-4890000000.0,-761000000.0,-3.0,-1612441000.0,-6800000000.0,-607000000.0,-7407000000.0,31257000000.0,-3.0,-0.06884572099623232,-0.0068642015060263,0.7647159563536723,3286000000.0,3478000000.0,16303000000.0,3.0,3.0,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2024-03-31,434728000000.0,393966000000.0,40569000000.0,32396000000.0,1025000000.0,5056000000.0,297000000.0,1.0,762268000.0,-2680000000.0,299000000.0,-2979000000.0,32396000000.0,1.0,0.02526559688432054,0.002357796139195083,0.7985407577214129,3335000000.0,-1032000000.0,18545000000.0,3.0,3.0,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
2024-06-30,428539000000.0,387418000000.0,40843000000.0,30947000000.0,2193000000.0,,654000000.0,2.0,756870000.0,-551000000.0,681000000.0,-1232000000.0,30947000000.0,2.0,0.053693411355679066,0.00511738721563265,0.7577063389075239,3485000000.0,-4589000000.0,,3.0,3.0,1.070706,128.76,70.46,4.04641,83891.95,1.8269,2.12845
