report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2011-09-30,332297000.0,244385000.0,102521000.0,120256000.0,211370000.0,,,81945000.0,,,75642000.0,18660000.0,12918000.0,116000.0,5587000.0,1.39,15480000.0,2851000.0,9401000.0,12629000.0,0.0,,11.4378,1.0847,1.39,28061000.0,0.061115579315891566,0.03887486194578946,,,0.056154584603532384,0.08828121303874722,,0.0,2.3837555232586496,,,,,,,,,,,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2011-12-31,379874000.0,246277000.0,132541000.0,159245000.0,219912000.0,,,36050000.0,,,102254000.0,24158000.0,17304000.0,97000.0,7142000.0,1.85,15716000.0,3197000.0,14184000.0,12519000.0,0.0,2.7975,12.8053,1.1406,1.85,38342000.0,0.07868601986249045,0.04555194617162533,,,0.06359477089771871,0.10985303212193968,,0.0,1.8581193743822666,,,,,,,,,,,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2012-04-01,379765000.0,250020000.0,130165000.0,156686000.0,222297000.0,,,55732000.0,,,23817000.0,1411000.0,1696000.0,-26000.0,594000.0,0.18,13343000.0,668000.0,4639000.0,12675000.0,0.0,,10.6964,0.9129,0.18,6050000.0,0.00762943269589783,0.004465919713507037,,,0.003715455610706621,0.00634736411197632,,0.0,1.9207928398571044,,,,,,,,,,,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2012-07-01,379267000.0,253131000.0,126292000.0,152894000.0,225625000.0,,,63053000.0,,,49325000.0,4636000.0,4144000.0,-36000.0,2253000.0,0.43,17153000.0,1427000.0,8934000.0,15726000.0,0.0,,9.7596,0.8489,0.43,13570000.0,0.018366759002770083,0.010926339491703733,,,0.012223578639850026,0.02054736842105263,,0.0,2.0043312323820985,,36062000.0,48865000.0,251038000.0,53549000.0,86023000.0,151000.0,3.85,3.85,0.0,323.6092715231788,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2012-09-30,382365000.0,260115000.0,127246000.0,154289000.0,227329000.0,,,67055000.0,,,72099000.0,6026000.0,5125000.0,-22000.0,3032000.0,0.53,21687000.0,2030000.0,13091000.0,19657000.0,0.0,,14.0341,0.9243,0.53,19117000.0,0.02254441800210268,0.013403423430491808,,,0.015759810652125585,0.026507836659643073,,0.0,2.044189994184493,,28269000.0,36231000.0,247495000.0,60577000.0,77079000.0,13000.0,2.9899999999999998,2.9899999999999998,0.0,2787.0,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2012-12-31,373409000.0,252523000.0,125544000.0,148257000.0,224600000.0,,,77367000.0,,,-53275000.0,-8130000.0,-8132000.0,90000.0,-2070000.0,-0.8500000000000001,-17156000.0,-398000.0,-9418000.0,-17554000.0,0.0,2.5259,13.6984,0.828,-0.8500000000000001,-17548000.0,-0.03620658949243099,-0.021777728978144607,,,-0.021772372920845506,-0.03619768477292965,,0.0,2.011430255527942,,2833000.0,3943000.0,91966000.0,30504000.0,21189000.0,6000.0,0.2899999999999999,0.2899999999999999,0.0,657.1666666666666,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2013-03-31,376065000.0,258097000.0,126236000.0,146340000.0,229165000.0,,,68112000.0,,,26799000.0,7708000.0,5533000.0,,2803000.0,0.57,2683000.0,823000.0,3226000.0,1860000.0,0.0,,16.8516,0.937,0.57,10934000.0,0.02414417559400432,0.014712882081555051,,,0.020496456729554732,0.0336351537102088,,0.0,2.044559396685573,,6670000.0,10240000.0,94948000.0,19689000.0,26073000.0,,0.6799999999999999,0.6799999999999999,0.0,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2017-06-30,0.0,,,0.0,0.0,,,,,0.0,,0.0,,,0.0,,0.0,,,,0.0,,,2.1309,,0.0,,,,,,,,,,,,5604000.0,,,12503000.0,,,,0.0,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2017-09-30,54810000000.0,16581000000.0,8732000000.0,,14985000000.0,,1866000000.0,4777000000.0,,11496000000.0,,-15000000.0,-104000000.0,,122000000.0,,-585000000.0,,716000000.0,,1866000000.0,,,3.0354,,701000000.0,-0.0069402736069402735,-0.0018974639664294836,-0.009046624913013222,-0.0013048016701461378,-0.0002736726874657909,-0.0008901548869503294,0.06097773138482951,0.12452452452452452,1.8988776912505727,,,-15422000.0,,,694386000.0,,,,2.6872661603200525,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2017-12-31,57050000000.0,18499000000.0,8897000000.0,,14709000000.0,,2037000000.0,7023000000.0,,17259000000.0,,-107000000.0,-73000000.0,,71000000.0,,-799000000.0,,1103000000.0,,2037000000.0,2.0792,,2.1387,,996000000.0,-0.004962947855054728,-0.0012795793163891324,-0.004229677269830233,-0.006199663943449794,-0.0018755477651183172,-0.006389585572674071,0.05770902138014949,0.1384866408321436,2.0792401933235922,,,-114292000.0,,,1707934000.0,,,,1.1926690375623414,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2018-03-31,55221000000.0,17054000000.0,8325000000.0,,14252000000.0,,1176000000.0,,,5399000000.0,,-41000000.0,70000000.0,,-86000000.0,0.17,294000000.0,,388000000.0,,1176000000.0,,248.2556,1.5336,0.17,347000000.0,0.004911591355599214,0.001267633690081672,0.012965363956288202,-0.007593998888683089,-0.0007424711613335507,-0.0026575058335493906,0.06427116132617151,0.0825147347740668,2.0485285285285286,34154000000.0,,-163000000.0,,,2044000000.0,,,,0.5753424657534246,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2018-06-30,54090000000.0,16442000000.0,8633000000.0,,13811000000.0,,1067000000.0,,,,,37000000.0,51000000.0,,-24000000.0,0.0,433000000.0,,780000000.0,,1067000000.0,,,1.6599,0.0,817000000.0,0.0036927087104481936,0.0009428729894620078,,,0.0006840451100018488,0.0024868933996504907,,0.0772572587068279,1.904552299316576,,-56000000.0,-126000000.0,,,2861000000.0,,,,0.3729465221950367,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
