report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-05-31,36029000000.0,1586000000.0,6763000000.0,36029000000.0,20864000000.0,7681000000.0,808000000.0,594000000.0,6290000000.0,604000000.0,427000000.0,195000000.0,-16000000.0,0.54,1794000000.0,2168000000.0,694000000.0,-374000000.0,8489000000.0,,16.9487,2.0361,0.54,1298000000.0,0.020465874233128834,0.01185156401787449,0.06788553259141494,0.09602543720190779,0.016764273224347054,0.02057711307191769,-0.05945945945945946,0.20635930047694753,0.4068730828220859,0.23451131154812954,,,,,,,,,,,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2010-08-31,36847000000.0,1445000000.0,5876000000.0,36847000000.0,22595000000.0,7644000000.0,415000000.0,527000000.0,,2006000000.0,1730000000.0,285000000.0,-6000000.0,2.16,3084000000.0,2838000000.0,1049000000.0,246000000.0,8059000000.0,,13.0015,1.754,2.16,3055000000.0,0.0765656118610312,0.04695090509403751,,,0.054441338507883956,0.06544007307366086,,,0.3566718300508962,0.2459155888359428,,,,,,,,,,,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2010-11-30,37490000000.0,1244000000.0,5755000000.0,37490000000.0,23031000000.0,8011000000.0,740000000.0,429000000.0,,2347000000.0,1978000000.0,378000000.0,1000000.0,2.47,3818000000.0,3579000000.0,1416000000.0,239000000.0,8751000000.0,0.2162,16.425,2.2454,2.47,3763000000.0,0.08588424297685728,0.05276073619631902,,,0.062603360896239,0.07384683153986533,,,0.37996613260388173,0.2161598609904431,,,,,,,,,,,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2011-02-28,37965000000.0,1365000000.0,6009000000.0,37965000000.0,23435000000.0,7815000000.0,679000000.0,465000000.0,,235000000.0,152000000.0,86000000.0,5000000.0,0.19,412000000.0,172000000.0,367000000.0,240000000.0,8494000000.0,,17.4561,2.32,0.19,602000000.0,0.006486025176018775,0.0040036876070064535,,,0.006189911760832345,0.007360080177894704,,,0.36244932792831236,0.2271592611083375,,4287000000.0,5192000000.0,351000000.0,8718000000.0,944000000.0,5.36,5.36,0.9743060334939206,5.5,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2011-05-31,39763000000.0,1499000000.0,6521000000.0,39763000000.0,23852000000.0,8678000000.0,274000000.0,557000000.0,,514000000.0,358000000.0,177000000.0,3000000.0,0.45,1801000000.0,1622000000.0,747000000.0,179000000.0,8952000000.0,,16.2195,2.0556,0.45,1261000000.0,0.015009223545195372,0.009003344818046929,,,0.012926590046022684,0.015668820875502986,,,0.3753144390407513,0.22987271890814293,,4218000000.0,5102000000.0,904000000.0,8681000000.0,926000000.0,5.2700000000000005,5.2700000000000005,1.031217601658795,5.509719222462203,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2011-08-31,40026000000.0,1397000000.0,6881000000.0,40026000000.0,24752000000.0,7714000000.0,912000000.0,430000000.0,,1947000000.0,1695000000.0,273000000.0,8000000.0,2.14,3016000000.0,2435000000.0,1137000000.0,581000000.0,8626000000.0,,13.4161,1.6716,2.14,3084000000.0,0.06847931480284422,0.042347474141807825,,,0.04864338180182881,0.05833183534064354,,,0.34849709114414995,0.20302281645109724,,4183000000.0,5043000000.0,1239000000.0,8710000000.0,914000000.0,5.25,5.25,0.9903559127439725,5.517505470459518,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2011-11-30,38637000000.0,1312000000.0,6105000000.0,38637000000.0,23832000000.0,8053000000.0,281000000.0,450000000.0,,-441000000.0,-293000000.0,-171000000.0,,-0.3600000000000003,-1463000000.0,-1533000000.0,-729000000.0,-2996000000.0,8334000000.0,0.2149,13.5954,1.646,-0.3600000000000003,-1170000000.0,-0.012294394091977174,-0.007583404508631622,,,-0.011413929652923364,-0.013710128707330722,,,0.3496978851963746,0.2149058149058149,,1912000000.0,2255000000.0,-1996000000.0,3777000000.0,365000000.0,2.42,2.42,2.2065131056393965,6.178082191780822,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2012-02-29,38963000000.0,2173000000.0,6544000000.0,38963000000.0,23653000000.0,7964000000.0,538000000.0,471000000.0,,-82000000.0,-139000000.0,88000000.0,-2000000.0,-0.18,322000000.0,267000000.0,376000000.0,55000000.0,8502000000.0,,14.4239,1.4653,-0.18,294000000.0,-0.005876632985245001,-0.0035674871031491414,,,-0.0021045607371095653,-0.0025501477219716994,,,0.35944700460829493,0.332059902200489,,1621000000.0,1938000000.0,-2181000000.0,3469000000.0,367000000.0,2.05,2.05,2.4508503891611415,5.2806539509536785,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2012-05-31,39462000000.0,2169000000.0,7262000000.0,39462000000.0,23026000000.0,8392000000.0,541000000.0,900000000.0,,171000000.0,-125000000.0,175000000.0,-2000000.0,-0.16,1458000000.0,1997000000.0,752000000.0,-539000000.0,8933000000.0,,17.464,1.5721,-0.16,923000000.0,-0.005428645878572049,-0.0031676042775328163,,,0.004333282651664893,0.005350605463249789,,,0.3879527490662729,0.2986780501239328,,1138000000.0,1595000000.0,-2899000000.0,3131000000.0,365000000.0,1.4399999999999997,1.4399999999999997,2.8530820824017886,4.36986301369863,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
2012-08-31,39082000000.0,1941000000.0,5936000000.0,39082000000.0,24193000000.0,8289000000.0,9000000.0,568000000.0,,1466000000.0,1205000000.0,259000000.0,4000000.0,1.55,2476000000.0,2164000000.0,1135000000.0,312000000.0,8298000000.0,,18.9326,1.7369,1.55,2601000000.0,0.049807795643367916,0.030832608361905735,,,0.03751087457141395,0.04512018712874334,,,0.34299177448022156,0.3269878706199461,,648000000.0,1114000000.0,-3168000000.0,2648000000.0,351000000.0,0.8499999999999996,0.8499999999999996,3.1336858006042294,3.173789173789174,2.504414,34.03,15.07,32.0596,31767.96,10.2577,2.746,1.1776
