report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,22137100000.0,6122100000.0,3228500000.0,22137100000.0,9006000000.0,3765800000.0,21100000.0,1937800000.0,3586600000.0,415100000.0,191500000.0,,95600000.0,0.95,201900000.0,,,,,3786900000.0,,,,0.95,415100000.0,0.021263602043082388,0.008650636262202365,0.05339318574694697,0.11573635197680254,0.018751326957912283,0.03244768582573146,,0.11573635197680254,0.4204863424383744,1.896267616540189,,,,,,,,,1.198671,412.7,161.35,3.49793,98758.2,42.5865,7.5996,3.8679
2010-06-30,21709400000.0,5569700000.0,2818200000.0,21709400000.0,9269600000.0,3765400000.0,29000000.0,1603200000.0,6896500000.0,597000000.0,264100000.0,,133100000.0,1.31,202200000.0,-206600000.0,425000000.0,256700000.0,-631600000.0,3794400000.0,,,,1.31,853700000.0,0.0284909812721153,0.012165237178365132,0.03829478721090408,0.08656564924236931,0.0274996084645361,0.04569810165339865,-0.09158268687015153,0.12378742840571304,0.40933805126434797,1.9763324107586402,,,,,,,,,1.198671,412.7,161.35,3.49793,98758.2,42.5865,7.5996,3.8679
2010-09-30,19165600000.0,5514700000.0,2813500000.0,19165600000.0,7870400000.0,3772200000.0,37000000.0,1295200000.0,10865400000.0,-1649700000.0,-1142400000.0,,-813900000.0,-5.69,200700000.0,-20600000.0,709500000.0,379200000.0,-730100000.0,3809200000.0,,,,-5.69,-1270500000.0,-0.145151453547469,-0.05960679550861961,-0.10514109006571318,-0.1518305814788227,-0.0860760946696164,-0.1412462755573821,-0.06719494910449685,-0.11693080788558176,0.4839906485057939,1.9600853030033765,,,,,,,,,1.198671,412.7,161.35,3.49793,98758.2,42.5865,7.5996,3.8679
2010-12-31,20018500000.0,6452600000.0,3277200000.0,20018500000.0,8108000000.0,4054200000.0,32400000.0,2028500000.0,,,,,,,,738500000.0,-138900000.0,-118300000.0,599600000.0,4086600000.0,,,,,,,,,,,,,,0.5040207202762703,1.9689368973513974,,,,,,,,,1.198671,412.7,161.35,3.49793,98758.2,42.5865,7.5996,3.8679
2011-03-31,19543600000.0,4852500000.0,2698100000.0,19543600000.0,8241800000.0,4047500000.0,34100000.0,1157500000.0,3570200000.0,217600000.0,70400000.0,,50100000.0,0.35,200700000.0,687300000.0,231800000.0,154100000.0,455500000.0,4081600000.0,,,,0.35,371700000.0,0.008541823388094835,0.003602202255469821,0.019718783261441938,0.060948966444456895,0.011134079698724902,0.01765746466072675,0.12758388885776706,0.10411181446417568,0.4952316241597709,1.7984878247655758,,,,-306600000.0,,,,,1.198671,412.7,161.35,3.49793,98758.2,42.5865,7.5996,3.8679
2011-06-30,19713400000.0,4742100000.0,2895600000.0,19713400000.0,8304500000.0,3947500000.0,20600000.0,954800000.0,1613700000.0,206100000.0,91100000.0,,57300000.0,,,976500000.0,566300000.0,305900000.0,410200000.0,3968100000.0,,,,,512000000.0,0.010969956047925822,0.004621222112877535,0.05645411166883559,0.12771890686001117,0.01045481753528057,0.016793507488225803,0.2541984259775671,0.31728326206853813,0.47782527545306763,1.6376916701201822,,,,735200000.0,,,,,1.198671,412.7,161.35,3.49793,98758.2,42.5865,7.5996,3.8679
2011-09-30,20083000000.0,4840300000.0,3092000000.0,20083000000.0,8280300000.0,4149500000.0,160600000.0,1171000000.0,10451100000.0,707500000.0,243300000.0,,174500000.0,1.21,201700000.0,1353200000.0,851400000.0,449600000.0,501800000.0,4310100000.0,,,,1.21,1157100000.0,0.029382993369805443,0.012114723895832296,0.02327984614059764,0.0676962233640478,0.035228800478016235,0.056193607828186554,0.04801408464180804,0.11071561845164624,0.5205246186732365,1.5654269081500647,,,,1967100000.0,,,,,1.198671,412.7,161.35,3.49793,98758.2,42.5865,7.5996,3.8679
2011-12-31,19412600000.0,4818500000.0,3287800000.0,19412600000.0,7400800000.0,4456400000.0,,964500000.0,-1876800000.0,-1328200000.0,-745100000.0,,-512800000.0,-3.26,-202300000.0,-1762600000.0,-542700000.0,-320300000.0,-2305300000.0,4456400000.0,,,,-3.26,-1648500000.0,-0.1006783050481029,-0.038382287792464685,0.3970055413469736,0.7076939471440751,-0.06841948013146101,-0.112016327632156,1.2283141517476557,0.8783567774936062,0.6021511187979678,1.4655696818541273,13758200000.0,-340300000.0,-197000000.0,-937800000.0,392300000.0,,11.359673719092532,,1.198671,412.7,161.35,3.49793,98758.2,42.5865,7.5996,3.8679
2022-03-31,46846000000.0,8767000000.0,6434000000.0,35341000000.0,,4548000000.0,1080000000.0,1605000000.0,5591000000.0,435000000.0,106000000.0,55000000.0,-53000000.0,,,1351000000.0,410000000.0,,941000000.0,5628000000.0,0.9981,,,,435000000.0,,0.0022627332109465058,0.01895904131640136,0.07780361294938294,0.009285744780771037,0.07729211087420043,0.16830620640314792,0.07780361294938294,,1.3626049114081442,15779000000.0,-304700000.0,20400000.0,-452300000.0,455600000.0,,12.352941176470589,,1.198671,412.7,161.35,3.49793,98758.2,42.5865,7.5996,3.8679
2022-06-30,45333000000.0,8090000000.0,5878000000.0,33944000000.0,,4507000000.0,200000000.0,806000000.0,11056000000.0,708000000.0,-5000000.0,111000000.0,-381000000.0,,,1263000000.0,800000000.0,,463000000.0,4707000000.0,,,,,708000000.0,,-0.00011029492863918118,-0.00045224312590448623,0.06403762662807526,0.015617761895308054,0.1504142766093053,0.041877713458755426,0.06403762662807526,,1.3763184756719973,25221300000.0,-400800000.0,522300000.0,-399500000.0,651600000.0,,7.223756906077348,,1.198671,412.7,161.35,3.49793,98758.2,42.5865,7.5996,3.8679
2022-09-30,46616000000.0,9853000000.0,7887000000.0,35447000000.0,,4480000000.0,693000000.0,1192000000.0,17107000000.0,667000000.0,-194000000.0,186000000.0,-504000000.0,,,69000000.0,1090000000.0,,-1021000000.0,5173000000.0,,,,,667000000.0,,-0.004161661232194955,-0.011340386976091658,0.038989887180686265,0.01430839196842286,0.12893872027836845,-0.05968317063190507,0.038989887180686265,,1.2492709521998224,31877200000.0,-838100000.0,481800000.0,-1922300000.0,161500000.0,,32.030959752321984,,1.198671,412.7,161.35,3.49793,98758.2,42.5865,7.5996,3.8679
