report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_ps_ttm
2011-09-30,125721.0,99606.0,648741.0,1118009.0,,219268.0,32503.0,495483.0,237777.0,-182854.0,-248084.0,,0.0,-0.01,22405340.0,-104274.0,,,,219268.0,,0.1578,-0.01,-182854.0,,-1.9732900629170942,-0.5006912447046619,0.4798893201179455,-0.369041924748175,-1.4544427740791117,-0.8339292555229217,,-0.369041924748175,,0.15353739011408252,,,,,,,,,,,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2011-12-31,2170810000.0,637302000.0,688609000.0,1150310000.0,1020500000.0,,82201000.0,743727000.0,,90370000.0,61252000.0,,30339000.0,0.28,,73685000.0,15879000.0,44706000.0,57806000.0,0.0,0.0448,0.1212,0.28,135076000.0,0.06002155805977462,0.028216195797881895,0.08235817712682207,,0.1215096399619753,0.041629622122617824,0.08855463008329251,0.07772475653028597,0.18162040641256805,0.0,0.9254918248236662,,,,,,,,,,,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2012-03-31,2167538000.0,641358000.0,586972000.0,1117601000.0,1049937000.0,45000000.0,99180000.0,265500440.0,,36502481.0,27437682.0,-3161000.0,9564000.0,0.13,,106115097.0,3387000.0,15845000.0,102728097.0,45000000.0,,0.1685,0.13,52347481.0,0.026132693675906267,0.012658454892140299,0.10334326376257606,,0.13748557629509014,0.01684052644059758,0.03333751713568908,0.38692251131485883,0.19716532673166193,0.04285971444000926,1.0926551862780507,,,,,,,,,,,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2012-06-30,2037853000.0,528860000.0,510330000.0,991093000.0,1046760000.0,36500000.0,83507000.0,226161000.0,,16563000.0,10468000.0,,6147000.0,0.05,,18125000.0,2244000.0,15369000.0,15881000.0,36500000.0,,0.0874,0.05,31932000.0,0.010000382131529673,0.005136778756858321,0.046285610693267185,,0.07323543847082388,0.008127671623026784,0.015289958089470672,0.0702198876021949,0.14119145210712722,0.034869502082616834,1.036309838731801,1235883923.0,98909598.0,143252627.0,,219172627.0,,0.45,0.45,0.16653539495148725,,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2012-09-30,31317.0,19935.0,797489.0,1291292.0,-1259975.0,173803.0,1745.0,196395.0,170278.0,-86192.0,-158521.0,72329.0,0.0,,,-54799.0,,,,173803.0,,0.4265,,-86192.0,0.12581281374630449,-5.061819459079733,-0.8071539499478093,0.8670179994399043,-0.43887064334631737,-2.752243190599355,0.07935391448131604,,-0.43887064334631737,-0.13794162582590924,0.024997209992865106,1235584835.0,98999161.0,143349289.0,,219269289.0,,,,0.0007926463427352108,,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2012-12-31,28302.0,19973.0,997589.0,1334645.0,-1306343.0,166556.0,857.0,-1674506111.0,3433.0,-180294698.0,-118100670.0,24943.0,-63380000.0,,,-140722604.0,,,,166556.0,0.02,1.3288,,-180294698.0,90.40555964245225,-4172.873648505406,0.07052865870371255,-2.05015674618819e-06,0.10767037326148045,-6370.387181117942,158.1827990668432,,0.10767037326148045,-0.12749790828289354,0.0200212712850683,-1182648276.0,-80353509.0,-127315409.0,,-96101409.0,,,,-0.0017331275548727906,,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2013-03-31,1973282000.0,593239000.0,555080000.0,975056000.0,998226000.0,18000000.0,89873000.0,13439883.0,,-87571124.0,-73835911.0,1756758.0,-14746000.0,-0.34,,65424013.0,3789000.0,1192000.0,61635013.0,18000000.0,,1.5884,-0.34,-86379124.0,-0.07396712868628948,-0.03741782015951091,-5.493791203390685,,-6.515765353016838,-0.044378413222235846,-0.08617288280362832,4.585978389841638,-6.42707410473737,0.018031988748039022,1.0687450457591698,-1434708833.0,-181627102.0,-251389014.0,,-234828014.0,,,,-0.07665184273968267,,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2013-06-30,12075.0,6829.0,1034441.0,1356749.0,-1344674.0,152062.0,603.0,105098.0,74131.0,-68890.0,-108344.0,39454.0,0.0,,,645.0,,,,152062.0,,1.0014,,-68890.0,0.08057268899376355,-8.972587991718427,-1.0308854592856191,0.7053511960265657,-0.655483453538602,-5.705175983436853,0.05776396682240326,,-0.655483453538602,-0.1130846584376585,0.006601633152591593,-1660764735.0,-192203446.0,-268020904.0,,-266828904.0,1893484.0,,,-0.000569885787185934,-141.5490725033853,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2013-09-30,8706.0,4857.0,1051586.0,1366664.0,-1357958.0,144832.0,957.0,114281.0,73520.0,-97789.0,-138372.0,52833.0,0.0,,,-11253.0,,,,144832.0,,1.2795,,-97789.0,0.10189711316550291,-15.893866299104067,-1.2108049457040102,0.6433265372196603,-0.8556890471731959,-11.232368481507006,0.08060910408317025,,-0.8556890471731959,-0.10665425587536581,0.004618737792249041,-1660846849.0,-192183297.0,-268032501.0,,-266840501.0,1873988.0,,,-0.0005427661822595664,-143.0278641058534,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2013-12-31,16119.0,13418.0,1366303.0,1392093.0,-1375974.0,25790.0,11458.0,-1410931705.0,-120255.0,-136867394.0,-97601446.0,-52948.0,-44656000.0,,,-108206751.0,,,,25790.0,0.0073,1.7717,,-136867394.0,70.93262372690181,-6055.05589676779,0.06917517386144498,8.523091484431559e-05,0.09700497445409663,-8491.059867237422,101.36943853578475,,0.09700497445409663,-0.018743086715301307,0.009820662034702405,-1397272443.0,-171684073.0,-224605197.0,,-223413197.0,1796097.0,,,-0.00011543633208023965,-125.05181902759149,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2014-03-31,2366.0,608.0,1370766.0,1392038.0,-1389672.0,21272.0,608.0,4280.0,1181.0,-17205.0,-30442.0,13237.0,0.0,,,-10850.0,,,,21272.0,0.0073,1.7717,,-17205.0,0.02190588858378092,-12.866441251056635,-7.1126168224299064,0.2759345794392523,-4.019859813084112,-7.271766694843618,0.012573078047354575,,-4.019859813084112,-0.015307209183174159,0.00044354762227834655,-1410708046.0,-97878604.0,-137051278.0,28577.0,-137051278.0,52576.0,,,-0.00015521197839541489,-2606.726985696896,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2014-06-30,220.0,220.0,1388835.0,1405623.0,-1405403.0,16788.0,220.0,4971.0,1872.0,-19640.0,-46174.0,26534.0,0.0,,,-11238.0,,,,16788.0,,,,-19640.0,0.03285463315504521,-209.88181818181818,-9.288674311003822,0.37658418829209417,-3.9509153087909876,-89.27272727272727,0.01414358911577363,,-3.9509153087909876,-0.011945328137196235,0.00015840614615847095,-1410808173.0,-97816434.0,-137002028.0,-43682.0,-137002028.0,39656.0,,,-0.0001225383320603108,-3454.761650191648,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
