report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,3811917000.0,293897000.0,265302000.0,1957787000.0,1854130000.0,915000000.0,28505000.0,212556000.0,60589000.0,28696000.0,14912000.0,16981000.0,0.27,104978000.0,116097000.0,58275000.0,915000000.0,,,,0.27,118864000.0,0.01547680044009859,0.007527970834622055,0.1350044223639888,0.28504958693238486,0.01589462729644953,0.02188015730572418,0.5592126310242947,0.4934929050282343,1.107782828625491,,,,,,,,,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2010-06-30,3870200000.0,248257000.0,226833000.0,2024296000.0,1845904000.0,1015000000.0,47685000.0,408030000.0,112657000.0,50378000.0,,31598000.0,0.48,104838000.0,243178000.0,125962000.0,1015000000.0,,,,0.48,238619000.0,0.027291776820463035,0.013016898351506382,0.12346641178344729,0.2760997965835845,0.02910883158493101,0.039378112652504245,0.5848074896453692,0.549866081876414,1.0944483386456114,,,,,,,,,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2010-09-30,3946710000.0,220985000.0,304539000.0,2103372000.0,1843338000.0,1020000000.0,37588000.0,627160000.0,134931000.0,54277000.0,,33215000.0,0.52,105144000.0,367492000.0,235579000.0,1020000000.0,,,,0.52,370510000.0,0.02944495258059021,0.013752467244869778,0.08654410357803431,0.21514605523311436,0.034188222595528936,0.04712367174256061,0.5907742840742394,0.5533439879175712,0.7256377672482014,,,,,,,,,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2010-12-31,4005031000.0,203008000.0,303835000.0,2132331000.0,1872700000.0,975000000.0,55949000.0,-403711000.0,-41738000.0,-29965000.0,,13318000.0,-0.29000000000000004,-209765000.0,-241856000.0,-92733000.0,975000000.0,,,,-0.29000000000000004,-134471000.0,-0.016000961179046296,-0.007481839716097079,0.07422388788019152,0.10338583788898494,-0.010421392493591185,-0.0146567405274432,0.33308728273443133,0.5206386500774283,0.668152122039923,844035000.0,103386000.0,266439000.0,593522000.0,,0.98,0.98,1.642736073810238,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2011-03-31,4048407000.0,161538000.0,241702000.0,2162387000.0,1886020000.0,1055000000.0,24896000.0,209026000.0,36390000.0,12886000.0,,6137000.0,0.12,105320000.0,91213000.0,77124000.0,1055000000.0,,,,0.12,113514000.0,0.006832377175215534,0.0031829803673395487,0.061647833283897696,0.17409317501172103,0.008988720748679666,0.01237325825733929,0.5430616286969085,0.5593790097665985,0.6683353882053107,840505000.0,87576000.0,242240000.0,588172000.0,,0.83,0.83,1.793693001366947,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2011-06-30,4250160000.0,235838000.0,286724000.0,2283961000.0,1966199000.0,1095000000.0,39314000.0,449722000.0,143008000.0,67563000.0,,40034000.0,0.64,105088000.0,220701000.0,160349000.0,1095000000.0,,,,0.64,303357000.0,0.03436223902056709,0.015896578011180756,0.15023281049181494,0.3179920039491063,0.03364767444049165,0.04671633565802158,0.6745433845798071,0.5569120928247853,0.8225261924359314,882197000.0,104761000.0,272591000.0,652910000.0,,0.99,0.99,1.677107105114028,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2013-06-30,5017936000.0,403193000.0,494391000.0,2731695000.0,2286241000.0,1067000000.0,47277000.0,822965000.0,251750000.0,131938000.0,,86856000.0,0.0,211492000.0,,300042000.0,1067000000.0,,,,0.0,551792000.0,0.057709576549453884,0.026293280743317573,0.1603203052377683,0.30590608349079246,0.05017003006813957,0.07507661990295358,0.670492669797622,0.466704953677237,0.8155346679045533,1078002000.0,182422000.0,389410000.0,834192000.0,,0.47,0.47,1.279082033872298,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2013-09-30,5031392000.0,289756000.0,399273000.0,2702658000.0,2328734000.0,1162000000.0,27932000.0,1258815000.0,383282000.0,201827000.0,,132703000.0,0.0,422824000.0,,469022000.0,1162000000.0,,,,0.0,852304000.0,0.08666812096186167,0.04011355108089372,0.16033094616762592,0.30447841819488963,0.07617812327085625,0.10979983006439334,0.6770685128474001,0.49898356789568926,0.7257089760639963,2740528000.0,414214000.0,814430000.0,1820967000.0,,0.76,0.76,0.6381224920605371,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2014-03-31,5145775000.0,373830000.0,432628000.0,2876984000.0,2268791000.0,1222000000.0,25431000.0,509803000.0,194487000.0,107031000.0,,70899000.0,0.0,418513000.0,,147418000.0,1222000000.0,,,,0.0,341905000.0,0.04717534581193243,0.020799782345710803,0.20994580259433546,0.38149442039375997,0.03779547298511886,0.055714306585527465,0.6706610200410746,0.5386128559219425,0.8640910898046359,3041305000.0,508359000.0,972527000.0,2049358000.0,,0.64,0.64,0.5962842997660731,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2014-06-30,5208922000.0,306096000.0,362147000.0,2806983000.0,2401939000.0,1193000000.0,45610000.0,1042990000.0,405140000.0,225451000.0,,146798000.0,0.0,418742000.0,,304981000.0,1193000000.0,,,,0.0,710121000.0,0.09386208392469583,0.043281700129124606,0.2161583524290741,0.3884409246493255,0.07777808920924521,0.11269732254149514,0.680851206627101,0.4966820556225616,0.8452258337084112,3634573000.0,666247000.0,1234659000.0,2456122000.0,,0.0,0.0,0.48572505763150203,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2014-09-30,5807264000.0,587946000.0,432791000.0,3440793000.0,2366471000.0,1612000000.0,309987000.0,1555007000.0,595479000.0,326239000.0,,218928000.0,0.0,418468000.0,,458995000.0,1612000000.0,,,,0.0,1054474000.0,0.1378588624158082,0.05617774566473988,0.20979905556695244,0.3829429706747301,0.1025403701295481,0.14967534009924918,0.6781152753653199,0.6811830780939213,1.358498674880023,4366615000.0,860548000.0,1578388000.0,2958804000.0,,0.0,0.0,0.544814729194634,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2014-12-31,5437716000.0,413447000.0,499018000.0,3294983000.0,2142733000.0,1752000000.0,20954000.0,-934789000.0,-1088920000.0,-554253000.0,,-508692000.0,0.0,-838122000.0,,-278634000.0,1752000000.0,,,,0.0,-1367554000.0,-0.25866638540592785,-0.10192753722334892,0.5929177600506639,1.1648831982404586,-0.20025319453976634,-0.27958784337719683,1.462954741658278,0.8176473690375796,0.8285212156675711,2173011000.0,104468000.0,106186000.0,738946000.0,,0.0,0.0,2.370944561578248,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2015-03-31,5512323000.0,349403000.0,402746000.0,3336792000.0,2175531000.0,1877000000.0,13948000.0,464765000.0,87295000.0,40255000.0,,23474000.0,0.0,414771000.0,,175497000.0,1877000000.0,,,,0.0,262792000.0,0.018503528563831084,0.0073027288132426205,0.08661366497046895,0.18782610566630448,0.015836336150838765,0.021540859280286814,0.5654298408873302,0.8627778689432603,0.8675517571869118,2127973000.0,37692000.0,-1006000.0,659833000.0,,0.0,0.0,2.8446591789134525,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2015-06-30,5504920000.0,254993000.0,278852000.0,3359004000.0,2145916000.0,1995000000.0,15231000.0,771062000.0,68333000.0,12747000.0,,7852000.0,0.0,414878000.0,,328009000.0,1995000000.0,,,,0.0,396342000.0,0.005940120675739405,0.0023155649855038764,0.016531744528974324,0.08862192664143739,0.01241307775589836,0.01650190440955576,0.5140209217935782,0.9296729228916696,0.9144384834966218,1856045000.0,-175012000.0,-337813000.0,346054000.0,,0.0,0.0,5.764996214463639,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2015-09-30,5484672000.0,215421000.0,265585000.0,3362935000.0,2121737000.0,2017000000.0,8773000.0,1076359000.0,67308000.0,-2767000.0,,-2169000.0,0.0,413636000.0,584954000.0,472335000.0,2017000000.0,,,,0.0,539643000.0,-0.001304120161923933,-0.0005044968960769213,-0.0025707036406998037,0.06253303962711326,0.012272019183644893,0.016262932387344255,0.5013596764648226,0.9506362004338897,0.8111188508387145,1377397000.0,-504018000.0,-865984000.0,-168777000.0,,0.0,0.0,-11.950680483715198,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
2015-12-31,5261899000.0,144786000.0,235552000.0,3252711000.0,2009188000.0,2005000000.0,514000.0,-955036000.0,-313298000.0,-164126000.0,,-102539000.0,0.0,-829589000.0,,-353630000.0,2005000000.0,1.4151,,,0.0,-666928000.0,-0.08168772658407276,-0.031191400671126527,0.17185320762777528,0.3280483667631377,-0.059540861578681006,-0.07804766493248448,0.6983276023102793,0.99791557584457,0.614666825159625,1357150000.0,-113891000.0,-90362000.0,531849000.0,,0.0,0.0,3.769867011125338,,0.33444858,36.88,22.33,11.03131,26240.475,15.2827,1.3498,3.4324
