report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,2816359000.0,1859362000.0,1150297000.0,1527896000.0,1278653000.0,,,599941000.0,,,,48958000.0,6176000.0,29430000.0,0.72,,,,0.0,,12.0001,0.2946,0.72,,0.03828873040613833,0.017383437267763095,,,,,,,0.0,1.616419063946094,,,,,,,,,,,,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2010-09-30,2627504000.0,1889470000.0,1158228000.0,1509393000.0,1108340000.0,,,641111000.0,3765138000.0,514443000.0,-97122000.0,-126667000.0,9355000.0,27068000.0,-1.91,-30623000.0,,,0.0,,,0.322,-1.91,-97122000.0,-0.11428532760705198,-0.048208109293078144,-0.03364206039725503,0.1366332389410428,-0.025795070459568813,-0.03696359739128846,-0.0876283450926611,-0.025795070459568813,0.0,1.6313454691131626,,,,,,,,,,,,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2010-12-31,2755542000.0,1980167000.0,1232699000.0,1592697000.0,1152943000.0,,,710836000.0,5121285000.0,719544000.0,-28686000.0,-86691000.0,12204000.0,52395000.0,-1.31,68652000.0,,,0.0,1.6064,,0.3969,-1.31,-28686000.0,-0.07519105454476067,-0.031460598314233645,-0.01692758750977538,0.14050067512352857,-0.005601328572809363,-0.010410293147409839,-0.02488067493362638,-0.005601328572809363,0.0,1.6063670044349838,,,,,,,,,,,,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2011-03-31,2750013000.0,1941871000.0,1187454000.0,1556503000.0,1182826000.0,,,631984000.0,1312231000.0,162970000.0,42338000.0,24594000.0,2746000.0,14778000.0,0.36,-36371000.0,,,0.0,,,0.421,0.36,42338000.0,0.02079257642290582,0.008943230450183326,0.018742126957829834,0.12419307271356948,0.032264136421102686,0.015395563584608508,0.03579393756985389,0.032264136421102686,0.0,1.6353231367278227,,-139806000.0,,,,,30481000.0,-2.14,-2.14,,,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2011-06-30,2896574000.0,1809354000.0,1264855000.0,1672670000.0,1214007000.0,,,406546000.0,2712158000.0,342786000.0,91454000.0,53403000.0,5563000.0,32247000.0,0.78,5031000.0,,,0.0,,,0.3936,0.78,91454000.0,0.043989037954476375,0.0184366082137035,0.019690224537066058,0.12638865434830862,0.03372001188721306,0.03157316194925453,0.07533234981346895,0.03372001188721306,0.0,1.4304833360345652,12910812000.0,-135361000.0,7984000.0,1739743000.0,,7984000.0,29868000.0,-2.08,-2.08,0.0,0.2673094951118254,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2011-09-30,9600000000.0,1883000000.0,491000000.0,6866000000.0,2732000000.0,4575000000.0,,1235000000.0,,,18000000.0,-18000000.0,241000000.0,-104000000.0,,547000000.0,477000000.0,70000000.0,4575000000.0,,10.136,0.2596,,18000000.0,-0.006588579795021962,-0.001875,,,,0.001875,0.002463391268646503,,1.674597364568082,3.835030549898167,,-26694000.0,123106000.0,,,123106000.0,261513000.0,,,37.16309521875457,0.47074524019838404,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2011-12-31,3014076000.0,1936653000.0,1330913000.0,1768945000.0,1234734000.0,,,511322000.0,1589070000.0,228193000.0,59001000.0,70829000.0,-238048000.0,,0.7699999999999998,-366235000.0,,,0.0,1.4552,13.9588,0.3313,0.7699999999999998,59001000.0,0.05736377227807771,0.02349940744692569,0.04457261165335699,0.14360160345359235,0.037129264286658234,0.01957515338033945,0.047784381089368236,0.037129264286658234,0.0,1.455131176868811,,130826000.0,210793000.0,,,210793000.0,11261000.0,,,0.0,18.718852677382117,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2012-03-31,8385000000.0,1992000000.0,494000000.0,6598000000.0,1541000000.0,4902000000.0,,1307000000.0,,,-85000000.0,-84000000.0,86000000.0,-91000000.0,,-100000000.0,86000000.0,-186000000.0,4902000000.0,,13.8792,0.3199,,-85000000.0,-0.054510058403634,-0.01001788908765653,,,,-0.010137149672033392,-0.013192612137203167,,3.18105126541207,4.032388663967612,,22232000.0,83455000.0,,,83455000.0,94515000.0,,,58.738242166437004,0.8829815373221181,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2012-06-30,8254000000.0,1658000000.0,925000000.0,6592000000.0,1418000000.0,4430000000.0,9000000.0,1009000000.0,,,-233000000.0,-193000000.0,170000000.0,-190000000.0,,-354000000.0,166000000.0,-520000000.0,4439000000.0,,13.6818,0.3131,,-233000000.0,-0.13610719322990128,-0.02338260237460625,,,,-0.028228737581778532,-0.039781458084343524,,3.1304654442877293,1.7924324324324323,,-224171000.0,-240999000.0,,,-240999000.0,258952000.0,,,-18.419163564994047,-0.9306705489820507,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2012-09-30,8171000000.0,1376000000.0,905000000.0,6689000000.0,1240000000.0,4480000000.0,21000000.0,698000000.0,,,-226000000.0,-360000000.0,253000000.0,-204000000.0,,-540000000.0,266000000.0,-806000000.0,4501000000.0,,14.1764,0.3151,,-226000000.0,-0.2903225806451613,-0.044058254803573615,,,,-0.027658793293354546,-0.03936596411774952,,3.6298387096774194,1.5204419889502763,,-566171000.0,-484999000.0,,,-484999000.0,270952000.0,,,-9.280431506044343,-1.7899812512917417,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2012-12-31,7520000000.0,1323000000.0,820000000.0,6788000000.0,444000000.0,749000000.0,382000000.0,888000000.0,,,216000000.0,-288000000.0,-183000000.0,645000000.0,,481000000.0,-163000000.0,318000000.0,1131000000.0,1.5794,15.7198,0.3629,,216000000.0,-0.6486486486486487,-0.03829787234042553,,,,0.02872340425531915,0.13714285714285715,,2.5472972972972974,1.6134146341463416,,-925000000.0,-328000000.0,,-1194000000.0,-328000000.0,326000000.0,,,-3.448170731707317,-1.0061349693251533,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2013-03-31,7545000000.0,1424000000.0,872000000.0,6805000000.0,351000000.0,741000000.0,420000000.0,1063000000.0,,,-47000000.0,-89000000.0,17000000.0,-3000000.0,,85000000.0,48000000.0,37000000.0,1161000000.0,,18.501,0.4341,,-47000000.0,-0.2535612535612536,-0.011795891318754142,,,,-0.006229290921139828,-0.031084656084656083,,3.3076923076923075,1.6330275229357798,,-930000000.0,-290000000.0,,-971000000.0,-290000000.0,257000000.0,,,-4.003448275862069,-1.1284046692607004,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2013-06-30,3105336000.0,2058697000.0,1251625000.0,1697876000.0,1396400000.0,,,530385000.0,3125154000.0,372673000.0,87364000.0,51181000.0,3626000.0,32173000.0,0.0,-52211000.0,,,0.0,,20.0902,0.4377,0.0,87364000.0,0.03665210541392151,0.016481630329213973,0.01637711293587452,0.11924948338545877,0.02795510237255508,0.02813350954614895,0.06256373531939273,0.02795510237255508,0.0,1.644819334864676,,-685819000.0,30364000.0,,,30364000.0,90626000.0,,,0.0,0.33504733740869064,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2013-09-30,7054000000.0,1525000000.0,238000000.0,6795000000.0,-133000000.0,1433000000.0,0.0,1138000000.0,,,-541000000.0,-635000000.0,,-25000000.0,,169000000.0,91000000.0,78000000.0,1433000000.0,,21.1219,0.417,,-541000000.0,4.774436090225564,-0.09001984689537851,,,,-0.07669407428409412,-0.41615384615384615,,-10.774436090225564,6.407563025210084,,-960819000.0,-284636000.0,,,-284636000.0,,,,-5.034500203769024,,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2013-12-31,6973000000.0,1535000000.0,529000000.0,6712000000.0,-121000000.0,1171000000.0,4000000.0,1176000000.0,,,-78364000.0,2819000.0,,-97173000.0,,29211000.0,-47000000.0,-17789000.0,1175000000.0,1.4862,23.0135,0.4498,,-78364000.0,-0.023297520661157024,0.0004042736268464076,,,,-0.011238204503083321,-0.07434914611005693,,-9.710743801652892,2.9017013232514177,,-670000000.0,-579000000.0,,,-579000000.0,,,,-2.029360967184801,,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2014-03-31,3407516000.0,1881180000.0,1202414000.0,1881002000.0,1513472000.0,,,406668000.0,1599385000.0,215211000.0,69374000.0,41261000.0,2248000.0,25518000.0,0.0,-24316000.0,,,0.0,,23.2128,0.4927,0.0,69374000.0,0.027262479913734778,0.01210882061889071,0.02579804112205629,0.13455859596032224,0.04337542242799576,0.020359112033516497,0.045837650118403246,0.04337542242799576,0.0,1.564502741984042,,-539739000.0,-462626000.0,,,-462626000.0,,,,-0.0,,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
