report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,debt_equity,current_ratio,fcf_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,5648000000.0,1877000000.0,870000000.0,4079000000.0,1569000000.0,1603000000.0,4000000.0,483000000.0,-225000000.0,31000000.0,69000000.0,-256000000.0,1607000000.0,,19.6171,0.9942,1.024219247928617,2.157471264367816,,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2010-06-30,5799000000.0,1909000000.0,886000000.0,4122000000.0,1677000000.0,1605000000.0,6000000.0,435000000.0,-19000000.0,76000000.0,139000000.0,-95000000.0,1611000000.0,,12.1221,0.789,0.960644007155635,2.154627539503386,,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2010-09-30,5989000000.0,2101000000.0,940000000.0,4179000000.0,1810000000.0,1602000000.0,4000000.0,642000000.0,297000000.0,133000000.0,212000000.0,164000000.0,1606000000.0,,13.7919,0.9591,0.887292817679558,2.2351063829787234,,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2010-12-31,5986000000.0,2047000000.0,1070000000.0,4359000000.0,1627000000.0,1598000000.0,6000000.0,516000000.0,522000000.0,3000000.0,-140000000.0,519000000.0,1604000000.0,1.9131,13.5811,1.0182,0.9858635525507068,1.9130841121495328,332000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2011-03-31,6009000000.0,2434000000.0,1055000000.0,4192000000.0,1817000000.0,1596000000.0,7000000.0,640000000.0,-146000000.0,97000000.0,68000000.0,-243000000.0,1603000000.0,,12.235,1.1332,0.8822234452394057,2.3071090047393366,345000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2011-06-30,6114000000.0,2508000000.0,1192000000.0,4207000000.0,1907000000.0,1446000000.0,155000000.0,634000000.0,61000000.0,206000000.0,135000000.0,-145000000.0,1601000000.0,,11.0406,1.0835,0.8395385422128998,2.1040268456375837,295000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2011-09-30,6183000000.0,2354000000.0,1201000000.0,4274000000.0,1909000000.0,1445000000.0,154000000.0,448000000.0,273000000.0,333000000.0,204000000.0,-60000000.0,1599000000.0,,7.2191,0.6814,0.8376113148245155,1.9600333055786845,71000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2011-12-31,6184000000.0,2302000000.0,1114000000.0,4314000000.0,1870000000.0,1445000000.0,153000000.0,577000000.0,437000000.0,-179000000.0,-134000000.0,258000000.0,1598000000.0,2.0664,8.5256,0.7673,0.8545454545454545,2.066427289048474,-190000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2012-03-31,6191000000.0,2264000000.0,997000000.0,4166000000.0,2025000000.0,1444000000.0,151000000.0,569000000.0,19000000.0,90000000.0,69000000.0,-71000000.0,1595000000.0,,12.9216,1.0065,0.7876543209876543,2.270812437311936,-18000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2012-06-30,8566000000.0,4630000000.0,899000000.0,6443000000.0,2123000000.0,3830000000.0,5000000.0,3000000000.0,335000000.0,177000000.0,140000000.0,158000000.0,3835000000.0,,13.1413,0.9534,1.8064060292039568,5.150166852057842,285000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2012-09-30,11645000000.0,2673000000.0,1464000000.0,8635000000.0,3010000000.0,4865000000.0,120000000.0,237000000.0,688000000.0,297000000.0,252000000.0,391000000.0,4985000000.0,,17.4283,1.145,1.6561461794019934,1.8258196721311475,736000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2012-12-31,11619000000.0,2594000000.0,1364000000.0,8591000000.0,2943000000.0,4779000000.0,4000000.0,249000000.0,86000000.0,-99000000.0,-101000000.0,-13000000.0,4783000000.0,1.9787,23.9741,1.2931,1.6252123683316344,1.901759530791789,465000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2013-03-31,11687000000.0,2737000000.0,1293000000.0,8499000000.0,3105000000.0,4779000000.0,4000000.0,178000000.0,5000000.0,87000000.0,110000000.0,-82000000.0,4783000000.0,,20.3536,1.2466,1.5404186795491144,2.1167826759474093,454000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2013-06-30,11762000000.0,2838000000.0,1309000000.0,8389000000.0,3290000000.0,4679000000.0,0.0,234000000.0,367000000.0,187000000.0,218000000.0,180000000.0,4679000000.0,,18.0144,1.1997,1.4221884498480244,2.168067226890756,476000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2013-09-30,11727000000.0,2767000000.0,1323000000.0,8058000000.0,3588000000.0,4429000000.0,0.0,222000000.0,794000000.0,312000000.0,326000000.0,482000000.0,4429000000.0,,15.6737,1.2957,1.234392419175028,2.09145880574452,567000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
