report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-05-31,,,,,,,,,,,,,,3.76,,,0.0,1.5681,21.5027,0.733,3.76,,,,,,,,,,,,,,,,,,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2010-08-31,,,,,,,,,,,,,,,,,0.0,,17.7542,0.6786,,,,,,,,,,,,,,,,,,,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2010-11-30,,,,,,,,,,,,,,,,,0.0,,21.7034,0.7703,,,,,,,,,,,,,,,,,,,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2011-02-28,26202000000.0,7238000000.0,4574000000.0,,14880000000.0,,,1359000000.0,28752000000.0,1490000000.0,894000000.0,,506000000.0,2.82,2457000000.0,1474000000.0,0.0,,21.598,0.7428,2.82,2964000000.0,0.06008064516129032,0.034119532860087017,0.03109348914858097,0.05182248191430162,0.05686588810014503,0.10013440860215053,0.10308848080133556,0.0,1.5824223874070835,,,,,,,,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2011-05-31,27385000000.0,8285000000.0,4882000000.0,,15220000000.0,,,2328000000.0,10552000000.0,888000000.0,558000000.0,-86000000.0,307000000.0,1.7500000000000004,1584000000.0,499000000.0,0.0,1.6971,20.3569,0.752,1.7500000000000004,1387000000.0,0.0366622864651774,0.020376118312945043,0.05288097043214556,0.0841546626231994,0.032426510863611466,0.058344283837056504,0.1314442759666414,0.0,1.6970503891847604,,,,,,,,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2011-08-31,27838000000.0,7963000000.0,4981000000.0,,15714000000.0,,,1959000000.0,10521000000.0,737000000.0,464000000.0,,260000000.0,1.46,860000000.0,509000000.0,0.0,,16.2567,0.6186,1.46,1246000000.0,0.02952780959653812,0.016667864070694732,0.04410227164718183,0.070050375439597,0.026474603060564695,0.04690085274277714,0.11842980705256155,0.0,1.5986749648664926,,,,,,,,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2011-11-30,28452000000.0,8168000000.0,5380000000.0,28452000000.0,15917000000.0,1251000000.0,,1896000000.0,21108000000.0,1517000000.0,961000000.0,,540000000.0,3.02,2168000000.0,1027000000.0,1251000000.0,,15.0597,0.6378,3.02,2544000000.0,0.06037569893824213,0.0337761844510052,0.04552776198597688,0.07186848588213,0.053317868691128915,0.08836206896551724,0.12052302444570778,0.07859521266570334,1.5182156133828997,70933000000.0,2877000000.0,4632000000.0,8141000000.0,9.05,9.05,0.15366662572165582,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2012-02-29,28752000000.0,8198000000.0,5152000000.0,28752000000.0,16569000000.0,1251000000.0,,2040000000.0,31672000000.0,2330000000.0,1482000000.0,,811000000.0,4.67,3017000000.0,1570000000.0,1251000000.0,,13.8727,0.6702,4.67,3900000000.0,0.08944414267608183,0.05154424040066778,0.046792119222025766,0.07356655721141703,0.0810378408458542,0.1307519640852974,0.12313715584743622,0.0755024443237371,1.5912267080745341,73853000000.0,3465000000.0,5472000000.0,9077000000.0,10.9,10.9,0.13782086592486503,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2012-05-31,29903000000.0,9056000000.0,5374000000.0,29903000000.0,14727000000.0,1250000000.0,,2843000000.0,-20621000000.0,-1398000000.0,-875000000.0,-52000000.0,-502000000.0,-2.74,-1210000000.0,-993000000.0,1250000000.0,1.6852,13.8346,0.6587,-2.74,-2391000000.0,-0.05941468051877504,-0.029261278132628833,0.04243247175209738,0.06779496629649387,-0.04675116209076013,-0.08750078237466358,0.11594975995344552,0.08487811502682148,1.6851507257164124,42680000000.0,2032000000.0,3186000000.0,5299000000.0,6.41,6.41,0.23589356482355162,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
2012-08-31,30691000000.0,8877000000.0,4809000000.0,30691000000.0,15024000000.0,2242000000.0,,2743000000.0,10792000000.0,742000000.0,459000000.0,,268000000.0,1.45,903000000.0,573000000.0,2242000000.0,,13.5746,0.6406,1.45,1315000000.0,0.03055111821086262,0.014955524420839986,0.04253150481838399,0.06875463306152706,0.024176468671597538,0.04297463222518244,0.12184951816160118,0.14922790202342917,1.8459139114160947,42951000000.0,2027000000.0,3191000000.0,5368000000.0,6.4,6.4,0.4176602086438152,1.3245531,392.86,194.295,1.6405,82160.14,18.944,1.8596,0.9119
