report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-04-04,31059000000.0,13353000000.0,9937000000.0,,12779000000.0,3159000000.0,704000000.0,2025000000.0,7750000000.0,918000000.0,597000000.0,275000000.0,1.53,210000000.0,60000000.0,150000000.0,3863000000.0,,12.5679,0.959,1.53,918000000.0,0.04671727052195007,0.019221481696126728,0.07703225806451613,0.11845161290322581,0.029556650246305417,0.05516163922605456,0.01935483870967742,0.11845161290322581,0.30229282416464515,1.343765724061588,,,,,,,,,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2010-07-04,30872000000.0,13166000000.0,9795000000.0,,12839000000.0,3159000000.0,703000000.0,1853000000.0,15854000000.0,1903000000.0,1245000000.0,569000000.0,3.2,687000000.0,123000000.0,564000000.0,3862000000.0,,9.1753,0.7088,3.2,1903000000.0,0.09697016901627853,0.04032780513086292,0.07852907783524662,0.12003279929355368,0.0616416169992226,0.1139452727381594,0.035574618392834614,0.12003279929355368,0.30080224316535553,1.3441551812149055,,,,,,,,,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2010-10-03,31483000000.0,13390000000.0,10311000000.0,,13582000000.0,2430000000.0,774000000.0,1843000000.0,23865000000.0,2869000000.0,1895000000.0,848000000.0,4.9,1567000000.0,219000000.0,1348000000.0,3204000000.0,,9.2968,0.7344,4.9,2869000000.0,0.13952289795317332,0.060191214306133466,0.07940498638173057,0.12021789231091556,0.09112854556427279,0.17091623972357917,0.0564843913681123,0.12021789231091556,0.23590045648652627,1.2986131316070215,,,,,,,,,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2010-12-31,32545000000.0,14186000000.0,11177000000.0,,13316000000.0,2430000000.0,773000000.0,2613000000.0,-15003000000.0,-1745000000.0,-1113000000.0,-530000000.0,-2.820000000000001,522000000.0,-32000000.0,490000000.0,3203000000.0,1.2692,10.2152,0.8256,-2.820000000000001,-1745000000.0,-0.0835836587563833,-0.03419880165924105,0.07418516296740651,0.11631007131906952,-0.05361806729144262,-0.10563593437859435,-0.03266013463973872,0.11631007131906952,0.24053769900871133,1.2692135635680415,32466000000.0,2624000000.0,3945000000.0,2552000000.0,3945000000.0,6.81,6.81,0.8119138149556401,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2011-04-03,,14795000000.0,11252000000.0,,13877000000.0,2411000000.0,792000000.0,2484000000.0,7798000000.0,929000000.0,618000000.0,278000000.0,1.64,327000000.0,61000000.0,266000000.0,3203000000.0,,10.319,0.8394,1.64,929000000.0,0.04453412120775384,,0.07925109002308284,0.11913311105411643,,0.05439110070257611,0.03411131059245961,0.11913311105411643,0.23081357642141673,1.3148773551368647,32514000000.0,2645000000.0,3956000000.0,2668000000.0,3956000000.0,6.919999999999999,6.919999999999999,0.8096562184024267,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2011-07-03,,14673000000.0,11493000000.0,,13925000000.0,2409000000.0,772000000.0,2157000000.0,15677000000.0,1878000000.0,1271000000.0,571000000.0,3.4,1076000000.0,152000000.0,924000000.0,3181000000.0,,10.225,0.8392,3.4,1878000000.0,0.09127468581687612,,0.08107418511194744,0.11979332780506474,,0.10978603998596984,0.05893984818523952,0.11979332780506474,0.22843806104129263,1.2766901592273558,32337000000.0,2671000000.0,3931000000.0,3028000000.0,3931000000.0,7.119999999999999,7.119999999999999,0.8092088527092343,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2011-10-02,33408000000.0,14040000000.0,10482000000.0,33408000000.0,13619000000.0,3907000000.0,222000000.0,1540000000.0,23530000000.0,2876000000.0,1923000000.0,858000000.0,5.19,1212000000.0,273000000.0,939000000.0,4129000000.0,,7.4754,0.617,5.19,2876000000.0,0.14119979440487554,0.05756106321839081,0.0817254568635784,0.12222694432639183,0.08608716475095786,0.1620464277665089,0.039906502337441564,0.12222694432639183,0.30317938174609005,1.3394390383514596,32002000000.0,2699000000.0,3938000000.0,2619000000.0,3938000000.0,7.409999999999999,7.409999999999999,1.0485017775520569,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2011-12-31,34883000000.0,15368000000.0,11145000000.0,34883000000.0,13232000000.0,3907000000.0,23000000.0,2649000000.0,-14328000000.0,-1857000000.0,-1286000000.0,-541000000.0,-3.3600000000000003,623000000.0,-28000000.0,595000000.0,3930000000.0,1.3789,9.6057,0.7425,-3.3600000000000003,-1857000000.0,-0.09718863361547762,-0.03686609523263481,0.08975432719151312,0.129606365159129,-0.05323510019207064,-0.10820417200792448,-0.04152707984366276,0.129606365159129,0.29700725513905685,1.3789143113503812,32677000000.0,2526000000.0,3826000000.0,2724000000.0,3826000000.0,6.87,6.87,1.0271824359644537,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2012-04-01,35309000000.0,15510000000.0,10953000000.0,35309000000.0,13854000000.0,3905000000.0,3000000.0,2632000000.0,7579000000.0,860000000.0,564000000.0,257000000.0,1.57,414000000.0,90000000.0,324000000.0,3908000000.0,,10.808,0.8231,1.57,860000000.0,0.040710264183629274,0.015973264606757485,0.074416149887848,0.1134714342261512,0.024356396386190488,0.04841797094921743,0.04274970312706162,0.1134714342261512,0.28208459650642415,1.4160503971514653,32458000000.0,2472000000.0,3757000000.0,2782000000.0,3757000000.0,6.800000000000001,6.800000000000001,1.0401916422677668,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2012-07-01,35203000000.0,15527000000.0,12179000000.0,35203000000.0,13662000000.0,2905000000.0,1028000000.0,2540000000.0,15501000000.0,1830000000.0,1198000000.0,551000000.0,3.34,1203000000.0,176000000.0,1027000000.0,3933000000.0,,9.5004,0.717,3.34,1830000000.0,0.08768847899282682,0.03403119052353493,0.07728533642990774,0.11805689955486742,0.05198420589154334,0.10400682011935208,0.06625379007805948,0.11805689955486742,0.2878787878787879,1.2748994170293126,32282000000.0,2399000000.0,3709000000.0,2885000000.0,3709000000.0,6.74,6.74,1.0603936370989484,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2012-09-30,35503000000.0,15593000000.0,12193000000.0,35503000000.0,14272000000.0,2924000000.0,1001000000.0,2874000000.0,23435000000.0,2735000000.0,1798000000.0,814000000.0,5.04,1907000000.0,286000000.0,1621000000.0,3925000000.0,,9.9142,0.7306,5.04,2735000000.0,0.12598094170403587,0.05064360758245782,0.07672285043737999,0.11670578195007468,0.0770357434582993,0.15029949991756883,0.06917004480477917,0.11670578195007468,0.2750140134529148,1.2788485196424177,32187000000.0,2274000000.0,3568000000.0,3567000000.0,3568000000.0,6.59,6.59,1.1000560538116593,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2012-12-31,34309000000.0,15744000000.0,11620000000.0,34309000000.0,11390000000.0,3908000000.0,,3296000000.0,-15002000000.0,-4592000000.0,-3892000000.0,-749000000.0,-10.889999999999999,-837000000.0,-102000000.0,-939000000.0,3908000000.0,1.3549,,0.7905,-10.889999999999999,-4592000000.0,-0.34170324846356454,-0.11343962225655076,0.2594320757232369,0.30609252099720036,-0.13384243201492318,-0.3001699568571055,0.06259165444607385,0.30609252099720036,0.3431079894644425,1.3549053356282272,31513000000.0,-332000000.0,833000000.0,2033000000.0,833000000.0,-0.9399999999999995,-0.9399999999999995,4.691476590636254,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2013-03-31,34609000000.0,16350000000.0,11769000000.0,34609000000.0,11582000000.0,3909000000.0,,3745000000.0,7404000000.0,847000000.0,571000000.0,253000000.0,1.62,504000000.0,29000000.0,475000000.0,3909000000.0,,,0.7835,1.62,847000000.0,0.049300638922465896,0.016498598630414054,0.0771204754186926,0.114397622906537,0.024473402872085295,0.054676909173068236,0.06415451107509454,0.114397622906537,0.3375064755655327,1.3892429263318888,31338000000.0,-325000000.0,820000000.0,2184000000.0,820000000.0,-0.8899999999999988,-0.8899999999999988,4.767073170731707,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2013-06-30,34731000000.0,16538000000.0,11841000000.0,,11756000000.0,3907000000.0,,3757000000.0,15315000000.0,1807000000.0,1211000000.0,556000000.0,3.0,1083000000.0,168000000.0,915000000.0,3907000000.0,,,0.9022,3.0,1807000000.0,0.10301122830894863,0.03486798537329763,0.07907280444009142,0.11798889977146589,0.05202844720854568,0.11536742641894912,0.059745347698334964,0.11798889977146589,0.33234093228989453,1.396672578329533,31152000000.0,-312000000.0,797000000.0,2072000000.0,797000000.0,-1.2299999999999986,-1.2299999999999986,4.902132998745295,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2013-09-29,35471000000.0,17118000000.0,12065000000.0,,12605000000.0,3908000000.0,,4065000000.0,23111000000.0,2764000000.0,1862000000.0,845000000.0,5.0,1550000000.0,271000000.0,1279000000.0,3908000000.0,,,1.0126,5.0,2764000000.0,0.14771915906386354,0.05249358630994334,0.08056769503699537,0.11959672883042707,0.07792281018296637,0.16738327378429116,0.055341612219289515,0.11959672883042707,0.3100357001190004,1.4188147534189806,30828000000.0,-248000000.0,826000000.0,1730000000.0,826000000.0,-1.2699999999999987,-1.2699999999999987,4.731234866828087,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2013-12-31,35448000000.0,17886000000.0,12194000000.0,35448000000.0,14501000000.0,3908000000.0,,5301000000.0,-14612000000.0,-1733000000.0,-1287000000.0,-533000000.0,-2.950000000000001,-31000000.0,-28000000.0,-59000000.0,3908000000.0,1.4815,14.3265,1.0917,-2.950000000000001,-1733000000.0,-0.0887524998275981,-0.036306702775897086,0.08807829181494661,0.11860114973993978,-0.04888851275107199,-0.0941387364875876,0.004037777169449767,0.11860114973993978,0.26949865526515415,1.4667869443988848,31218000000.0,2357000000.0,3685000000.0,2610000000.0,3685000000.0,6.67,6.67,1.0605156037991859,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2014-03-30,34382000000.0,16964000000.0,12623000000.0,,13690000000.0,3409000000.0,502000000.0,4296000000.0,7324000000.0,871000000.0,595000000.0,256000000.0,1.0,428000000.0,87000000.0,341000000.0,3911000000.0,,15.6843,1.2093,1.0,871000000.0,0.043462381300219136,0.017305566866383574,0.0812397596941562,0.11892408519934462,0.025333023093479148,0.049485824669052894,0.0465592572364828,0.11892408519934462,0.2856829802775749,1.3438960627426126,31138000000.0,2381000000.0,3709000000.0,2476000000.0,3709000000.0,6.049999999999998,6.049999999999998,1.0544621191695875,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2014-06-29,34332000000.0,17183000000.0,13222000000.0,,13119000000.0,3409000000.0,501000000.0,3841000000.0,14739000000.0,1823000000.0,1136000000.0,536000000.0,3.0,1294000000.0,162000000.0,1132000000.0,3910000000.0,,17.0747,1.2766,3.0,1823000000.0,0.08659196585105572,0.03308866363742281,0.07707442838727187,0.12368546034330687,0.05309914948153326,0.10705267484878736,0.07680303955492232,0.12368546034330687,0.298041009223264,1.2995764634699742,30562000000.0,2306000000.0,3725000000.0,2693000000.0,3725000000.0,6.049999999999998,6.049999999999998,1.0496644295302013,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2014-09-28,35311000000.0,18169000000.0,14670000000.0,,13010000000.0,3410000000.0,501000000.0,5105000000.0,22490000000.0,2822000000.0,1832000000.0,821000000.0,5.0,3798000000.0,337000000.0,3461000000.0,3911000000.0,,18.156,1.3835,5.0,2822000000.0,0.14081475787855496,0.05188184984848914,0.08145842596709649,0.12547799021787462,0.07991843901333862,0.16677501329708647,0.15389061805246776,0.12547799021787462,0.3006149116064566,1.238513974096796,29941000000.0,2276000000.0,3783000000.0,4875000000.0,3783000000.0,6.049999999999998,6.049999999999998,1.033835580227333,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2014-12-31,35355000000.0,17407000000.0,13751000000.0,,11829000000.0,3410000000.0,,4388000000.0,-13701000000.0,-1627000000.0,-1030000000.0,-484000000.0,-2.0,-1792000000.0,-65000000.0,-1857000000.0,3410000000.0,1.2659,18.0467,1.4817,-2.0,-1627000000.0,-0.08707413982585172,-0.029133078772450857,0.07517699437997226,0.1187504561710824,-0.04601895064347334,-0.1067655357963121,0.1355375520035034,0.1187504561710824,0.28827457942345086,1.2658715729765109,30852000000.0,2533000000.0,3889000000.0,3077000000.0,3889000000.0,7.0,7.0,0.8768320905116996,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2015-04-05,34385000000.0,16352000000.0,13112000000.0,,11520000000.0,3410000000.0,1000000.0,4412000000.0,7784000000.0,1027000000.0,716000000.0,293000000.0,2.0,745000000.0,98000000.0,647000000.0,3411000000.0,,16.7847,1.42,2.0,1027000000.0,0.06215277777777778,0.02082303329940381,0.09198355601233299,0.13193730729701952,0.029867674858223062,0.06878306878306878,0.08311921891058582,0.13193730729701952,0.29609375,1.2471018913971934,31312000000.0,2654000000.0,4045000000.0,3383000000.0,4045000000.0,7.999999999999999,7.999999999999999,0.8432632880098887,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2015-07-05,33654000000.0,15773000000.0,12708000000.0,,11276000000.0,3411000000.0,2000000.0,4032000000.0,15666000000.0,2108000000.0,1468000000.0,602000000.0,4.0,1348000000.0,190000000.0,1158000000.0,3413000000.0,,16.1465,1.4557,4.0,2108000000.0,0.1301880099326002,0.04362037202115648,0.09370611515383634,0.13455891740074047,0.06263742794318655,0.14350874804275307,0.07391803906549214,0.13455891740074047,0.30267825470024834,1.2411866540761725,32239000000.0,2986000000.0,4330000000.0,3409000000.0,4330000000.0,9.0,9.0,0.7882217090069285,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2015-10-04,32980000000.0,15288000000.0,13178000000.0,,10734000000.0,2912000000.0,501000000.0,3372000000.0,23660000000.0,3142000000.0,2201000000.0,882000000.0,6.0,2170000000.0,360000000.0,1810000000.0,3413000000.0,,15.6997,1.4228,6.0,3142000000.0,0.20504937581516677,0.06673741661613099,0.0930262045646661,0.13279797125950973,0.0952698605215282,0.22209655757404398,0.0765004226542688,0.13279797125950973,0.3179616172908515,1.1601153437547427,33409000000.0,3355000000.0,4650000000.0,1758000000.0,4650000000.0,10.0,10.0,0.7339784946236559,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2015-12-31,31997000000.0,14571000000.0,12445000000.0,,10738000000.0,2898000000.0,,2785000000.0,-15641000000.0,-2099000000.0,-1420000000.0,-640000000.0,-3.0,-1764000000.0,-79000000.0,-1843000000.0,2898000000.0,1.1708,14.3028,1.3663,-3.0,-2099000000.0,-0.132240640715217,-0.04437916054630121,0.09078703407710505,0.13419858065341092,-0.06559989999062413,-0.15393077148723966,0.11783134070711591,0.13419858065341092,0.26988265971316816,1.170831659300924,31469000000.0,2965000000.0,4178000000.0,1772000000.0,4178000000.0,9.0,9.0,0.6936333173767353,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2016-04-03,31702000000.0,14188000000.0,12423000000.0,,10582000000.0,2899000000.0,501000000.0,1907000000.0,7724000000.0,1053000000.0,717000000.0,311000000.0,2.0,439000000.0,65000000.0,374000000.0,3400000000.0,,13.5936,1.2789,2.0,1053000000.0,0.06775656775656776,0.02261686959813261,0.09282755049197307,0.13632832729155878,0.03321556999558387,0.07531111428980117,0.04842050750906266,0.13632832729155878,0.3213003213003213,1.1420751831280689,31409000000.0,2966000000.0,4204000000.0,1499000000.0,4204000000.0,9.0,9.0,0.8087535680304472,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
2016-07-03,31769000000.0,14386000000.0,12135000000.0,,10995000000.0,2899000000.0,537000000.0,1899000000.0,15389000000.0,2123000000.0,1475000000.0,601000000.0,4.0,873000000.0,134000000.0,739000000.0,3436000000.0,,14.4556,1.3472,4.0,2123000000.0,0.1341518872214643,0.046428908684566714,0.09584768341022809,0.13795568263045033,0.06682615127954925,0.14711385212389994,0.048021313925531224,0.13795568263045033,0.3125056844020009,1.1854964977338278,31132000000.0,2973000000.0,4219000000.0,1080000000.0,4219000000.0,9.0,9.0,0.814410997866793,0.38332027,369.7,239.2,1.53932,94390.445,22.4205,3.5492,2.381
