report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-06-30,14513000000.0,7723000000.0,4426000000.0,13090000000.0,647000000.0,,184000000.0,1683000000.0,,,-19000000.0,151000000.0,96000000.0,-0.08,242000000.0,183000000.0,358000000.0,321000000.0,-175000000.0,184000000.0,,0.137,15.0921,-0.08,,-0.02936630602782071,-0.001309171087990078,,,,,,,0.28438948995363217,1.744916403072752,,,,,,,,,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2010-09-30,15656000000.0,8403000000.0,4932000000.0,13937000000.0,859000000.0,,259000000.0,1665000000.0,,,-39000000.0,241000000.0,151000000.0,-0.16,242000000.0,83000000.0,618000000.0,487000000.0,-535000000.0,259000000.0,,0.1435,38.4018,-0.16,,-0.04540162980209546,-0.002491057741440981,,,,,,,0.30151338766006985,1.7037712895377128,,,,,,,,,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2010-12-31,15630000000.0,8045000000.0,5307000000.0,14125000000.0,644000000.0,,238000000.0,2005000000.0,,,-216000000.0,316000000.0,172000000.0,-0.89,242000000.0,924000000.0,944000000.0,652000000.0,-20000000.0,238000000.0,1.5159,0.1529,,-0.89,,-0.33540372670807456,-0.01381957773512476,,,,,,,0.3695652173913043,1.5159223666855097,,,,,,,,,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2011-03-31,17256000000.0,9492000000.0,5694000000.0,15012000000.0,1327000000.0,,245000000.0,2215000000.0,,,103000000.0,74000000.0,62000000.0,0.42,246000000.0,-433000000.0,284000000.0,182000000.0,-717000000.0,245000000.0,,0.1832,,0.42,,0.07761868877166542,0.005968938340287436,,,,,,,0.18462697814619441,1.6670179135932561,,-171000000.0,,-1447000000.0,,782000000.0,-0.71,-0.71,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2011-06-30,17642000000.0,9776000000.0,5919000000.0,15245000000.0,1475000000.0,,261000000.0,1804000000.0,,,150000000.0,155000000.0,126000000.0,0.57,262000000.0,-669000000.0,532000000.0,374000000.0,-1201000000.0,261000000.0,,0.1946,,0.57,,0.1016949152542373,0.008502437365378075,,,,,,,0.1769491525423729,1.6516303429633383,,-2000000.0,,-2473000000.0,,786000000.0,-0.060000000000000164,-0.060000000000000164,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2011-09-30,18129000000.0,10512000000.0,5819000000.0,15728000000.0,1499000000.0,5559000000.0,312000000.0,2126000000.0,,611000000.0,318000000.0,241000000.0,220000000.0,1.19,268000000.0,-972000000.0,806000000.0,547000000.0,-1778000000.0,5871000000.0,,0.1113,17.4862,1.19,1158000000.0,0.2121414276184123,0.017540956478570246,,,0.03370290694467428,0.08290366350067843,,,3.9166110740493663,1.8064959615054133,,355000000.0,,-3716000000.0,,786000000.0,1.2899999999999998,1.2899999999999998,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2011-12-31,17629000000.0,9812000000.0,5929000000.0,16005000000.0,749000000.0,4789000000.0,256000000.0,2772000000.0,,7000000.0,-228000000.0,-140000000.0,-207000000.0,-0.9199999999999997,-505000000.0,2847000000.0,-579000000.0,-388000000.0,2268000000.0,5045000000.0,1.6549,0.1564,10.3798,-0.9199999999999997,-381000000.0,-0.30440587449933243,-0.012933235010494072,,,0.00039707300470815136,0.0012081463583016915,,,6.735647530040054,1.6549165120593692,,343000000.0,,-1428000000.0,,330000000.0,1.26,1.26,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2012-03-31,17990000000.0,9988000000.0,5881000000.0,16213000000.0,863000000.0,5186000000.0,291000000.0,2083000000.0,,56000000.0,-4000000.0,101000000.0,48000000.0,-0.05,244000000.0,-754000000.0,276000000.0,170000000.0,-1030000000.0,5477000000.0,,0.1217,11.8102,-0.05,226000000.0,-0.004634994206257242,-0.00022234574763757643,,,0.0031128404669260703,0.008832807570977918,,,6.346465816917729,1.6983506206427479,,236000000.0,,-1741000000.0,,357000000.0,0.79,0.79,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2012-06-30,17601000000.0,9649000000.0,5420000000.0,15789000000.0,947000000.0,5395000000.0,168000000.0,2156000000.0,,222000000.0,88000000.0,184000000.0,111000000.0,0.3,246000000.0,-451000000.0,490000000.0,337000000.0,-941000000.0,5563000000.0,,0.1246,9.9459,0.3,559000000.0,0.09292502639915523,0.004999715925231521,,,0.012612919720470428,0.034101382488479264,,,5.874340021119324,1.7802583025830259,,174000000.0,896000000.0,-1481000000.0,1562000000.0,386000000.0,0.5200000000000002,0.5200000000000002,3.56145966709347,2.321243523316062,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2012-09-30,17939000000.0,9805000000.0,5388000000.0,15813000000.0,1230000000.0,5708000000.0,163000000.0,2257000000.0,,408000000.0,205000000.0,270000000.0,164000000.0,0.73,281000000.0,-329000000.0,788000000.0,513000000.0,-1117000000.0,5871000000.0,,0.1393,13.1002,0.73,921000000.0,0.16666666666666666,0.011427615809130943,,,0.02274374268353866,0.0574566962399662,,,4.773170731707317,1.8197847067557535,,61000000.0,693000000.0,-820000000.0,1325000000.0,415000000.0,0.060000000000000275,0.060000000000000275,4.430943396226415,1.6698795180722892,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2012-12-31,16973000000.0,8498000000.0,5322000000.0,15814000000.0,370000000.0,4888000000.0,102000000.0,2281000000.0,,-246000000.0,-77000000.0,-198000000.0,-120000000.0,-0.24,-524000000.0,2572000000.0,-427000000.0,-333000000.0,2145000000.0,4990000000.0,1.5968,0.1612,15.9573,-0.24,-579000000.0,-0.20810810810810812,-0.004536616979909268,,,-0.014493607494255583,-0.045895522388059704,,,13.486486486486486,1.5967681322810974,,212000000.0,440000000.0,-943000000.0,1127000000.0,357000000.0,0.74,0.74,4.427684117125111,1.2324929971988796,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2013-06-30,17384000000.0,8969000000.0,5175000000.0,15906000000.0,715000000.0,,79000000.0,2564000000.0,,,221000000.0,187000000.0,82000000.0,0.0,281000000.0,-462000000.0,493000000.0,357000000.0,-955000000.0,79000000.0,,0.19,11.0441,0.0,,0.3090909090909091,0.012712839392544868,,,,,,,0.11048951048951049,1.7331400966183574,,437000000.0,,-868000000.0,,443000000.0,0.79,0.79,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2013-09-30,17672000000.0,9069000000.0,5184000000.0,15929000000.0,952000000.0,,44000000.0,2500000000.0,,,394000000.0,287000000.0,136000000.0,1.0,276000000.0,-298000000.0,734000000.0,539000000.0,-1032000000.0,44000000.0,,0.28,13.8232,1.0,,0.41386554621848737,0.022295156179266636,,,,,,,0.046218487394957986,1.7494212962962963,,743000000.0,,-959000000.0,,546000000.0,1.49,1.49,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2013-12-31,17527000000.0,8644000000.0,5025000000.0,15082000000.0,1606000000.0,6162000000.0,14000000.0,2996000000.0,,813000000.0,629000000.0,392000000.0,138000000.0,2.28,277000000.0,938000000.0,1168000000.0,722000000.0,-230000000.0,6176000000.0,1.7202,0.3027,9.4035,2.28,1535000000.0,0.3916562889165629,0.03588748787584869,,,0.04638557653905403,0.10447185813415574,,,3.8455790784557906,1.7201990049751243,,1167000000.0,,-72000000.0,,668000000.0,3.04,3.04,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2014-03-31,17092000000.0,8206000000.0,5031000000.0,14655000000.0,1593000000.0,,26000000.0,1853000000.0,,,-51000000.0,105000000.0,8000000.0,0.0,248000000.0,-1543000000.0,229000000.0,183000000.0,-1772000000.0,26000000.0,,0.3389,11.912,0.0,,-0.032015065913371,-0.0029838520945471565,,,,,,,0.016321406151914627,1.6310872589942358,,1193000000.0,,-3989000000.0,,971000000.0,3.28,3.28,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2014-06-30,16942000000.0,8038000000.0,5025000000.0,14260000000.0,1825000000.0,,7000000.0,1637000000.0,,,162000000.0,207000000.0,68000000.0,0.0,281000000.0,-1134000000.0,441000000.0,371000000.0,-1575000000.0,7000000.0,,0.4043,13.4179,0.0,,0.08876712328767124,0.009562035178845473,,,,,,,0.0038356164383561643,1.5996019900497513,,1134000000.0,,-4609000000.0,,991000000.0,3.2799999999999994,3.2799999999999994,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2014-09-30,16656000000.0,8047000000.0,4773000000.0,13958000000.0,1862000000.0,,38000000.0,1744000000.0,,,323000000.0,315000000.0,168000000.0,1.0,280000000.0,-939000000.0,634000000.0,553000000.0,-1573000000.0,38000000.0,,0.3339,11.1129,1.0,,0.17346938775510204,0.019392411143131606,,,,,,,0.02040816326530612,1.6859417557091976,,1063000000.0,,-5150000000.0,,1019000000.0,3.2799999999999994,3.2799999999999994,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2014-12-31,18109000000.0,7724000000.0,4736000000.0,13682000000.0,3610000000.0,,30000000.0,2161000000.0,,,2018000000.0,-199000000.0,-2078000000.0,7.0,-530000000.0,3956000000.0,-381000000.0,-375000000.0,3575000000.0,30000000.0,1.5135,0.4325,3.1991,7.0,,0.5590027700831025,0.11143630239107626,,,,,,,0.008310249307479225,1.630912162162162,,2452000000.0,,-1345000000.0,,428000000.0,8.0,8.0,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
