report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,15866558000.0,5792351000.0,2840577000.0,,8742973000.0,2807180000.0,324386000.0,1417566000.0,,3606389000.0,483930000.0,44577000.0,151000000.0,0.58,505014000.0,279406000.0,60722000.0,218684000.0,3131566000.0,,18.0258,1.6568,0.58,483930000.0,0.13418685560542692,0.030499998802512807,0.04075358209695551,0.0606379400558287,0.13418685560542692,0.35818090711248907,2.0391459200014643,,,,,,,,,,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2010-06-30,15671959000.0,5766470000.0,2776560000.0,,8731864000.0,2724342000.0,305917000.0,1265237000.0,,7682641000.0,1136668000.0,88264000.0,345000000.0,1.41,505479000.0,617848000.0,123385000.0,494463000.0,3030259000.0,,13.3656,1.3951,1.41,1136668000.0,0.14795276780471717,0.07252877575802744,0.09663799638891721,0.06436107062662436,0.14795276780471717,0.3470346079599957,2.0768396865185696,,,,,,,,,,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2010-09-30,16303724000.0,6334840000.0,3221341000.0,,8890762000.0,2737374000.0,644883000.0,1649101000.0,,11701107000.0,1777190000.0,131430000.0,539000000.0,2.25,504690000.0,1101778000.0,195539000.0,906239000.0,3382257000.0,,13.9241,1.5282,2.25,1777190000.0,0.15188221080278985,0.10900515734932706,0.14480463201433974,0.07744899691969315,0.15188221080278985,0.3804237477057647,1.9665226376220337,,,,,,,,,,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2010-12-31,16250273000.0,5968401000.0,3093592000.0,,9381246000.0,2511959000.0,317787000.0,1190038000.0,,-7119761000.0,-1041110000.0,-88815000.0,-350200000.0,-1.2100000000000004,,-438242000.0,-93474000.0,-531716000.0,2829746000.0,1.9749,17.6199,1.7179,-1.2100000000000004,-1041110000.0,0.14622822311029823,-0.0640672313628208,-0.08526006732294969,0.07468172035550069,0.14622822311029823,0.30163860962605604,1.929278650836956,15870376000.0,2356678000.0,1087670000.0,2356678000.0,175456000.0,3.0299999999999994,3.0299999999999994,1.2007351025468902,13.431732172168521,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2011-03-31,17641206000.0,6596423000.0,3249556000.0,,10379302000.0,2597310000.0,750773000.0,1084470000.0,,4387579000.0,682608000.0,44025000.0,21000000.0,1.24,502710000.0,144599000.0,88353000.0,56246000.0,3348083000.0,,14.9887,1.6731,1.24,682608000.0,0.1555773696610363,0.03869395323653043,0.04972600389659065,0.012819370317890573,0.1555773696610363,0.32257304007533455,2.0299459372295785,16651566000.0,2555356000.0,925232000.0,2555356000.0,174904000.0,3.6899999999999995,3.6899999999999995,1.3102217460111234,14.610048941133421,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2011-06-30,18526175000.0,7557079000.0,4062155000.0,,10422024000.0,2622796000.0,1450332000.0,1230662000.0,,8886759000.0,1369642000.0,89378000.0,211750000.0,2.23,502300000.0,457169000.0,175954000.0,281215000.0,4073128000.0,,14.773,1.6581,2.23,1369642000.0,0.15412165447493287,0.07393010159949369,0.09448966109496472,0.031644269862612456,0.15412165447493287,0.3908192880768649,1.8603620492078712,17855684000.0,2788330000.0,711984000.0,2788330000.0,176018000.0,4.51,4.51,1.460776880785273,15.841163971866514,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2011-09-30,18363265000.0,7334419000.0,3635898000.0,18363265000.0,9852009000.0,3522123000.0,1040806000.0,1318885000.0,,13467275000.0,2083926000.0,137961000.0,412000000.0,3.27,497904000.0,1244345000.0,258914000.0,985431000.0,4562929000.0,,10.231,1.1564,3.27,2083926000.0,0.15473999008708147,0.11348341376111493,0.14456711503025543,0.07317226387669369,0.15473999008708147,0.4631470596504733,2.017223530473077,19621852000.0,3095066000.0,791176000.0,3095066000.0,182549000.0,5.529999999999999,5.529999999999999,1.4742590303405485,16.954713528970302,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2011-12-31,17983514000.0,6849346000.0,2976727000.0,17983514000.0,10034064000.0,3488198000.0,502063000.0,1177875000.0,,-8955030000.0,-1405168000.0,-79231000.0,-69050000.0,-2.55,,109895000.0,-169813000.0,-59918000.0,3990261000.0,2.3006,11.2072,1.6117,-2.55,-1405168000.0,0.15691382385095304,-0.07813645319819029,-0.10019505395090317,0.006690988193227717,0.15691382385095304,0.39767147189812624,2.300965456355252,17786583000.0,2731008000.0,1262974000.0,2731008000.0,192133000.0,4.19,4.19,1.4610945848565804,14.214153737254922,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2012-03-31,18944000000.0,7389000000.0,3777000000.0,18944000000.0,10135000000.0,3521000000.0,1244000000.0,1304000000.0,,4547000000.0,705000000.0,50000000.0,192000000.0,1.0,485600000.0,323000000.0,84000000.0,239000000.0,4765000000.0,,14.1123,1.884,1.0,705000000.0,0.15504728392346603,0.03721494932432432,0.04731543624161074,0.0525621288761821,0.15504728392346603,0.47015293537247166,1.9563145353455123,17946004000.0,2753400000.0,1445728000.0,2753400000.0,198108000.0,3.95,3.95,1.7305876371032178,13.89847961717851,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2012-06-30,18921000000.0,7551000000.0,3936000000.0,18921000000.0,10101000000.0,3468000000.0,1438000000.0,1692000000.0,,9202000000.0,1475000000.0,100000000.0,408000000.0,2.84,480900000.0,832000000.0,184000000.0,648000000.0,4906000000.0,,10.5364,1.865,2.84,1475000000.0,0.1602912410345577,0.07795571058612125,0.09828746584927034,0.07041947402738535,0.1602912410345577,0.4856944856944857,1.9184451219512195,18261245000.0,2858758000.0,1812513000.0,2858758000.0,208730000.0,4.56,4.56,1.7161298717834808,13.695961289704403,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2012-09-30,19023000000.0,7650000000.0,2928000000.0,19023000000.0,10262000000.0,4572000000.0,424000000.0,2054000000.0,,13703000000.0,2238000000.0,153000000.0,622000000.0,3.97,476600000.0,1467000000.0,274000000.0,1193000000.0,4996000000.0,,11.8346,2.2557,3.97,2238000000.0,0.1633219003137999,0.11764705882352941,0.14667715296893433,0.08706122746843757,0.1633219003137999,0.48684466965503803,2.612704918032787,18496970000.0,3012832000.0,2020082000.0,3012832000.0,223769000.0,5.26,5.26,1.658240486027764,13.464027635642113,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2012-12-31,19309000000.0,7960000000.0,2651000000.0,19309000000.0,10570000000.0,4589000000.0,459000000.0,2779000000.0,,-9528000000.0,-1571000000.0,-89000000.0,-114000000.0,-1.7500000000000009,,-550000000.0,-160000000.0,-710000000.0,5048000000.0,3.0026,9.8196,1.9054,-1.7500000000000009,-1571000000.0,0.16488245172124266,-0.0813610233569838,-0.10058906390062748,0.07451721242653232,0.16488245172124266,0.47757805108798485,3.002640513013957,17924000000.0,2847000000.0,1370000000.0,2847000000.0,214000000.0,6.059999999999999,6.059999999999999,1.7730944854232527,13.30373831775701,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2013-03-31,19206000000.0,8110000000.0,2802000000.0,19206000000.0,10279000000.0,4556000000.0,456000000.0,2662000000.0,,4009000000.0,660000000.0,60000000.0,187000000.0,0.78,454800000.0,366000000.0,89000000.0,277000000.0,5012000000.0,,10.0154,1.9795,0.78,660000000.0,0.16462958343726616,0.03436426116838488,0.04316264469295664,0.06909453729109503,0.16462958343726616,0.48759606965658137,2.894361170592434,17386000000.0,2802000000.0,1408000000.0,2802000000.0,224000000.0,5.839999999999999,5.839999999999999,1.788722341184868,12.508928571428571,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2013-06-30,19199000000.0,8213000000.0,3711000000.0,,10231000000.0,3771000000.0,1301000000.0,2768000000.0,,8228000000.0,1362000000.0,119000000.0,377000000.0,1.0,453700000.0,1009000000.0,178000000.0,831000000.0,5072000000.0,,13.4152,2.189,1.0,1362000000.0,0.1655323286339329,0.07094119485389865,0.08900215643991374,0.1009965969859018,0.1655323286339329,0.4957482162056495,2.213150094314201,16412000000.0,2689000000.0,1591000000.0,2689000000.0,243000000.0,3.999999999999999,3.999999999999999,1.886203049460766,11.065843621399177,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2013-09-30,19751000000.0,9582000000.0,3941000000.0,,10468000000.0,3808000000.0,1328000000.0,3018000000.0,,10581000000.0,1886000000.0,179000000.0,551000000.0,2.0,452100000.0,1820000000.0,257000000.0,1563000000.0,5136000000.0,,15.0451,2.4068,2.0,1886000000.0,0.17824402230413006,0.09548883600830338,0.12086644450140989,0.1477176070314715,0.17824402230413006,0.49063813526939243,2.431362598325298,13290000000.0,2337000000.0,1961000000.0,2337000000.0,269000000.0,2.0299999999999985,2.0299999999999985,2.197689345314506,8.687732342007434,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2013-12-31,19966000000.0,9816000000.0,6034000000.0,19966000000.0,9709000000.0,2793000000.0,3551000000.0,3618000000.0,,-8683000000.0,-1394000000.0,-119000000.0,-398000000.0,-0.040000000000000036,,-667000000.0,,,6344000000.0,1.6268,22.2263,2.6401,-0.040000000000000036,-1394000000.0,0.1605435909247956,-0.06981869177601924,-0.08683735127390518,,0.1605435909247956,0.653414357812339,1.6267815710971163,14135000000.0,2514000000.0,,2514000000.0,239000000.0,3.7399999999999993,3.7399999999999993,2.5234685759745425,10.518828451882845,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2014-03-31,20170000000.0,10028000000.0,5360000000.0,,8580000000.0,4789000000.0,2833000000.0,3547000000.0,,3569000000.0,667000000.0,64000000.0,184000000.0,1.0,425000000.0,314000000.0,68000000.0,246000000.0,7622000000.0,,18.6628,2.3492,1.0,667000000.0,0.18688708321658729,0.03306891422905305,0.041167757067028764,0.06892687027178482,0.18688708321658729,0.8883449883449883,1.8708955223880597,13695000000.0,2521000000.0,,2521000000.0,243000000.0,3.959999999999999,3.959999999999999,3.0234034113447046,10.37448559670782,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2014-06-30,19936000000.0,9791000000.0,3923000000.0,,8440000000.0,6140000000.0,1070000000.0,5297000000.0,,7288000000.0,1430000000.0,128000000.0,396000000.0,4.0,416300000.0,887000000.0,146000000.0,741000000.0,7210000000.0,,12.2898,2.4093,4.0,1430000000.0,0.19621295279912185,0.07172953451043339,0.09137380191693291,0.10167398463227223,0.19621295279912185,0.8542654028436019,2.4957940351771604,12755000000.0,2589000000.0,,2589000000.0,252000000.0,6.959999999999999,6.959999999999999,2.7848590189262263,10.273809523809524,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2014-09-30,19028000000.0,9152000000.0,3874000000.0,,7801000000.0,6034000000.0,1496000000.0,4820000000.0,,10980000000.0,2202000000.0,196000000.0,613000000.0,6.0,409700000.0,1158000000.0,272000000.0,886000000.0,7530000000.0,,11.3645,2.2707,6.0,2202000000.0,0.2005464480874317,0.11572419592179946,0.14363055247537668,0.08069216757741347,0.2005464480874317,0.9652608639917959,2.3624161073825505,13154000000.0,2905000000.0,,2905000000.0,269000000.0,10.959999999999999,10.959999999999999,2.5920826161790016,10.799256505576208,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2014-12-31,17678000000.0,8076000000.0,3533000000.0,,6824000000.0,5981000000.0,1476000000.0,3990000000.0,,-7353000000.0,-1411000000.0,-138000000.0,-384000000.0,-4.0,,-743000000.0,,,7457000000.0,2.2309,12.5667,2.556,-4.0,-1411000000.0,0.19189446484428124,-0.07981672134856885,-0.09880260485960367,,0.19189446484428124,1.0927608440797187,2.2858760260401927,14484000000.0,2888000000.0,,2888000000.0,250000000.0,7.0,7.0,2.582063711911357,11.552,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
