report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-03-31,16791500000.0,3645300000.0,2701100000.0,8790600000.0,7303000000.0,745700000.0,597000000.0,719100000.0,136900000.0,95000000.0,12400000.0,50100000.0,0.21,-177000000.0,15500000.0,18300000.0,-192500000.0,745700000.0,,3.4166,24.7128,0.21,155200000.0,0.013008352731754073,0.005657624393294226,0.13210958142122098,0.19037685996384368,0.00815293452044189,0.01700895796836756,-0.2676957307745793,0.2158253372270894,0.10210872244283171,1.349561289844878,,,,,,,,,,,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2010-06-30,18903900000.0,3658000000.0,2775000000.0,10083800000.0,8108900000.0,1395700000.0,555600000.0,1506100000.0,208300000.0,135800000.0,26500000.0,86800000.0,0.3,-63400000.0,35700000.0,39100000.0,-99100000.0,1395700000.0,,2.4934,20.9713,0.3,247400000.0,0.01674703103996843,0.007183702833806781,0.09016665560055773,0.13830422946683488,0.011018890281899502,0.02191570397491741,-0.0657990837261802,0.1642653210278202,0.17211952299325434,1.3181981981981983,,,,,,,,,,,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2010-09-30,19941700000.0,4461200000.0,3551200000.0,11095500000.0,8150100000.0,1394200000.0,664100000.0,2459200000.0,391200000.0,290500000.0,42600000.0,141300000.0,0.63,375500000.0,57400000.0,65400000.0,318100000.0,1394200000.0,,3.0588,24.4381,0.63,456600000.0,0.035643734432706346,0.01456746415802063,0.11812784645413142,0.15907612231620039,0.019617184091627094,0.04098781471663716,0.12935100845803513,0.1856701366297983,0.17106538570078894,1.256251407974769,,,,,,,,,,,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2010-12-31,20444100000.0,4274500000.0,3264500000.0,11083200000.0,8264600000.0,1315700000.0,740500000.0,-1196700000.0,-146500000.0,-55600000.0,-22900000.0,-81200000.0,-0.13000000000000012,244100000.0,-19000000.0,-26100000.0,225100000.0,1315700000.0,0.9136,3.1875,23.8718,-0.13000000000000012,-172600000.0,-0.006727488323693826,-0.0027196110369250787,0.04646110136207905,0.12241998830116153,-0.0071658815990921585,-0.01529179670782752,-0.1881006100108632,0.1442299657391159,0.15919705732884834,1.3093888803798437,3487700000.0,465700000.0,589900000.0,251600000.0,686600000.0,58600000.0,1.0099999999999998,1.0099999999999998,1.9162540052432275,10.066552901023892,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2011-03-31,21138600000.0,4528800000.0,3423100000.0,11725400000.0,8333600000.0,1332700000.0,471900000.0,1027300000.0,225700000.0,177500000.0,16200000.0,75600000.0,0.38,-105100000.0,20800000.0,27900000.0,-125900000.0,1332700000.0,,3.1114,21.5443,0.38,253600000.0,0.0212993184218105,0.00839696100971682,0.17278302345955418,0.21970213180181059,0.010677149858552601,0.023349161519919722,-0.12255426847074856,0.24686070281319966,0.15991888259575693,1.3230113055417605,3795900000.0,548200000.0,678700000.0,318200000.0,785000000.0,62400000.0,1.1799999999999997,1.1799999999999997,1.6977070063694268,10.876602564102564,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2011-06-30,20915600000.0,4458700000.0,3364600000.0,11717800000.0,8188300000.0,1368600000.0,621500000.0,2097300000.0,458700000.0,360500000.0,32200000.0,151000000.0,0.77,146000000.0,40700000.0,60000000.0,105300000.0,1368600000.0,,2.5866,15.2817,0.77,518700000.0,0.04402623255132323,0.01723593872516208,0.1718876650932151,0.21870976970390502,0.021930998871655605,0.04799673534305057,0.050207409526534116,0.24731798026033472,0.16714092058180574,1.3251798133507697,4387100000.0,772900000.0,929100000.0,522600000.0,1056300000.0,68100000.0,1.65,1.65,1.2956546435671683,13.6431718061674,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2011-09-30,19737800000.0,3982400000.0,3113200000.0,10770300000.0,7949100000.0,1174600000.0,757000000.0,3095100000.0,686500000.0,527400000.0,47500000.0,210100000.0,1.13,642000000.0,60600000.0,95300000.0,581400000.0,1174600000.0,,1.6963,9.9558,1.13,781800000.0,0.06634713363777031,0.026720303174619257,0.17039837161965687,0.22180220348292462,0.034780978629837166,0.07524359634797287,0.1878453038674033,0.2525928079868179,0.1477651558038017,1.2791982526018244,5023000000.0,1009800000.0,1224400000.0,785900000.0,1381500000.0,73000000.0,2.15,2.15,0.8502352515381831,16.77260273972603,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2011-12-31,19347000000.0,3834100000.0,2974400000.0,10209400000.0,8119100000.0,1069600000.0,727400000.0,-2127500000.0,-472800000.0,-335700000.0,-34100000.0,-150600000.0,-0.7099999999999997,281900000.0,-15100000.0,-65800000.0,266800000.0,1069600000.0,0.7603,2.2659,12.7072,-0.7099999999999997,-538600000.0,-0.041346947321747485,-0.017351527368584276,0.15779083431257343,0.22223266745005876,-0.02443789734842611,-0.05145450390153123,-0.1254054054054054,0.25316098707403056,0.13173873951546353,1.289033082302313,4092200000.0,729700000.0,898100000.0,827600000.0,1015500000.0,61800000.0,1.57,1.57,1.0532742491383555,14.532362459546926,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2012-03-31,19329400000.0,4014400000.0,3374500000.0,10195400000.0,8192200000.0,777100000.0,592300000.0,1033700000.0,229800000.0,193900000.0,13600000.0,73600000.0,0.43,-158300000.0,18400000.0,24300000.0,-176700000.0,777100000.0,,2.946,16.0822,0.43,254100000.0,0.02366885574082664,0.010031351205935,0.18757860114153044,0.22230821321466576,0.01188862561693586,0.025620728484943085,-0.17093934410370515,0.24581600077391894,0.09485852396181733,1.1896280930508223,4098600000.0,746100000.0,902200000.0,776800000.0,1016000000.0,59200000.0,1.62,1.62,0.7648622047244095,15.239864864864865,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
2012-06-30,18612900000.0,3673000000.0,2724700000.0,9494100000.0,8165800000.0,1008100000.0,718400000.0,2042700000.0,432700000.0,347800000.0,27000000.0,135900000.0,0.76,247200000.0,37200000.0,50900000.0,210000000.0,1008100000.0,,2.5207,14.0088,0.76,483600000.0,0.04259227509858189,0.018685965110219256,0.1702648455475596,0.21182748323297595,0.023247317720505672,0.04716641777215797,0.10280511088265532,0.23674548391834338,0.12345391755859805,1.3480383161448968,4044000000.0,733400000.0,876200000.0,881500000.0,980900000.0,54000000.0,1.61,1.61,1.0277296360485269,16.225925925925925,1.643089,29.61,11.6,4.7144,10710.29,0.956,2.2611
