report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-04-03,11389000000.0,2754000000.0,3229000000.0,,2439000000.0,,,387000000.0,,637000000.0,418000000.0,65000000.0,156000000.0,1.09,384000000.0,250000000.0,60000000.0,87000000.0,190000000.0,0.0,,15.4115,1.5855,1.09,724000000.0,0.17138171381713818,0.036702080955307755,,,0.055931161647203444,0.2611726117261173,,,0.0,0.8528956333230102,,,,,,,,,,,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2010-10-02,11724000000.0,3005000000.0,3779000000.0,,2218000000.0,,,559000000.0,,1661000000.0,1058000000.0,188000000.0,427000000.0,2.78,381000000.0,1079000000.0,252000000.0,265000000.0,827000000.0,0.0,,15.4839,1.5363,2.78,1926000000.0,0.4770063119927863,0.09024223814397817,,,0.14167519617877858,0.7488728584310189,,,0.0,0.7951839110875893,,,,,,,,,,,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2011-01-01,11847000000.0,2915000000.0,3184000000.0,,2158000000.0,,,444000000.0,,1990000000.0,1247000000.0,248000000.0,502000000.0,3.3,,1008000000.0,474000000.0,392000000.0,534000000.0,0.0,0.9155,15.0238,1.5112,3.3,2382000000.0,0.5778498609823911,0.10525871528657044,,,0.16797501477167215,0.9221501390176089,,,0.0,0.9155150753768844,,,,,,,,,,,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2011-04-02,12188000000.0,3051000000.0,3418000000.0,,2309000000.0,,,404000000.0,,572000000.0,366000000.0,67000000.0,140000000.0,1.0,368000000.0,310000000.0,103000000.0,89000000.0,207000000.0,0.0,,16.6433,1.583,1.0,661000000.0,0.1585101775660459,0.030029537249753855,,,0.04693140794223827,0.24772628843655262,,,0.0,0.8926272674078408,,3089000000.0,4860000000.0,1758000000.0,5693000000.0,568000000.0,8.17,8.17,0.0,8.556338028169014,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2011-07-02,12356000000.0,3136000000.0,3026000000.0,,2474000000.0,,,457000000.0,,1115000000.0,709000000.0,120000000.0,287000000.0,1.93,367000000.0,646000000.0,243000000.0,175000000.0,403000000.0,0.0,,16.1885,1.5525,1.93,1290000000.0,0.2865804365400162,0.057381029459371964,,,0.09023955972806734,0.45068714632174617,,,0.0,1.0363516192994051,,3380000000.0,5338000000.0,1971000000.0,6259000000.0,623000000.0,9.01,9.01,0.0,8.568218298555378,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2011-10-01,12263000000.0,3178000000.0,3101000000.0,12263000000.0,2283000000.0,5300000000.0,,582000000.0,,1579000000.0,999000000.0,178000000.0,394000000.0,2.73,365000000.0,1269000000.0,392000000.0,270000000.0,877000000.0,5300000000.0,,15.3142,1.4677,2.73,1849000000.0,0.4375821287779238,0.08146456821332464,,,0.12876131452336295,0.20822893313991825,,,2.3215067893123082,1.0248306997742664,,3321000000.0,5256000000.0,2021000000.0,6182000000.0,613000000.0,8.959999999999999,8.959999999999999,0.8573277256551278,8.574225122349104,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2011-12-31,11901000000.0,3027000000.0,3313000000.0,11901000000.0,1760000000.0,5037000000.0,,460000000.0,,-1290000000.0,-843000000.0,-132000000.0,-318000000.0,-2.2800000000000002,,-630000000.0,-144000000.0,-165000000.0,-774000000.0,5037000000.0,0.9264,20.9269,1.3731,-2.2800000000000002,-1455000000.0,-0.47897727272727275,-0.07083438366523821,,,-0.10839425258381649,-0.18978961306458733,,,2.861931818181818,0.9136734077875037,,1231000000.0,1976000000.0,713000000.0,2345000000.0,233000000.0,3.379999999999999,3.379999999999999,2.1479744136460552,8.48068669527897,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2012-03-31,12134000000.0,3192000000.0,4011000000.0,12134000000.0,2062000000.0,4254000000.0,59000000.0,404000000.0,,535000000.0,358000000.0,33000000.0,157000000.0,1.0,359000000.0,340000000.0,63000000.0,95000000.0,277000000.0,4313000000.0,,22.5392,1.4583,1.0,630000000.0,0.17361784675072744,0.029503873413548706,,,0.04409098401186748,0.08392156862745098,,,2.091658583899127,0.7958115183246073,,1223000000.0,1939000000.0,783000000.0,2314000000.0,199000000.0,3.379999999999999,3.379999999999999,1.8638720829732065,9.743718592964823,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2012-06-30,14640000000.0,3211000000.0,4606000000.0,14640000000.0,2151000000.0,6030000000.0,739000000.0,230000000.0,,1020000000.0,659000000.0,122000000.0,259000000.0,1.84,359000000.0,680000000.0,155000000.0,194000000.0,525000000.0,6769000000.0,,21.2459,1.335,1.84,1214000000.0,0.30636913063691307,0.04501366120218579,,,0.06967213114754098,0.11434977578475336,,,3.1469084146908415,0.6971341728180634,,1173000000.0,1844000000.0,905000000.0,2238000000.0,201000000.0,3.289999999999999,3.289999999999999,3.0245755138516532,9.17412935323383,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2012-09-29,14854000000.0,3306000000.0,4514000000.0,14854000000.0,2436000000.0,6065000000.0,362000000.0,305000000.0,,1499000000.0,955000000.0,195000000.0,379000000.0,2.66,359000000.0,1375000000.0,262000000.0,302000000.0,1113000000.0,6427000000.0,,23.2797,1.3611,2.66,1801000000.0,0.3920361247947455,0.06429244647906288,,,0.10091557829540865,0.1691300913911768,,,2.6383415435139574,0.7323881258307487,,1129000000.0,1764000000.0,1141000000.0,2190000000.0,218000000.0,3.2199999999999993,3.2199999999999993,2.934703196347032,8.091743119266056,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
