report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2011-09-30,30157400000.0,1478200000.0,4395000000.0,21409900000.0,3455500000.0,13851500000.0,,,6247600000.0,1069100000.0,438600000.0,524200000.0,250200000.0,,,1587700000.0,845000000.0,807600000.0,742700000.0,13851500000.0,,,,,1876700000.0,0.12692808566054117,0.014543694085033856,0.07020295793584737,0.17112171073692298,0.03545066882423551,0.06177269312994742,0.11887764901722261,0.3003873487419169,4.00853711474461,0.3363367463026166,,,,,,,,,,,0.64599985,34.726,23.94,16.015,73351.984,24.0026,1.9626,4.3309
2011-12-31,30717000000.0,1663300000.0,4529000000.0,22149400000.0,3320500000.0,14356400000.0,,2100000.0,8264900000.0,1538700000.0,594400000.0,703300000.0,362800000.0,,,2365100000.0,1200100000.0,1091900000.0,1165000000.0,14356400000.0,0.3672,38.6709,2.8919,,2630600000.0,0.17900918536365004,0.01935084806458964,0.07191859550629771,0.18617285145615797,0.05009278249829085,0.08704580554282708,0.140957543345957,0.31828576268315406,4.323565728053004,0.3672554647825127,,,,,,,,,,,0.64599985,34.726,23.94,16.015,73351.984,24.0026,1.9626,4.3309
2012-03-31,30370000000.0,3902000000.0,3708000000.0,22248000000.0,3116000000.0,15230000000.0,,3000000.0,1857000000.0,516000000.0,21000000.0,184000000.0,96000000.0,,,560000000.0,354000000.0,,206000000.0,15230000000.0,,60.0861,3.5129,,516000000.0,0.006739409499358151,0.000691471847217649,0.011308562197092083,0.2778675282714055,0.016990451103062233,0.028126022021149024,0.11093161012385568,0.2778675282714055,4.887676508344031,1.052319309600863,,,,,,,,,,,0.64599985,34.726,23.94,16.015,73351.984,24.0026,1.9626,4.3309
2012-06-30,69575000000.0,5331000000.0,6132000000.0,46385000000.0,14220000000.0,33833000000.0,,675000000.0,4024000000.0,776000000.0,-105000000.0,481000000.0,105000000.0,,,1013000000.0,817000000.0,,196000000.0,33833000000.0,,168.0723,4.2002,,776000000.0,-0.007383966244725738,-0.0015091627739849084,-0.026093439363817097,0.19284294234592445,0.011153431548688466,0.016148835660624725,0.048707753479125246,0.19284294234592445,2.3792545710267228,0.8693737769080235,20393500000.0,949000000.0,3899800000.0,2309700000.0,5799300000.0,1892500000.0,,,5.833979963098995,2.060660501981506,0.64599985,34.726,23.94,16.015,73351.984,24.0026,1.9626,4.3309
2012-09-30,70053000000.0,5122000000.0,6860000000.0,46155000000.0,14146000000.0,32475000000.0,,775000000.0,6894000000.0,1628000000.0,95000000.0,1013000000.0,165000000.0,,,1927000000.0,1399000000.0,,528000000.0,32475000000.0,,147.0748,4.1636,,1628000000.0,0.006715679343984165,0.0013561160835367507,0.013780098636495503,0.23614737452857557,0.02323954719997716,0.034919885888333585,0.07658833768494343,0.23614737452857557,2.29570196521985,0.7466472303206997,21039900000.0,605400000.0,4458700000.0,2095000000.0,5550600000.0,2381300000.0,,,5.850718841206356,1.8723806324276655,0.64599985,34.726,23.94,16.015,73351.984,24.0026,1.9626,4.3309
2012-12-31,68185000000.0,3674000000.0,5209000000.0,44086000000.0,24099000000.0,29309000000.0,,714000000.0,-2802000000.0,-327000000.0,304000000.0,-251000000.0,-227000000.0,,,-705000000.0,-548000000.0,,-1253000000.0,29309000000.0,0.7028,116.2762,3.6726,,-327000000.0,0.012614631312502593,0.004458458605265087,-0.10849393290506781,0.11670235546038545,-0.0047957761971108015,-0.006122678250449371,0.447180585296217,0.11670235546038545,1.216191543217561,0.7053177193319256,9973000000.0,315000000.0,2593000000.0,-323000000.0,2593000000.0,1427000000.0,,,11.30312379483224,1.8170988086895585,0.64599985,34.726,23.94,16.015,73351.984,24.0026,1.9626,4.3309
2013-03-31,68308000000.0,3686000000.0,5582000000.0,44000000000.0,13675000000.0,31514000000.0,,1106000000.0,3060000000.0,1020000000.0,292000000.0,402000000.0,279000000.0,,1038000000.0,767000000.0,598000000.0,,169000000.0,31514000000.0,,69.1213,3.6243,,1020000000.0,0.021352833638025596,0.004274755519119283,0.09542483660130718,0.3333333333333333,0.014932365169526264,0.022571864834362344,0.05522875816993464,0.3333333333333333,2.3044972577696528,0.6603367968470082,11176000000.0,586000000.0,3097000000.0,-360000000.0,3097000000.0,1645000000.0,,,10.175653858572812,1.8826747720364743,0.64599985,34.726,23.94,16.015,73351.984,24.0026,1.9626,4.3309
2013-06-30,74120000000.0,3772000000.0,7333000000.0,45581000000.0,13654000000.0,31582000000.0,,1017000000.0,6442000000.0,1795000000.0,569000000.0,829000000.0,504000000.0,,1038000000.0,1717000000.0,1345000000.0,,372000000.0,31582000000.0,,40.456,3.229,,1795000000.0,0.04167276988428299,0.007676740420939018,0.08832660664389941,0.27864017385905,0.024217485159201295,0.039680785215315234,0.05774604160198696,0.27864017385905,2.313021825106196,0.5143870175917087,13594000000.0,1260000000.0,4116000000.0,-184000000.0,4116000000.0,1993000000.0,,,7.672983479105928,2.0652282990466633,0.64599985,34.726,23.94,16.015,73351.984,24.0026,1.9626,4.3309
2013-09-30,74575000000.0,3591000000.0,6415000000.0,46273000000.0,13265000000.0,33038000000.0,,816000000.0,10198000000.0,2830000000.0,855000000.0,1247000000.0,675000000.0,,1036000000.0,2777000000.0,2270000000.0,,507000000.0,33038000000.0,,34.2744,2.7751,,2830000000.0,0.06445533358462119,0.011464968152866241,0.08383996862129829,0.27750539321435574,0.03794837412001341,0.06111914994708766,0.04971563051578741,0.27750539321435574,2.4906143987938183,0.5597817614964926,16898000000.0,2020000000.0,5318000000.0,-205000000.0,5318000000.0,2227000000.0,,,6.212485896953742,2.3879658733722495,0.64599985,34.726,23.94,16.015,73351.984,24.0026,1.9626,4.3309
2013-12-31,75185000000.0,3868000000.0,6075000000.0,46900000000.0,13093000000.0,33887000000.0,,598000000.0,-5630000000.0,-1655000000.0,-523000000.0,,-716000000.0,,,-1197000000.0,-844000000.0,,-2041000000.0,33887000000.0,0.6367,31.2578,2.6504,,-1655000000.0,-0.03994500878331933,-0.006956174768903371,0.09289520426287744,0.29396092362344584,-0.0220123694885948,-0.035227756492124306,0.3625222024866785,0.29396092362344584,2.5881768884136562,0.6367078189300411,14070000000.0,1193000000.0,3990000000.0,-993000000.0,3990000000.0,,,,8.492982456140352,,0.64599985,34.726,23.94,16.015,73351.984,24.0026,1.9626,4.3309
