report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,net_income,income_tax,eps_diluted,operating_cash_flow,total_debt,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,revenue_ttm,net_income_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,181621000000.0,169253000000.0,12368000000.0,,101000000.0,3445000000.0,2527000000.0,283000000.0,93000000.0,0.85,565000000.0,101000000.0,24.5904,0.985,0.85,0.02288163001293661,0.0015581898568998078,0.11199050257222003,0.008166235446313065,,,,,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2010-06-30,180129000000.0,167491000000.0,12638000000.0,,99000000.0,3700000000.0,5132000000.0,539000000.0,171000000.0,1.18,873000000.0,99000000.0,9.628,0.7693,1.18,0.042649153347048586,0.0029922999628044346,0.10502727981293843,0.0078335179617028,,,,,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2010-09-30,190490000000.0,176931000000.0,13559000000.0,,101000000.0,3547000000.0,7745000000.0,785000000.0,226000000.0,1.94,1144000000.0,101000000.0,8.542,0.727,1.94,0.05789512500921897,0.00412095123103575,0.1013557133634603,0.00744892691201416,,,,,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2010-12-31,193824000000.0,181018000000.0,12806000000.0,,351000000.0,2741000000.0,-4997000000.0,-627000000.0,-207000000.0,-1.4299999999999997,-862000000.0,351000000.0,8.9861,0.8274,-1.4299999999999997,-0.04896142433234421,-0.0032348935116394257,0.12547528517110265,0.02740902701858504,10407000000.0,980000000.0,2.54,2.54,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2011-03-31,198317000000.0,185227000000.0,13090000000.0,,351000000.0,2216000000.0,2714000000.0,339000000.0,129000000.0,1.05,340000000.0,351000000.0,9.3721,0.8759,1.05,0.02589763177998472,0.0017093844703177236,0.12490788504053059,0.026814362108479754,10594000000.0,1036000000.0,2.74,2.74,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2011-06-30,201554000000.0,187968000000.0,13586000000.0,,251000000.0,2912000000.0,5518000000.0,665000000.0,246000000.0,2.07,878000000.0,251000000.0,8.4355,0.8087,2.07,0.04894744590019137,0.0032993639421693443,0.12051467923160565,0.018474900633004564,10980000000.0,1162000000.0,3.6300000000000003,3.6300000000000003,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2011-09-30,197747000000.0,182828000000.0,14919000000.0,,550000000.0,4833000000.0,8065000000.0,808000000.0,234000000.0,2.52,934000000.0,550000000.0,5.0327,0.4426,2.52,0.054159125946779275,0.004086029118014433,0.10018598884066957,0.03686574167169381,11300000000.0,1185000000.0,4.210000000000001,4.210000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2011-12-31,202906000000.0,188742000000.0,14164000000.0,,300000000.0,4510000000.0,-5661000000.0,-1518000000.0,-312000000.0,-4.720000000000001,-875000000.0,300000000.0,27.6003,0.5666,-4.720000000000001,-0.1071731149392827,-0.007481296758104738,0.2681505034446211,0.021180457497881954,10636000000.0,294000000.0,0.9199999999999999,0.9199999999999999,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2012-03-31,208018000000.0,194757000000.0,13261000000.0,,300000000.0,3516000000.0,2714000000.0,245000000.0,61000000.0,0.83,282000000.0,300000000.0,50.2023,0.7052,0.83,0.01847522811251037,0.0011777826918824333,0.09027266028002948,0.022622728301033103,10636000000.0,200000000.0,0.6999999999999998,0.6999999999999998,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2012-06-30,211110000000.0,196928000000.0,14182000000.0,,300000000.0,5257000000.0,5614000000.0,569000000.0,180000000.0,1.94,614000000.0,300000000.0,36.3904,0.5642,1.94,0.04012128049640389,0.0026952773435649662,0.10135375846099039,0.021153574954167254,10732000000.0,104000000.0,0.5699999999999998,0.5699999999999998,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2012-09-30,215458000000.0,200221000000.0,15237000000.0,,200000000.0,4373000000.0,,971000000.0,224000000.0,3.35,666000000.0,200000000.0,14.8563,0.5947,3.35,0.06372645533897749,0.004506678795867408,,0.01312594342718383,,267000000.0,1.4,1.4,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2012-12-31,218869000000.0,203896000000.0,14973000000.0,,200000000.0,4230000000.0,3204000000.0,-472000000.0,-183000000.0,-1.5600000000000005,-293000000.0,200000000.0,5.4249,0.6094,-1.5600000000000005,-0.031523408802511185,-0.0021565411273410124,-0.14731585518102372,0.013357376611233554,,1313000000.0,4.5600000000000005,4.5600000000000005,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2013-03-31,224341000000.0,209479000000.0,14862000000.0,,706000000.0,3107000000.0,2844000000.0,239000000.0,66000000.0,0.86,-251000000.0,706000000.0,6.6112,0.7338,0.86,0.016081281119633965,0.0010653424920099312,0.0840365682137834,0.04750370071322837,,1307000000.0,4.590000000000001,4.590000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2013-06-30,223321000000.0,210004000000.0,13317000000.0,,506000000.0,2574000000.0,5838000000.0,556000000.0,167000000.0,2.0,55000000.0,506000000.0,7.6856,0.8449,2.0,0.0417511451528122,0.0024896897291342953,0.09523809523809523,0.037996545768566495,,1294000000.0,4.65,4.65,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2013-09-30,229924000000.0,216535000000.0,13389000000.0,,503000000.0,2650000000.0,8847000000.0,893000000.0,272000000.0,3.0,504000000.0,503000000.0,9.1484,0.9323,3.0,0.06669654193741131,0.003883892068683565,0.10093817113145699,0.037568152961386214,20733000000.0,1216000000.0,4.300000000000001,4.300000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2013-12-31,236945000000.0,223493000000.0,13452000000.0,,501000000.0,2364000000.0,-5560000000.0,-444000000.0,-118000000.0,-1.3399999999999999,491000000.0,501000000.0,10.8862,1.1249,-1.3399999999999999,-0.03300624442462088,-0.001873852581822786,0.07985611510791367,0.03724353256021409,11969000000.0,1244000000.0,4.520000000000001,4.520000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2014-03-31,241949000000.0,227463000000.0,14486000000.0,,,1849000000.0,3176000000.0,329000000.0,98000000.0,1.0,263000000.0,0.0,9.9517,1.0736,1.0,0.022711583597956646,0.0013597906996929104,0.10358942065491183,0.0,12301000000.0,1334000000.0,4.660000000000001,4.660000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2014-06-30,249125000000.0,233674000000.0,15451000000.0,,250000000.0,1509000000.0,6457000000.0,727000000.0,236000000.0,2.0,371000000.0,250000000.0,9.5881,1.074,2.0,0.04705197074623002,0.0029182137481184142,0.11259098652625057,0.01618018251245874,12920000000.0,1505000000.0,4.660000000000001,4.660000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2014-09-30,248446000000.0,232994000000.0,15452000000.0,,250000000.0,1821000000.0,9869000000.0,1166000000.0,398000000.0,4.0,1095000000.0,250000000.0,9.221,1.0745,4.0,0.07545948744499094,0.0046931727618878954,0.11814773533286048,0.01617913538700492,13942000000.0,1778000000.0,5.660000000000001,5.660000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2014-12-31,253377000000.0,237637000000.0,15740000000.0,,250000000.0,3919000000.0,-5948000000.0,-707000000.0,-249000000.0,-2.0,797000000.0,250000000.0,9.8892,1.1041,-2.0,-0.04491740787801779,-0.002790308512611642,0.11886348352387358,0.01588310038119441,13554000000.0,1515000000.0,5.000000000000001,5.000000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2015-03-31,258485000000.0,242262000000.0,16223000000.0,,250000000.0,3487000000.0,3304000000.0,300000000.0,62000000.0,1.0,296000000.0,250000000.0,9.9006,1.0722,1.0,0.018492264069530914,0.0011606089328200862,0.09079903147699758,0.015410220057942427,13682000000.0,1486000000.0,5.000000000000001,5.000000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2015-06-30,255214000000.0,240515000000.0,14699000000.0,,,2327000000.0,6685000000.0,644000000.0,167000000.0,2.0,582000000.0,0.0,10.4637,1.0833,2.0,0.04381250425198993,0.0025233725422586536,0.09633507853403141,0.0,13910000000.0,1403000000.0,5.000000000000001,5.000000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2015-09-30,249532000000.0,235131000000.0,14401000000.0,,,3772000000.0,10400000000.0,871000000.0,207000000.0,3.0,1487000000.0,0.0,9.7625,0.8406,3.0,0.060481910978404274,0.003490534280172483,0.08375,0.0,14441000000.0,1108000000.0,4.000000000000001,4.000000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2015-12-31,251937000000.0,238320000000.0,13617000000.0,,,3146000000.0,-6817000000.0,-661000000.0,-160000000.0,-2.0,-122000000.0,0.0,10.7781,0.91,-2.0,-0.04854226334728648,-0.0026236717909636138,0.09696347366876926,0.0,13572000000.0,1154000000.0,4.000000000000001,4.000000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2016-03-31,255718000000.0,241060000000.0,14658000000.0,,,3177000000.0,3243000000.0,208000000.0,27000000.0,0.0,295000000.0,0.0,8.8225,0.6878,0.0,0.014190203301951154,0.0008133960065384525,0.06413814369411039,0.0,13511000000.0,1062000000.0,3.000000000000001,3.000000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2016-06-30,263028000000.0,247108000000.0,15920000000.0,,250000000.0,4113000000.0,6551000000.0,533000000.0,117000000.0,2.0,533000000.0,250000000.0,8.8843,0.6827,2.0,0.03347989949748744,0.002026400231154098,0.08136162417951458,0.015703517587939697,13377000000.0,951000000.0,3.000000000000001,3.000000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
