report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-09-26,2652296000.0,1919431000.0,612397000.0,765668000.0,1886628000.0,,,628281000.0,805874000.0,377326000.0,223994000.0,193724000.0,,29291000.0,1.55,125202000.0,255744000.0,17948000.0,0.0,,9.6896,1.9356,1.55,241942000.0,0.10268266982150165,0.07304011316987244,0.24038993688839694,0.4682195976045883,0.27795164008269285,0.08445286649755533,0.11872716825998554,0.3002231118015968,0.0,3.1342919707314048,,,,,,,,,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2010-12-26,2933217000.0,2179745000.0,689871000.0,848438000.0,2084779000.0,,,729060000.0,1676588000.0,784759000.0,465098000.0,415580000.0,,49577000.0,3.32,124999000.0,441327000.0,36611000.0,0.0,,9.5726,2.1533,3.32,501709000.0,0.1993400739358944,0.14168061892454598,0.24787246479158864,0.46806907839015904,0.2774074489379621,0.15856242480525648,0.22309223183848265,0.29924405995987086,0.0,3.159641440211286,,,,,,,,,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2011-03-27,3148495000.0,2372774000.0,667391000.0,825339000.0,2323156000.0,,,942710000.0,2485675000.0,1158778000.0,662094000.0,597820000.0,,65996000.0,4.78,125097000.0,682920000.0,54787000.0,0.0,,9.1882,2.1312,4.78,716881000.0,0.25733097562109475,0.18987484496561055,0.24050609995272915,0.46618242529695153,0.2663638649461414,0.21028904286016017,0.2849976497488761,0.28840496042322505,0.0,3.5552981685398812,,,,,,,,,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2011-06-26,4057394000.0,3276792000.0,684286000.0,1587549000.0,2469845000.0,,,1492132000.0,-1730444000.0,-823631000.0,-546901000.0,-483376000.0,5380000.0,-67736000.0,-3.8600000000000003,-250279000.0,-498963000.0,-34587000.0,0.0,4.8083,7.4531,1.6661,-3.8600000000000003,-581488000.0,-0.19571106688881287,-0.11913459723162208,0.2793364015246954,0.47596512802494617,0.31604663311843667,-0.13479119848848792,-0.22143130439359554,0.3360339889646819,0.0,4.788629315812394,3237693000.0,723748000.0,804285000.0,1497232000.0,879044000.0,5.789999999999999,5.789999999999999,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2011-09-25,3900954000.0,3134629000.0,594594000.0,1511072000.0,2389882000.0,743252000.0,,1339318000.0,680436000.0,283883000.0,99399000.0,71838000.0,,15488000.0,0.58,124049000.0,86900000.0,21360000.0,743252000.0,,7.7972,1.5079,0.58,120759000.0,0.030059224681385943,0.0184154952865376,0.10557642452780276,0.41720749636997456,0.14608133608451052,0.025480690108112016,0.03172510336295862,0.17747297321129393,0.3109994552032276,5.271881317335863,3112255000.0,601862000.0,679690000.0,1403789000.0,757861000.0,4.819999999999999,4.819999999999999,0.9807233780337028,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2011-12-25,3978147000.0,3212851000.0,593605000.0,1515403000.0,2462744000.0,749078000.0,,1506928000.0,1264417000.0,518709000.0,146945000.0,105050000.0,,22037000.0,0.86,122382000.0,255916000.0,43732000.0,749078000.0,,10.7365,1.5702,0.86,190677000.0,0.04265567188469447,0.026406766768548272,0.08308176811922016,0.41023570546742094,0.11621561557619045,0.0369380518115595,0.04575129007771913,0.1508023065175492,0.3041639731941282,5.412439248321696,2700084000.0,291332000.0,361537000.0,1137739000.0,446829000.0,2.359999999999999,2.359999999999999,1.6764310284247441,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2012-03-25,4193263000.0,3423909000.0,651655000.0,1584121000.0,2609142000.0,755427000.0,,1410267000.0,1923378000.0,785856000.0,205063000.0,150654000.0,,30983000.0,1.24,121830000.0,402313000.0,66249000.0,755427000.0,,19.2849,1.9937,1.24,271312000.0,0.05774082054560465,0.03592762962876404,0.07832781699697096,0.4085811525347592,0.10661606818836443,0.04890296649649688,0.060947776669166245,0.1410601556220358,0.2895308112781903,5.254174371408184,2137787000.0,-155834000.0,-95494000.0,764817000.0,1260000.0,-1.1800000000000013,-1.1800000000000013,599.5452380952381,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2012-06-24,8004652000.0,4415109000.0,1426928000.0,2682528000.0,5131781000.0,761783000.0,,1564752000.0,-1203039000.0,-504379000.0,-213674000.0,-158819000.0,38962000.0,-32813000.0,-1.3299999999999996,-243028000.0,-246101000.0,-30516000.0,761783000.0,3.0941,25.9742,1.6443,-1.3299999999999996,-244190000.0,-0.030948125027159188,-0.019840837552962953,0.13201483908667966,0.419254072394993,0.17761186461951775,-0.02669372759740211,-0.03625548140310345,0.20297762582925408,0.14844417561856205,3.094135793817207,2665192000.0,168723000.0,237733000.0,1084069000.0,338558000.0,1.3499999999999992,1.3499999999999992,2.2500812268503476,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2012-09-23,7724346000.0,4169416000.0,854257000.0,2712700000.0,5011646000.0,1278792000.0,,1411466000.0,906888000.0,333886000.0,16712000.0,2768000.0,,4006000.0,0.02,181926000.0,249262000.0,74816000.0,1278792000.0,,57.8314,1.993,0.02,91528000.0,0.0005523135512763671,0.00035834748987163443,0.003052196081544799,0.36816674164836233,0.018427854376725682,0.0021635488622596655,0.002656730739576481,0.10092536233801748,0.25516407184386125,4.880751342979923,2891644000.0,99653000.0,155046000.0,1134072000.0,309327000.0,0.7899999999999993,0.7899999999999993,4.134110504417655,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2012-12-23,7363164000.0,3846408000.0,825482000.0,2666574000.0,4696590000.0,1286729000.0,,1190189000.0,1767774000.0,649300000.0,20754000.0,9176000.0,,-11750000.0,0.05,177490000.0,442488000.0,153204000.0,1286729000.0,,86.907,1.9981,0.05,173958000.0,0.0019537579392708325,0.0012462033984303486,0.005190708767070904,0.36729808222091737,0.01174018850825954,0.0028186252540348144,0.0034686434067780774,0.0984051128707629,0.2739709022929402,4.659590396883275,3395001000.0,3779000.0,28855000.0,1264663000.0,292608000.0,-0.02000000000000074,-0.02000000000000074,4.397449830489939,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2013-03-31,7146302000.0,3669919000.0,801013000.0,2604102000.0,4542200000.0,1294599000.0,,1019109000.0,2612702000.0,989132000.0,31573000.0,28172000.0,,-35761000.0,0.16,174306000.0,544945000.0,228065000.0,1294599000.0,,143.2441,1.9746,0.16,259638000.0,0.006202280833076483,0.003942178766024721,0.010782706944764462,0.378585847142154,0.01208442447703565,0.004418089243919443,0.005409300542985975,0.09937528275325698,0.2850158513495663,4.581597302415816,4084325000.0,-118703000.0,-144635000.0,1467939000.0,280934000.0,-1.1000000000000008,-1.1000000000000008,4.608196231143258,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2013-06-30,7250315000.0,3793829000.0,1404475000.0,2574523000.0,4488872000.0,,,1162473000.0,-1688448000.0,-569259000.0,49032000.0,73763000.0,,-3716000.0,-0.23,-360292000.0,-516762000.0,-151969000.0,0.0,2.7012,63.2304,2.0008,-0.23,-102937000.0,0.01643241331006988,0.010173764864009357,-0.0436868650974149,0.33714926370252446,-0.029039686149647487,0.006762740653337131,0.010923011393508214,0.060965454666060195,0.0,2.7012435251606473,3598916000.0,113879000.0,118071000.0,1403059000.0,422187000.0,-1.0547118733938987e-15,-1.0547118733938987e-15,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2013-09-29,7290345000.0,3924252000.0,1402890000.0,2577031000.0,4527272000.0,,,1156184000.0,1015059000.0,431858000.0,105408000.0,85506000.0,,5640000.0,0.0,171363000.0,51925000.0,74331000.0,0.0,,42.2421,2.2404,0.0,179739000.0,0.01888687050391494,0.011728663046810542,0.08423746796984215,0.4254511314120657,0.10384421004099269,0.014458575005709606,0.023282895306489207,0.17707246573844476,0.0,2.797262793233967,3707087000.0,196617000.0,206767000.0,1501031000.0,510398000.0,-0.020000000000001055,-0.020000000000001055,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2013-12-29,7555798000.0,4249036000.0,1522572000.0,2704554000.0,4666090000.0,803276000.0,,1132555000.0,2131120000.0,919647000.0,269882000.0,234498000.0,,17285000.0,1.37,171592000.0,180948000.0,147883000.0,803276000.0,,26.0273,2.2281,1.37,417765000.0,0.050255781607298614,0.031035504125441152,0.11003509891512445,0.4315322459551785,0.1266385750215849,0.035718530325982774,0.04934429328737554,0.19603072562783888,0.17215184447792478,2.79069626920763,4070433000.0,421939000.0,455895000.0,1771378000.0,754205000.0,1.299999999999999,1.299999999999999,1.0650632122566146,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2014-03-30,7707367000.0,4447349000.0,1542705000.0,2715819000.0,4807292000.0,,,1292301000.0,3358512000.0,1450445000.0,461819000.0,398894000.0,,34971000.0,2.0,171051000.0,471158000.0,221139000.0,0.0,,18.3849,2.0506,2.0,682958000.0,0.08297686098535309,0.05175489891684151,0.11877105098924762,0.43187131682125895,0.13750702692144617,0.05991916565021492,0.09606635086863873,0.20335136512836638,0.0,2.882825297124207,4816243000.0,792661000.0,886141000.0,2232691000.0,1177525000.0,3.139999999999999,3.139999999999999,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2014-06-29,7993306000.0,4783662000.0,1582001000.0,2780222000.0,5029735000.0,,,1452677000.0,-1897382000.0,-794469000.0,-159440000.0,-86609000.0,,33178000.0,-0.3700000000000001,-339503000.0,,-151099000.0,0.0,3.0238,17.3522,2.3813,-0.3700000000000001,-310539000.0,-0.017219396250498287,-0.010835191346359066,0.04564658039340523,0.41871852900470224,0.08403157614017631,-0.0199466903931865,-0.0316994831735668,0.16366709497613027,0.0,3.0238046625760666,4607309000.0,632289000.0,677669000.0,2007481000.0,969923000.0,2.999999999999999,2.999999999999999,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2014-09-28,7893828000.0,4690976000.0,1599625000.0,2820723000.0,4890673000.0,,,1293678000.0,1152368000.0,505539000.0,168298000.0,141081000.0,,21569000.0,0.0,177118000.0,,67885000.0,0.0,,17.4315,2.5272,0.0,236183000.0,0.028846950102777266,0.017872317461186133,0.12242703719645114,0.4386957985643475,0.14604536050983713,0.021320201048211338,0.034412032863370745,0.2049544937034003,0.0,2.932547315777135,4744618000.0,687864000.0,740559000.0,2081162000.0,1026367000.0,2.999999999999999,2.999999999999999,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2014-12-28,8110689000.0,4914812000.0,1708656000.0,2928749000.0,5000435000.0,,,981275000.0,2384609000.0,1042196000.0,357039000.0,318021000.0,,23571000.0,1.0,177082000.0,,137421000.0,0.0,,17.91,2.6375,1.0,494460000.0,0.0635986669159783,0.0392101090301946,0.13336400223265113,0.4370511056529603,0.14972643313851453,0.04402079773987142,0.07140158806183862,0.20735474872400464,0.0,2.8764198293863714,4998107000.0,771387000.0,827716000.0,2203711000.0,1103062000.0,2.629999999999999,2.629999999999999,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2015-03-29,9238541000.0,6060967000.0,1734996000.0,3960917000.0,5097055000.0,,,1635636000.0,3777942000.0,1642798000.0,597004000.0,524306000.0,,45862000.0,2.0,177231000.0,,207743000.0,0.0,,15.0996,2.276,2.0,804747000.0,0.10286449724399678,0.0567520347639308,0.13878084946777902,0.4348393913935153,0.15802360120933567,0.06462102619883378,0.11712724308448702,0.21301200494872605,0.0,3.493360791609894,5417537000.0,896799000.0,962901000.0,2396064000.0,1224851000.0,2.629999999999999,2.629999999999999,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2015-06-28,9364648000.0,6270849000.0,2631361000.0,4019696000.0,5103144000.0,,,1501539000.0,-2055607000.0,-906197000.0,-334302000.0,-327831000.0,,-5729000.0,0.0,-354364000.0,,-135129000.0,0.0,2.3831,19.3687,2.4143,0.0,-469431000.0,-0.06424098555713889,-0.035007295522479866,0.15948136000704416,0.44084156164091676,0.16262933527663606,-0.03569829853722212,-0.06550902737606464,0.22836612251271765,0.0,2.3831199899975717,5259312000.0,655577000.0,788039000.0,2284336000.0,1065959000.0,2.999999999999999,2.999999999999999,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2015-09-27,9594431000.0,6515981000.0,2281941000.0,4057611000.0,5358155000.0,,,1744325000.0,1600043000.0,722363000.0,335428000.0,288679000.0,,19628000.0,1.0,174374000.0,,70590000.0,0.0,,12.1591,1.7112,1.0,406018000.0,0.053876567587163866,0.030088183447251848,0.1804195262252327,0.45146474188506186,0.20963686600922601,0.03496069751296351,0.06260139917564908,0.25375443034968437,0.0,2.8554555091476947,5706987000.0,803175000.0,955169000.0,2501160000.0,1235794000.0,3.999999999999999,3.999999999999999,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2015-12-27,9750421000.0,6670197000.0,2222980000.0,4020468000.0,5552291000.0,,,1967873000.0,3025577000.0,1348873000.0,574262000.0,511659000.0,,5547000.0,2.0,174308000.0,,142388000.0,0.0,,14.927,2.1484,2.0,716650000.0,0.09215277081118407,0.05247558028519999,0.16911121415848943,0.4458233917034668,0.1898024740404888,0.05889612356225439,0.10342793632394268,0.23686391058631132,0.0,3.000565457179102,6347955000.0,996813000.0,1172392000.0,2807837000.0,1457984000.0,4.999999999999999,4.999999999999999,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
