report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2011-03-31,5475252000.0,1847594000.0,1825877000.0,,1454772000.0,,987186000.0,,849409000.0,-72161000.0,-48460000.0,29317000.0,-44942000.0,,,127768000.0,18211000.0,109557000.0,0.0,,,0.3501,,-72161000.0,-0.03331106180212432,-0.00885073417625344,-0.05705143223111599,-0.08495436238608256,-0.013179484706822626,-0.04960296183869362,0.1289802674565492,-0.08495436238608256,0.0,1.0118940103851464,,,,,,,,,,,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2011-06-30,5652228000.0,2035491000.0,1937619000.0,,1556209000.0,,,,2408291000.0,-19788000.0,-35203000.0,60074000.0,-38283000.0,-0.2,178568320.0,132665000.0,44651000.0,88014000.0,0.0,,,0.3805,-0.2,-19788000.0,-0.02262099756523706,-0.0062281634781894855,-0.014617419572634703,-0.008216615018699983,-0.00350092034503916,-0.012715515718004458,0.036546247940967266,-0.008216615018699983,0.0,1.0505114782627545,,,,,,,,,,,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2011-09-30,5168701000.0,1636801000.0,1438064000.0,5168701000.0,1579295000.0,1667939000.0,,,4198316000.0,85021000.0,16509000.0,90462000.0,-29544000.0,0.09,183306799.0,-27541000.0,69573000.0,-97114000.0,1667939000.0,,,0.2787,0.09,85021000.0,0.010453398510094695,0.00319403269796415,0.0039322909471321355,0.020251215010971064,0.016449200679242233,0.02618259109137192,-0.0231316556447871,0.020251215010971064,1.056128842299887,1.1381976045572382,,,,,,,,,,,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2011-12-31,5087771000.0,1576790000.0,1492553000.0,5087771000.0,1461103000.0,1663056000.0,,,-2072018000.0,25265000.0,-15862000.0,-59439000.0,86545000.0,-0.35,,-97187000.0,-24935000.0,-122122000.0,1663056000.0,1.0563,,0.3234,-0.35,25265000.0,-0.010856181939260955,-0.0031176717662803615,0.007655338901496029,-0.012193426891079131,0.004965828847249611,0.008086976367079909,0.0589386771736539,-0.012193426891079131,1.13821955057241,1.0564381968345513,5383998000.0,-83016000.0,18337000.0,-21665000.0,18337000.0,120414000.0,,,90.69400665321481,0.15228295713123058,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2012-03-31,5549739000.0,2032809000.0,2012753000.0,5549739000.0,1424127000.0,1662167000.0,,,867997000.0,-42803000.0,-69150000.0,29710000.0,4278000.0,-0.37,,264772000.0,28017000.0,236755000.0,1662167000.0,,,0.328,-0.37,-42803000.0,-0.04855606276687402,-0.012460045418352106,-0.07966617396143075,-0.04931238241606826,-0.007712614953604124,-0.013868737067823092,0.27276015930930636,-0.04931238241606826,1.167148014186937,1.0099644616105403,5402586000.0,-103706000.0,47695000.0,105533000.0,47695000.0,120807000.0,-0.83,-0.83,34.849921375406225,0.394803281266814,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2012-06-30,5748425000.0,2175863000.0,2170636000.0,5748425000.0,1405873000.0,1682356000.0,,,2418674000.0,165000.0,-61458000.0,59198000.0,9506000.0,-0.33,186707769.0,310128000.0,62785000.0,247343000.0,1682356000.0,,,0.3371,-0.33,165000.0,-0.04371518622236859,-0.010691276306118632,-0.025409790653887213,6.821919779184793e-05,2.8703514440912076e-05,5.342868032131037e-05,0.10226388508744874,6.821919779184793e-05,1.1966628564600075,1.0024080499908783,5412969000.0,-129961000.0,67648000.0,264862000.0,67648000.0,119931000.0,-0.96,-0.96,24.869264427625353,0.564057666491566,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2012-09-30,5432248000.0,1842368000.0,1737980000.0,5432248000.0,1501542000.0,1685968000.0,,,4381820000.0,104680000.0,-3510000.0,94733000.0,21456000.0,-0.02,186857527.0,89039000.0,92372000.0,-3333000.0,1685968000.0,,,0.2922,-0.02,104680000.0,-0.0023375969503350554,-0.0006461413396442872,-0.0008010370120178373,0.023889616643312597,0.019270106961243302,0.03284068128413715,-0.0007606428379075362,0.023889616643312597,1.1228244031801975,1.060062831563079,5596473000.0,-149980000.0,87307000.0,358643000.0,87307000.0,124202000.0,-1.07,-1.07,19.31079982132017,0.7029435918906298,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2012-12-31,5290806000.0,1812812000.0,1768172000.0,5290806000.0,1355418000.0,1677955000.0,,,-1849444000.0,-83681000.0,-29109000.0,-59901000.0,-5504000.0,-0.15000000000000002,,-296841000.0,-59363000.0,-356204000.0,1677955000.0,1.0255,,0.3052,-0.15000000000000002,-83681000.0,-0.02147603174813969,-0.005501808231108833,0.015739324899807727,0.04524657140199974,-0.015816304736934222,-0.027586782106915304,0.19260058698722426,0.04524657140199974,1.2379612783657883,1.0252464126793095,5819047000.0,-163227000.0,-21639000.0,124561000.0,-21639000.0,123740000.0,-0.87,-0.87,-77.54309348860853,-0.17487473735251333,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2013-03-31,5688283000.0,2319769000.0,2253161000.0,,1282539000.0,,1246415000.0,,923698000.0,-33189000.0,-63239000.0,28151000.0,3559000.0,,,270460000.0,25670000.0,244790000.0,0.0,,,0.3951,,-33189000.0,-0.04930766237907775,-0.011117414516823442,-0.06846285257735754,-0.03593057471164818,-0.005834625316637727,-0.025877575652670213,0.2650108585273542,-0.03593057471164818,0.0,1.029562024196229,5874748000.0,-157316000.0,-12025000.0,132596000.0,-12025000.0,122181000.0,,,-0.0,-0.09841955786906312,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2013-06-30,6082811000.0,2687357000.0,2516549000.0,,1392271000.0,,1385260000.0,,2603211000.0,64617000.0,-5109000.0,58192000.0,11960000.0,,190960206.0,380347000.0,76685000.0,303662000.0,0.0,,,0.5093,,64617000.0,-0.0036695442194802593,-0.0008399077334475788,-0.0019625762183703124,0.024822037091883832,0.010622884715635583,0.04641122310239889,0.11664901538907142,0.024822037091883832,0.0,1.067873901918858,6059285000.0,-100967000.0,52427000.0,188915000.0,52427000.0,121175000.0,,,0.0,0.43265525067051785,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2013-09-30,5775560000.0,2364550000.0,2233751000.0,,1489707000.0,,1302578000.0,,4865447000.0,190654000.0,38665000.0,87585000.0,26370000.0,,197266289.0,264538000.0,103577000.0,160961000.0,0.0,,,0.5769,,190654000.0,0.025954768286649655,0.006694588922978897,0.007946854626101158,0.03918529993235976,0.03301047863756935,0.12798087140625639,0.03308246909276784,0.03918529993235976,0.0,1.0585557656157736,6542912000.0,-58792000.0,138401000.0,353209000.0,138401000.0,114027000.0,,,0.0,1.2137563910301945,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
